,Type,Jewelry,Clothing,Eye Color,DNA,Back,Hair,Mouth,Eyewear,Accessories,Facial Feature,Helmet,Rarity score,Token Id
107,None,DRIP CHRM,WAGMI Tee,YLLW,Human,None,BLND Quiff,GLD GRILLZ,None,Cross Earring,EKO TAT,None,59.26950244447183,108
108,None,SG-PDLCK,BLU BNDN Shirt,None,Robot,None,BRAINZ,None,None,None,None,None,14.235952136426693,109
109,None,None,PURP CAMO PFA JCKT,PNK,Human,None,PNK Shape Up,ROBO,Glass X,None,None,None,31.081021199228775,110
110,ICE,None,PNK Fur Coat,None,Demon,None,PNK Curtains,Bamboo,None,None,None,None,30.599160938621445,111
111,None,None,LLC HiTECH Dress,RD CRYSTL,Human,Energy Wings,GRN Hacker,None,None,None,None,None,25.527940639581225,112
112,None,None,BLCK TCTL Vest,BLCK Surprised,Human,Robotic Arms,BLND Stylish,None,None,None,None,None,24.89858784761279,113
113,None,RBY Two Piece,PURP KBA JCKT,YLLW,Human,None,RD Stylish,None,None,None,333 VSN TAT,None,33.03403229645254,114
114,None,S-HIRE G-Link,Job Tee,None,Robot,Energy Wings,DAD Cap,None,None,None,None,None,30.91697093643107,115
115,None,SG-PDLCK,GRNDT Fur Coat,PURP,Human,None,PURP Shape Up,SPIDERZ,None,None,None,None,29.02188595047618,116
116,None,GLD G-Link,CAMO BBL Vest,None,Robot,None,PNK MoHWK,None,None,None,None,None,14.304091102478376,117
117,None,S-HIRE CBLE,PNK Fur Coat,PNK,Human,None,BLCK Spike,None,None,None,WARNING TAT,None,33.30847282588097,118
118,None,None,CLNX FRSH Shirt,None,Demon,None,BLU MoHWK,Bubblegum,Cyber Bindi,None,None,None,31.154728040890117,119
119,None,GLD Iced Cuban,CLNX HOODIE,None,Demon,None,YU-BRED,Pilot Mask,None,None,None,None,28.812647262681296,120
120,MURAKAMI DRIP,None,JELLYFISH BLW UP JCKT,GRN Breezy,Human,None,BLU DRDZ,Gas Mask,None,None,Band-Aid,None,44.05281296068717,121
121,None,SLVR G-Link,CLNX FRSH Shirt,None,Angel,None,WHT BWLCUT,None,None,None,None,None,18.031939584517456,122
122,None,None,Space PFA JCKT,None,Demon,None,BLND Hairclip,ICED GRILLS,None,Neo Earrings,None,None,34.55004862704193,123
123,MURAKAMI DRIP,None,HVY MTL HOODIE,GRN Breezy,Human,None,YLLW Spiked,Tan Tan Bo,None,None,STARVSN TAT,None,44.041449345571806,124
124,None,None,BLU ORNG BNDN Shirt,None,Robot,None,RD Stylish,None,None,Gold Round Earrings,None,None,19.69440033286225,125
125,None,SLVR Two Piece,Space PFA JCKT,None,Robot,None,GRN Head Scarf,ROBO,Drip Scouter,None,None,None,37.379386405738074,126
126,None,None,RD BBL Vest,CLSD PNK,Human,None,Rice Hat,None,None,None,TRi War TAT,None,23.42510073480743,127
127,None,KAWAII CHRM,CLNX Tee,YLLW,Human,None,BLU Curtains,None,None,None,None,None,18.422885209136727,128
128,None,None,PNK ORNG Fur Coat,GRN,Human,None,META LEOPARD TECH Cap,Goatee,None,None,Angry TAT,None,33.30188541887248,129
129,None,PURP Two Piece,JS Tee,BLU,Human,None,RTFKT TECH Cap,SMILE,None,None,Scratch Scarz,None,43.29762757990084,130
130,None,Bladez CHKR,V2 WHT SKL GRL,None,Robot,None,BLCK Ponytailz,None,None,None,None,None,14.617341754512825,131
131,None,None,BLCK VARSITY JCKT,PNK-BLU,Human,None,GRN Stylish,None,None,None,SAD TAT,None,22.701116442039805,132
132,MURAKAMI DRIP,None,FLOOR Tee,HALF-OPEN,Robot,None,BLU Shape Up,None,None,None,None,None,22.03309712151663,133
133,None,GLD CBLE,GRDNT PFA JCKT,PURP,Human,None,BLCK Hairclip,Angry,BILLIONAIRE,None,None,None,41.45914151721226,134
134,STONED,None,BLU BLW UP JCKT,BLU-PURP,Human,None,BLU DRDZ,Angry,Drip Scouter,None,None,None,43.93178823015776,135
135,MK1,RNBW G-Link,SD Tee,None,Robot,None,Rice Hat,None,None,Gold Round Earrings,None,None,42.31029230406625,136
136,None,None,PNK BBL Vest,None,Robot,None,PURP Shape Up,Bamboo,None,None,None,None,14.312631744367563,137
137,None,None,SPACE TRIP Tee,GRN,Human,None,BLCK Quiff,SMILE,SPiKED BILLIONAIRE,None,PROMO TAT,None,45.68693527282966,138
138,MURAKAMI DRIP,None,STRIPE Tee,SPINNING,Human,None,WHT Quiff,Gas Mask,Eye Patch,GLD Round,None,None,57.861686067410176,139
139,None,None,SD Tee,None,Robot,None,BLU Curtains,None,None,None,None,None,3.492701318841978,140
140,MURAKAMI DRIP,None,RD BBL Vest,HALF-OPEN,Robot,None,RD Hairclip,None,None,None,None,None,22.40501467540876,141
141,MURAKAMI DRIP,None,Space PFA JCKT,GRN Breezy,Human,None,BLCK Stylish,Angry,None,None,CLNX TAT,None,43.61941353291435,142
142,None,None,CLNX Tee,BLU-PURP,Human,None,GHOST PIRATE,None,None,None,None,None,8.167150082751993,143
143,None,None,GRN Fur Coat,None,Angel,None,Dip-Dye Part Hat,SMILE,BILLIONAIRE,None,None,None,30.854725524363737,144
144,None,RNBW CBLE,BLCK VARSITY JCKT,PNK,Human,None,BLCK Unkept,SFTY Mask,None,None,None,None,28.99539380292625,145
145,None,S-HIRE CBLE,FRSH Shirt,BRWN,Human,Energy Wings,BLCK BWLCUT,Lollipop,None,None,None,None,45.45998166405742,146
146,Divine,DRIP CHRM,SPACE TRIP Tee,None,Angel,None,WHT Quiff,None,RD LAZER,None,None,None,43.433807605187056,147
147,None,None,V3 WHT SKL GRL,RD CRYSTL,Human,None,WHT Curtains,SMILE,BILLIONAIRE,RTFKT Earrings,None,None,47.879565190976045,148
148,None,PURP Two Piece,CAMO PFA JCKT,PURP,Human,None,GRN Stylish,None,None,None,None,None,18.404896798961598,149
149,None,None,GRN HAWAIIAN Shirt,PURP,Human,None,RD DRDZ,None,None,None,None,None,8.0554669748406,150
150,None,None,Space PFA JCKT,None,Robot,None,BLCK Unkept,None,Cyber Eyes,None,None,None,16.718202192029857,151
151,None,None,RD VARSITY JCKT,PNK,Human,None,WHT Otaku,WZRD,None,None,BIRTHMRK,None,33.32175694203831,152
152,None,G-PDLCK,CLNX Tee,PNK-BLU,Human,None,PURP Shape Up,None,None,None,Sword VSN  TAT,None,33.11448516314393,153
153,None,DRIP CHRM,BLU PURP BNDN Shirt,CLSD BLU,Human,None,GRN Stylish,None,None,None,None,None,19.126988812581942,154
154,ICE,None,V1 WHT SKL GRL,None,Demon,None,GOAT HRNS,None,None,None,None,None,20.197100160597937,155
155,None,None,CAMO BBL Vest,CLSD PNK,Human,None,BLND Stylish,None,None,None,META TAT,None,23.36452875059715,156
156,None,None,BLCK-BLK Waistcoat,None,Robot,None,WHT Quiff,Lollipop,DRIP VISION,None,None,None,27.36645277981485,157
157,None,None,GRN Fur Coat,None,Angel,None,WHT Ponytail,None,Aviator,None,None,None,20.7110029889474,158
158,MURAKAMI DRIP,VVS PANDA,BLCK TCTL Vest,None,Robot,None,BLCK BWLCUT,Jagged RNBW,BILLIONAIRE,None,None,None,47.428861961880024,159
159,None,None,SPACE TRIP Tee,BRWN,Human,None,ORNG Bandana TECH Cap,None,None,None,None,None,7.850099014205542,160
160,None,None,CLNX HOODIE,None,Robot,None,BRWN Shaggy,None,None,None,None,None,3.749175504996723,161
161,None,None,BLCK GM Tee,BLU,Human,None,BRWN 1 Horn,None,None,None,TRi TAT,None,22.474939281720978,162
162,None,None,BLCK BNDN Shirt,BRWN,Human,None,BLCK Unkept,None,None,None,None,None,7.834956806310892,163
163,MK1,BLCK-GLD ZK-BEADZ,JS HOODIE,None,Robot,None,BRWN Shaggy,Knife,None,None,None,None,37.131346227306715,164
164,None,None,NEON HOODIE,BLU-PURP,Human,None,BRED Buns,SMILE,None,None,None,None,18.55730359633161,165
165,MK1,PNK ZK-BEADZ,PURP CAMO PFA JCKT,None,Robot,None,WHT Stylish,None,None,None,None,None,26.310220121088086,166
166,None,BLCK-RD ZK-BEADZ,V1 WHT SKL GRL,None,Robot,None,GRN DRDZ,SMILE,None,None,None,None,24.745163262633348,167
167,None,None,Blade Melt Tee,None,Robot,None,PNK BWLCUT,None,3D,None,None,None,16.775936509749936,168
168,None,S-HIRE G-Link,SD Tee,YLLW,Human,None,BRWN 1 Horn,None,None,None,SAD TAT,None,32.98104349156907,169
169,None,None,WAGMI Tee,None,Demon,None,YU-BLCK,None,VSN Glasses,None,None,None,20.412922189466634,170
170,None,None,Future Dress,BLCK Surprised,Human,None,PURP BRDZ,None,SPiKED BILLIONAIRE,None,None,None,21.491842790632223,171
171,ICE,None,SD Tee,None,Demon,None,WHT Turban,MAD,None,None,None,None,30.46098578101973,172
172,MURAKAMI DRIP,None,HVY MTL HOODIE,GRN Breezy,Human,None,BLCK BWLCUT,1Tooth,None,None,META TAT,None,43.86261417158935,173
173,None,KAWAII CHRM,PNK Utility Vest,None,Demon,None,RD Horn Headband,ROBO,None,None,None,None,28.630002944278065,174
174,None,RNBW CBLE,JS Tee,None,Demon,None,BLU Braid,Cyber Jaw,None,None,None,None,28.809812069166597,175
175,None,RBY CBLE,STRIPE Tee,PURP,Human,None,BLND Fro,TCTL SMILE,None,None,None,None,29.022835363025614,176
176,None,SLVR CBLE,WHT PNK Fur Coat,None,Robot,None,PNK Ponytail,SFTY Mask,Drip Scouter,None,None,None,37.54215294500199,177
177,STONED,None,JS HOODIE,YLLW,Human,None,BLCK BRDZ,None,Eye Patch,None,None,None,33.37773179762304,178
178,None,None,RFX Tee,BLU-PURP,Human,None,WHT Unkept,None,None,None,VSN TAT,None,22.597027377311964,179
179,None,None,GRN Fur Coat,YLLW,Human,None,GRN Shape Up,Romantico,Snow Storm,SLVR STUD,None,None,47.542673250205155,180
180,MURAKAMI DRIP,None,PNK UNDRWRLD Uniform,None,Robot,None,WHT Ponytail,None,None,None,None,None,13.983242236904776,181
181,MURAKAMI DRIP,VVS PANDA,BLCK BNDN Shirt,YLLW Breezy,Human,None,WHT Turban,None,None,None,369 TAT,None,43.8455828851087,182
182,None,RBY Two Piece,V3 WHT SKL GRL,CLSD BLU-PURP,Human,None,PNK Shape Up,SMILE,None,None,PROMO TAT,None,44.02440846180819,183
183,MK1,None,WHT KBA JCKT,None,Robot,None,BLU Curtains,Gas Mask,None,None,None,None,26.28656583518746,184
184,DRK,None,CAMO PFA JCKT,None,Demon,None,GRN Stylish,TCTL SMILE,None,None,None,None,30.781826110883063,185
185,None,Hi-TECH CBLE,IRI BLW UP JCKT,None,Robot,None,TECH Cap,SFTY Mask,None,None,None,None,24.918341676076675,186
186,None,G-PDLCK,WHT PNK Fur Coat,GRN,Human,None,BLCK Bandana TECH Cap,None,VSN Glasses,None,None,None,31.5863344528446,187
187,None,PNK ZK-BEADZ,FLOOR Tee,BLU,Human,None,BLCK BRDZ,None,Aviator,None,None,None,31.40558929984842,188
188,None,None,BLCK BNDN Shirt,None,Angel,None,WHT Unkept,None,Cyber Eye Patch,None,None,None,20.499957464644986,189
189,MURAKAMI DRIP,BLCK-GLD ZK-BEADZ,WHT Jellyfish Tee,None,Robot,Energy Wings,BLCK BRDZ,Romantico,None,None,None,None,51.45703127782528,190
190,None,None,CAMO PFA JCKT,CLSD BRWN,Human,None,BRWN 1 Horn,None,None,PTRA Earring,None,None,24.470864096969326,191
191,MURAKAMI DRIP,None,WHT Jellyfish Tee,None,Angel,None,BLU Stylish,SMILEY RNBW,None,None,None,None,28.09238710658183,192
192,STONED,SG-PDLCK,THRML PFA JCKT,YLLW,Human,None,GRN DRDZ,Alien,None,None,None,None,41.66264798694893,193
193,MK-BLCK,SLVR CBLE,JS Tee,None,Robot,None,PNK Shape Up,SPIDERZ,None,None,None,None,36.79542474482209,194
194,None,IRI Blade CHKR,STRIPE Tee,BLCK Surprised,Human,None,PURP Hacker,SMILE,None,None,None,None,29.109889212725655,195
195,None,None,FLOOR Tee,None,Robot,None,BLND Curtains,MAD,Cyber Eyes,None,None,None,27.009669868461533,196
196,None,None,PURP CAMO PFA JCKT,None,Robot,None,PNK Curtains,Angry,None,SLVR Round,None,None,29.582664543587338,197
197,None,None,RFX Tee,None,Robot,None,PNK Spiked,None,Cyber Eyes,None,None,None,16.6292409316707,198
198,None,RBY CBLE,BRWN TCTL Vest,GRN,Human,None,GRN Shape Up,1Tooth,None,None,VSN TAT,None,43.739551015669996,199
199,MURAKAMI DRIP,GLD G-Link,WAGMI Tee,RNBW,Murakami,None,RD DRDZ,Tan Tan Bo,None,PTRA Earrings,None,None,64.93006121039394,200
200,None,None,WHT PNK Fur Coat,PNK-BLU,Human,None,BLND Curtains,Bubblegum,BILLIONAIRE,None,None,None,31.57028492387419,201
201,None,None,BLCK Utility Vest,PNK-BLU,Human,None,BLCK Unkept,None,None,SLVR STUD,Angry TAT,None,38.699455877355284,202
202,None,None,STRIPE Tee,None,Robot,None,Bunny,GLD GRILLS,None,None,None,None,14.244492292858615,203
203,Divine,None,CAMO PFA JCKT,None,Angel,Robotic Arms,WHT Unkept,None,None,None,None,None,36.626101884298194,204
204,None,PNK ZK-BEADZ,GRDNT PFA JCKT,BLCK Surprised,Human,None,BLND Quiff,None,None,PTRA Earring,None,None,34.6447257079338,205
205,None,None,CLNX FRSH Shirt,GRN,Human,None,BLCK Beanie,None,None,None,HRUS TAT,None,22.581872026783987,206
