,Background,Back,Skin,Clothes,Helmet,Hair,Nose,Mouth,Ears,Eyes,Hat,Legendary,Charity,Rarity score,Token Id
77,cream,none,nude,ufo,turquoise,none,pink,wow,none,regular,doctor,None,None,7.676076920588206,78
78,purple,black_cape,nude,mechanic,yellow,none,yellow,smoking_pipe,pointy,big_eyes,none,None,None,19.589687766757393,79
79,turquoise,none,nude,mechanic,black,none,black,smile,small,80s_glasses,none,None,None,1.5234101587670448,80
80,yellow,none,nude,martian,light_green,black_short,blue,wow,pointy,rogue,none,None,None,20.281056843738124,81
81,green,none,nude,martian,turquoise,none,green,smile,none,regular,sailor,None,None,5.870113394267692,82
82,red,red_cape,nude,pilot,light_green,none,green,party_horn,round,professor,none,None,None,18.602430619027103,83
83,red,none,nude,ufo,white,none,white,malicious,small,wink,none,None,None,2.7955074759073177,84
84,orange,black_cape,black,tattoo,blue,none,yellow,small_beard,regular,big_eyes,none,None,None,30.143408323182197,85
85,turquoise,guitar,nude,tattoo,blue,none,black,chewing_gum,round,rogue,none,None,None,20.749077101202435,86
86,purple,none,nude,ghost,turquoise,none,green,smile,none,regular,doctor,None,None,5.56538285492373,87
87,purple,none,nude,chef,dark_green,none,black,small_beard,none,suspicious,pirate,None,None,15.612399227095807,88
88,green,none,nude,cardigan,blue,none,white,walrus,small,wink,none,None,None,3.5487873558167666,89
89,pink,none,nude,doctor,purple,none,blue,wow,none,regular,worker,None,None,6.660290098105818,90
90,cream,black_cape,nude,sailor,light_green,none,green,party_horn,pointy,80s_glasses,none,None,None,19.38096615677636,91
91,pink,none,nude,pilot,orange,none,red,smile,small,professor,none,None,None,0.9733885977357847,92
92,red,tennis,black,ballet,yellow,none,yellow,sad,regular,vegas_glasses,none,None,None,29.11951640578264,93
93,cream,none,nude,mechanic,red,none,red,malicious,small,vegas_glasses,none,None,None,1.833645698307664,94
94,turquoise,none,artist,doctor,red,brown_long,turquoise,bubbles,round,angry,none,None,None,36.39367760935745,95
95,turquoise,none,nude,martian,orange,none,blue,smile,none,regular,cowboy,None,None,5.5288802030545225,96
96,green,none,nude,chef,blue,none,black,smile,none,regular,cap,None,None,7.391119140406819,97
97,green,none,nude,cyclist,red,none,turquoise,smile,none,regular,captain,None,None,6.886019263805484,98
98,turquoise,none,nude,plaid_shirt,red,none,green,beard,small,pirate,none,None,None,3.630672990484026,99
99,yellow,none,nude,cardigan,blue,none,blue,wow,none,regular,sheriff,None,None,7.179608359300153,100
100,orange,none,black,pilot,dark_green,black_short,heart,malicious,pointy,rogue,none,None,None,35.16108147716966,101
101,pink,none,nude,ghost,light_blue,none,green,wow,none,regular,sheriff,None,None,6.826775401250999,102
102,turquoise,none,nude,drawing_my_life,orange,none,green,smile,none,regular,worker,None,None,5.50619307094892,103
103,grey,red_cape,nude,thriller,pink,none,green,big_smile,round,monster,none,None,None,19.21459227394359,104
104,grey,none,nude,cardigan,silver,blond_short,pink,moustache,round,yellow_glasses,none,None,None,23.121229183345342,105
105,cream,red_cape,black,policeman,purple,none,heart,wow,none,regular,cook,None,None,33.637336997919896,106
106,purple,tennis,nude,martian,light_green,none,turquoise,small_beard,small,big_eyes,none,None,None,18.345698412731853,107
107,red,jetpack,black,tattoo,white,none,white,sad,pointy,professor,none,None,None,32.44220960010508,108
108,purple,none,nude,ufo,orange,none,white,big_smile,none,regular,rainbow,None,None,8.387239862520229,109
109,green,black_cape,nude,ghost,black,none,green,smoking_pipe,pointy,professor,none,None,None,18.75480748912834,110
110,red,none,artist,thriller,light_blue,blond_short,green,big_smile,small,vampire,none,None,None,34.597022976172845,111
111,turquoise,none,nude,drawing_my_life,white,none,black,walrus,regular,wink,none,None,None,3.3992816684228933,112
112,red,none,nude,plaid_shirt,turquoise,none,pink,wow,none,regular,sheriff,None,None,7.60271157586017,113
113,green,guitar,nude,leather_jacket,yellow,none,white,rabbit,round,wink,none,None,None,20.396410734494893,114
114,grey,none,nude,ghost,yellow,none,black,party_horn,small,yellow_glasses,none,None,None,3.4641234544939987,115
115,turquoise,none,black,cardigan,black,blond_long,heart,moustache,small,zombie,none,None,None,34.103415807943705,116
116,purple,none,nude,policeman,orange,none,green,smile,none,regular,cowboy,None,None,5.6218440851886164,117
117,green,jetpack,nude,ballet,light_blue,none,white,moustache,round,pirate,none,None,None,20.799813028048103,118
118,orange,artist,nude,doctor,light_green,none,turquoise,rabbit,round,3d_glasses,none,None,None,20.785767390315797,119
119,green,none,nude,cardigan,white,none,pink,wow,small,yellow_glasses,none,None,None,2.324453893005678,120
120,yellow,none,nude,chef,turquoise,none,black,smile,none,regular,crazy,None,None,6.807034577243493,121
121,green,none,nude,read_or_die,pink,none,blue,malicious,none,regular,doctor,None,None,7.475805538868749,122
122,red,none,artist,ufo,turquoise,none,whiskers,beard,none,suspicious,cap,None,None,30.487883091208403,123
123,None,None,None,None,None,None,None,None,None,None,None,Item 124,None,99.86167706447841,124
124,yellow,none,nude,plaid_shirt,pink,none,white,beard,pointy,yellow_glasses,none,None,None,6.031365937879459,125
125,purple,red_cape,nude,ufo,yellow,none,black,malicious,round,manga,none,None,None,17.733684784593844,126
126,yellow,none,nude,read_or_die,orange,none,green,malicious,none,regular,captain,None,None,7.013054115280042,127
127,orange,jetpack,black,martian,turquoise,none,turquoise,party_horn,pointy,angry,none,None,None,30.92208350372101,128
128,pink,none,nude,worker,purple,none,white,malicious,none,regular,sailor,None,None,7.873660359942362,129
129,pink,none,nude,grey_hoodie,dark_green,black_short,blue,wow,round,vampire,none,None,None,21.138508475362208,130
130,orange,none,nude,cyclist,blue,none,yellow,smile,none,regular,doctor,None,None,7.269693819919117,131
131,orange,none,nude,leather_jacket,orange,none,black,walrus,none,regular,punk,None,None,10.291395006769756,132
132,turquoise,none,nude,mechanic,purple,black_short,turquoise,rabbit,small,3d_glasses,none,None,None,21.242686416438055,133
133,green,none,nude,chef,pink,none,red,big_smile,none,regular,beanie,None,None,8.660883465467908,134
134,green,none,nude,cyclist,red,none,black,wow,none,regular,martian,None,None,7.27535815270018,135
135,red,none,nude,read_or_die,turquoise,none,green,moustache,round,professor,none,None,None,4.034186323493251,136
136,green,none,nude,cyclist,light_blue,none,turquoise,sad,small,wink,none,None,None,2.891445609892306,137
137,purple,none,nude,bling_bling,orange,none,turquoise,smile,small,vegas_glasses,none,None,None,0.8406966550891795,138
138,orange,black_cape,nude,read_or_die,dark_green,none,turquoise,malicious,small,vegas_glasses,none,None,None,16.791416514869983,139
139,red,none,nude,martian,light_green,none,blue,big_smile,none,regular,beanie,None,None,8.30542937020262,140
140,pink,artist,nude,mechanic,dark_green,none,turquoise,chewing_gum,none,regular,captain,None,None,25.567982457419248,141
141,green,jetpack,black,pilot,purple,none,whiskers,smile,regular,80s_glasses,none,None,None,29.232777302474467,142
142,green,red_cape,nude,ufo,light_green,none,pink,big_smile,regular,wink,none,None,None,16.667223088124413,143
143,cream,none,black,martian,orange,black_short,red,big_smile,pointy,big_eyes,none,None,None,32.064445718973786,144
144,purple,none,nude,gentleman,pink,none,green,wow,none,regular,worker,None,None,7.086297890162335,145
145,green,none,black,sailor,orange,none,white,small_beard,round,3d_glasses,none,None,None,16.826112490525734,146
146,purple,artist,black,mechanic,dark_green,none,heart,rabbit,pointy,wink,none,None,None,33.18390101750814,147
147,yellow,none,nude,worker,blue,none,pink,malicious,none,regular,sailor,None,None,8.172809654145423,148
148,red,none,nude,ufo,pink,none,turquoise,wow,small,80s_glasses,none,None,None,2.4768655994103033,149
149,yellow,guitar,black,pilot,yellow,none,black,big_smile,pointy,professor,none,None,None,31.023527065736765,150
150,purple,none,nude,ninja,red,none,pink,wow,small,yellow_glasses,none,None,None,1.7490235369303113,151
151,grey,none,nude,chef,purple,brown_long,black,rabbit,small,retro_glasses,none,None,None,21.47960163339004,152
152,orange,none,nude,drawing_my_life,red,none,red,smile,none,regular,sailor,None,None,5.977345386773122,153
153,green,none,nude,ballet,turquoise,none,green,moustache,small,professor,none,None,None,3.5122411419784902,154
154,green,black_cape,black,policeman,white,none,white,tongue_out,small,monster,none,None,None,29.240929339976983,155
155,turquoise,none,nude,read_or_die,red,none,red,smile,none,regular,sailor,None,None,5.655838855805456,156
156,turquoise,none,nude,ninja,yellow,none,green,moustache,regular,angry,none,None,None,3.3062317616897476,157
157,red,none,black,grey_hoodie,light_green,none,black,smoking_pipe,regular,wink,none,None,None,14.752656095881612,158
158,purple,none,nude,bling_bling,light_green,none,red,big_smile,none,regular,captain,None,None,8.20676229105199,159
159,pink,tennis,nude,pilot,yellow,none,white,wow,none,regular,doctor,None,None,22.157485655775343,160
160,red,none,nude,chef,orange,black_short,green,big_smile,regular,80s_glasses,none,None,None,18.7746056037647,161
161,yellow,none,nude,ufo,orange,none,red,tongue_out,regular,yellow_glasses,none,None,None,2.6433272962728607,162
162,green,red_cape,nude,sailor,dark_green,none,whiskers,moustache,round,pirate,none,None,None,22.038018326568178,163
163,yellow,skater,black,cyclist,orange,none,green,small_beard,none,regular,spikes,None,None,34.48898753710284,164
164,orange,guitar,black,chef,purple,none,white,tongue_out,small,pirate,none,None,None,29.731766556076124,165
165,pink,none,black,read_or_die,white,black_short,black,chewing_gum,round,80s_glasses,none,None,None,33.16148348206461,166
166,orange,none,nude,gentleman,red,none,blue,wow,none,regular,punk,None,None,7.156849012150834,167
167,grey,devil,nude,ghost,dark_green,none,pink,rabbit,none,regular,sheriff,None,None,25.84437894595885,168
168,red,none,nude,ufo,light_green,none,blue,wow,round,wink,none,None,None,2.3557095544251854,169
169,turquoise,jetpack,nude,ballet,red,none,black,rabbit,regular,yellow_glasses,none,None,None,18.949391666317204,170
170,green,black_cape,nude,bling_bling,blue,none,red,sad,regular,professor,none,None,None,16.929663556966307,171
171,cream,none,nude,gentleman,white,none,yellow,party_horn,small,angry,none,None,None,4.239795062425618,172
172,purple,skater,nude,doctor,turquoise,none,black,chewing_gum,pointy,monster,none,None,None,20.647620843733776,173
173,red,guitar,nude,sailor,turquoise,none,black,party_horn,small,angry,none,None,None,17.939474999232388,174
174,cream,none,nude,chef,light_blue,none,blue,smile,none,regular,rainbow,None,None,6.9059052440676245,175
175,purple,red_cape,nude,bling_bling,red,none,blue,big_smile,small,angry,none,None,None,15.711137028905448,176
176,orange,black_cape,nude,bling_bling,blue,none,black,wow,none,suspicious,cook,None,None,26.74445801553244,177
177,turquoise,black_cape,nude,thriller,light_blue,none,white,moustache,round,big_eyes,none,None,None,19.327337639278188,178
178,orange,none,black,jersey,blue,none,white,beard,regular,professor,none,None,None,16.24487012618268,179
179,cream,jetpack,black,cardigan,light_green,none,blue,malicious,pointy,80s_glasses,none,None,None,30.011113287106884,180
180,pink,red_cape,nude,pilot,blue,none,turquoise,chewing_gum,regular,vampire,none,None,None,19.087588996187183,181
181,pink,black_cape,black,thriller,orange,none,heart,moustache,pointy,3d_glasses,none,None,None,32.14890100112434,182
182,orange,none,nude,cyclist,orange,none,white,wow,none,regular,sherlock,None,None,7.244284296020122,183
183,cream,tennis,nude,drawing_my_life,purple,none,red,malicious,small,retro_glasses,none,None,None,16.06376748805872,184
184,grey,guitar,nude,bling_bling,silver,none,white,walrus,earrings,80s_glasses,none,None,None,23.874335637696717,185
185,orange,black_cape,nude,sailor,orange,none,red,smile,pointy,3d_glasses,none,None,None,17.155636155542307,186
186,grey,none,nude,worker,silver,none,black,smoking_pipe,earrings,retro_glasses,none,None,None,8.962294280324667,187
187,pink,none,artist,policeman,yellow,ginger_short,turquoise,confident,none,suspicious,police,None,None,45.35576299148272,188
188,red,none,nude,chef,orange,none,red,wow,none,regular,rainbow,None,None,6.730923970524582,189
189,cream,black_cape,nude,pilot,purple,none,blue,rabbit,pointy,angry,none,None,None,19.482559558622683,190
190,turquoise,none,nude,ufo,light_blue,blond_long,blue,confident,small,vegas_glasses,none,None,None,19.66022289482147,191
191,grey,none,nude,mechanic,red,none,white,wow,none,regular,sheriff,None,None,7.819995187372654,192
192,orange,none,nude,mechanic,dark_green,none,whiskers,beard,pointy,hopeful,none,None,None,8.688709100959926,193
193,grey,none,nude,read_or_die,black,none,pink,sad,small,yellow_glasses,none,None,None,3.7151187608398093,194
194,red,none,nude,read_or_die,orange,none,red,smile,none,regular,sherlock,None,None,5.8110186938306185,195
195,pink,none,nude,plaid_shirt,white,none,white,wow,none,regular,sailor,None,None,8.014619645434388,196
196,grey,none,nude,ghost,light_green,none,black,walrus,none,regular,doctor,None,None,9.29283929513877,197
197,orange,tennis,nude,bling_bling,black,none,yellow,malicious,pointy,rogue,none,None,None,19.911340163528674,198
198,orange,none,black,sailor,black,none,green,beard,small,insect,none,None,None,16.34359307936262,199
199,cream,none,black,tattoo,white,none,turquoise,beard,round,rogue,none,None,None,18.052902034258324,200
200,pink,none,nude,worker,purple,none,pink,wow,none,regular,rainbow,None,None,7.7156249592431365,201
201,green,none,nude,chef,light_green,none,green,wow,none,regular,gentleman,None,None,7.145633573404334,202
202,pink,none,nude,read_or_die,orange,none,red,wow,none,regular,sailor,None,None,6.138339808815071,203
203,dark_blue,none,nude,leather_jacket,light_blue,none,pink,beard,zombie,pirate,none,None,None,10.922766918590913,204
204,pink,tennis,black,gentleman,blue,none,yellow,party_horn,regular,retro_glasses,none,None,None,29.023736804398144,205
205,grey,red_cape,nude,worker,purple,none,heart,party_horn,small,big_eyes,none,None,None,18.923853349285142,206
206,turquoise,none,nude,worker,turquoise,none,yellow,tongue_out,regular,retro_glasses,none,None,None,3.399334285507321,207
207,green,black_cape,black,pilot,purple,none,pink,sad,pointy,hopeful,none,None,None,30.510137002287998,208
208,red,black_cape,nude,doctor,light_blue,none,white,big_smile,small,80s_glasses,none,None,None,16.509344437560205,209
209,pink,tennis,artist,doctor,blue,none,black,big_smile,round,3d_glasses,none,None,None,32.992384991574234,210
210,grey,none,nude,ghost,pink,blond_long,whiskers,tongue_out,small,yellow_glasses,none,None,None,22.52315599802613,211
211,cream,none,nude,worker,turquoise,none,blue,wow,small,wink,none,None,None,0.8745270083612993,212
212,red,red_cape,black,thriller,purple,none,green,moustache,small,manga,none,None,None,28.70790873953834,213
213,turquoise,none,nude,ninja,yellow,none,pink,tongue_out,small,manga,none,None,None,4.262518466588644,214
214,red,none,nude,cyclist,orange,none,yellow,party_horn,small,wink,none,None,None,2.8181024146077776,215
215,orange,red_cape,nude,plaid_shirt,light_green,none,pink,wow,small,manga,none,None,None,16.34301047420124,216
216,red,skater,nude,cyclist,orange,none,blue,tongue_out,small,angry,none,None,None,17.03127002096426,217
217,cream,none,nude,read_or_die,light_green,none,blue,party_horn,small,yellow_glasses,none,None,None,2.911222003903493,218
218,red,none,black,sailor,turquoise,black_short,heart,confident,pointy,vr,none,None,None,35.321887539547866,219
219,green,none,nude,worker,black,ginger_short,pink,chewing_gum,round,rogue,none,None,None,23.31311162333906,220
220,green,none,nude,ufo,white,brown_long,blue,wow,regular,3d_glasses,none,None,None,19.677313154598327,221
221,turquoise,red_cape,nude,read_or_die,black,none,white,small_beard,regular,angry,none,None,None,17.547313204897588,222
222,pink,none,nude,bling_bling,black,none,blue,malicious,regular,professor,none,None,None,2.7364334432419346,223
223,cream,black_cape,black,ballet,light_blue,none,white,walrus,round,wink,none,None,None,30.053135958602965,224
224,orange,none,nude,grey_hoodie,pink,black_short,pink,walrus,regular,3d_glasses,none,None,None,22.37091991608488,225
225,orange,none,nude,doctor,red,none,green,smile,none,regular,doctor,None,None,6.253686694592717,226
226,orange,none,nude,chef,turquoise,none,blue,big_smile,small,wink,none,None,None,1.8392813749478487,227
227,orange,none,nude,drawing_my_life,black,none,blue,walrus,pointy,wink,none,None,None,4.973595767654972,228
228,grey,none,nude,bling_bling,purple,none,pink,sad,small,angry,none,None,None,3.619228163759357,229
229,orange,none,nude,doctor,light_blue,none,white,confident,round,80s_glasses,none,None,None,4.601173330722042,230
230,cream,skater,black,ninja,pink,none,green,wow,none,regular,spikes,None,None,33.85440328575528,231
231,pink,none,black,cyclist,pink,brown_long,turquoise,sad,none,regular,police,None,None,37.45604457215352,232
232,yellow,none,nude,martian,yellow,none,turquoise,big_smile,none,regular,spikes,None,None,8.991047453124603,233
233,turquoise,none,black,astronaut,orange,black_short,green,big_smile,regular,retro_glasses,none,None,None,30.524465987979287,234
234,yellow,none,nude,cyclist,turquoise,none,blue,smile,none,regular,crazy,None,None,6.180658891406002,235
235,green,none,nude,drawing_my_life,pink,none,black,small_beard,regular,hopeful,none,None,None,4.279498432382599,236
236,turquoise,none,nude,worker,turquoise,none,blue,malicious,none,regular,cowboy,None,None,6.8241731248869355,237
237,turquoise,none,nude,doctor,red,none,black,wow,none,regular,sailor,None,None,6.8352383321957335,238
238,cream,none,nude,ufo,white,none,yellow,sad,none,suspicious,sailor,None,None,14.878930934243867,239
239,orange,none,nude,gentleman,orange,none,yellow,party_horn,regular,80s_glasses,none,None,None,3.376757855685692,240
240,grey,none,black,grey_hoodie,purple,none,red,beard,regular,3d_glasses,none,None,None,15.689166429936414,241
241,turquoise,none,nude,cyclist,white,none,turquoise,smile,regular,wink,none,None,None,1.334382914786517,242
242,turquoise,none,nude,gentleman,white,none,black,beard,small,80s_glasses,none,None,None,3.9916281163858764,243
243,purple,none,nude,mechanic,purple,none,green,big_smile,none,regular,cowboy,None,None,7.791862562509837,244
244,artnotes,none,alien,jersey,red,black_long,red,wow,emperor,monster,none,None,None,40.71451509565418,245
245,yellow,none,nude,plaid_shirt,dark_green,blond_short,red,smile,small_wings,3d_glasses,none,None,None,22.732176582359045,246
246,yellow,artist,white,mechanic,rainbow,none,black,small_beard,pointy,3d_glasses,none,None,None,37.21448937337851,247
247,pink,none,nude,bling_bling,red,none,green,smile,regular,manga,none,None,None,1.1567467845897783,248
248,cream,none,nude,cyclist,yellow,none,green,big_smile,regular,wink,none,None,None,2.575551893392543,249
249,green,none,nude,policeman,orange,none,turquoise,party_horn,small,angry,none,None,None,2.7956188861125164,250
250,grey,none,nude,worker,black,none,yellow,malicious,none,regular,cook,None,None,9.098312471531168,251
251,grey,none,nude,worker,purple,none,red,wow,small,wink,none,None,None,1.0917242573455954,252
252,orange,none,nude,ninja,light_blue,none,white,smile,none,regular,worker,None,None,7.393881086338057,253
253,purple,none,black,ninja,red,black_short,red,sad,none,cyborg,doctor,None,None,41.69536285495314,254
254,orange,none,nude,doctor,orange,none,black,confident,none,regular,cowboy,None,None,8.516857410002011,255
255,purple,none,nude,ufo,turquoise,blond_long,red,screaming,zombie,insect,none,None,None,24.920838439948497,256
256,red,none,nude,cardigan,cyborg,brown_long,whiskers,big_smile,zombie,80s_glasses,none,None,None,26.74288333934894,257
257,yellow,red_cape,nude,mechanic,orange,none,white,small_beard,small,professor,none,None,None,17.52204194742818,258
258,purple,none,nude,mechanic,pink,none,turquoise,malicious,small,80s_glasses,none,None,None,2.7448223595292953,259
259,purple,none,nude,ninja,orange,none,blue,sad,none,regular,martian,None,None,8.107971476159639,260
260,turquoise,none,nude,gentleman,light_blue,none,yellow,smoking_pipe,small,vegas_glasses,none,None,None,3.119970454474909,261
261,purple,none,nude,cyclist,orange,none,yellow,wow,none,regular,gentleman,None,None,7.097737618006879,262
262,cream,none,white,leather_jacket,yellow,blond_short,black,confident,regular,manga,none,None,None,36.39628721458567,263
263,green,none,white,worker,turquoise,blond_short,blue,moustache,round,professor,none,None,None,35.43477223896673,264
264,orange,guitar,nude,tattoo,dark_green,none,red,walrus,round,yellow_glasses,none,None,None,20.27517664930517,265
265,purple,red_cape,nude,doctor,dark_green,none,pink,sad,none,regular,cap,None,None,23.649996510507005,266
