,Foreground,Mouth,Eyes,Outfit,Decoration,Creature,Background,Overlay,Rarity score,Token Id
42,Pile Skyline,Happy,Terracotta,Arcith,Aqua Polkadots,Meadow,Pile Skyline,None,9.917456841571443,42
43,Telescope,Smirking,Closed,Vines,Violet Arneum,Clementine,Blood Orange,Distance,83.84677596571821,43
44,Crush,Happy,Sand,Frux,Sand Polkadots,Sand,Marius,None,20.619679563624423,44
45,Crush,Happy,Aqua,Arcith,Blood Orange Balseum,Feather,Inciu,None,18.5117122136832,45
46,None,Happy,Third Eye,Swulu,Mint Balseum,Tulip,Aqua,Tulip Flower,55.94304433758336,46
47,Rain,Smirking,Dilated,Arcith,Gold Arneum,Aura,Field,None,52.19395186778968,47
48,Blush,Happy,Gold,Swirl,Aqua Polkadots,Cream,Cream,Terracotta Flower,61.22587566449146,48
49,None,Happy,Violet,Cloud Suit,Gold Balseum,Violet,Violet,Cosmic Punch,61.16150708738236,49
50,Crush,Sacred,Ocean,None,Sand Polkadots,Aqua,Violet,Liquify,86.6141092719554,50
51,None,Happy,Dilated,None,Olive Balseum,Terracotta,Tulip,Tulip Flower with Stripes,52.63924151656665,51
52,Telescope,Singing,Mint,None,Terracotta Tranteum,Mint,Aqua,Tulip Flower,87.71353886151101,52
53,Clouds,Happy,Black,Frux,Scarlet Balseum,Violet,Pile Skyline,None,16.30149340971379,53
54,Pile Skyline,Happy,Gold,None,Gold Stripes,Scarlet,Pile Skyline,None,5.481625479097276,54
55,None,Screaming,Terracotta,Vines,Aqua Polkadots,Olive,Fungisland,None,54.62355826455148,55
56,Crush,Singing,Moss,Oxoto,Sand Tranteum,Clementine,Rainbow,None,51.711288924021815,56
57,Rain,Smirking,Ocean,Cloud Suit,Violet Arneum,Moss,Aura,Void,93.54847701996579,57
58,Blush,Smirking,Gold,Vines,Olive Tranteum,Moss,Hill Huts,None,50.5044607306248,58
59,Clouds,Thermal Singing,Sacred,None,None,Thermal,Ercon,None,57.56227413925955,59
60,Blush,Happy,Aqua,None,Sand Tranteum,Gold,Uuary,None,13.443041393354308,60
61,Blush,Happy,Closed,Swulu,Olive Stripes,Clementine,Aura,Meadow Flower,51.781018688904354,61
62,Crush,Smirking,Gold,None,None,Aqua,Gold,Liquify,78.3281864802437,62
63,None,Happy,Clementine,Vines,Ocean Stripes,Sand,Feather,Stripes,53.94784483793412,63
64,Blush,Happy,Violet,Arcith,Ocean Balseum,Sand,Rainbow,None,20.0028254801358,64
65,Pile Skyline,Screaming,Blue Sacred,Vines,Ocean Arneum,Gold,Pile Skyline,None,41.91081165111602,65
66,None,Smirking,Aqua,Frux,Scarlet Arneum,Moss,Field,None,50.204103366442446,66
67,None,Smirking,Mint,Arcith,Terracotta Stripes,Olive,Terracotta,Mint Flower,88.26595570606558,67
68,Blush,Happy,Clementine,Arcith,Blood Orange Arneum,Scarlet,Earth,None,18.254265265383918,68
69,Crush,Smirking,Closed,None,Olive Balseum,Aqua,Olive,Dive,83.26756337569721,69
70,Crush,Sacred,Blue Sacred,Arcith,Gold Polkadots,Violet,Aura,Bullseye,88.72177892212922,70
71,Clouds,Happy,Sand,Swirl,Gold Balseum,Moss,Aura,Clouds,66.3316022179927,71
72,None,Smirking,Ocean,None,Sand Tranteum,Aqua,Gomba,None,47.860300106864145,72
73,None,Sacred,Dilated,Swirl,Aqua Arneum,Aura,Aqua,Distance,95.65082892901789,73
74,Telescope,Singing,Terracotta,Frux,Terracotta Balseum,Tulip,Rainbow,None,55.26178038387097,74
75,Blush,Happy,Aqua,Vines,Tulip Balseum,Clementine,Meadow,Width,51.68982594454536,75
76,Crush,Sacred,Gold,Wet,Olive Tranteum,Gold,Hill Huts,None,56.59726098112235,76
77,Pile Skyline,Happy,Blue Sacred,Arcith,None,Sand,Pile Skyline,None,6.061097698336915,77
78,Telescope,Happy,Earth,Oxoto,Moss Stripes,Scarlet,Ocean,Void,54.70938875758549,78
79,Telescope,Screaming,Earth,Oxoto,Scarlet Balseum,Feather,Ercon,None,53.518739594118834,79
80,Pile Skyline,Happy,Closed,None,Terracotta Tranteum,Tulip,Pile Skyline,None,6.286196205415534,80
81,Telescope,Smirking,Gold,Arcith,Terracotta Polkadots,Terracotta,Gomba,None,50.65464531505788,81
82,Blush,Happy,Gold,Oxoto,Violet Arneum,Violet,Inciu,None,18.790649507549624,82
83,Crush,Happy,Blue Sacred,None,Scarlet Polkadots,Moss,Inciu,None,17.991491456353817,83
84,Telescope,Happy,Scarlet,Vines,Sand Stripes,Feather,Rainbow,None,20.58747757292615,84
85,Blush,Screaming,Sand,Vines,Violet Stripes,Scarlet,Sand,Cosmic Punch,90.9045035852046,85
86,Rain,Happy,Earth,Frux,Olive Stripes,Gold,Cream,Mint Flower with Stripes,52.62304317148306,86
87,None,Happy,Olive,Vines,Gold Polkadots,Terracotta,Gold,Olive Flower with Stripes,55.34770205620681,87
88,Telescope,Thermal,Dilated,None,None,Thermal,Stripe Room,None,48.85197969715176,88
89,None,Happy,Gold Third Eye,Wet,Mint Arneum,Rainbow,Fungisland,None,27.340369534331792,89
90,Telescope,Smirking,Tulip,Cloud Suit,Gold Arneum,Rainbow,Cream,Cream Flower with Stripes,96.14955559048691,90
91,None,None,Thermal,None,None,Thermal,Thermal,None,54.64474230299008,91
92,Telescope,Happy,Third Eye,None,Terracotta Stripes,Clementine,Ascension,None,15.443686298293382,92
93,None,Happy,Aqua Third Eye,Swulu,Aqua Stripes,Meadow,Earth,None,19.986787518909402,93
94,Rain,Screaming,Gold,Vines,Violet Balseum,Gold,Fungisland,None,50.735070629269295,94
95,Pile Skyline,Screaming,Violet,Swulu,Blood Orange Polkadots,Aqua,Pile Skyline,None,43.240972374665304,95
96,Crush,Sacred,Meadow,None,Clementine Balseum,Meadow,Rainbow,None,52.90182812147515,96
97,Telescope,Happy,Dilated,Oxoto,Gold Stripes,Meadow,Earth,None,18.447320577081253,97
98,Pile Skyline,Happy,Meadow,Arcith,Aqua Balseum,Terracotta,Pile Skyline,None,9.997941703714165,98
99,Telescope,Happy,Earth,Swirl,Tulip Arneum,Aura,Cream,Mountains,63.37116802689874,99
100,Crush,Happy,Gold Third Eye,Arcith,Aqua Balseum,Mint,Mint,Clementine Flower Stripe,56.586559525105464,100
101,Telescope,Happy,Olive,Wet,Mint Arneum,Olive,SS Creature,None,27.120425686940457,101
102,Rain,Singing,Aqua,Swulu,Gold Balseum,Gold,Ocean,Distance,85.10710071509476,102
103,Pile Skyline,Happy,Gold,Raincoat,Terracotta Arneum,Tulip,Pile Skyline,None,14.90579464448193,103
104,Telescope,Singing,Black,None,Clementine Balseum,Clementine,Inciu,None,47.67790065563872,104
105,Blush,Happy,Dilated,Oxoto,Gold Arneum,Sand,Gomba,None,18.307915758779018,105
106,Blush,Sacred,Sand,None,Gold Tranteum,Gold,Stripe Room,None,49.37820965294038,106
107,None,Smirking,Blue Sacred,Swulu,Clementine Polkadots,Scarlet,Feather,Bullseye,87.41324639528615,107
108,Pile Skyline,Happy,Sand,Vines,Violet Polkadots,Feather,Pile Skyline,None,10.12668046576222,108
109,Crush,Happy,Blue Sacred,Swirl,Gold Arneum,Sand,Scarlet,Cosmic Punch,61.66026968634346,109
110,Rain,Happy,Blue Sacred,Oxoto,Gold Polkadots,Sand,Uuary,None,19.600518123535867,110
111,Crush,Happy,Black,Vines,Aqua Stripes,Clementine,Stripe Room,None,16.001505630285042,111
112,Crush,Happy,Aqua,Oxoto,Gold Arneum,Ocean,Earth,None,18.211337682526434,112
113,Telescope,Happy,Black,Arcith,Moss Tranteum,Clementine,Stripe Room,None,16.248158861734176,113
114,Telescope,Sacred,Aqua Third Eye,Swirl,Gold Tranteum,Cream,Clementine,Aqua Flower Stripe,96.8360042646968,114
115,None,Singing,Closed,Frux,Olive Balseum,Violet,Inciu,None,52.37628211874635,115
116,Blush,Happy,Scarlet,Vines,Violet Arneum,Sand,Aqua,Striped Rocks,55.063383737044646,116
117,Telescope,Happy,Mint,Swulu,Mint Stripes,Olive,Terracotta,Cosmic Pinch,57.76651688465451,117
118,Rain,Happy,Earth,None,Olive Polkadots,Clementine,Fungisland,None,13.705835579898448,118
119,Blush,Happy,Earth,Vines,Tulip Polkadots,Gold,Marius,None,16.08733880446436,119
120,Crush,Happy,Sacred,Vines,Aqua Arneum,Tulip,Fungisland,None,20.62505737838054,120
121,Crush,Happy,Sand,Oxoto,Olive Tranteum,Sand,Gomba,None,20.244217831533756,121
122,Crush,Smirking,Moss,Vines,Blood Orange Tranteum,Ocean,Rainbow,None,52.97703224949337,122
123,None,Smirking,Aqua,None,Gold Balseum,Feather,Earth,None,47.13625983489958,123
124,Telescope,Smirking,Closed,Swulu,Terracotta Tranteum,Clementine,Marius,None,48.28931630550592,124
125,Rain,Singing,Blue Sacred,Vines,Scarlet Balseum,Moss,Moss,Cubes,90.03571715409333,125
126,Crush,Happy,Gold,Vines,Ocean Stripes,Scarlet,Fungisland,None,18.565350903823376,126
127,Pile Skyline,Happy,Dilated,Frux,Tulip Tranteum,Aqua,Pile Skyline,None,7.069255674257259,127
128,Crush,Happy,Earth,Oxoto,Ocean Stripes,Sand,Gold,Cubes,53.90486415596839,128
129,Pile Skyline,Happy,Black,Arcith,Tulip Balseum,Meadow,Pile Skyline,None,8.51751539506587,129
130,Pile Skyline,Singing,Ocean,Arcith,Ocean Stripes,Moss,Pile Skyline,None,43.56279112025815,130
131,None,Happy,Sacred,None,Mint Stripes,Meadow,Earth,None,17.83594408393804,131
132,Blush,Smirking,Closed,Oxoto,Violet Balseum,Ocean,Greenery,None,51.13735330878261,132
133,Blush,Screaming,Earth,Vines,Aqua Balseum,Gold,Inciu,None,50.41866027661084,133
134,Blush,Happy,Ocean,None,Aqua Arneum,Scarlet,Field,None,17.809162821085767,134
135,Pile Skyline,Happy,Mint,None,Tulip Stripes,Meadow,Pile Skyline,None,8.474637163642988,135
136,Blush,Singing,Mint,Vines,Aqua Stripes,Gold,Aura,Clementine Flower Stripe,86.98954203286415,136
137,Crush,Happy,Olive,Arcith,Gold Stripes,Clementine,Hill Huts,None,16.88114853766997,137
138,None,Smirking,Blood Orange,Wet,Ocean Arneum,Sand,SS Creature,None,57.991711960116795,138
139,Pile Skyline,Happy,Third Eye,Arcith,Terracotta Polkadots,Cream,Pile Skyline,None,9.85312581680955,139
140,Rain,Thermal Sacred,Dilated,Swulu,None,Thermal,Olive,Void,88.74301073394057,140
141,Blush,Happy,Clementine,Swirl,Ocean Balseum,Aqua,Ascension,None,22.888539923183522,141
142,Rain,Sacred,Third Eye,Arcith,Terracotta Stripes,Aqua,Aura,Void,87.68676457199417,142
143,Pile Skyline,Sacred,Terracotta,Frux,Gold Polkadots,Olive,Pile Skyline,None,45.04308117357097,143
144,None,Happy,Scarlet,Swulu,Scarlet Arneum,Blood Orange,Ercon,None,19.815128144362493,144
145,Clouds,Happy,Blue Sacred,Vines,Blood Orange Tranteum,Ocean,Rainbow,None,26.385570770736983,145
146,None,Happy,Aqua,Swulu,Aqua Arneum,Aqua,Gold,Tulip Flower,51.83465255424514,146
147,Pile Skyline,Happy,Closed,Swulu,Clementine Tranteum,Scarlet,Pile Skyline,None,8.372672684086524,147
148,Rain,Happy,Earth,None,Aqua Polkadots,Meadow,Earth,None,16.3394503147969,148
149,Rain,Smirking,Olive,Swulu,Gold Polkadots,Terracotta,Meadow,Gold Flower,89.16157114137148,149
150,Rain,Happy,Gold,Vines,Violet Arneum,Moss,Uuary,None,18.565350904418736,150
151,Telescope,Happy,Mint,Frux,Mint Balseum,Clementine,Tulip,Mint Flower with Stripes,54.752308827115804,151
152,None,Thermal Screaming,Aqua Third Eye,Swulu,None,Thermal,Hill Huts,None,53.888446940742696,152
153,Crush,Happy,Aqua,Oxoto,Gold Tranteum,Aqua,Blood Orange,Liquify,51.791675091630374,153
154,Pile Skyline,Smirking,Mint,Oxoto,Terracotta Stripes,Meadow,Pile Skyline,None,42.527604581582125,154
155,Blush,Screaming,Aqua Third Eye,None,Olive Tranteum,Aqua,Aura,Meadow Flower with Stripes,86.54440900729186,155
156,Blush,Happy,Dilated,None,Violet Balseum,Violet,Night,Void,52.344251235653,156
157,Rain,Happy,Third Eye,None,None,Meadow,Meadow,Void,50.6710024262858,157
158,Pile Skyline,Happy,Clementine,Frux,Mint Polkadots,Gold,Pile Skyline,None,5.969685006471926,158
159,Rain,Sacred,Tulip,Cape,Mint Tranteum,Tulip,Ercon,None,61.85869100882756,159
160,Rain,Happy,Blood Orange,None,Gold Arneum,Aqua,Clementine,Void,50.74591691071328,160
161,None,Happy,Black,Oxoto,Scarlet Stripes,Moss,Rainbow,None,18.350823493278643,161
162,Rain,Happy,Blue Sacred,Wet,Blood Orange Arneum,Sand,Gold,Curved Stripe,61.595871606276695,162
163,None,Happy,Clementine,Vines,Scarlet Stripes,Scarlet,Uuary,None,17.696467923737195,163
164,Blush,Smirking,Moss,None,Aqua Stripes,Clementine,Inciu,None,47.200604270031825,164
165,Crush,Happy,Ocean,Frux,Olive Stripes,Violet,Aqua,Cubes,55.55679372784965,165
166,Pile Skyline,Singing,Moss,Cloud Suit,Scarlet Balseum,Scarlet,Pile Skyline,None,50.073964613835074,166
167,Telescope,Happy,Closed,Oxoto,Gold Arneum,Gold,Creature Friends,None,15.626018697786096,167
168,Telescope,Happy,Sand,None,Ocean Polkadots,Moss,Scarlet,None,18.86585471626576,168
169,Pile Skyline,Happy,Meadow,Arcith,Terracotta Polkadots,Aura,Pile Skyline,None,11.82165403628991,169
170,Rain,Happy,Gold Third Eye,Swulu,Clementine Balseum,Mint,Greenery,None,20.646471551296074,170
171,None,Screaming,Dilated,Frux,Sand Tranteum,Gold,Clementine,Bullseye,85.38597953851283,171
172,Crush,Happy,Gold Third Eye,Wet,Olive Balseum,White,Gomba,None,28.713449783490276,172
173,Telescope,Smirking,Black,Swulu,Tulip Polkadots,Rainbow,Marius,None,52.832182576728584,173
174,Blush,Screaming,Blue Sacred,Frux,Scarlet Arneum,Gold,Ocean,Cubes,88.18013647974784,174
175,Blush,Smirking,Scarlet,Vines,Scarlet Arneum,Aqua,Rainbow,None,50.61171665340763,175
176,Telescope,Singing,Black,Oxoto,None,Clementine,Hill Huts,None,46.78227610953506,176
177,None,Happy,Clementine,Swulu,Scarlet Stripes,Feather,Violet,Curved Stripe,53.73330562711127,177
178,Pile Skyline,Happy,Mint,None,Tulip Tranteum,Meadow,Pile Skyline,None,8.297623040024565,178
179,Telescope,Smirking,Closed,Cloud Suit,Tulip Polkadots,Gold,Earth,None,54.510862296626115,179
180,Telescope,Smirking,Meadow,None,Terracotta Arneum,Tulip,Terracotta,Cream Flower,87.07535374871244,180
181,Telescope,Happy,Closed,Vines,Mint Polkadots,Aqua,Fungisland,None,17.02595422700623,181
182,None,None,None,Tulip Robe,Hole,Wizard,None,None,70.50956390222484,182
183,None,Happy,Black,Frux,Mint Polkadots,Gold,Ercon,None,15.90494364626256,183
184,Rain,Happy,Mint,Oxoto,Tulip Balseum,Aqua,Hill Huts,None,18.97838868976541,184
185,Telescope,Happy,Earth,Vines,Gold Arneum,Meadow,Stripe Room,None,18.40983249615961,185
186,Crush,Sacred,Ocean,Arcith,Scarlet Arneum,Violet,Blood Orange,Emanating,90.42721631265783,186
187,None,Screaming,Blue Sacred,Frux,Gold Tranteum,Ocean,Gold,Bullseye,89.02214057826356,187
188,Blush,Singing,Dilated,Swulu,Terracotta Stripes,Cream,Creature Friends,None,53.08960377486394,188
189,Clouds,Smirking,Earth,Cape,Violet Stripes,Gold,Night,Clouds,96.01535856265338,189
190,Blush,Sacred,Closed,Vines,Clementine Polkadots,Feather,Greenery,None,53.27199624680033,190
191,None,Sacred,Clementine,Swulu,Scarlet Arneum,Violet,Greenery,None,52.837520695483406,191
192,Crush,Happy,Moss,Oxoto,Olive Arneum,Clementine,Fungisland,None,17.514089401448466,192
193,Pile Skyline,Happy,Meadow,Cape,Clementine Polkadots,Gold,Pile Skyline,None,13.720401526265016,193
194,Pile Skyline,Happy,Earth,Swulu,Ocean Stripes,Ocean,Pile Skyline,None,8.833968126299792,194
195,Crush,Screaming,Aqua,Arcith,Mint Arneum,Olive,Cream,Dive,89.49946754454923,195
196,Clouds,Happy,Gold,Arcith,Violet Arneum,Clementine,Gold,Clouds,56.45240164780415,196
197,None,Happy,Aqua,None,Olive Stripes,Aura,Greenery,None,17.53558242804184,197
198,Telescope,Smirking,Closed,None,Aqua Stripes,Olive,Uuary,None,48.51994605679486,198
199,Telescope,Happy,Dilated,Frux,Gold Arneum,Violet,Violet,Cosmic Punch,54.51625245355724,199
200,Crush,Screaming,Scarlet,Swulu,Violet Polkadots,Sand,Gold,Bullseye,90.16445966893512,200
201,Crush,Happy,Terracotta,Arcith,Clementine Polkadots,Terracotta,Ercon,None,20.40513176687339,201
202,Pile Skyline,Happy,Sacred,Frux,Mint Stripes,Olive,Pile Skyline,None,10.91512901810056,202
203,Pile Skyline,Happy,Clementine,Wet,Terracotta Tranteum,Mint,Pile Skyline,None,14.29968760898303,203
204,Rain,Singing,Aqua,Oxoto,Gold Stripes,Clementine,Hill Huts,None,49.270864144158786,204
205,Pile Skyline,Singing,Gold,Oxoto,Tulip Tranteum,Tulip,Pile Skyline,None,42.827967312579844,205
206,Pile Skyline,Happy,Dilated,Arcith,Violet Balseum,Ocean,Pile Skyline,None,8.378055333525014,206
207,Rain,Happy,Olive,Cape,Olive Stripes,Olive,Meadow,Clementine Flower,63.537450651669936,207
208,Crush,Happy,Clementine,Oxoto,Clementine Stripes,Clementine,Inciu,None,15.8727438020761,208
209,Rain,Happy,Tulip,None,Clementine Polkadots,Clementine,Ercon,None,15.550995331972597,209
210,Telescope,Happy,Clementine,Oxoto,Mint Polkadots,Meadow,Hill Huts,None,18.90326233317918,210
211,Crush,Sacred,Olive,Arcith,Aqua Tranteum,Olive,Field,None,54.90779559114461,211
212,Crush,Screaming,Ocean,Vines,Scarlet Stripes,Feather,Aqua,None,55.02597878710696,212
213,Crush,Happy,Gold Third Eye,Arcith,Tulip Tranteum,Olive,Cream,Tulip Flower with Stripes,57.04781580321227,213
214,Blush,Happy,Aqua,Arcith,Violet Polkadots,Aqua,Earth,None,16.264315374663934,214
215,Rain,Happy,Third Eye,Swulu,None,Terracotta,Hill Huts,None,17.508889138714657,215
216,Rain,Singing,Blue Sacred,Arcith,Olive Polkadots,Blood Orange,Field,None,53.71715930710606,216
217,Pile Skyline,Happy,Closed,Cape,Sand Balseum,Ocean,Pile Skyline,None,14.964817586413147,217
218,Blush,Happy,Gold Third Eye,Arcith,Olive Polkadots,Olive,Ercon,None,20.25494825944699,218
219,Clouds,Smirking,Clementine,Raincoat,Violet Balseum,Violet,Stripe Room,None,62.79716966033292,219
220,Rain,Happy,Gold Third Eye,Vines,Mint Balseum,Clementine,Hill Huts,None,18.03972283437659,220
221,Rain,Happy,Earth,Vines,Clementine Balseum,Blood Orange,Blood Orange,Bullseye,54.22134906511356,221
222,Crush,Singing,Olive,Frux,Olive Arneum,Cream,Rainbow,None,55.09016338897117,222
223,None,Sacred,Clementine,Arcith,Tulip Arneum,Cream,Aqua,Clementine Flower,88.28206072271594,223
224,None,Thermal Smirking,Sacred,Raincoat,None,Thermal,Ercon,None,59.78810284496681,224
225,Blush,Happy,Moss,Swulu,Blood Orange Balseum,Gold,Hill Huts,None,17.916379055130708,225
226,Pile Skyline,Happy,Clementine,Frux,Mint Tranteum,Olive,Pile Skyline,None,8.79641031083312,226
227,Pile Skyline,Smirking,Gold Third Eye,Cloud Suit,Clementine Balseum,Tulip,Pile Skyline,None,48.534657517658445,227
228,Pile Skyline,Happy,Blue Sacred,Swulu,Ocean Tranteum,Blood Orange,Pile Skyline,None,10.201769812017213,228
229,Pile Skyline,Singing,Black,Vines,Terracotta Polkadots,Blood Orange,Pile Skyline,None,42.32916609760094,229
230,None,Smirking,Aqua,Vines,Sand Arneum,Gold,Feather,Width,83.13348595561702,230
231,Clouds,Happy,Dilated,Vines,Scarlet Stripes,Ocean,Uuary,None,24.51899309366799,231
232,None,Happy,Terracotta,Frux,Olive Stripes,Aqua,Olive,Distance,54.13019010613844,232
233,None,Happy,Gold Third Eye,Cape,Tulip Stripes,Terracotta,Hill Huts,None,26.70211469198923,233
234,Blush,Smirk,None,None,None,Chalkboard,None,None,57.197870016850494,234
235,Rain,Happy,Blood Orange,Frux,Aqua Stripes,Sand,Marius,None,20.335376794914527,235
236,Crush,Happy,Ocean,Arcith,Ocean Stripes,Feather,Uuary,None,20.008205444856824,236
237,None,Happy,Closed,Frux,Olive Arneum,Terracotta,Creature Friends,None,18.58683535020403,237
238,Blush,Happy,Black,Raincoat,Scarlet Stripes,Aqua,Clementine,Bullseye,58.35113786022743,238
239,Rain,Happy,Sand,Frux,Gold Tranteum,Gold,Aura,Bullseye,52.2261168473232,239
240,Rain,Happy,Black,Wet,Blood Orange Balseum,Sand,Marius,None,25.37724757711059,240
241,Telescope,Happy,Blue Sacred,Arcith,None,Scarlet,Inciu,None,16.41465498185429,241
242,None,Happy,Mint,Frux,Aqua Balseum,Mint,Greenery,None,20.083321606970575,242
243,Telescope,Happy,Blue Sacred,Swirl,Moss Balseum,Gold,Scarlet,Width,59.611448660432586,243
244,None,Smirking,Aqua Third Eye,Oxoto,Terracotta Tranteum,Tulip,Hill Huts,None,52.18320535705303,244
245,Clouds,Smirking,Violet,Frux,Sand Arneum,Gold,Greenery,None,55.583512239018084,245
246,Telescope,Singing,Moss,Swulu,Violet Polkadots,Gold,Field,None,51.74340777587737,246
247,Blush,Happy,Violet,Arcith,Clementine Tranteum,Ocean,Inciu,None,19.91167403579766,247
248,Blush,Happy,Sand,Swulu,Aqua Balseum,Violet,Ocean,Stripes,56.23796273934533,248
249,Blush,Thermal,Earth,Arcith,None,Thermal,Fungisland,None,50.385929892505885,249
250,None,Happy,Earth,Frux,Terracotta Balseum,Blood Orange,SS Creature,None,18.32403901607643,250
251,Clouds,Happy,Violet,Oxoto,Moss Polkadots,Ocean,Aura,Clouds,61.4778149885454,251
252,Pile Skyline,Smirking,Gold,Arcith,Mint Balseum,Gold,Pile Skyline,None,37.603972248827226,252
253,None,Happy,Clementine,None,Terracotta Arneum,Tulip,Gomba,None,15.786988414570002,253
254,None,Happy,Clementine,Vines,Aqua Polkadots,Meadow,Mint,Dive,54.3072224667127,254
255,Blush,Screaming,Aqua,Vines,Moss Stripes,Violet,Gold,Void,88.45365572703265,255
256,Telescope,Thermal Happy,Black,Oxoto,None,Thermal,Stripe Room,None,52.83731578463381,256
257,Blush,Happy,Earth,None,Olive Stripes,Gold,Gold,Cream Flower,49.26028659511061,257
258,Crush,Happy,Third Eye,Swulu,Clementine Stripes,Aqua,Stripe Room,None,18.59756309137557,258
259,Rain,Sacred,Terracotta,Frux,Aqua Tranteum,Clementine,Hill Huts,None,52.81611456802803,259
260,None,Happy,Meadow,Swulu,Terracotta Balseum,Terracotta,Cream,Tulip Flower with Stripes,56.93525929937595,260
261,Pile Skyline,Smirking,Closed,None,Gold Tranteum,Olive,Pile Skyline,None,37.968623095902615,261
262,Telescope,Happy,Black,Frux,None,Clementine,Earth,None,13.13203675141327,262
263,None,Happy,Dilated,Wet,Olive Balseum,Olive,Ercon,None,24.486904829754604,263
