,???,Chroma,Biome,Zone,Mode,Y Coordinate,X Coordinate,Level,Rarity score,Token Id
162,20266,Flow,46,Holo,Terrain,38,5,14,1.4702623470522573,162
163,24255,Flow,32,Riso,Terrain,29,5,14,3.750900287064032,163
164,29153,Pulse,9,Everglades,Terrain,3,19,8,32.0334343397198,164
165,27573,Pulse,48,Hypermage,Terrain,1,3,13,18.597085982167297,165
166,51490,Flow,22,Avidana,Terrain,10,13,15,13.995009619030508,166
167,38949,Flow,41,[NOV],Terrain,21,5,10,11.714527307194453,167
168,28092,Pulse,54,Venmon,Terrain,0,3,15,31.00728190795159,168
169,43267,Hyper,36,[MOON],Terrain,17,28,10,41.82073767518281,169
170,47603,Flow,32,Holo,Terrain,38,39,14,3.720706236951795,170
171,40001,Pulse,55,Kairo,Terraform,5,2,3,86.40935320239862,171
172,27913,Flow,5,Jadeite,Terrain,16,22,7,14.547105747242862,172
173,30906,Pulse,9,[CUR2],Terraform,11,20,10,83.76917697348237,173
174,31060,Flow,59,Alto,Terrain,1,8,17,13.202706006812823,174
175,46392,Pulse,43,Greysunn,Terrain,23,22,16,32.09943446169341,175
176,36721,Hyper,5,Muxtai X1,Terrain,15,6,12,44.84519156982347,176
177,44517,Hyper,68,[BLOOD],Terrain,10,23,11,40.68655785028389,177
178,40640,Flow,45,Dynacrypts,Terrain,45,42,13,5.5992936255098,178
179,34397,Flow,9,Holo,Terrain,19,8,14,1.644344963900389,179
180,17851,Flow,60,Grove,Terrain,43,5,13,4.393056589158851,180
181,39364,Flow,34,Mecha,Terrain,34,7,13,4.122999614924945,181
182,49498,Pulse,51,[SEP],Terrain,4,14,10,28.066755999454006,182
183,50917,Flow,75,Holo,Terrain,15,42,14,2.886577609446519,183
184,20822,Flow,55,Nightrose,Terrain,17,2,13,2.3285842447837513,184
185,37796,Flow,50,Wastelands,Terrain,4,8,9,14.229014062437395,185
186,36516,Pulse,64,Everglades,Terrain,2,8,8,31.421315254723364,186
187,34516,Pulse,30,Intro Forest,Terrain,17,23,7,32.71153537974652,187
188,17980,Hyper,26,Calyx,Terrain,5,17,8,43.44097354456871,188
189,26077,Flow,43,Shiro,Terrain,38,1,14,4.249068103711129,189
190,47242,Pulse,57,Kairo,Terrain,6,4,3,32.375486158769405,190
191,53164,Pulse,3,Angel,Terrain,14,14,6,31.721370684168214,191
192,37390,Flow,49,[MOON],Terrain,25,3,10,10.83229614464964,192
193,45151,Flow,7,Arc,Terrain,13,33,13,4.06295970310371,193
194,53798,Hyper,65,Dynacrypts,Terrain,6,44,13,34.223639112963546,194
195,45124,Pulse,58,Hyphae,Terraform,0,11,14,74.9724687776941,195
196,50694,Pulse,53,Riso,Terrain,30,35,14,23.301918595170378,196
197,29969,Pulse,55,Blushing,Terrain,19,16,15,32.34549254529309,197
198,42396,Flow,25,Angel,Terrain,12,23,6,14.103007337148574,198
199,29651,Flow,70,[DARK],Terrain,10,26,11,11.594448091141185,199
200,32361,Flow,58,Zerinia,Terrain,17,17,7,13.706901856247821,200
201,42133,Flow,80,Exduo,Terrain,25,33,14,5.707268332463008,201
202,48959,Flow,57,Kairo,Terrain,8,4,4,13.226709130021803,202
203,23063,Flow,9,[WEN],Terrain,10,3,11,10.556277748880747,203
204,40335,Flow,24,Exduo,Terrain,26,40,14,5.593255298129409,204
205,52560,Flow,68,Mould,Terrain,21,18,16,14.517069140351468,205
206,35810,Pulse,56,Grove,Terrain,21,16,13,21.8677560034952,206
207,53175,Flow,48,Linosim,Terrain,12,16,15,13.004754089259151,207
208,41962,Flow,32,Riso,Terrain,43,17,14,4.741092838159623,208
209,52267,Pulse,51,Alto,Terrain,3,1,17,30.785127641935617,209
210,53552,Flow,58,Arc,Terrain,25,33,13,4.687031302125192,210
211,53277,Flow,44,Hypermage,Terrain,15,17,13,1.2542723585692885,211
212,53878,Pulse,46,Muxtai X1,Terrain,3,12,12,32.29149519840081,212
213,20252,Flow,19,Intro Forest,Terrain,11,12,7,13.700907734188677,213
214,39121,Flow,85,Aria,Terrain,10,0,9,15.459239089596885,214
215,51465,Flow,47,Hyphae,Terrain,1,3,14,2.0165538947277373,215
216,39476,Hyper,46,Hypermage,Terrain,26,31,13,32.513194725783634,216
217,44106,Flow,48,Hypermage,Terrain,0,33,13,1.9744164136694446,217
218,30626,Pulse,54,Hyphae,Terrain,38,22,14,22.893880583018362,218
219,35455,Pulse,44,Holo,Terrain,3,24,14,19.509097613487945,219
220,38361,Flow,28,Grove,Terrain,7,6,13,2.9227706250540972,220
221,48813,Hyper,29,Akileaf,Terrain,8,1,8,43.080935123494676,221
222,46825,Pulse,70,Exduo,Terrain,42,23,14,23.085890456577637,222
223,39748,Flow,66,[NOV],Terrain,31,5,10,12.308654948431826,223
224,44434,Pulse,57,Zerinia,Terrain,23,2,7,31.571349323936175,224
225,42372,Flow,71,Holo,Terrain,43,4,14,2.4484908767079183,225
226,43241,Flow,72,Mirage,Terrain,1,30,14,3.966980505292197,226
227,41157,Flow,3,Kairo,Terrain,3,3,4,13.05866787077759,227
228,45789,Flow,59,[BLOOD],Terrain,16,7,11,10.628234444764683,228
229,53206,Pulse,48,Exduo,Terrain,43,19,14,22.29374065448009,229
230,48521,Hyper,53,[NEON],Terrain,14,12,10,40.09852484628107,230
231,45347,Flow,33,Mori,Terraform,5,21,6,68.02458920042352,231
232,50703,Pulse,11,Akileaf,Terrain,10,5,8,32.07545434493726,232
233,48453,Flow,31,Mirage,Terrain,43,14,14,4.609107129102126,233
234,47648,Flow,46,Hypermage,Terrain,37,21,13,2.5265101243521637,234
235,50515,Flow,10,[YUNA],Terrain,26,9,10,12.188555748950328,235
236,46880,Flow,69,[SEP],Terrain,13,6,10,10.424206053909314,236
237,52682,Flow,54,Hypermage,Terrain,2,46,13,2.2804853411433563,237
238,30085,Flow,60,Calyx,Terrain,0,9,8,13.070748761908927,238
239,52467,Flow,12,[BLOOD],Terrain,13,10,11,10.928294719216408,239
240,52067,Flow,25,Arc,Terrain,3,45,13,4.0029440168404,240
241,39789,Flow,57,[NEON],Terrain,24,13,10,11.738505000792715,241
242,27921,Flow,53,Mirage,Terrain,35,4,14,4.159029131314868,242
243,51054,Hyper,62,[SUN],Terrain,26,4,10,41.898831395174305,243
244,36455,Pulse,48,pfpfpfpbbx80,Terrain,8,16,15,31.325320912600464,244
245,45097,Flow,56,Radiant,Terrain,23,15,14,4.5372115960634956,245
246,21336,Flow,72,Dynacrypts,Terrain,12,37,13,4.489086654306953,246
247,37651,Pulse,86,[MENU],Terrain,15,25,11,30.299129725620183,247
248,42290,Flow,22,[BLOOD],Terrain,16,31,11,12.128526738525448,248
249,43301,Flow,17,[SEP],Terrain,12,6,10,10.850274265556026,249
250,40211,Flow,45,Zerinia,Terrain,2,21,7,12.926748771140556,250
251,52507,Hyper,50,[WEN],Terrain,26,19,11,41.196666070271306,251
252,37361,Flow,32,Exduo,Terrain,47,26,14,5.215157613278582,252
253,39636,Flow,38,Blushing,Terrain,22,13,15,13.892952732869782,253
254,45754,Flow,37,Ender,Terrain,10,15,6,12.980744907959126,254
255,52045,Flow,54,Holo,Terrain,23,25,14,2.1484396848116276,255
256,50365,Hyper,58,Royal,Terrain,14,15,5,44.59916133689815,256
257,52270,Flow,32,Venmon,Terrain,6,1,15,12.9747901481777,257
258,48081,Flow,55,Dynacrypts,Terrain,47,42,13,5.8033165665177755,258
259,28957,Pulse,89,Xleph,Terrain,8,14,5,33.92373202599046,259
260,27017,Pulse,49,Riso,Terrain,2,0,14,20.439444022539977,260
261,43150,Pulse,44,Exduo,Terrain,47,46,14,23.40390221395288,261
262,43512,Flow,9,Alto,Terrain,3,8,17,13.328737559227852,262
263,35702,Pulse,17,Akileaf,Terrain,2,22,8,32.60352918587689,263
264,40428,Flow,18,[BOSS],Terrain,24,21,11,12.764678017950107,264
265,19132,Flow,36,Hypermage,Terrain,47,3,13,2.7065801988880867,265
266,35450,Flow,8,Angel,Terrain,4,22,6,13.868972613888515,266
267,42381,Flow,46,Holo,Terrain,11,1,14,0.0,267
268,40979,Hyper,60,Hyphae,Terrain,45,31,14,35.279791215513775,268
269,23283,Hyper,41,Pepo,Terrain,20,19,15,44.25111782038707,269
270,48030,Pulse,48,Hyphae,Terrain,44,15,14,22.083718745620757,270
271,45185,Flow,55,Grove,Terrain,21,4,13,3.120796417575198,271
272,49416,Flow,34,Ender,Terrain,6,6,6,12.524638273328781,272
273,39948,Pulse,65,[WEN],Terrain,21,14,11,29.441014923660386,273
274,45195,Flow,63,Angel,Terrain,3,2,6,12.974783488125704,274
275,53931,Pulse,10,[SEP],Terrain,30,9,10,30.341121878592602,275
276,30050,Pulse,31,Holo,Terrain,19,43,14,21.08135871813673,276
277,30249,Flow,29,Holo,Terrain,4,23,14,1.4823099337351429,277
278,32032,Flow,65,[NEON],Terraform,14,22,10,65.57630479265734,278
279,45163,Flow,55,Arc,Terrain,43,25,13,4.783064398805718,279
280,47819,Flow,56,Arc,Terrain,12,32,13,3.6668542233809625,280
281,52420,Flow,57,Kairo,Terrain,0,3,4,12.914630335917973,281
282,30422,Pulse,55,Kairo,Terrain,11,1,4,31.36121357809587,282
283,37969,Pulse,86,Kairo,Terrain,6,0,2,32.89156246335426,283
284,44083,Pulse,55,Hyphae,Terrain,0,43,14,22.2697678034018,284
285,48225,Flow,51,[NEON],Terrain,2,28,10,11.210387774158102,285
286,52512,Flow,64,Everglades,Terrain,16,19,8,14.096953268469647,286
287,42683,Flow,57,[DARK],Terrain,4,5,11,9.956139031201525,287
288,53171,Pulse,64,Arc,Terrain,4,12,13,20.61350423398,288
289,11494,Flow,50,Holo,Terrain,38,28,14,2.880554420225706,289
290,50973,Flow,41,Exduo,Terrain,28,43,14,5.50923466667485,290
291,46777,Pulse,72,[MENU],Terrain,23,1,11,28.900899162503457,291
292,39897,Flow,60,Calyx,Terrain,12,13,8,13.340794835793593,292
293,45588,Flow,50,Mecha,Terrain,37,5,13,3.474839505469259,293
294,51605,Flow,9,Greysunn,Terraform,7,3,16,67.44850205261889,294
295,51888,Flow,0,Kairo,Terraform,12,11,4,67.82043971489358,295
296,36433,Flow,45,Riso,Terrain,30,3,14,3.2767949369758504,296
297,44252,Pulse,53,Bubble,Terrain,15,2,6,31.037260383137433,297
298,45013,Flow,0,Mecha,Daydream,37,14,13,58.7775396478188,298
299,51943,Pulse,8,Holo,Terrain,13,42,14,20.98537406511135,299
300,15906,Pulse,28,Riso,Terrain,32,19,14,23.277947562016784,300
301,48516,Flow,87,[WEN],Terrain,13,23,11,11.486444315193854,301
302,42054,Flow,14,[YUNA],Terrain,0,12,10,10.850309992377024,302
303,49758,Pulse,69,[BLOOD],Terrain,31,31,11,31.00722559194561,303
304,49707,Pulse,59,Kippsun,Terrain,6,5,8,31.38532206816251,304
305,29301,Pulse,50,Hypermage,Terrain,29,45,13,21.62153382068025,305
306,35036,Flow,68,[MENU],Terrain,18,9,11,11.198348060218716,306
307,38794,Flow,88,[YUNA],Terrain,4,4,10,10.760283130141936,307
308,35762,Pulse,56,Jadeite,Terrain,10,18,7,31.805402820027197,308
309,47300,Flow,87,Aria,Terrain,12,0,9,15.471215220150873,309
310,46245,Flow,72,Rocket,Terrain,3,15,6,13.130842565662029,310
311,39002,Hyper,68,Dread,Terrain,0,7,16,43.363018486066615,311
312,26882,Hyper,33,Shiro,Terrain,32,29,14,35.83190853919142,312
313,25440,Flow,43,[NEON],Terrain,26,17,10,11.750497478794655,313
314,44252,Flow,42,Hyphae,Terrain,31,8,14,4.261025463659277,314
315,45615,Pulse,35,Riso,Terrain,45,28,14,23.781998688337325,315
316,41178,Hyper,30,Hyphae,Terrain,31,41,14,35.52583355598247,316
317,45792,Hyper,75,Nightrose,Terrain,26,14,13,33.599486977221076,317
318,14593,Pulse,45,Riso,Terrain,38,20,14,22.671829861616004,318
319,42400,Flow,87,[HOME],Terrain,24,31,11,13.478849145932848,319
320,23819,Flow,53,Kairo,Terrain,3,1,4,12.596590728784587,320
321,16705,Pulse,90,Xleph,Terrain,0,4,5,33.6716895100836,321
322,31085,Flow,47,Hypermage,Terrain,10,14,13,0.8462028562286044,322
323,20133,Flow,39,Alto,Terrain,3,5,19,14.409031454984275,323
324,35174,Flow,50,Kairo,Terrain,6,7,4,12.596578010641544,324
325,41961,Flow,34,Mirage,Terrain,19,13,14,3.7989574068394982,325
326,42840,Pulse,58,Exduo,Terrain,30,18,14,22.293767297567648,326
327,33372,Hyper,5,[MOON],Terrain,3,0,10,40.06248443215971,327
328,37808,Flow,27,Ender,Terrain,11,16,6,13.316786862996608,328
329,28262,Pulse,63,Kippsun,Terrain,14,18,8,32.27345591805225,329
330,49969,Flow,66,Exduo,Terrain,29,11,14,4.074973984160138,330
331,41467,Flow,52,[NEON],Terrain,8,21,10,10.832311886209956,331
332,33552,Pulse,53,Nightrose,Terrain,6,7,13,19.935357172147114,332
333,51718,Flow,87,Alto,Terrain,6,0,19,14.607060882831204,333
334,36406,Flow,10,[SOON],Terrain,27,17,11,13.44287715732418,334
335,29584,Flow,68,[HYCA],Terrain,18,8,10,11.234375155414098,335
336,38832,Flow,52,Avidana,Terrain,9,14,15,13.19684632086724,336
337,19457,Pulse,44,Shiro,Terrain,24,9,14,22.395821761879382,337
338,52783,Flow,49,Holo,Terrain,11,29,14,1.5902852453979834,338
339,51266,Flow,43,Shiro,Terrain,45,6,14,4.291063282456836,339
340,51449,Pulse,28,Angel,Terrain,15,1,6,31.589351670400482,340
341,46181,Flow,50,Jadeite,Terrain,1,17,7,13.010788177127639,341
342,33897,Flow,69,Holo,Terrain,24,19,14,2.670548260780065,342
343,39347,Pulse,4,Dhampir,Terrain,2,0,9,33.28765159693795,343
344,46595,Pulse,52,Holo,Terrain,1,27,14,19.821195783038135,344
345,45817,Flow,56,Greysunn,Terrain,15,17,16,13.508864559322298,345
346,33584,Flow,50,Hypermage,Terrain,26,30,13,2.988595133329529,346
347,34901,Pulse,52,Kairo,Terrain,7,1,4,31.097169495348943,347
348,29402,Flow,58,Kairo,Terrain,1,8,4,12.956637021685893,348
349,18402,Flow,1,[HYCA],Terrain,0,30,10,11.594446274656276,349
350,35956,Flow,86,Dhampir,Terrain,5,13,9,15.471230357656001,350
351,32001,Hyper,86,Royal,Terrain,12,5,5,45.13321576670875,351
352,37485,Flow,13,[HOME],Terrain,8,18,11,11.876548409012056,352
353,48874,Flow,61,Greysunn,Terrain,1,9,16,13.20279502517541,353
354,49433,Hyper,41,Linosim,Terrain,22,14,15,43.65703559179598,354
355,20360,Flow,44,Shiro,Terrain,36,8,14,4.405069050196352,355
356,44036,Pulse,48,Arc,Terrain,19,38,13,22.017730734855434,356
357,52448,Flow,35,Riso,Terrain,6,10,14,2.8447326082437985,357
