,Identity,Type,Hat,Face,Suit,Base,Back,Origin,Accessory,Mask,Rarity score,Token Id
95,female,Villain,None,â˜€ï¸�,prodigy,magma,cat tail,uranus,None,None,27.482943200567185,96
96,male,Villain,western,ğŸ’¡,zone,graffiti,acid launcher,uranus,ice earring,None,57.945923067434144,97
97,female,Villain,hazel,ğŸ’ª,warp,whiteout,shield,saturn,None,None,30.021637645069614,98
98,male,Hero,pompadour,ğŸŒ�,DAO,human,None,uranus,None,None,33.26490920919247,99
99,male,Hero,None,â�±ï¸�,athena,human,blades,saturn,None,None,27.834989582727538,100
100,male,Villain,dreadlocks,ğŸ§ª,DAO,snake,demon wings,jupiter,gold earring,None,48.949884320718866,101
101,male,Villain,leprechaun,ğŸ’¡,haste,diamond,cape,uranus,None,None,30.105797768719317,102
102,male,Villain,acid washed,â�±ï¸�,zone,jelly,None,jupiter,None,None,14.7595747196984,103
103,female,Villain,None,ğŸ�­,array,gold,None,neptune,None,None,22.577416496621144,104
104,female,Villain,red waves,ğŸ‘½,beam,human,None,jupiter,None,None,16.09376677670758,105
105,male,Hero,None,None,sly,alien,None,jupiter,None,alien,56.03951453074263,106
106,female,Villain,red waves,ğŸ§ ,molten,leopard,staff,earth,ice earring,None,67.10926224958982,107
107,male,Villain,leprechaun,ğŸ¤ ,warp,ruby,blades,mars,None,None,33.89083031272386,108
108,male,Hero,None,â�±ï¸�,beam,magma,bionic vertebrae,jupiter,None,None,31.934840967966938,109
109,male,Hero,slick blonde,ğŸ’¡,sheath,emerald,cat tail,uranus,None,None,46.81838010847431,110
110,male,Hero,classy,ğŸ§ ,sly,chrome,None,saturn,None,None,33.28176023838553,111
111,male,Villain,hazel,â˜€ï¸�,prodigy,human,cat tail,jupiter,None,None,15.598778507144234,112
112,female,Hero,red waves,â�„ï¸�,shift,human,cape,earth,gold earring,None,76.04516245926985,113
113,female,Villain,dreadlocks,ğŸ�±,cove,galaxy,demon wings,jupiter,None,None,29.11951715596444,114
114,male,Hero,western,ğŸ�š,kendo,sherbet,demon wings,uranus,pearl earring,None,72.4750159166921,115
115,female,Villain,None,None,aero,alien,None,uranus,None,alien,51.59218584203662,116
116,male,Villain,fringe,ğŸ’¡,spectre,bones,None,saturn,silver earring,None,41.74098390347788,117
117,female,Villain,classy,â�±ï¸�,argot,human,demon wings,neptune,None,None,30.25653255875219,118
118,male,Villain,None,ğŸ¦„,sheath,human,shotgun,uranus,None,None,14.97365040087387,119
119,female,Villain,headband red,ğŸ�€,candy,magma,shotgun,neptune,None,None,36.91601101147396,120
120,male,Villain,fringe,âš”ï¸�,smog,sherbet,cat tail,neptune,None,None,30.11419848800686,121
121,female,Villain,red waves,ğŸ�€,prodigy,galaxy,bionic vertebrae,jupiter,None,None,28.92641209625174,122
122,male,Villain,None,ğŸŒ�,spectre,chrome,staff,jupiter,None,None,13.391516477265201,123
123,female,Villain,sleek,â�±ï¸�,warp,anatomy,None,jupiter,None,None,19.35442861185037,124
124,male,Villain,None,None,shimmer,human,None,jupiter,None,sly,33.41947137451974,125
125,male,Villain,classy,ğŸ’¡,sheath,human,None,jupiter,None,None,7.5665655083291306,126
126,female,Hero,red waves,ğŸ¥‹,kendo,gold,shotgun,uranus,None,None,51.02666146571438,127
127,male,Villain,headband red,âš¡,sheath,human,cape,saturn,ice earring,None,43.587248503910565,128
128,male,Villain,pompadour,â˜€ï¸�,array,human,shotgun,earth,None,None,25.934638499047537,129
129,female,Hero,classy,ğŸ‘½,sly,snake,shotgun,jupiter,None,None,43.82221938190838,130
130,male,Villain,acid washed,ğŸ’ª,sheath,bubblegum,bionic vertebrae,saturn,None,None,25.10798143251235,131
131,female,Villain,None,â�±ï¸�,aero,human,cape,jupiter,None,None,12.778608480487433,132
132,female,Villain,None,ğŸ’ª,warp,human,blades,jupiter,None,None,13.575960673147472,133
133,female,Villain,None,ğŸ—¡ï¸�,prodigy,snake,DAO broadsword,uranus,glass earring,None,55.27727822181372,134
134,female,Villain,long blonde,ğŸ�š,array,human,None,jupiter,None,None,16.639320267546037,135
135,male,Villain,frosted hood,â˜�ï¸�,aero,graffiti,None,saturn,None,None,17.663574037901817,136
136,female,Hero,None,â˜�ï¸�,charm,bones,shield,saturn,None,None,40.88085426188401,137
137,male,Villain,pompadour,â˜€ï¸�,array,chrome,shotgun,mars,None,None,31.037349782130924,138
138,male,Villain,None,None,noxious,magma,shotgun,uranus,None,argot,51.475194239894314,139
139,female,Villain,None,None,molten,alien,cape,jupiter,None,alien,51.61322929019221,140
140,male,Villain,leprechaun,ğŸ‘»,noxious,magma,None,neptune,silver earring,None,48.34979585769691,141
141,female,Hero,None,None,aero,alien,None,saturn,None,alien,62.81545392842273,142
142,male,Villain,None,â›½,noxious,bubblegum,None,jupiter,None,None,5.867050069430365,143
143,female,Villain,acid washed,ğŸ’�,shift,human,demon wings,venus,None,None,35.04038137977749,144
144,female,Villain,sleek,âš¡,prodigy,human,shotgun,saturn,None,None,22.753472657666553,145
145,male,Villain,fringe,ğŸ�š,spectre,sherbet,shotgun,jupiter,None,None,18.796542097129613,146
146,female,Villain,headband blonde,ğŸ’�,noxious,chrome,staff,neptune,None,None,36.52164237755079,147
147,male,Villain,hazel,â˜€ï¸�,synapse,leopard,shield,jupiter,glass earring,None,48.857535059369525,148
148,male,Villain,fringe,â˜�ï¸�,prodigy,emerald,shotgun,jupiter,None,None,20.575845825975172,149
149,male,Villain,classy,ğŸ¤ ,sheath,graffiti,None,jupiter,None,None,13.05992842152941,150
150,female,Villain,western,ğŸ�š,beam,chrome,None,saturn,None,None,23.101844212342183,151
151,male,Villain,None,â›½,shard,whiteout,demon wings,jupiter,None,None,15.447893348392775,152
152,female,Villain,None,ğŸ‘�ï¸�,kendo,chrome,cape,jupiter,None,None,17.205960494095557,153
153,male,Villain,None,ğŸŒ�,karat,human,shotgun,saturn,None,None,10.10565198407192,154
154,male,Hero,pompadour,âš¡,synapse,chrome,cape,jupiter,None,None,37.48631975849698,155
155,female,Villain,acid washed,ğŸ‘»,warp,bones,None,saturn,None,None,22.900448726150806,156
156,female,Villain,None,None,lone,leopard,None,jupiter,None,karat,43.24656597427324,157
157,female,Villain,classy,ğŸ�±,prodigy,emerald,cat tail,jupiter,None,None,27.33182115179458,158
158,male,Villain,headband red,ğŸ�š,warp,graffiti,None,saturn,None,None,16.509505508217963,159
159,male,Villain,sleek,â�„ï¸�,zone,graffiti,None,uranus,feather earring,None,47.6742856418736,160
160,female,Hero,pompadour,ğŸ’¡,DAO,snow leopard,cat tail,neptune,None,None,53.39744243546674,161
161,male,Villain,None,ğŸ¥‹,array,emerald,staff,neptune,gold earring,None,51.0060928323953,162
162,male,Villain,slick blonde,ğŸ¤ ,DAO,human,cape,jupiter,None,None,16.035277335660368,163
163,male,Villain,red waves,ğŸ¦„,beam,magma,staff,saturn,None,None,25.926275779185797,164
164,male,Villain,hazel,ğŸ�š,sheath,human,None,saturn,feather earring,None,35.34178769176583,165
165,female,Villain,None,None,spectre,chrome,None,neptune,None,karat,50.40074521159479,166
166,male,Villain,tribal,ğŸ¦„,lone,bubblegum,shotgun,neptune,None,None,29.295879860327396,167
167,male,Villain,dreadlocks,ğŸ‘�ï¸�,haste,human,None,jupiter,None,None,9.526397508539151,168
168,female,Villain,sleek,ğŸ’�,zone,gold,cape,uranus,None,None,33.11423455126479,169
169,female,Villain,classy,ğŸ’¡,sly,symbols,None,neptune,None,None,28.917992916867192,170
170,male,Villain,fox,ğŸŒ�,molten,human,blades,uranus,None,None,25.674496065231033,171
171,male,Villain,None,â�±ï¸�,spectre,ruby,None,jupiter,None,None,5.963562763422383,172
172,female,Hero,fringe,ğŸ¥‹,kendo,graffiti,None,jupiter,None,None,37.058082882821914,173
173,male,Hero,None,ğŸ�±,charm,graffiti,cape,jupiter,None,None,29.752775802516652,174
174,female,Villain,dreadlocks,ğŸ—¡ï¸�,noxious,human,shotgun,saturn,None,None,22.967505625262007,175
175,male,Villain,fringe,âš¡,kendo,human,cape,saturn,None,None,15.896777445758303,176
176,female,Hero,sleek,ğŸ‘»,shift,emerald,cape,mercury,ice earring,None,81.67564189155489,177
177,female,Hero,fringe,ğŸ—¡ï¸�,spectre,human,bionic vertebrae,jupiter,void earring,None,64.88893393356346,178
178,male,Villain,western,ğŸ�š,kendo,chrome,None,jupiter,None,None,13.697747807599928,179
179,female,Villain,red waves,ğŸ§ ,noxious,chrome,DAO broadsword,jupiter,silver earring,None,54.7400526799715,180
180,male,Villain,headband red,ğŸ�€,kendo,diamond,DAO broadsword,saturn,None,None,26.946045826813464,181
181,male,Hero,classy,ğŸŒ�,DAO,anatomy,cat tail,saturn,None,None,40.04596531819636,182
182,female,Villain,western,ğŸ¦„,argot,jelly,DAO broadsword,jupiter,None,None,32.48075271631453,183
183,male,Villain,None,â�±ï¸�,zone,magma,shotgun,uranus,feather earring,None,45.08958353479202,184
184,male,Villain,hazel,âš¡,noxious,human,None,jupiter,None,None,7.751239780255858,185
185,female,Villain,None,â˜�ï¸�,None,magma,None,jupiter,None,None,13.794227252978402,186
186,female,Villain,tribal,âš”ï¸�,kendo,symbols,cape,uranus,None,None,34.42769078325706,187
187,male,Hero,pompadour,ğŸ‘�ï¸�,zone,graffiti,cape,jupiter,None,None,36.49178035138673,188
188,female,Villain,fringe,â˜€ï¸�,prodigy,human,blades,saturn,None,None,23.848750974565412,189
189,female,Villain,sleek,ğŸŒ�,spectre,snow leopard,cat tail,jupiter,None,None,27.046465495101806,190
190,female,Villain,red waves,ğŸŒ�,noxious,chrome,cape,jupiter,feather earring,None,50.741284216075975,191
191,female,Villain,None,ğŸ—¡ï¸�,array,ruby,blades,saturn,void earring,None,49.09245159870708,192
192,female,Villain,classy,âš”ï¸�,candy,snow leopard,shotgun,jupiter,None,None,27.080009779607966,193
193,male,Villain,western,ğŸ‘½,kendo,diamond,staff,uranus,ice earring,None,58.61305578419105,194
194,male,Hero,sleek,â›½,strobe,gold,bionic vertebrae,saturn,None,None,41.94259937573342,195
195,female,Villain,None,â˜€ï¸�,shimmer,snow leopard,bionic vertebrae,jupiter,ice earring,None,47.57354040108692,196
196,female,Villain,fox,ğŸ‘�ï¸�,spectre,chrome,bionic vertebrae,saturn,feather earring,None,55.44072650671834,197
197,male,Villain,bleached,ğŸ‘»,spectre,gold,None,jupiter,None,None,15.204427299290025,198
198,male,Hero,headband blonde,ğŸ�±,surge,leopard,cat tail,neptune,None,None,48.28286553729217,199
199,male,Villain,classy,ğŸ‘»,kendo,human,None,earth,None,None,18.024368825844803,200
200,male,Villain,None,None,lone,alien,None,neptune,None,surge,46.087453334555036,201
201,female,Villain,classy,ğŸŒ�,beam,human,None,saturn,pearl earring,None,42.63443618971717,202
202,male,Hero,fringe,âš”ï¸�,shimmer,snake,shotgun,jupiter,None,None,37.20935795861093,203
203,male,Hero,hazel,ğŸ’ª,argot,ruby,None,saturn,None,None,33.89441495239401,204
204,female,Villain,fringe,ğŸ‘»,sheath,human,DAO broadsword,jupiter,None,None,22.64447234903311,205
205,male,Villain,slick blonde,ğŸŒ�,warp,human,blades,mars,None,None,27.24809789241334,206
206,male,Hero,classy,ğŸŒ�,noxious,sherbet,shotgun,uranus,None,None,43.323056575614316,207
207,female,Villain,None,ğŸ’�,rime,human,blades,neptune,void earring,None,48.773509982729976,208
208,male,Villain,bleached,ğŸ—¡ï¸�,zone,gold,blades,saturn,None,None,24.902384527630915,209
209,female,Villain,classy,ğŸ’ª,array,emerald,None,jupiter,None,None,19.98813576101184,210
210,male,Villain,pompadour,ğŸ�±,smog,snow leopard,None,jupiter,feather earring,None,41.4305717250989,211
211,female,Villain,leprechaun,âš¡,kendo,bubblegum,staff,uranus,feather earring,None,63.110694259009705,212
212,male,Villain,pompadour,â›½,warp,leopard,demon wings,uranus,None,None,27.164134551049763,213
213,female,Villain,None,ğŸ�š,array,chrome,None,jupiter,glass earring,None,38.30429438469919,214
214,male,Villain,None,ğŸ�±,shimmer,human,blades,neptune,None,None,16.857865427381718,215
215,male,Hero,fortune,âš¡,lone,snake,acid launcher,jupiter,None,None,41.15801339728624,216
216,male,Hero,None,â›½,kendo,chrome,shotgun,jupiter,None,synapse,58.855226744485144,217
217,male,Villain,headband red,âš”ï¸�,shift,diamond,cat tail,uranus,None,None,32.233353800075115,218
218,female,Villain,western,ğŸ‘�ï¸�,warp,leopard,None,saturn,None,None,21.77993555494499,219
219,male,Villain,None,ğŸŒ�,charm,snow leopard,blades,saturn,None,None,16.425635024459247,220
220,female,Villain,pompadour,ğŸ’�,zone,leopard,DAO broadsword,saturn,None,None,29.387939455205732,221
221,female,Villain,classy,âš¡,aero,human,cape,venus,pearl earring,None,56.783287673876714,222
222,female,Hero,mowhawk,â�„ï¸�,warp,leopard,blades,saturn,None,None,47.46433906066274,223
223,female,Villain,red waves,âš¡,spectre,chrome,blades,saturn,None,None,27.403050437365007,224
224,female,Hero,western,ğŸ’ª,DAO,human,cat tail,venus,None,None,51.29105121810432,225
225,male,Villain,None,ğŸ’�,zone,snake,staff,neptune,None,None,21.7341822426387,226
226,male,Villain,None,â�±ï¸�,noxious,graffiti,demon wings,saturn,None,None,15.405880804857189,227
227,female,Hero,pompadour,â˜�ï¸�,prodigy,snake,shotgun,jupiter,None,None,43.234718791814984,228
228,female,Villain,hazel,ğŸ‘�ï¸�,kendo,snake,DAO broadsword,saturn,void earring,None,55.51208296701265,229
229,male,Villain,headband red,ğŸ‘½,sheath,emerald,None,neptune,None,None,23.924614349342985,230
230,male,Villain,dreadlocks,â�±ï¸�,charm,jelly,staff,saturn,None,None,25.422683643103717,231
231,female,Villain,hazel,â˜�ï¸�,athena,alien,blades,saturn,None,None,30.151752652903724,232
232,female,Hero,fringe,âš¡,warp,anatomy,shield,mars,None,None,56.380725635834715,233
233,female,Villain,aqua waves,ğŸŒ�,warp,snow leopard,bionic vertebrae,neptune,None,None,37.193036653471815,234
234,male,Villain,hazel,ğŸ’ª,zone,chrome,staff,jupiter,None,None,20.491851369060303,235
235,male,Villain,None,â�„ï¸�,noxious,graffiti,shotgun,jupiter,None,None,13.013883847537672,236
236,female,Hero,None,ğŸ’¡,prodigy,human,None,jupiter,gold earring,None,50.79954050533887,237
237,male,Villain,None,ğŸ—¡ï¸�,kendo,human,staff,jupiter,None,None,9.362866423536351,238
238,male,Villain,fringe,â›½,rime,diamond,shield,saturn,None,None,25.00730320858942,239
239,female,Hero,aqua waves,ğŸ�±,spectre,galaxy,demon wings,saturn,None,None,47.31328030578141,240
240,female,Villain,leprechaun,ğŸ’¡,ash,alien,bionic vertebrae,saturn,None,None,33.12700816327205,241
241,female,Hero,None,None,charm,alien,None,saturn,None,alien,63.3609077041261,242
242,male,Hero,None,âš¡,aero,bubblegum,None,saturn,None,None,25.29213595744449,243
243,female,Hero,hazel,âš¡,rime,graffiti,shotgun,jupiter,feather earring,None,69.14765650167509,244
244,male,Villain,fortune,â›½,noxious,alien,None,uranus,None,None,22.65319017893928,245
245,male,Villain,None,None,shimmer,alien,staff,neptune,None,alien,55.339449468576326,246
246,male,Villain,bleached,âš¡,kendo,bubblegum,shotgun,saturn,None,None,23.488212615913437,247
247,male,Villain,fringe,â˜�ï¸�,sheath,human,shotgun,neptune,None,None,21.931231751250518,248
248,male,Hero,slick blonde,â�±ï¸�,spectre,bubblegum,None,saturn,None,None,32.85790468583819,249
249,female,Hero,tribal,ğŸ�š,charm,sherbet,None,saturn,None,None,39.437252956329175,250
250,male,Villain,None,ğŸŒ�,zone,graffiti,cape,uranus,None,None,19.43029777630099,251
251,male,Villain,sleek,ğŸ’�,spectre,human,None,saturn,silver earring,None,35.45510707904601,252
252,male,Villain,slick blonde,ğŸ’ª,sheath,human,cat tail,uranus,None,None,23.718935668549154,253
253,male,Villain,red waves,ğŸ§ ,spectre,bones,None,jupiter,None,None,14.352497906732948,254
254,male,Villain,None,ğŸ�š,warp,symbols,None,neptune,None,strobe,45.29046731931051,255
255,male,Villain,sleek,ğŸŒ�,warp,bones,demon wings,saturn,None,None,22.808308404357806,256
256,female,Villain,tribal,ğŸ‘�ï¸�,ash,human,None,saturn,glass earring,None,44.81227514355531,257
257,male,Villain,pompadour,ğŸ‘�ï¸�,athena,human,None,saturn,None,None,11.419029082242279,258
258,female,Villain,None,ğŸ�€,zone,leopard,cape,jupiter,None,zone,49.48207917459156,259
259,female,Villain,fringe,ğŸ’¡,zone,magma,cape,earth,feather earring,None,62.34284375133051,260
260,male,Hero,None,None,candy,alien,blades,saturn,None,alien,65.43807314960999,261
261,male,Villain,headband red,ğŸ§ª,spectre,magma,None,uranus,silver earring,None,49.19325857241228,262
262,male,Villain,red waves,ğŸ‘½,charm,snake,cape,jupiter,None,None,20.693372436706003,263
263,male,Villain,None,None,zone,ruby,None,jupiter,None,karat,38.0352262958366,264
264,female,Hero,bleached,ğŸŒ�,charm,magma,staff,jupiter,ice earring,None,73.54899596102426,265
265,female,Hero,None,ğŸ’�,sheath,whiteout,demon wings,jupiter,None,None,36.78965157831314,266
266,female,Villain,acid washed,ğŸ—¡ï¸�,aero,leopard,None,saturn,None,None,22.657005349461212,267
267,male,Villain,fringe,ğŸ’ª,shimmer,bubblegum,bionic vertebrae,saturn,pearl earring,None,50.65756568298973,268
268,male,Villain,None,ğŸ’�,synapse,magma,shotgun,jupiter,None,None,13.236284280443972,269
269,female,Villain,red waves,â�„ï¸�,spectre,human,None,jupiter,None,None,14.32697334811822,270
270,male,Villain,red waves,ğŸ§ ,noxious,human,None,uranus,silver earring,None,42.8949315966261,271
271,male,Villain,acid washed,ğŸ¤ ,spectre,human,shotgun,venus,None,None,26.710973613359485,272
272,male,Villain,fox,â�±ï¸�,DAO,snow leopard,None,saturn,feather earring,None,43.22224490378542,273
273,female,Villain,None,ğŸ‘�ï¸�,synapse,magma,cape,saturn,None,None,21.650047428070547,274
274,female,Villain,sleek,ğŸ’ª,matta,sherbet,shield,uranus,None,None,37.390240750838956,275
275,female,Villain,fringe,â�±ï¸�,kendo,bubblegum,cat tail,uranus,ice earring,None,60.635147616986195,276
