,Background,Pattern,Skin,Clothes,Nose,Eyes,Hat,Type,Tattoo,Mouth,Skeleton,Goldchain,Rarity score,Token Id
35,Aquamarine,None,Rainbow,Denim Overalls,Normal,Cyclop's Glasses,Bandana Blue,Skeleton,None,None,None,None,18.239237978424626,35
36,Grey,None,None,Denim Overalls,Normal,Happy Eyes,Dread Long Dark,Skeleton,Small Tattoos,None,None,Gold Chain Skull,39.10876548063577,36
37,Light Red,Flower Pattern,Black,Roman Soldier Armor,Normal,Heart Eyes,Rick Hair,Skeleton,None,None,None,None,18.82433437446289,37
38,Aquamarine,Aztec Patterns,Rainbow,Dress Blue,Normal,Retro Cartoon Eyes,Biker Helmet Black Spikes POM,Skeleton,None,None,None,None,17.73831028450506,38
39,Grey,None,Rainbow,Hoodie Pink CM,Normal,Bored Eyes,None,Skeleton,None,None,None,None,12.657384367876103,39
40,Beige,None,None,Sweater Pink CM,Normal,Happy Eyes,Metal Spikes Mohawk,Robot,None,None,None,None,25.42431503446516,40
41,Green,Flower Pattern,Black,None,Normal,Cool Shades,Arrow,Skeleton,None,None,None,None,18.486590099492727,41
42,Beige,None,None,Freedy Tank Top,Normal,Aviator Glasses,Knitted Beanie Red,Zombie,Big Tattoos,None,None,None,36.92750129890311,42
43,Grey,Aztec Patterns,Red,Work Outfit Red,Normal,Sad Eyes,None,Skeleton,None,None,None,None,10.779143748339164,43
44,Aquamarine,Aztec Patterns,None,T Grey POM,Normal,Bloodshot,Vietnam Era Helmet,Devil,Big Tattoos,None,None,None,40.712665818852656,44
45,Beige,None,None,T Grey POM,Normal,Dead Eyes,Beret Green,Skeleton,Big Tattoos,None,None,None,16.8008732530907,45
46,Blue,Aztec Patterns,Red,T Grey POM,Normal,Happy Eyes,None,Skeleton,Small Tattoos,None,None,None,19.12967315225368,46
47,Beige,None,None,Freedy Tank Top,Normal,Heart Eyes,Sombrero,Skeleton,Small Tattoos,None,None,Gold Chain Skull,41.56607243103201,47
48,Aquamarine,None,Blue,Dress Blue,Normal,Regular Glasses,Dread Long Dark,Skeleton,None,Cigarette,None,None,34.61343486553577,48
49,Blue,None,Yellow,Armor Blue,Normal,Exasperated Eyes,Sport Headband,Skeleton,None,None,None,None,12.168134090658862,49
50,Light Red,None,None,Bathrobe White,Normal,Bloodshot,Pirate Hat CM,Gold,None,None,None,None,29.136748307379246,50
51,Grey,None,None,Italian Plumber Oufit,Normal,Crazy Eyes,Feather,Skeleton,Big Tattoos,None,Painted Skeleton,Gold Chain GM,58.62918617603003,51
52,Green,Aztec Patterns,Yellow,King Robe,Clown,Regular Glasses,Knitted Beanie Orange,Skeleton,Small Tattoos,None,None,None,53.764209659867326,52
53,Green,None,None,Denim Overalls,Normal,Pirate Patch Peaceful,None,Robot,None,None,None,None,24.792453010121974,53
54,Grey,Flower Pattern,None,Fake Shaolin Outfit,Normal,Happy Eyes,Sport Headband,Devil,Big Tattoos,None,None,None,38.18839990943146,54
55,Beige,None,None,Bandana Blue,Normal,Cyclop Eye,Moon,OpenSkull,None,Cigarette,None,Gold Chain Skull,73.75788632571992,55
56,Beige,None,None,Badass Leather Jacket,Normal,Dead Eyes,Flower Blue,Zombie,Small Tattoos,None,None,None,35.17183464270917,56
57,Light Red,None,Blue,Rick Outfit,Normal,Retro Cartoon Eyes,None,Skeleton,Big Tattoos,None,None,Gold Chain GM,44.21506325836541,57
58,Light Red,None,Blue,Sheriff Outfit,Normal,Happy Eyes,None,Skeleton,Small Tattoos,None,None,None,17.548738040699934,58
59,Aquamarine,None,None,Sweater Green CM,Normal,Bored Eyes,Savage Hair Red,Devil,Big Tattoos,None,None,None,38.41546958688164,59
60,Purple,Aztec Patterns,None,Badass Leather Jacket,Normal,Crazy Eyes,Viking Helmet,Skeleton,None,None,None,None,9.792536239969614,60
61,Aquamarine,Aztec Patterns,None,Rick Outfit,Normal,Cyclop's Glasses,Manga Hair  Purple,Zombie,None,None,None,None,29.58488351204856,61
62,Green,Flower Pattern,Blue,Dress Blue,Normal,Heart Eyes,None,Skeleton,Big Tattoos,None,None,None,22.02679599977658,62
63,Light Orange,Flower Pattern,Red,Tank Top Grey POM,Normal,Happy Eyes,None,Skeleton,Small Tattoos,None,None,None,18.90256270668285,63
64,Light Red,None,None,T Grey POM,Normal,Happy Eyes,Flower Crown Pink,Devil,None,Cigarette,None,None,46.04308698756529,64
65,Beige,Aztec Patterns,Red,None,Normal,Exasperated Eyes,Musician Hat,Skeleton,Small Tattoos,None,None,None,24.14359556339188,65
66,Green,Flower Pattern,None,Hoodie Pink CM,Normal,Crazy Eyes,Biker Helmet Green Goggles,Skeleton,None,None,None,None,8.843241219986158,66
67,Beige,None,None,Sheriff Outfit,Normal,Aviator Glasses,Party Hat,Skeleton,None,None,Painted Skeleton,None,20.748914211235153,67
68,Green,Flower Pattern,None,Tank Top Blue B&B,Clown,Happy Eyes,Musician Hat,Skeleton,None,Cigarette,None,None,55.30726959449811,68
69,Green,Aztec Patterns,Blue,Sweater Green CM,Normal,Happy Eyes,Kitty Red Bow,Skeleton,Big Tattoos,Tongue,None,None,46.69568427327026,69
70,Green,Flower Pattern,Yellow,Bathrobe White,Normal,Bloodshot,Vietnam Era Helmet,Skeleton,None,None,None,None,14.887600370782097,70
71,Green,None,None,Hoodie Green B&B,Normal,Cute Eyes,None,Zombie,Big Tattoos,Cigarette,None,None,54.258524023164846,71
72,Light Orange,Flower Pattern,Blue,Samurai Blue,Normal,Strider Glasses,Vietnam Era Helmet,Skeleton,None,Cigarette,None,None,37.14924277577929,72
73,Aquamarine,Flower Pattern,Blue,Hoodie Pink CM,Normal,Dead Eyes,Headband Red,Skeleton,None,None,Painted Skeleton,None,29.25590386395807,73
74,Beige,Flower Pattern,None,Leather Jacket,Normal,Dead Eyes,Laurel Wreath,Zombie,Small Tattoos,None,None,None,37.768976555843395,74
75,Blue,Aztec Patterns,Aquamarine,Freedy Tank Top,Normal,Happy Eyes,Bowler Hat,Skeleton,None,None,None,None,16.122233078931533,75
76,Light Orange,Aztec Patterns,Red,T Pink B&B,Normal,Retro Cartoon Eyes,Sushi Chef Headband,Skeleton,None,None,Painted Skeleton,None,27.48275252554152,76
77,Purple,Flower Pattern,Yellow,Hoodie Black POM,Normal,Dead Eyes,Biker Helmet Black Spikes POM,Skeleton,Big Tattoos,None,None,None,26.714586611297676,77
78,Light Red,None,Yellow,Clown Outfit,Normal,Cool Shades,Musician Hat,Skeleton,Small Tattoos,None,None,None,23.948685563173754,78
79,Green,None,Black,Dress Blue,Normal,Bloodshot,Knitted Beanie Red,Skeleton,None,None,None,None,15.350769379883477,79
80,Green,None,None,T Grey POM,Normal,Retro Cartoon Eyes,Headband Red,Skeleton,Small Tattoos,None,None,None,14.561713211292137,80
81,Grey,None,Red,Bathrobe Pink,Normal,Happy Eyes,Laurel Wreath,Skeleton,Small Tattoos,None,None,None,21.38635924293179,81
82,Beige,None,Black,Bandana Red,Normal,Laser Eyes,Flower Blue,Skeleton,Small Tattoos,None,None,None,26.79631199283306,82
83,Beige,None,Blue,Bandana Blue,Normal,Cool Shades,Ninja Balaclava,Skeleton,Big Tattoos,None,None,None,24.193238173825677,83
84,Light Orange,None,Yellow,Rick Outfit,Normal,Retro Cartoon Eyes,Clown Hair Blue,Skeleton,None,None,None,None,11.084988730106158,84
85,Green,None,None,Dress Pink,Normal,Heart Eyes,Halo,Zombie,None,None,None,None,25.60172084643235,85
86,Light Red,Flower Pattern,None,Bandana Red,Normal,Angry Eyes,Mummy,Zombie,None,None,None,None,27.724326799312877,86
87,Aquamarine,Flower Pattern,None,Fake Shaolin Outfit,Normal,Pirate Patch Peaceful,Manga Hair  Dark,Skeleton,None,None,Painted Skeleton,None,23.453763453697867,87
88,Blue,None,Red,Hoodie Grey CM,Normal,Sad Eyes,Knitted Beanie Orange,Skeleton,None,None,None,None,12.27006650030394,88
89,Light Orange,Aztec Patterns,Rainbow,Tank Top Pink CM,Normal,Cute Eyes,Clown Hair Blue,Skeleton,None,None,None,None,19.33393844278843,89
90,Aquamarine,None,None,Bandana Red,Normal,Exasperated Eyes,Cap B&B Purple,Zombie,Small Tattoos,None,None,None,35.829846083464986,90
91,Blue,Aztec Patterns,None,Sweater Pink CM,Normal,Cute Spider Eyes,Metal Spikes Mohawk,Skeleton,Big Tattoos,None,Painted Skeleton,None,34.68059736812504,91
92,Beige,None,Blue,Admirals Coat Red,Normal,Square Shades,Bucket Hat CM+B&B,Skeleton,None,None,Painted Skeleton,None,27.93713912898025,92
93,Purple,Flower Pattern,Aquamarine,Pharaoh Neckless,Normal,Pirate Patch Exasperated,Cocktail ,OpenSkull,Small Tattoos,None,Painted Skeleton,None,66.88239735662147,93
94,Beige,None,None,Hoodie Blue B&B,Normal,Retro Cartoon Eyes,Top Hat,Devil,None,None,Painted Skeleton,None,39.711041681322314,94
95,Grey,None,Yellow,T Pink B&B,Normal,Happy Eyes,Headband Red,Skeleton,None,None,None,None,9.585385815180949,95
96,Aquamarine,None,Yellow,Hoodie Red CM,Normal,Pirate Patch Evil Morty,Manga Hair  Blue,Skeleton,None,None,None,None,13.97057016229063,96
97,Light Red,None,Blue,Rick Outfit,Normal,Cyclop Eye,Knitted Beanie Red,Skeleton,Small Tattoos,None,None,Gold Chain Skull,47.19052717325573,97
98,Light Red,Aztec Patterns,Yellow,Work Outfit Blue,Normal,Cute Eyes,Bandana Dark,Skeleton,Small Tattoos,Cigarette,None,None,46.832505083421545,98
99,Blue,Flower Pattern,Blue,Sweater Pink CM,Normal,Bored Eyes,Dread Long Dark,Skeleton,Small Tattoos,None,None,None,25.593606545937607,99
100,Purple,Aztec Patterns,Blue,Dress Blue,Normal,Retro Cartoon Eyes,Clown Hair Blue,Skeleton,Big Tattoos,None,None,None,25.319941620002957,100
101,Light Orange,None,None,Dress Blue,Normal,Dia De Los Muertos Eyes,Flower Crown Blue,Zombie,None,None,None,None,26.265610902008085,101
102,Green,Flower Pattern,Red,Sweater Pink CM,Normal,Happy Eyes,Beret Green,Skeleton,None,None,None,None,12.430056056322528,102
103,Purple,None,None,Butler Outfit,Normal,Pirate Patch Bloodshot,Mummy,Zombie,None,None,None,None,27.44772752177511,103
104,Grey,Aztec Patterns,None,Astro Orange,Normal,Spider Eyes,Metal Spikes,Devil,Big Tattoos,None,None,None,42.19172008579692,104
105,Aquamarine,None,None,Hoodie Pink CM,Normal,Angry Eyes,Workers Hard Hat,Skeleton,None,Cigarette,None,None,27.917234684841937,105
106,Blue,None,None,Work Outfit Blue,Normal,Cute Eyes,Deer Horns,Skeleton,None,None,None,None,7.070044748456826,106
107,Grey,None,Aquamarine,Fake Shaolin Outfit,Normal,Bloodshot,Feather,Skeleton,Big Tattoos,Tongue,None,None,48.37866070461877,107
108,Beige,None,Blue,Dress Pink,Normal,Retro Cartoon Eyes 2,Devil Horns,Skeleton,None,Tongue,None,Gold Chain GM,61.44706606240579,108
109,Purple,None,Blue,Sweater Pink CM,Normal,Strider Glasses,Metal Spikes,Skeleton,Big Tattoos,None,None,None,25.325870037332894,109
110,Green,Aztec Patterns,None,Bandana Red,Normal,Heart Eyes,Clown Hair Red,Zombie,None,None,None,None,27.846596696139247,110
111,Blue,None,Yellow,None,Normal,Bloodshot,Dread Short Blond,Skeleton,None,None,Painted Skeleton,None,26.763720445593524,111
112,Grey,Aztec Patterns,None,Hoodie Green B&B,Normal,Happy Eyes,Party Hat,Skeleton,Big Tattoos,None,None,None,17.182269679902447,112
113,Grey,None,Rainbow,DBZ Outfit,Normal,Cyclop Eye,None,Skeleton,Big Tattoos,None,None,None,24.065171499013445,113
114,Light Red,None,Aquamarine,T Grey POM,Normal,Rick Eyes,Kitty Red Bow,Skeleton,None,None,None,None,15.69143024944931,114
115,Aquamarine,None,Yellow,None,Normal,Cute Spider Eyes,Dread Long Red,Skeleton,None,None,Painted Skeleton,None,27.721674364765082,115
116,Light Orange,Flower Pattern,Aquamarine,Tank Top Grey POM,Normal,Thug Life Glasses,Roman Helmet,Skeleton,None,None,None,None,18.03233832709625,116
117,Grey,None,Blue,Hoodie Black POM,Normal,Exasperated Eyes,None,Skeleton,None,None,Painted Skeleton,None,22.474868895932616,117
118,Purple,Aztec Patterns,None,Pharaoh Neckless,Normal,Heart Eyes,Bucket Hat Flower,Zombie,None,None,None,None,28.985055625067808,118
119,Grey,Aztec Patterns,None,T Pink B&B,Normal,Pirate Patch Exasperated,None,Zombie,None,None,None,None,23.878043774156534,119
120,Aquamarine,Flower Pattern,Black,Sheriff Outfit,Normal,Heart Eyes,Party Hat,Skeleton,Big Tattoos,Special Cigarette,Painted Skeleton,None,67.52842797369196,120
121,Grey,Flower Pattern,Yellow,Tank Top Blue B&B,Normal,Happy Eyes,Basquat Crown,Skeleton,None,None,None,None,12.351468896716751,121
122,Light Orange,Flower Pattern,Blue,Fake Shaolin Outfit,Normal,Pirate Patch Bloodshot,Party Hat,Skeleton,None,Cigarette,None,None,36.11855030630519,122
123,Light Orange,None,Red,Badass Leather Jacket,Normal,Happy Eyes,Savage Hair Dark,Skeleton,Big Tattoos,None,Painted Skeleton,None,36.17363643050222,123
124,Green,Aztec Patterns,None,Fake Shaolin Outfit,Normal,Heart Glasses,Knitted Beanie Orange,Zombie,None,None,None,None,28.286265805454825,124
125,Beige,None,Aquamarine,Bandana Blue,Normal,Happy Eyes,Arrow,Skeleton,None,None,Painted Skeleton,Gold Chain GM,52.65193947731785,125
126,Aquamarine,Aztec Patterns,None,Bandana Red,Normal,Visor Cute Eyes,Bandana Blue,Zombie,None,Cigarette,None,None,50.066502073069394,126
127,Green,Aztec Patterns,None,Tank Top Pink CM,Normal,Cyclop's Glasses,Dread Short Brown,Devil,None,None,None,None,30.624498751925945,127
128,Grey,Flower Pattern,Aquamarine,T Pink B&B,Clown,Aviator Glasses,Dread Short Dark,Skeleton,Small Tattoos,None,None,None,55.74108746664989,128
129,Light Orange,None,Aquamarine,Galactical Emperor Suit,Normal,Cute Spider Eyes,Manga Hair  Purple,Skeleton,None,None,None,None,15.979702584448066,129
130,Blue,None,None,Hoodie Green B&B,Normal,Cute Eyes,Sushi Chef Headband,Skeleton,None,None,Painted Skeleton,None,21.564179487230366,130
131,Light Red,Aztec Patterns,None,Tank Top Blue B&B,Normal,Exasperated Eyes,Party Hat,Devil,None,None,Painted Skeleton,None,42.66904974059116,131
132,Grey,Flower Pattern,Red,Armor Blue,Normal,Exasperated Eyes,Sport Headband,Skeleton,Big Tattoos,Tongue,None,None,47.60113375338618,132
133,Aquamarine,Aztec Patterns,None,None,Normal,Happy Eyes,Headband Red,Zombie,None,None,None,None,25.412491114649033,133
134,Purple,None,None,Tank Top Grey POM,Normal,Pirate Patch Peaceful,Arrow,Devil,Small Tattoos,Tongue,None,None,61.470100894840016,134
135,Blue,Flower Pattern,Red,Fake Shaolin Outfit,Normal,Sad Eyes,Cap B&B Purple,Skeleton,None,None,None,None,14.89924138958979,135
136,Light Red,Flower Pattern,Black,Fake Shaolin Outfit,Normal,Happy Eyes,Dread Long Dark,Skeleton,None,None,None,None,16.29403433300796,136
137,Purple,Aztec Patterns,None,Sweater Pink CM,Normal,Square Shades,Flower Crown Pink,Skeleton,None,None,Painted Skeleton,None,24.21951718022721,137
138,Purple,Aztec Patterns,Yellow,Sweater Pink CM,Normal,Retro Cartoon Eyes,Arrow,Skeleton,Small Tattoos,None,None,Gold Chain Skull,48.37827166068101,138
139,Aquamarine,None,None,T Pink B&B,Normal,Retro Cartoon Eyes,Basquat Crown,Skeleton,None,None,Painted Skeleton,None,19.47067536261506,139
140,Beige,None,None,Tank Top Blue B&B,Normal,Crazy Eyes,None,Skeleton,None,None,Painted Skeleton,None,16.311432212154216,140
141,Blue,None,Yellow,Samurai Blue,Normal,Rick Eyes,Dread Short Brown,Skeleton,Small Tattoos,Cigarette,Painted Skeleton,None,60.163005126431344,141
142,Blue,Flower Pattern,None,Dress Blue,Normal,Sad Eyes,Flower Blue,Skeleton,None,None,Painted Skeleton,Gold Chain Skull,46.97519460479142,142
143,Blue,None,Yellow,Badass Leather Jacket,Normal,Heart Eyes,None,Skeleton,Big Tattoos,None,None,None,19.84607843042453,143
144,Beige,None,None,T Grey POM,Normal,Bloodshot,Dread Short Blond,Robot,None,None,None,None,27.182930022539907,144
145,Light Orange,Aztec Patterns,None,T Pink B&B,Normal,Hero Mask,Shell Red,Skeleton,None,None,Painted Skeleton,None,23.81188075764902,145
146,Aquamarine,Aztec Patterns,Yellow,None,Normal,Crazy Eyes,Sushi Chef Headband,Skeleton,None,None,None,None,15.242850885103001,146
147,Green,Aztec Patterns,None,Bandana Blue,Normal,Square Shades,None,Zombie,Small Tattoos,None,None,None,34.781687855737346,147
148,Grey,Aztec Patterns,Blue,Bathrobe Blue,Normal,Angry Eyes,Arrow,Skeleton,None,None,None,Gold Chain Skull,39.62678151332083,148
149,Purple,None,Black,Bathrobe White,Normal,Sad Eyes,Pyramid Hat,Skeleton,None,None,None,None,17.549156866389804,149
150,Grey,Aztec Patterns,Red,Sweater Pink CM,Normal,Happy Eyes,Flower Blue,Skeleton,Small Tattoos,Special Cigarette,None,None,45.75527590364346,150
151,Grey,Flower Pattern,Yellow,T Pink B&B,Clown,Crazy Eyes,Flower Blue,Skeleton,None,None,None,None,41.871367898651386,151
152,Blue,None,Aquamarine,Suit Blue,Normal,Mask and Tuba Angry,Party Hat,Skeleton,Big Tattoos,None,Painted Skeleton,None,41.80747142141796,152
153,Beige,Aztec Patterns,None,Clown Outfit,Normal,Pirate Patch Peaceful,Knitted Beanie Orange,Skeleton,None,None,Painted Skeleton,None,23.075239342783924,153
154,Light Orange,None,None,Hoodie Black POM,Normal,Dead Eyes,Feather,Zombie,None,None,None,None,25.590097882187933,154
155,Grey,None,None,Sweater Pink CM,Normal,Happy Eyes,Roman Helmet,Skeleton,Big Tattoos,None,None,None,15.231445764936572,155
156,Light Red,Flower Pattern,None,Bathrobe Pink,Normal,Visor Cute Eyes,Bucket Hat Flower,Skeleton,None,Cigarette,Painted Skeleton,None,45.33917247398239,156
157,Purple,None,None,None,Normal,Square Shades,Flower Crown Blue,Devil,None,None,None,None,28.362156853711255,157
158,Aquamarine,Aztec Patterns,None,T Pink B&B,Normal,Sad Eyes,Beret French,Skeleton,None,None,None,None,8.834559022144486,158
159,Aquamarine,None,None,Synthetic Cool Cat Fur Coat,Normal,Angry Eyes,Dread Long Dark,Skeleton,None,None,None,None,7.04675134530731,159
160,Blue,Aztec Patterns,Black,Rick Outfit,Normal,Pirate Patch Bloodshot,Sport Headband,Skeleton,Small Tattoos,None,None,None,29.841745509016288,160
161,Grey,None,Red,Bandana Blue,Normal,Exasperated Eyes,None,Skeleton,None,None,Painted Skeleton,None,22.107992510172554,161
162,Light Red,Flower Pattern,Blue,Work Outfit Red,Normal,Heart Eyes,None,Skeleton,Big Tattoos,None,Painted Skeleton,None,36.76163225058184,162
163,Beige,None,Yellow,Work Outfit Red,Normal,Happy Eyes,Ninja Balaclava,Skeleton,Big Tattoos,Cigarette,None,Gold Chain GM,68.52110867907224,163
164,Beige,Flower Pattern,None,Bandana Blue,Normal,Bored Eyes,Devil Horns,Skeleton,None,None,None,None,8.188116662375895,164
165,Grey,Flower Pattern,Blue,Samurai Blue,Normal,Pirate Patch Evil Morty,Laurel Wreath,Skeleton,None,None,Painted Skeleton,None,30.62439769641009,165
166,Green,Flower Pattern,None,Armor Blue,Normal,Retro Cartoon Eyes 2,Flower Hat,Devil,Big Tattoos,None,None,None,41.91800856681978,166
167,Light Orange,Aztec Patterns,Yellow,Work Outfit Red,Normal,Dia De Los Muertos Eyes,Chef's Hat,Skeleton,None,None,Painted Skeleton,None,30.522455100017194,167
168,Beige,Aztec Patterns,Yellow,Hoodie Blue B&B,Normal,Exasperated Eyes,Bucket Hat Flower,Skeleton,Big Tattoos,Special Cigarette,Painted Skeleton,None,62.817899335051074,168
169,Light Orange,Flower Pattern,Yellow,Hoodie Red CM,Normal,Bored Eyes,None,Skeleton,None,None,Painted Skeleton,None,25.345590121889988,169
170,Light Red,Flower Pattern,Rainbow,Tank Top Blue B&B,Normal,Hero Mask,Astro Orange,Skeleton,Big Tattoos,None,None,None,30.942347599959362,170
171,Aquamarine,None,Blue,Sweater Green CM,Normal,Exasperated Eyes,Rat Ears,Skeleton,Small Tattoos,Tongue,None,None,45.49630284093518,171
172,Green,Aztec Patterns,None,None,Normal,Angry Eyes,Bucket Hat CM+B&B,Devil,None,None,Painted Skeleton,None,44.08693076129651,172
173,Light Orange,Aztec Patterns,Aquamarine,Samurai Black,Normal,Pirate Patch Bloodshot,Party Hat,Skeleton,None,None,Painted Skeleton,None,32.356836178473394,173
174,Beige,Aztec Patterns,Yellow,Rick Outfit,Normal,Spider Eyes,Roman Helmet,Skeleton,None,None,Painted Skeleton,None,30.2021826940828,174
175,Grey,None,None,Suit Blue,Clown,Crazy Eyes,Flower Crown Pink,Robot,None,None,None,None,56.488783154284114,175
176,Light Red,None,Yellow,Admirals Coat Red,Normal,Pirate Patch Exasperated,Dread Short Blond,Skeleton,None,None,None,None,13.755098408130461,176
177,Green,None,Blue,Hoodie Pink CM,Normal,Hero Mask,Cool Cat Costume,Skeleton,Small Tattoos,None,None,None,24.539729310268008,177
178,Green,None,None,T Pink B&B,Normal,Pirate Patch Bloodshot,Bucket Hat Flower,Skeleton,None,None,None,Gold Chain Skull,31.227526867787585,178
179,Purple,None,Red,Pharaoh Neckless,Normal,Happy Eyes,Savage Hair Dark,Skeleton,None,None,None,Gold Chain Skull,35.87102286502067,179
180,Green,None,Blue,Hoodie Grey CM,Normal,Dia De Los Muertos Eyes,None,Skeleton,Big Tattoos,Cigarette,Painted Skeleton,None,56.468544928108265,180
181,Light Red,Aztec Patterns,Aquamarine,Sweater Pink CM,Normal,Aviator Glasses,Roman Helmet,Skeleton,None,None,None,None,17.706231869414005,181
182,Beige,Aztec Patterns,Red,Galactical Emperor Suit,Normal,Retro Cartoon Eyes,Biker Helmet Blue Spikes CM,Skeleton,Small Tattoos,None,None,None,23.75053335272756,182
183,Beige,None,None,T Pink B&B,Normal,Happy Eyes,Workers Hard Hat,Robot,None,Cigarette,None,None,46.53513005922477,183
