,Mouth Accessory,Eye Accessory,Head Below,Ear Accessory,Eyes,Nose,Mouth,Face,Race,Background,Head Above,Face Accessory,Mask,Rarity score,Token Id
20,Cigar,None,None,None,Robo-Eyes,Upturned,Teethy Grin,Thin Curled Mustache Black,Human,Pink Solid,Funky Bandana Bald,None,None,45.311875240833494,21
21,None,None,Bob Hair,Silver Stud Earrings,Closed Variant 1,Downturned,Lipstick Black,None,Alien,Magenta Solid,None,None,Full Head Bandage,79.7571126213958,22
22,Blunt,Chainspace Deck Elite II,None,Large Hoop Earrings,Masc Furrowed Variant 1,Downturned,Teethy Grin,Rough Mustache Brwn,Human,Magenta Solid,Tie-Dye Bandana Bald,None,None,66.92465334195205,23
23,Cig,None,None,Large Hoop Earrings,Closed Variant 2,Downturned,Lipstick Purple,Beard Brown,Human,Green Tie Dye,Beanie Hair Blonde,None,None,44.485083647517285,24
24,Blunt,None,None,None,Skull Yellow Dot,None,None,None,Skull,Purple Orange Diag,Chain Headband,None,None,66.29069692166024,25
25,None,None,None,Chain Earring,Masc Idle,Upturned Septum Piercing,Teeth Smile,Winged Mustache Brown,Alien,Dark Purple Solid,Divine Robe,None,None,60.05180889456566,26
26,Blunt,Eye Patch Sight,None,Earpiece,Masc Furrowed Variant 4,Downturned,Buck Teeth,Thin Curled Mustache Brown,Human,Grey Solid,Long Pink Pigtails,None,None,70.10530904197834,27
27,Cig,None,None,Candy Raver Earrings,Femme Wide Variant 3,Upturned Septum Piercing,Teethy Grin,None,Human,Yellow Pink Diag,None,None,None,8.253311186006366,28
28,Tongue Out,Sun Glasses Red,None,Small Hoop Earrings,Robo-Eyes,Downturned,Smile Double Monroe Piercing,None,Human,Green Tie Dye,Hood,None,None,53.66829476760516,29
29,Cig,Chainspace Deck Elite III,Double Pigtail Hair Pink,Silver Stud Cross Combo,Uninterested,Upturned Septum Piercing,Lipstick Red,Rough Mustache Black,Bot,Dark Purple Solid,None,None,None,81.04016306248354,30
30,Tongue Out,Hunter Eyes,Punker Spike Neon Green,Silver Stud Cross Combo,Femme Furrowed Variant 5,Delicate,Lipstick Green,Soul Patch Long,Human,Dark Purple Solid,None,None,None,67.45109943422577,31
31,Tongue Out,None,Double Pigtail Hair Pink,Silver Stud Earrings,Look Right,Downturned,Lipstick Green,Rough Mustache Black,Human,Blue Diag,None,None,None,47.79948633332317,32
32,Cig,Chainspace Deck Pro,Punker Spike Neon Green,Gold Stud Earrings,Femme Furrowed,Droopy,Teeth Smile,Fu Manchu Mustache Black,Human,Purple Stripe,None,None,None,60.34069136288605,33
33,Joint,Thin Glasses,Well Combed Hair Blk,Silver Stud Cross Combo,Masc Idle Variant 2,Prominent Stud Piercing,Teethy Grin,None,Human,Green Diag,None,None,None,49.90547795698249,34
34,Blunt,None,None,None,Look Right Variant 2,Upturned Septum Piercing,Teeth Smile,None,Alien,Purple Solid,Blitmap Hat,None,None,54.37968165406749,35
35,Tongue Out,Geordi Visor,Mohawk Hair Neon Blue,Small Hoop Earrings,Masc Idle Variant 2,Prominent,Open Teeth,Rough Mustache Black,Human,Grey Solid,None,None,None,65.97563085858754,36
36,Tongue Out,Eye Patch Monocle,Bald Unkempt,Large Hoop Earrings,Masc Shade Eyes Variant 2,Downturned,Missing Tooth,None,Human,Yellow Solid,None,None,None,54.276329596509484,37
37,Cigar,Mad-Eye Monocle,Grey Ceaser,Candy Raver Earrings,Beady,Bot Nose 2,Teethy Grin,None,Bot,Magenta Solid,None,None,None,78.87223006037232,38
38,Cig,None,Purple Fro Hawk,Silver Stud Earrings,Beady Variant 6,Prominent Stud Piercing,Idle,Fu Manchu Mustache Black,Human,Dark Purple Solid,None,None,None,39.38736248512024,39
39,None,Glasses,Cornrows Light Hair,Candy Raver Earrings,Villian Eyes,Droopy Stud Piercing,Teethy Grin,None,Alien,Pink Solid,None,Oxygen Mask,None,94.35468303749886,40
40,None,Target Visor,Cornrows Dark Topknot Hair,Chain Earring,Femme Idle,Prominent Stud Piercing,Buck Teeth,Thin Curled Mustache Black,Human,Green Black Diag,None,None,None,54.37641818910905,41
41,None,Sniper Goggles,None,Chain Earring,Masc Furrowed,Downturned,Smile,None,Alien,Double Pink,Crown Bald,Ninja,None,97.57971603637371,42
42,None,None,Messy Bun,Silver Stud Cross Combo,Villian Eyes Variant 2,Upturned Septum Piercing,Smile Double Monroe Piercing,Basic Mustache Brwn,Human,Blue Diag,None,None,None,33.50078835166278,43
43,Cig,None,Blue Vertical Spikes,Silver Stud Earrings,Uninterested,Downturned,Missing Tooth,Mutton Chop Curled Mustache Brown,Human,Peach Solid,None,None,None,41.61928679286152,44
44,None,None,Cornrows Light Hair,Small Hoop Earrings,Masc Furrowed Variant 4,Upturned Septum Piercing,Lipstick Purple,Basic Mustache Brwn,Human,Double Purple,None,None,None,32.89273906180012,45
45,None,Kaneda Goggles,None,Silver Stud Earrings,Masc Shade Eyes Variant 1,Droopy,Lipstick Black,Mutton Chop Winged Mustache Brown,Human,Double Pink,Leather Bandana Bald,None,None,54.46540783010118,46
46,Cig,Kaneda Goggles,Mohawk Hair Neon Pink,Candy Raver Earrings,Masc Shade Eyes,Delicate,Lipstick Black,Mutton Chop Winged Mustache Black,Alien,Pink Solid,None,None,None,86.95651292503092,47
47,None,None,Mohawk Hair,Large Hoop Earrings,Masc Shade Eyes,Upturned,Lipstick Black,Fu Manchu Mustache Brown,Human,Dark Purple Solid,None,None,None,35.984654666886875,48
48,None,None,None,Gold Stud Cross Combo,Masc Idle Variant 1,Upturned,Smile Double Monroe Piercing,None,Human,Red Solid,Dual Horn,None,Hockey Mask,57.3225249374608,49
49,Cig,None,None,Silver Stud Cross Combo,Uninterested,Bot Nose 1,Buck Teeth,Thick Curled Mustache Brown,Bot,Grey Solid,Crown Bald,None,None,68.18827551164233,50
50,Tongue Out,None,None,Gold Stud Cross Combo,Uninterested,Downturned,Idle,None,Human,Double Purple,Tie-Dye Bandana Bald,None,None,34.07895180948696,51
51,None,Eye Patch,None,None,Femme Shade Eyes Variant 2,Upturned Septum Piercing,Buck Teeth,Thick Curled Mustache Black,Human,Blue Solid,Chain Hat,None,None,49.286480632989296,52
52,Cig,None,Punker Spike Neon Green,Silver Stud Earrings,Femme Shade Eyes Variant 3,Delicate,Teethy Grin,Rough Mustache Black,Human,Pink Diag,None,None,None,40.85182148595195,53
53,Cig,Deal With It,Mohawk Hair Neon Blue,None,Masc Furrowed Variant 2,Delicate,Missing Tooth,Mutton Chop Curled Mustache Black,Alien,Yellow Solid,None,None,None,84.6879396701313,54
54,Cigar,Aviators,None,Large Hoop Earrings,Look Right Variant 4,Droopy,Idle,Basic Mustache Black,Human,Black Orange Diag,Alien Hat,None,None,67.15077506366404,55
55,None,None,Cropped Cut Dark,Silver Stud Earrings,Femme Star Liner,Downturned,Smile,Soul Patch Long,Human,Purple Solid,None,None,None,31.413401861088648,56
56,Cig,None,None,None,Draag Alien,Delicate,Open Teeth,None,Human,Orange Solid,Horns,None,None,23.612719401522384,57
57,Joint,Sniper Goggles,Bob Hair,Gold Stud Earrings,Robo-Eyes Variant 2,Upturned,Buck Teeth,None,Human,Peach Solid,None,None,None,52.081617134750694,58
58,None,None,Pompadour,None,Femme Furrowed Variant 2,Delicate,Smile,None,Human,Blue Orange Diag,None,Oni Mask Purple,None,49.19263868012283,59
59,Joint,Lennon Glasses,Double Pigtail Hair Pink,None,Masc Shade Eyes Variant 3,Upturned,Smile,Soul Patch Short,Human,Triple Green,None,None,None,62.19435682141572,60
60,None,Hunter Eyes,Mohawk Hair Neon Blue,Silver Stud Earrings,Robo-Eyes Variant 1,Droopy Stud Piercing,Idle,None,Human,Light Blue Solid,None,Viral Mask,None,66.95340529338165,61
61,Blunt,Glass Visor,Face Chain,Large Hoop Earrings,Look Right Variant 4,Upturned,Lipstick Blue,Rough Mustache Brwn,Human,Purple Stripe,None,None,None,67.46590163173069,62
62,Cig,Cybernetic Implants,None,Candy Raver Earrings,Robo-Eyes Variant 1,Upturned,Teethy Grin,None,Human,Purple Stripe,Blitmap Hat,None,None,46.50587970803796,63
63,None,None,None,Gold Stud Earrings,Closed,Upturned,Open Teeth,None,Human,Yellow Double Stripe,Crown Long Hair Grey,None,None,20.213144905053053,64
64,None,None,Cornrows Dark Topknot Hair,Gold Stud Cross Combo,Femme Furrowed Variant 5,Prominent,Lipstick Blue,None,Human,Green Double Stripe,None,None,None,22.422852389519118,65
65,None,None,Widows Peak Hair,Large Hoop Earrings,Beady,Prominent Stud Piercing,Open Teeth,Winged Mustache Black,Human,Blue Solid,None,None,None,33.02608260593981,66
66,Cigar,None,None,None,Draag Alien,Delicate,Smile Double Monroe Piercing,None,Human,Grey Solid,Alien Hat,None,None,32.14737858487327,67
67,Joint,Scouter Red,Blue Vertical Spikes,Gold Stud Earrings,Masc Shade Eyes Variant 1,Downturned,Missing Tooth,None,Human,Blue Solid,None,None,None,53.197535893897744,68
68,None,Eye Patch Monocle,None,Chain Earring,Femme Idle Variant 2,Upturned,Smile,None,Human,Green Diag,Half Buzz Half Long Blue Hair,Viral Mask,None,71.5724215924192,69
69,Pipe,Eye Patch,Metal Skullcap,Gold Stud Cross Combo,Villian Eyes,Droopy,Lipstick Blue,None,Human,Orange Solid,None,None,None,55.04744473282437,70
70,None,None,None,Chain Earring,Beady Variant 5,Droopy Stud Piercing,Lipstick Red,Thin Curled Mustache Black,Alien,Yellow Double Stripe,Goggles Forehead,None,None,61.998052663288206,71
71,Cig,Eye Patch Sight,Bald Unkempt,Silver Stud Cross Combo,Robo-Eyes Variant 1,Prominent Stud Piercing,Teethy Grin,Skeleton Facepaint,Human,Purple Solid,None,None,None,59.562164927539605,72
72,Cig,Cybernetic Implants,Well Combed Hair Brwn,Silver Stud Cross Combo,Uninterested,Upturned Septum Piercing,Teeth Smile,None,Human,Blue Orange Diag,None,None,None,42.205444424525105,73
73,Cig,Sun Glasses Red,Cornrows Dark Hair,Candy Raver Earrings,Robo-Eyes Variant 2,Droopy,Teeth Smile,Beard Black,Human,Triple Blue,None,None,None,60.19607346331469,74
74,Tongue Out,Target Visor,None,Small Hoop Earrings,Beady Variant 6,Delicate,Lipstick Black,Soul Patch Short,Alien,Grey Solid,Long Green Front Braid,None,None,94.17018780545654,75
75,Joint,Sun Glasses,Purple Fro Hawk,Chain Earring,Look Right,Prominent Stud Piercing,Lipstick Blue,Mutton Chop Winged Mustache Black,Human,Double Yellow,None,None,None,67.4065682797789,76
76,None,None,Ruby Rhod Hair,Chain Earring,Femme Furrowed Variant 1,Prominent,Teeth Smile,None,Human,Blue Orange Diag,None,None,None,21.692480622962748,77
77,Cig,Chainspace Deck SE,None,Chain Earring,Femme Idle Variant 3,Downturned,Idle,Basic Mustache Brwn,Alien,Double Pink,Long Pink Pigtails,None,None,86.87868823320261,78
78,Tongue Out,Rodman Wrap Arounds,None,None,Draag Alien Variant 1,Droopy Stud Piercing,Smile Double Monroe Piercing,Fu Manchu Mustache Brown,Human,Triple Pink,Classic Top Hat,None,None,66.67262083723591,79
79,Cig,Sun Glasses,None,None,Draag Alien,Bot Nose 3,Open Teeth,Mutton Chop Curled Mustache Black,Bot,Green Tie Dye,Cowboy Hat White,None,None,83.83149029608653,80
80,Tongue Pill,Eye Patch,Messy Bun,Large Hoop Earrings,Beady Variant 3,Downturned,Lipstick Blue,None,Human,Yellow Solid,None,None,None,54.550682746791125,81
81,Cig,Eye Patch Sight,None,Small Hoop Earrings,Masc Shade Eyes Variant 3,Droopy Stud Piercing,Lipstick Black,None,Human,Black Orange Diag,Chain Hat,None,None,47.56984415483045,82
82,None,None,None,Chain Earring,Uninterested Variant 2,Upturned,Teeth Smile,Basic Mustache Black,Human,Green Diag,Long Pink Pigtails,None,None,36.30714505989037,83
83,None,None,None,Silver Stud Earrings,Closed Variant 2,Prominent Stud Piercing,Buck Teeth,Rough Mustache Black,Human,Red Solid,E-Girl Hair,None,None,34.55351181095944,84
84,Blunt,Glass Visor,Punker Spike Neon Pink,Chain Earring,Robo-Eyes,Prominent Stud Piercing,Teethy Grin,Winged Mustache Black,Human,Double Purple,None,None,None,66.34260272464947,85
85,None,None,None,Candy Raver Earrings,Villian Eyes Variant 2,Delicate,Lipstick Blue,None,Human,Red Solid,Long Pink Pigtails,None,Gas Tank Mask,55.483612690740905,86
86,None,None,None,Small Hoop Earrings,Masc Idle,Droopy,Lipstick Blue,None,Human,Green Double Stripe,Good Morning Bandana Top Knot,None,Gas Tank Mask,54.38630317811484,87
87,Tongue Pill,Cybernetic Implants,Cornrows Dark Hair,Gold Stud Earrings,Robo-Eyes Variant 2,Droopy,Lipstick Blue,None,Human,Double Purple,None,None,None,54.5098855975128,88
88,Joint,Rodman Wrap Arounds,None,Silver Stud Cross Combo,Draag Alien,Downturned,Teethy Grin,Winged Mustache Brown,Human,Double Pink,Good Morning Bandana Top Knot,None,None,65.10444491901582,89
89,Blunt,Goggles,None,Gold Stud Earrings,Masc Idle Variant 4,Upturned,Teethy Grin,Soul Patch Long,Alien,Green Solid,Long Pink Pigtails,None,None,91.79037471942341,90
90,None,None,Pompadour,Small Hoop Earrings,Masc Furrowed,Downturned,Open Teeth,None,Human,Triple Pink,None,None,Robo-Jaw,52.944293141195466,91
91,Joint,None,Cornrows Dark Topknot Hair,None,Beady Variant 6,Droopy Stud Piercing,Idle,Rough Mustache Black,Human,Yellow Double Stripe,None,None,None,42.81679576049746,92
92,None,None,None,Silver Stud Cross Combo,Look Right Variant 4,Upturned,Idle,None,Human,Orange Tie Dye,Good Morning Bandana Top Knot,Oni Mask Purple,None,51.635613674373324,93
93,None,Cybernetic Implants,None,Candy Raver Earrings,Uninterested,Bot Nose 1,Teeth Smile,None,Bot,Orange Solid,Beanie Hair Green,Oxygen Mask,None,96.51938512116746,94
94,Tongue Pill,Eye Patch Monocle,None,Silver Stud Earrings,Look Right,Bot Nose 1,Lipstick Purple,None,Bot,Green Stripe,Horns,None,None,80.75907559886716,95
95,Blunt,None,Purple Fro Hawk,Silver Stud Earrings,Masc Idle Variant 1,Droopy Stud Piercing,Buck Teeth,Fu Manchu Mustache Black,Human,Double Pink,None,None,None,47.43235909710034,96
96,Cig,Chainspace Deck Elite I,None,Chain Earring,Masc Idle,Downturned,Idle,None,Human,Green Stripe,Backwards Hat 1,None,None,46.279686796947466,97
97,Tongue Out,None,None,Large Hoop Earrings,Masc Wide Variant 4,Upturned,Lipstick Black,None,Human,Double Yellow,Funky Bandana Bald,None,None,37.111651246913745,98
98,Blunt,None,None,Small Hoop Earrings,Look Right Variant 1,Upturned,Lipstick Blue,Soul Patch Long,Human,Green Stripe,Dreadlocks,None,None,48.92647957344621,99
99,None,Scouter Red,Mohawk Hair Neon Blue,None,Femme Furrowed,Prominent Stud Piercing,Teeth Smile,None,Human,Double Yellow,None,Oni Mask Purple,None,66.23076000816603,100
100,Tongue Pill,Lennon Glasses,Purple Fro Hawk,None,Masc Wide,Prominent Stud Piercing,Smile,Jet Black,Human,Green Double Stripe,None,None,None,64.95252993194262,101
101,Tongue Out,Glass Visor,Slicked Blonde Hair,None,Look Right,Bot Nose 1,Open Teeth,None,Bot,Peach Blue Vert,None,None,None,74.72404682466491,102
102,Cig,None,None,Chain Earring,Masc Idle,Delicate,Teethy Grin,Soul Patch Long Neon Blue,Human,Grey Solid,Chain Headband,None,None,43.639818502433016,103
103,None,None,Punker Spike Neon Green,Large Hoop Earrings,Beady Variant 3,Prominent Stud Piercing,Open Teeth,Winged Mustache Black,Human,Blue Solid,None,None,None,33.8528397286607,104
104,None,Chainspace Deck Elite III,Bleached Vertical Spikes,Small Hoop Earrings,Masc Furrowed Variant 1,Upturned,Teeth Smile,Winged Mustache Brown,Human,Double Green,None,None,None,51.900016932935536,105
105,Cig,None,None,Large Hoop Earrings,Villian Eyes,Droopy,Lipstick Green,None,Alien,Blue Solid,Tie-Dye Bandana Bald,None,None,53.77912597803033,106
106,None,Kaneda Goggles,None,Candy Raver Earrings,Closed Variant 2,Delicate,Teethy Grin,Beard Brown,Human,Green Solid,Crown Long Hair Grey,None,None,53.6868880710243,107
107,None,Robo-Cyclopian,None,None,Femme Furrowed Variant 5,Prominent,Smile Double Monroe Piercing,Beard Brown,Alien,Orange Solid,Backwards Hat 1,None,None,76.82604379357466,108
108,Tongue Out,Aviators,None,Candy Raver Earrings,Masc Idle Variant 4,Downturned,Lipstick Purple,None,Human,Peach Solid,Green Short Hair,None,None,54.07240244625445,109
109,Cig,None,Slicked Blonde Hair,Silver Stud Cross Combo,Masc Wide,Delicate,Teeth Smile,Mutton Chop Curled Mustache Black,Human,Double Pink,None,None,None,39.665491550106054,110
110,Dom Rose,None,None,Small Hoop Earrings,Masc Furrowed,Delicate,Smile Double Monroe Piercing,Mutton Chop Curled Mustache Brown,Human,Red Solid,Cowboy Hat Brown,None,None,50.987758000743675,111
111,Pipe,None,Well Combed Hair Brwn,Small Hoop Earrings,Femme Furrowed Variant 2,Prominent,Idle,Fu Manchu Mustache Black,Human,Yellow Diag,None,None,None,47.86251772684344,112
112,Pipe,None,None,Gold Stud Cross Combo,Femme Furrowed,Upturned Septum Piercing,Buck Teeth,Thin Curled Mustache Brown,Human,Dark Purple Solid,Straight Long Hair,None,None,50.55414049315689,113
113,Cig,None,Meditation Circlet,Silver Stud Earrings,Robo-Eyes Variant 1,Prominent Stud Piercing,Open Teeth,Soul Patch Long,Alien,Yellow Solid,None,None,None,65.77871900631013,114
114,Cig,Eye Patch Monocle,None,None,Closed,Prominent Stud Piercing,Buck Teeth,Winged Mustache Black,Human,Magenta Solid,Beanie Hair Blonde,None,None,57.38605318863945,115
115,None,None,None,Gold Stud Cross Combo,Draag Alien,Upturned,Lipstick Red,None,Human,Double Yellow,Eye Hat,Viral Mask,None,52.64762528066955,116
116,None,None,None,Large Hoop Earrings,Masc Shade Eyes,Droopy Stud Piercing,Idle,None,Human,Green Stripe,Dual Horn,None,None,18.733768012467202,117
117,Cig,Lennon Glasses,None,None,Masc Wide,Droopy Stud Piercing,Open Teeth,Winged Mustache Black,Human,Yellow Diag,Cowboy Hat White,None,None,56.411053909985995,118
118,Cigar,None,Double Pigtail Hair Brown,Candy Raver Earrings,Femme Star Liner,Droopy Stud Piercing,Lipstick Red,Mutton Chop Winged Mustache Brown,Human,Pink Solid,None,None,None,47.44729366623985,119
119,Cig,None,Mohawk Hair Neon Pink,None,Masc Idle,Delicate,Open Teeth,None,Human,Purple Green Diag,None,None,None,23.127068599285604,120
120,Cig,Sniper Goggles,Bleached Vertical Spikes,None,Villian Eyes,Droopy Stud Piercing,Teeth Smile,Mutton Chop Curled Mustache Black,Human,Purple Orange Diag,None,None,None,55.955060520019515,121
121,Cig,None,None,Silver Stud Cross Combo,Villian Eyes,Droopy Stud Piercing,Teethy Grin,None,Human,Green Diag,Hood,None,None,25.996626167232566,122
122,Blunt,None,Metal Skullcap,Large Hoop Earrings,Look Right,Droopy,Missing Tooth,Thick Curled Mustache Black,Human,Yellow Pink Diag,None,None,None,49.627146464498786,123
123,None,None,None,None,Look Right,Droopy Stud Piercing,Smile,None,Human,Orange Solid,Long Pink Pigtails,None,None,15.589745293869875,124
124,Joint,None,Messy Hair Dark,None,Draag Alien,Bot Nose 3,Lipstick Purple,Beard Brown,Bot,Purple Green Diag,None,None,None,71.61375931687132,125
125,Pipe,Mad-Eye Monocle,None,Silver Stud Cross Combo,Villian Eyes,Prominent,Smile,Winged Mustache Black,Human,Yellow Diag,Dreadlocks,None,None,67.2063777309326,126
126,Tongue Out,None,None,Silver Stud Cross Combo,Femme Wide Variant 1,Prominent,Missing Tooth,Winged Mustache Black,Human,Grey Solid,Long Styled Hair,None,None,50.479871843212706,127
127,None,None,Purple Fro Hawk,Gold Stud Earrings,Femme Shade Eyes Variant 3,Delicate,Lipstick Purple,None,Human,Blue Diag,None,None,Hockey Mask,55.68024165503099,128
128,Tongue Pill,Lennon Glasses,Punker Spike Neon Green,Open Face Shield,Villian Eyes,Droopy Stud Piercing,Open Teeth,None,Human,Dark Purple Solid,None,None,None,55.47376737443781,129
129,Joint,None,Well Combed Hair Brwn,Silver Stud Earrings,Uninterested Variant 2,Prominent,Lipstick Black,None,Human,Double Yellow,None,None,None,33.66373627772948,130
130,None,Target Visor,None,Open Face Shield,Masc Idle,Droopy,Lipstick Purple,Thick Curled Mustache Black,Human,Yellow Double Stripe,Cowboy Hat Pink,None,None,57.17913951621826,131
131,Tongue Pill,Glasses,None,Silver Stud Cross Combo,Beady,Delicate,Lipstick Green,Mutton Chop Curled Mustache Brown,Human,Pink Solid,Chain Headband,None,None,68.02940491757082,132
132,None,Eye Patch,None,Gold Stud Earrings,Uninterested,Bot Nose 1,Open Teeth,None,Bot,Magenta Solid,Leather Bandana Bald,None,None,64.09239731201039,133
133,Blunt,None,Mohawk Hair Neon Pink,Gold Stud Earrings,Look Right,Downturned,Lipstick Purple,Mutton Chop Winged Mustache Brown,Alien,Peach Blue Vert,None,None,None,73.72678182467132,134
134,Cig,Glass Visor,None,Small Hoop Earrings,Femme Wide Variant 3,Downturned,Lipstick Blue,None,Human,Peach Solid,Classic Top Hat,None,None,45.54932912544191,135
135,None,None,None,Large Hoop Earrings,Draag Alien Variant 1,Upturned Septum Piercing,Open Teeth,Mutton Chop Winged Mustache Brown,Human,Metropolis 1,Silly Copter Hat,None,None,34.62410950488479,136
136,Blunt,Eye Patch,None,Silver Stud Earrings,Femme Star Liner,Droopy Stud Piercing,Teethy Grin,None,Human,Green Tie Dye,Genesis Hat,None,None,50.86565797780578,137
137,Cig,None,None,None,Masc Shade Eyes,Bot Nose 2,Smile Double Monroe Piercing,None,Bot,Double Purple,Dreadlocks,None,None,51.476839835812726,138
138,Tongue Pill,Goggles,Double Pigtail Hair Pink,None,Beady Variant 2,Droopy,Lipstick Blue,Rough Mustache Brwn,Human,Green Diag,None,None,None,66.38346994830451,139
139,Cig,Glasses,None,Large Hoop Earrings,Bot Beady Wide,Bot Nose 2,Lipstick Red,Winged Mustache Brown,Bot,Purple Green Diag,Good Morning Bandana Top Knot,None,None,87.60882602423591,140
140,Joint,Lennon Glasses,Widows Peak Blue Hair,Small Hoop Earrings,Beady Variant 3,Upturned Septum Piercing,Smile,Beard Brown,Human,Green Solid,None,None,None,62.80608708980632,141
141,Joint,None,Ruby Rhod Hair,Silver Stud Earrings,Masc Idle,Droopy Stud Piercing,Idle,Jet Black,Human,Purple Orange Diag,None,None,None,45.259930565579715,142
142,Cig,Chainspace Deck Basic,None,Chain Earring,Masc Wide,Upturned,Smile,Soul Patch Short,Human,Light Blue Solid,Green Short Hair,None,None,60.889324234769425,143
143,None,Eye Patch,None,Large Hoop Earrings,Bot Beady Wide,Bot Nose 2,Smile,Basic Mustache Brwn,Bot,Magenta Solid,Straight Long Purple Hair,None,None,79.6432740105177,144
144,None,None,None,Small Hoop Earrings,Femme Shade Eyes,Upturned Septum Piercing,Lipstick Red,None,Bot,Magenta Solid,Straight Long Hair,Viral Mask,None,73.08071245225628,145
145,None,Thin Glasses,Messy Hair Dark,Small Hoop Earrings,Femme Furrowed Variant 5,Droopy Stud Piercing,Buck Teeth,Soul Patch Short,Human,Yellow Pink Diag,None,None,None,52.42645894921169,146
146,Tongue Out,Target Visor,None,Gold Stud Earrings,Closed Variant 2,Downturned,Lipstick Black,None,Human,Orange Solid,Backwards Hat 1,None,None,55.18084761569462,147
147,None,Night Vision Goggles,Messy Bun,Silver Stud Cross Combo,Masc Idle Variant 1,Prominent,Missing Tooth,Thin Curled Mustache Black,Alien,Green Diag,None,None,None,79.62118362906874,148
148,Cig,Chainspace Deck Elite II,Messy Hair Dark,Silver Stud Cross Combo,Look Right Variant 1,Upturned,Idle,Beard Neon Green,Human,Green Black Diag,None,None,None,58.95792975100393,149
149,None,Scouter Green,None,Candy Raver Earrings,Masc Idle Variant 3,Upturned,Teethy Grin,None,Alien,Triple Pink,Eye Hat,None,None,64.56329894873119,150
150,Cig,Aviators,Mohawk Hair Neon Pink,None,Femme Furrowed,Upturned Septum Piercing,Lipstick Green,Fu Manchu Mustache Brown,Bot,Purple Orange Diag,None,None,None,80.2061552033724,151
