,Animated,Additional Backgrounds,Display Mode,Portrait Background,Purity,Chroma,Generation,Variant,Species,Decorative,Mouth,Face,Device,Element,Dimension,Oni,Horn,Weapon,Eyewear,Zodiac,Emote,Gem,Mythic,Rarity score,Token Id
47,No,No,Portrait,Day,Augmented,Deep Amethyst,Kappa,Megalodon,Demihumans,Veggies,None,None,None,None,None,None,None,None,None,Ox,None,Turquoise,None,22.598258894365163,48
48,No,No,Portrait,Day,Augmented,Princess Iris,Theta,Earth Spirit,Posthumans,None,None,None,Laser Sword,Lightning,Recon Drone,None,None,None,None,None,None,None,None,26.938979945836007,49
49,No,No,Portrait,Day,Augmented,King Turquoise,Delta,Swimmer,Humans,Bomb,None,Whiskers,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.337067940830842,50
50,No,No,Portrait,Day,Augmented,Polychromatic,Upsilon,Researcher,Posthumans,None,None,None,Tablet,Water,Hexagonal Rift,None,None,None,None,None,None,None,None,26.18939014724912,51
51,No,No,Portrait,Day,Augmented,Mint Pistachio,Mu,Bumblebee,Demihumans,None,None,None,None,None,None,None,None,None,None,Dog,Dazzled,Moon Band,None,27.03567011352485,52
52,No,No,Portrait,Day,Augmented,Dark Cerulean,Theta,Ancient General,Humans,Bomb,Donut,Red Hearts,None,None,None,None,None,None,None,None,None,None,None,22.2476632811171,53
53,No,No,Portrait,Day,Natural,Vintage Mahogany,Alpha,Pilot,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.576183801385606,54
54,No,No,Portrait,Day,Augmented,Silver Cloud,Beta,Autumn Student,Humans,None,Donut,Whiskers,None,None,None,None,None,None,Shades,None,None,None,None,26.288974246801324,55
55,No,No,Portrait,Day,Natural,Verdant Teal,Upsilon,Spinosaurus,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8898320057202792,56
56,No,No,Portrait,Day,Augmented,Brilliant Byzantine,Mu,Horse,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Dog,None,Crescent,None,22.565218260154843,57
57,No,No,Portrait,Day,Natural,Raven Onyx,Kappa,Agent,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.6422146898119958,58
58,No,No,Portrait,Simple 1,Augmented,Candy Rose,Iota,Kitsune,Yokai,Flower Ribbon,None,None,None,None,None,None,Bull,Katana,None,None,None,None,None,40.45182188998219,59
59,No,No,Portrait,Day,Augmented,Metallic Charcoal,Theta,Hammerhead Shark,Demihumans,Raccoon,None,None,None,None,None,None,None,None,None,None,Dazzled,Crescent,None,23.371264979790748,60
60,No,No,Portrait,Day,Augmented,Crimson Carmine,Gamma,Summer Student,Humans,Bomb,Leaf,None,None,None,None,None,None,None,Square Glasses,None,None,None,None,22.203617638478704,61
61,No,No,Portrait,Day,Augmented,Rich Navy,Theta,Nightmare,Posthumans,None,None,None,Laser Sword,Crystal,Checkered Rift,None,None,None,None,None,None,None,None,26.951344717352082,62
62,No,No,Portrait,Day,Augmented,Cedar Caramel,Rho,Winter Student,Humans,Bomb,Toast,None,None,None,None,None,None,None,Heart Eyepatch,None,None,None,None,22.1224921328249,63
63,No,No,Portrait,Day,Augmented,Ultra Violet,Beta,Mermaid,Demihumans,Fossil Ammonite,None,None,None,None,None,None,None,None,None,Rat,Exasperation,None,None,22.78393695184677,64
64,No,No,Capsule,N/A,Augmented,Cedar Caramel,Rho,Dragon,Demihumans,Fossil Ammonite,None,None,None,None,None,None,None,None,None,None,Exasperation,Crescent,None,48.85936923619368,65
65,No,No,Portrait,Day,Natural,Polychromatic,Omega,Shikigami,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5912626744439673,66
66,No,No,Portrait,Day,Augmented,Natural Nectarine,Omega,Bandit,Humans,Mask,None,Tear Drops,None,None,None,None,None,None,Heart Eyepatch,None,None,None,None,22.464950772748566,67
67,No,No,Portrait,Day,Augmented,Rich Navy,Theta,Nightmare,Posthumans,None,None,None,Tablet,Fire,Houndstooth Rift,None,None,None,None,None,None,None,None,26.88944239505564,68
68,No,No,Portrait,Day,Augmented,Azure Sky,Gamma,Host,Posthumans,None,None,None,Laser Sword,Fire,Hand Rift,None,None,None,None,None,None,None,None,26.889468683622702,69
69,No,No,Portrait,Day,Augmented,Polychromatic,Omega,Wildcat,Demihumans,Butterflies,None,None,None,None,None,None,None,None,None,Tiger,Love,None,None,22.147228419913827,70
70,No,No,Portrait,Day,Augmented,Cedar Caramel,Upsilon,Mysterious Doll,Posthumans,None,None,None,Smartphone,Forest,Ethereum,None,None,None,None,None,None,None,None,26.89771590318662,71
71,No,No,Portrait,Day,Augmented,Pesto Guacamole,Xi,Broadsword Vanguard,Humans,None,Bubble Gum,Dots,None,None,None,None,None,None,Neon Glasses,None,None,None,None,26.26834036765414,72
72,No,No,Portrait,Day,Augmented,Magenta Blush,Epsilon,Researcher,Posthumans,None,None,None,Laptop,Fire,Ethereum,None,None,None,None,None,None,None,None,26.96921722575347,73
73,No,No,Portrait,Day,Augmented,Pesto Guacamole,Mu,Assassin,Posthumans,None,None,None,Laser Sword,Fire,Pincer Drone,None,None,None,None,None,None,None,None,26.993985449899654,74
74,No,No,Portrait,Day,Natural,Raven Onyx,Mu,Pirate,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7565111103296623,75
75,No,No,Portrait,Day,Natural,Aegean Sea,Delta,Fire Spirit,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.5610565573065294,76
76,No,No,Portrait,Day,Augmented,Deep Amethyst,Zeta,Sabretooth Tiger,Demihumans,None,None,None,None,None,None,None,None,None,None,Ox,Dazzled,Feather Tiara,Ancient Fossil,40.46470064745673,77
77,No,No,Portrait,Day,Natural,Mossy Seaweed,Sigma,Simulacrum,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.6325832063627865,78
78,No,Yes,Portrait,Night,Augmented,Ultra Violet,Zeta,Yuki-Onna,Yokai,Shrimp,None,None,None,None,None,None,Bull,Axe,None,None,None,None,None,54.052746167536725,79
79,No,No,Portrait,Day,Augmented,Flamingo Pink,Psi,Bear,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Dog,None,Turquoise,None,22.668365902105254,80
80,No,No,Portrait,Day,Augmented,Polychromatic,Omega,Squid,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Rat,Exasperation,None,None,22.115593386351005,81
81,No,No,Capsule,N/A,Augmented,Concord Grape,Alpha,Turtle,Demihumans,None,None,None,None,None,None,None,None,None,None,Ox,Love,Gold,None,52.60696222825585,82
82,No,No,Portrait,Day,Augmented,Orchid Mauve,Xi,DJ,Posthumans,None,None,None,Smartphone,Ice,Repair Drone,None,None,None,None,None,None,None,None,26.977475457879162,83
83,No,No,Portrait,Day,Augmented,Lapis Lazuli,Alpha,Bitcoin Cyborg,Posthumans,None,None,None,Smartphone,Ice,Claw Rift,None,None,None,None,None,None,None,ERROR,40.28963565995274,84
84,No,No,Capsule,N/A,Augmented,Smoked Amber,Phi,Tonfa Guard,Humans,Bomb,Leaf,None,None,None,None,None,None,None,Monocle,None,None,None,None,47.70019137496677,85
85,No,No,Portrait,Day,Augmented,Verdant Teal,Upsilon,Ancient Maid,Humans,Toy Cars,None,Whiskers,None,None,None,None,None,None,Round Glasses,None,None,None,None,22.38381934479677,86
86,No,No,Portrait,Day,Augmented,Lilac Lavender,Omicron,Summer Model,Humans,Breakfast,None,Blue Hearts,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.44983990771162,87
87,No,No,Portrait,Day,Natural,Silver Cloud,Gamma,Yuki-Onna,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.310664742719944,88
88,No,No,Portrait,Day,Augmented,Slate Gray,Theta,Lance Defender,Humans,Coffee,Donut,None,None,None,None,None,None,None,Square Glasses,None,None,None,None,22.177494331680847,89
89,No,No,Portrait,Simple 1,Natural,Butterscotch Sepia,Delta,Evil Clown,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.764490041088957,90
90,No,No,Portrait,Day,Natural,Polychromatic,Omicron,Tengu,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.585783710123458,91
91,No,No,Portrait,Day,Augmented,Princess Iris,Theta,Volleyball Player,Humans,Fast Food,Bubble Gum,Tear Drops,None,None,None,None,None,None,None,None,None,None,None,22.1995157766585,92
92,No,No,Portrait,Day,Augmented,Stormy Fossil,Zeta,Gynoid,Posthumans,None,None,None,Earbuds,Plasma,Houndstooth Rift,None,None,None,None,None,None,None,None,26.93072239990681,93
93,No,No,Portrait,Simple 1,Augmented,Glacier Blue,Psi,Swimmer,Humans,None,Bubble Gum,Dots,None,None,None,None,None,None,Round Glasses,None,None,None,None,38.47785219916574,94
94,No,No,Portrait,Day,Augmented,Princess Iris,Iota,Ox,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Goat,None,Feather Tiara,None,22.4827002289076,95
95,No,No,Portrait,Day,Augmented,Midnight Plum,Tau,Spear Warrior,Humans,Mask,Donut,Yellow Hearts,None,None,None,None,None,None,None,None,None,None,None,22.233913970535845,96
96,No,No,Portrait,Day,Augmented,Vintage Mahogany,Beta,Ancient Maid,Humans,Game Controller,None,Whiskers,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.368678061390625,97
97,No,No,Portrait,Day,Natural,Butterscotch Sepia,Delta,Hammer Paladin,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6891139907311389,98
98,No,No,Portrait,Simple 1,Augmented,Mint Pistachio,Iota,Winter Model,Humans,Bomb,Toast,None,None,None,None,None,None,None,Heart Eyepatch,None,None,None,Halo,47.61355812913464,99
99,No,No,Capsule,N/A,Natural,Polychromatic,Upsilon,Shikigami,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.096891659134965,100
100,No,No,Portrait,Day,Augmented,Butterscotch Sepia,Gamma,Hammerhead Shark,Demihumans,Anchor,None,None,None,None,None,None,None,None,None,Tiger,Anger,None,None,22.782552272554195,101
101,No,No,Portrait,Day,Augmented,Metallic Charcoal,Kappa,Seahorse,Demihumans,None,None,None,None,None,None,None,None,None,None,Rat,Love,Moon Band,None,27.085159764619316,102
102,No,No,Portrait,Day,Augmented,Prussian Steel,Gamma,Water Spirit,Posthumans,None,None,None,Tablet,Water,Recon Drone,None,None,None,None,None,None,None,None,26.768415774058475,103
103,No,No,Portrait,Day,Augmented,Electric Fuschia,Gamma,Mysterious Doll,Posthumans,None,None,None,Battery,Forest,Pincer Drone,None,None,None,None,None,None,None,None,26.672159581238287,104
104,No,No,Portrait,Day,Augmented,Midnight Plum,Upsilon,Spear Warrior,Humans,Book,None,Red Hearts,None,None,None,None,None,None,Round Glasses,None,None,None,None,22.31367764987758,105
105,No,No,Portrait,Simple 1,Augmented,Great Pearl,Rho,Kitsune,Yokai,Umbrella,None,None,None,None,None,None,Rhino,Axe,None,None,None,None,None,40.38307354025037,106
106,No,No,Portrait,Day,Augmented,Chartreuse Sage,Phi,Football Player,Humans,Potion Flask,Bandaid,None,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.22700449161958,107
107,Yes,No,Animated,Day & Night,Augmented,Raven Onyx,Rho,Kunoichi,Humans,Bomb,Toast,None,None,None,None,None,None,None,Round Glasses,None,None,None,None,61.50390341333062,108
108,No,No,Portrait,Day,Augmented,Butterscotch Sepia,Epsilon,Ancient Prince,Humans,Fast Food,Leaf,None,None,None,None,None,None,None,Monocle,None,None,None,None,22.1472427373479,109
109,No,No,Portrait,Day,Augmented,Marmalade Apricot,Theta,Great White Shark,Demihumans,Butterflies,None,None,None,None,None,None,None,None,None,Rooster,None,Crescent,None,22.643624656015636,110
110,No,No,Portrait,Day,Augmented,Slate Gray,Mu,Volleyball Player,Humans,Potion Flask,Leaf,None,None,None,None,None,None,None,Round Glasses,None,None,None,None,22.16511593276903,111
111,No,No,Portrait,Day,Augmented,Imperial Eggplant,Rho,Cat Cosplayer,Humans,Game Controller,Heart,Triangles,None,None,None,None,None,None,None,None,None,None,None,22.156890871878566,112
112,No,No,Portrait,Day,Augmented,Emerald Seafoam,Gamma,Ox,Demihumans,Anchor,None,None,None,None,None,None,None,None,None,None,Anger,Gold,None,23.426286312475774,113
113,No,No,Portrait,Day,Augmented,Mossy Seaweed,Omicron,Axe Warden,Humans,Potion Flask,Bandaid,None,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,22.165107121859773,114
114,No,No,Portrait,Day,Augmented,Smoked Amber,Psi,Cthylla,Posthumans,None,None,None,Keyboard and Mouse,Wind,Claw Rift,None,None,None,None,None,None,None,None,27.00498770738263,115
115,No,No,Portrait,Day,Augmented,Forest Shamrock,Omicron,Rapier Mercenary,Humans,Game Controller and Disc,Popsicle,None,None,None,None,None,None,None,Monocle,None,None,None,None,22.064719338065267,116
116,No,No,Portrait,Day,Augmented,Polychromatic,Omega,DJ,Posthumans,None,None,None,Smartphone,Holy,Repair Drone,None,None,None,None,None,None,None,None,26.265032150111473,117
117,No,No,Portrait,Day,Augmented,Mint Pistachio,Theta,Wanyudo,Yokai,Moon Earring,None,None,None,None,None,Lantern,None,Modern Tanto,None,None,None,None,None,28.420000261982203,118
118,No,No,Portrait,Day,Augmented,Clay Walnut,Mu,Bear,Demihumans,Cat,None,None,None,None,None,None,None,None,None,Pig,None,Crescent,None,22.467578768698072,119
119,No,No,Portrait,Day,Augmented,Glacier Blue,Upsilon,Kimono Model,Humans,Potion Flask,None,Spikes,None,None,None,None,None,None,Round Glasses,None,None,None,None,22.477339632185387,120
120,No,Yes,Portrait,Simple 3,Augmented,Polychromatic,Psi,Zashiki-Warashi,Yokai,Talisman,None,None,None,None,None,None,Bison,Tekagi,None,None,None,None,None,53.53851909862305,121
121,No,Yes,Portrait,Night,Natural,King Turquoise,Theta,Rugby Player,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.51967538504817,122
122,No,No,Portrait,Day,Augmented,Bumblebee Canary,Theta,Rapier Mercenary,Humans,None,Leaf,Triangles,None,None,None,None,None,None,Shades,None,None,None,None,26.275229475880156,123
123,No,No,Portrait,Day,Augmented,Imperial Eggplant,Upsilon,Ancient Captain,Humans,None,Star,Diamond and Star,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,26.04278996480226,124
124,No,No,Portrait,Day,Augmented,Great Pearl,Phi,Bear,Demihumans,Veggies,None,None,None,None,None,None,None,None,None,Ox,Proud,None,None,22.781181086040267,125
125,No,No,Portrait,Day,Augmented,Shamrock Parakeet,Rho,Bitcoin Cyborg,Posthumans,None,None,None,Android Tail,Energy,Repair Drone,None,None,None,None,None,None,None,None,26.866055404492524,126
126,No,No,Portrait,Day,Augmented,Electric Fuschia,Alpha,Winter Model,Humans,Mask,Leaf,None,None,None,None,None,None,None,Neon Glasses,None,None,None,None,21.85428309899397,127
127,No,No,Portrait,Day,Natural,Concord Grape,Alpha,Liquidator,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.5541805261164798,128
128,No,No,Portrait,Day,Augmented,Imperial Eggplant,Tau,Cat Cosplayer,Humans,Breakfast,None,Scar,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,22.20228237390118,129
129,No,No,Portrait,Day,Augmented,Shamrock Parakeet,Xi,Goat,Demihumans,Fish,None,None,None,None,None,None,None,None,None,None,Love,Moon Band,None,23.37953188134817,130
130,No,No,Portrait,Day,Augmented,Aegean Sea,Zeta,Squid,Demihumans,None,None,None,None,None,None,None,None,None,None,Rooster,Love,Crescent,None,27.079680244816572,131
131,No,No,Portrait,Day,Augmented,Shamrock Parakeet,Tau,Tennis Player,Humans,Potion Flask,None,Red Hearts,None,None,None,None,None,None,Shades,None,None,None,None,22.437476236244283,132
132,No,No,Portrait,Day,Augmented,Mossy Seaweed,Kappa,Lance Defender,Humans,Fast Food,None,Diamond and Star,None,None,None,None,None,None,Heart Eyepatch,None,None,None,None,22.462230420758488,133
133,No,No,Portrait,Day,Augmented,Electric Fuschia,Beta,Seahorse,Demihumans,Campfire,None,None,None,None,None,None,None,None,None,Dragon,None,Emerald,None,22.36994147587522,134
134,No,No,Portrait,Day,Augmented,Raspberry Jam,Sigma,Bitcoin Cyborg,Posthumans,None,None,None,Keyboard and Mouse,Plasma,Hand Rift,None,None,None,None,None,None,None,None,26.97195780991388,135
135,No,No,Portrait,Day,Augmented,Deep Amethyst,Zeta,Seahorse,Demihumans,Anchor,None,None,None,None,None,None,None,None,None,Pig,Anger,None,None,22.79355453101287,136
136,No,No,Portrait,Day,Natural,Dark Cerulean,Theta,Angler Fish,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.858204819373042,137
137,No,No,Portrait,Day,Augmented,Prussian Steel,Gamma,Cat Cosplayer,Humans,Game Controller,None,Diamond and Star,None,None,None,None,None,None,Square Glasses,None,None,None,Halo,35.605690305455596,138
138,No,No,Portrait,Day,Augmented,Regal Cobalt,Iota,Sentinel,Posthumans,None,None,None,Tablet,Plasma,Spirit Eyes,None,None,None,None,None,None,None,None,26.767047752799268,139
139,No,No,Portrait,Day,Augmented,Ultra Violet,Zeta,Tyrannosaurus Rex,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Horse,None,Emerald,None,22.55835654435598,140
140,No,No,Portrait,Day,Augmented,Ultra Violet,Epsilon,Agent,Posthumans,None,None,None,Laptop,Holy,Repair Drone,None,None,None,None,None,None,None,None,26.894957701781312,141
141,No,No,Portrait,Day,Natural,Crimson Carmine,Epsilon,Octopus,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.931106507248172,142
142,Yes,Yes,Portrait,Night,Natural,Mint Pistachio,Theta,Yuki-Onna,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42.587370654723486,143
143,No,No,Capsule,N/A,Augmented,Flamingo Pink,Psi,Swordfish,Demihumans,None,None,None,None,None,None,None,None,None,None,Horse,Anger,Crescent,None,52.69907279809246,144
144,No,No,Portrait,Day,Natural,Hunter Green,Sigma,Ibaraki-Doji,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.2680275904684843,145
145,No,No,Portrait,Day,Augmented,Princess Iris,Zeta,Winter Student,Humans,Fast Food,Leaf,Scar,None,None,None,None,None,None,None,None,None,None,None,22.228407884577383,146
146,No,No,Portrait,Day,Augmented,Great Pearl,Upsilon,Crab,Demihumans,Fish,None,None,None,None,None,None,None,None,None,Horse,Exasperation,None,None,22.7811795737248,147
147,No,No,Portrait,Day,Augmented,Orchid Mauve,Lambda,Squid,Demihumans,None,None,None,None,None,None,None,None,None,None,Snake,Dazzled,Gold,None,27.15120276230223,148
148,No,No,Portrait,Day,Augmented,Polychromatic,Phi,Oni,Yokai,Moon Earring,None,None,None,None,None,Flame Eyes,None,Nunchucks,None,None,None,None,None,27.79702700359026,149
149,No,No,Portrait,Day,Augmented,Clay Walnut,Omicron,Hacker,Posthumans,None,None,None,Laptop,Forest,Repair Drone,None,None,None,None,None,None,None,None,26.84819845154502,150
