,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
31,Dark Open L,None,Red Trainer,Hmm,Green,Dark,Long Side Swept,White,None,Scar,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,42.898774308351264,32
32,Darker Open R,None,Jeans Hoodie,Open,Black,Darker,Buzz Cut,Purple,Chains,Splatter,None,None,None,None,None,None,None,Grenade,None,None,None,None,61.02832648169484,33
33,None,None,Red Rebel,Bland,Silver,Pale,Side Fringe,Off White,Ambers,None,Sheathed Katana,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,48.29144588303992,34
34,Demon Hold,None,Green Varsity Jacket,Grunt,Black,Demon,Hime Cut,Light Purple,None,Mark,None,None,None,None,None,None,None,None,None,Card,None,None,45.85778500673626,35
35,Default Hand Face,None,Open Jacket,Bland,Pink,Default,Side Fringe,White,None,None,None,None,None,Silence,None,Red Swords,None,None,None,None,None,None,43.45999588251818,36
36,Default Hand Face,None,Trainer,Smile,Pink,Default,Two Block,Blue,None,None,None,None,Goggles,Silence,None,None,None,None,None,None,None,None,42.351420350474314,37
37,Default Hand Face,None,Red Yakuza Yukata,Big Smile,Red,Default,Messy,White,None,None,None,None,None,Silence,None,Giant Tomoe,None,None,None,None,None,None,43.48084646028488,38
38,None,None,Haus Denim,Pout,Silver,Dark,Shag,Blue,None,Scar 2,None,None,None,None,None,None,None,None,None,None,None,None,15.174693156577215,39
39,None,Navy Beanie,Denim Turtleneck Blazer,Smile,Void,Dark,Side Fringe,Navy,None,None,AK,None,None,None,None,None,None,None,None,None,None,None,28.162277882683455,40
40,None,None,Yellow Trainer,Mumble,Silver,Dark,Academy,Light Purple,None,None,None,None,None,None,None,None,Headphone,None,None,None,None,None,18.061071043369566,41
41,Demon Hand Palm,Newsboy Hat,Formal Shirt,Mask,Silver,Demon,Shag,Light Purple,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,45.54150354650312,42
42,Demon Hand ETH,None,Yellow Trainer,Pout,Green,Demon,Buzz Cut,Purple,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,30.138511133250567,43
43,None,None,Raider,Mask,Closed,Darker,Bun,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.269125354888241,44
44,None,None,Blue Racer,A,Pink,Dark,Bangs Short,Purple,None,None,None,None,Side Mask,None,None,None,None,None,None,None,None,None,18.422485332870377,45
45,Default Hand ETH,HAUS Cap,Red Sidebelt,Pout,Pink,Default,Straight Headband,Blue,None,None,Bazooka,None,None,None,None,None,None,None,None,None,None,None,35.15495047426941,46
46,Dark Hold,None,White Haus Hoodie,Smile,Hazel,Dark,Straight Headband,Green Gray,None,None,Shotgun,None,None,None,None,None,None,None,None,Soda,None,None,40.0736572221482,47
47,Default Open L,None,Skelly Jacket,Grunt,Closed,Default,Long Twintail,White,None,None,None,phase.module [the generation] v0.02,None,None,Cross,None,None,None,None,None,None,None,43.0134315335023,48
48,None,HAUS Cap,Red Halter,Smile,Hazel,Dark,Bun,Off White,None,None,Dark Edge,None,None,None,None,None,None,None,None,None,None,None,27.064051382147515,49
49,Default Open L,None,Admiral,Open,Red,Default,Shag,Off White,None,None,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,27.91771868412532,50
50,None,None,Serpent Raider,Pout,Pink,Dark,Bob,Dark,None,None,None,None,Dark Side Mask,None,None,None,None,None,None,None,None,None,18.076647118379086,51
51,Default Hand ETH,None,Red Haus Hoodie,Mumble,Black,Default,Hime Ponytail,Purple,None,None,Ninjato,None,None,None,None,None,None,None,None,None,None,None,23.580784220936902,52
52,None,None,White Open Vest,Big Smile,Red,Dark,Short Fringe,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5217435921839524,53
53,None,None,Light Edge Jacket,Bland,Blue,Fiend,Short Fringe,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.018517410893104,54
54,Default Hand Face,Ushanka,Dark WAGMI Bomber,A,Closed,Default,Long Side Swept,White,None,Red Clear Sunglasses,Bazooka,None,None,Silence,None,None,None,None,None,None,None,None,67.24611637293992,55
55,Default Hand ETH,None,Black Fur Coat,Smile,Hazel,Default,Bowl Cut,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.408714472828622,56
56,None,None,Raider,Meh,Blue,Dark,Short Ponytail,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3218766526168637,57
57,None,None,Blood Worshipper,Big Smile,Silver,Dark,Bun,Red,None,None,Katana,None,None,None,Dice,None,Chain Necklace,None,None,None,None,None,45.42277540192355,58
58,Fiend Hold,None,MURI Hoodie,Bland,Red,Fiend,Messy,White,None,None,None,None,None,None,None,None,None,None,None,Broken Arrow,None,None,32.31389846035898,59
59,Fiend Hand Palm,None,Brown Formal Dress,Mask,Closed,Fiend,Hime Ponytail,Blue,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,30.772574572888832,60
60,Default Hand Palm,None,Edge Camo Jacket,Biting Lips,Silver,Default,Short Spiky,Light Purple,None,None,None,None,None,None,None,Giant Tomoe,None,None,Knife,None,None,None,44.92647372828173,61
61,None,None,Orange Open Jacket,Mask,Void,Demon,Shag,Off White,None,Clear Glasses,None,None,None,None,None,None,None,None,None,None,None,None,20.598414147081666,62
62,None,None,Red Yakuza Yukata,Bland,Pink,Pale,Straight Headband,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.848210690414229,63
63,None,Blue Cap,Black Haus Hoodie,Grin,Hazel,Pale,Short Fringe,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.027509513403082,64
64,None,Bandana,White Haus Hoodie,Bland,Red,Pale,Long Fringe,Red,None,None,Bat,None,None,None,None,None,None,None,None,None,None,None,30.33792688919191,65
65,Default Open R,None,Green Ribbonstar,Big Smile,Hazel,Default,Long Side Swept,Navy,None,None,None,None,None,None,None,None,Crow,Apple,None,None,None,None,44.79615382428509,66
66,None,None,Maid,Hmm,Closed,Demon,Long Twintail,Off White,Petals,Blood Mark,Katana,None,None,None,None,None,None,None,None,None,None,None,45.86431473132037,67
67,Default Hand ETH,None,Orange Open Jacket,Pout,Closed,Default,Academy,Navy,None,Scar 2,Red Tech Sword,None,None,None,None,Dove,None,None,None,None,None,None,52.467014597361725,68
68,None,Navy Beanie,Open Jacket,Pout,Eye Cover,Darker,Short Fringe,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.172456432372798,69
69,None,None,Black Haus T-Shirt,Open,Pink,Demon,Two Block,Green Gray,None,None,None,None,Side Mask,None,None,None,None,None,None,None,None,None,20.916237999560277,70
70,Default Hand Face,None,Dark Ether,Big Smile,Closed,Default,Bun,Red,None,None,Katana,None,None,Fangs,None,None,None,None,None,None,None,None,39.3127251494099,71
71,None,None,White Haus T-Shirt,Grunt,Void,Dark,Two Block,Light Purple,Petals,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,30.12226131579062,72
72,Default Hold,None,Formal Shirt,Bland,Hazel,Default,Buzz Cut,Blue,None,None,Machete,None,Goggles,None,None,None,None,None,None,Card,None,None,53.45533714198599,73
73,None,None,Raider,Pout,Green,Darker,Twin Bun,Off White,None,None,Dark Machete,None,None,None,None,Evil Wings,None,None,None,None,None,None,30.29956940289792,74
74,Default Hold,None,Red Halter,Meh,Hazel,Default,Braided Bun,Navy,None,None,Sawn-off,None,None,None,None,None,None,None,None,Soda,None,None,39.4134961514454,75
75,Darker Hand ETH,None,Black Haus T-Shirt,Censored,Blue,Darker,Short Spiky,Navy,None,None,Excalibur,None,None,None,None,None,RDBP Duck,None,None,None,None,None,42.674788385830524,76
76,Darker Open L,None,Noble Half Yukata,Open,Hazel,Darker,Bangs Short,Light Purple,None,None,None,phase.module [a globe is rolling] v0.03,Smoke,None,None,None,None,None,None,None,None,None,45.64042632348659,77
77,None,None,Noble Half Yukata,Big Smile,Closed,Dark,Long Locks,Red,None,Mark,None,None,None,None,None,None,None,None,None,None,None,None,16.24173777965214,78
78,Fiend Hold,None,Light Bomber,Bland,Closed,Fiend,Bowl Cut,Light Purple,None,Oval Sunglasses,None,None,None,None,None,Dove,None,None,None,Revolver,None,None,61.33073089979136,79
79,None,Hat,Raider,Bland,Silver,Dark,Bangs Short,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.550076293303075,80
80,Default Hand Palm,None,Light Bomber,Face Mask,Blue,Default,Two Block,White,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,28.84908402987307,81
81,None,Navy Beanie,Plain Haus Denim,Mumble,Blue,Dark,Two Block,Blue,None,None,Bat,None,None,None,None,None,None,None,None,None,None,None,25.428893001113305,82
82,Fiend Hand Face,Dark Spacehelm,Nu Sailor,Big Smile,Hazel,Fiend,Bun,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.15587914352552,83
83,None,None,Yellow Trainer,Hmm,Eye Cover,Pale,Straight Headband,Blue,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,16.85714143400977,84
84,Default Hand ETH,None,White Haus T-Shirt,Biting Lips,Hazel,Default,Long Twintail,White,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,24.082987098366395,85
85,None,Ushanka,Orange Camo,Pout,Green,Pale,Side Fringe,Light Purple,Cash,Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,48.90488023202085,86
86,Default Hand ETH,None,Black Haus Hoodie,Grin,Closed,Default,Slick Back,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.371471930637016,87
87,None,None,Red Haus Hoodie,Bubblegum,Closed,Dark,Slick Back,Red,None,None,Red Excalibur,None,None,None,None,None,None,None,None,None,None,None,14.342443239715877,88
88,None,HAUS Cap,Jet Leather Coat,Grin,Red,Demon,Side Fringe,Navy,None,None,Machete,None,None,None,None,None,None,None,None,None,None,None,29.915673812875003,89
89,Default Open R,None,Yakuza Yukata,Pout,Black,Default,Braided Bun,Blue,Stargazer,None,None,None,Gas Mask,None,None,None,None,Dice,None,None,None,None,58.424084219893935,90
90,None,None,Edge Jacket,A,Black,Darker,Shag,Navy,Ambers,None,None,None,None,None,None,None,None,None,None,None,None,None,19.387086338352795,91
91,None,None,Orange Open Jacket,Face Mask,Closed,Pale,Spiky,Off White,None,None,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,21.060518408248605,92
92,None,Newsboy Hat,Pretty Half Yukata,Pout,Pink,Dark,Straight Headband,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.635267912129565,93
93,None,Navy Beanie,Red Halter,Bland,Silver,Pale,Twin Bun,Green Gray,Ambers,None,Bazooka,None,None,None,None,None,None,None,None,None,None,None,46.00336635557661,94
94,None,Spacehelm,Dark Jeans Hoodie,Big Smile,Green,Demon,Two Block,Dark,None,Mark,Ninjato,None,None,None,None,None,Dark Headphone,None,None,None,None,None,59.70596565462098,95
95,None,None,Blood Formal Dress,Face Mask,Green,Demon,Bun,Dark,White Petals,None,None,None,None,None,None,None,None,None,None,None,None,None,20.46972181034129,96
96,None,Newsboy Hat,Red Haus Hoodie,A,Black,Demon,Hime Ponytail,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.375840580145354,97
97,None,None,Navy Ether,Meh,Hazel,Dark,Bun,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.391396907288115,98
98,None,None,Dark Jeans Hoodie,Smile,Green,Dark,Slick Back,Purple,None,Browline Glasses,Machete,None,None,None,None,None,Crow,None,None,None,None,None,43.810437715159466,99
99,Default Hold,None,Trainer,Face Mask,Black,Default,Short Fringe,Navy,None,None,None,None,None,None,None,Tomoe,None,None,None,Golden Revolver,None,None,43.25502484057615,100
100,Default Hand ETH,Bucket Hat,Light Open Jacket,A,Green,Default,Slick Back,Green Gray,None,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,36.6475398341146,101
101,None,None,Blue Bulletproof T-Shirt,Open,Void,Demon,Long Fringe,Blue,Petals,None,None,None,None,None,None,None,None,None,None,None,None,None,19.97969778420449,102
102,None,Bandana,WAGMI Bomber,Biting Lips,Eye Cover,Darker,Short Spiky,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.301851798746508,103
103,None,None,Male Yukata,Smile,Green,Darker,Bowl Cut,Navy,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,15.235682879200125,104
104,None,None,Light Bomber,Grunt,Black,Darker,Clean,Light Purple,None,None,M4X,None,None,None,None,None,None,None,None,None,None,None,15.496362696266766,105
105,Demon Hand ETH,Hat,Bikini,Big Smile,Silver,Demon,Bob,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.10290037297224,106
106,None,None,Shadow Gaiden,Mask,Blue,Demon,Long Flowy Locks,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.283386506465809,107
107,Dark Hand Face,None,City Assassin,Bland,Blue,Dark,Long Locks,Green Gray,None,Stickers,None,None,Dark Side Mask,Silence,None,Giant Tomoe,None,None,None,None,None,None,74.47078558947254,108
108,Default Hold,None,Azure Gaiden,Mumble,Green,Default,Bangs Short,Blue,Ambers,None,Great Sword,None,None,None,None,None,None,None,None,Revolver,None,None,52.972381754787556,109
109,None,None,Red Yukata Varsity,Open,Hazel,Dark,Short Spiky,Off White,None,None,Bat,None,Goggles,None,None,Corrupted Skulls,None,None,None,None,None,None,44.80598866313723,110
110,Default Hand ETH,None,Brown Koi Tees,Mumble,Green,Default,Long Twintail,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.85631674312382,111
111,Default Hold,Navy Beanie,Indigo City Assassin,Grin,Red Blush,Default,Long Side Swept,Off White,None,None,Bazooka,None,None,None,None,None,None,None,None,Broken Arrow,None,None,54.43365134100442,112
112,None,None,Blood Formal Dress,Big Smile,Blue,Demon,Bun,Navy,None,White Browline Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,19.444539552994065,113
113,Demon Hand Palm,None,Black Haus Hoodie,Big Smile,Eye Cover,Demon,Side Fringe,Blue,None,None,None,None,None,None,None,None,RDBP Duck,None,Cutter,None,None,None,47.17461374635747,114
114,None,None,Blood Worshipper,Grin,Silver,Darker,Hime Ponytail,Off White,None,Mark,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,29.585434453489135,115
115,None,White Bucket Hat,Yellow Trainer,Grin,Green,Dark,Short Ponytail,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.345047703170136,116
116,None,HAUS Cap,Raider,Pout,Black,Darker,Bun,Light Purple,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,31.314304029272783,117
117,Default Open R,None,Green Haus T-Shirt,Big Smile,Green,Default,Spiky,Light Purple,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,28.901272473004514,118
118,None,None,Trainer,Biting Lips,Green,Fiend,Side Fringe,Purple,None,Mark,None,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,36.65563158933525,119
119,None,None,Blood Formal Dress,Hmm,Silver,Dark,Bob,Dark,None,White Browline Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,16.736963275699015,120
120,None,None,Dark Half Yukata,Pout,Pink,Dark,Straight Headband,Green Gray,Stargazer,None,None,None,None,None,None,None,None,None,None,None,None,None,17.94990144702007,121
121,Dark Open L,None,Mono Side Shirt,Open,Green,Dark,Bun,Blue,None,Mark,Sheathed Katana,phase.module [the generation] v0.02,None,None,None,Corrupted Skulls,None,None,None,None,None,None,67.71847796328987,122
122,None,Dark Spacehelm,Black Varsity Jacket,Bland,Blue,Dark,Straight Headband,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.449301648768746,123
123,None,None,Red Yukata Varsity,Mumble,Black,Darker,Messy,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.280231839122639,124
124,None,None,Sky Haus Hoodie,Face Mask,Hazel,Darker,Two Block,Red,None,None,None,None,Demon Horn,None,None,None,None,None,None,None,None,None,19.57117654523941,125
125,Default Open L,None,Red Jeans Hoodie,Meh,Void,Default,Two Block,Green Gray,None,Stickers,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,43.192499167058095,126
126,Demon Hand Palm,None,Brown Koi Tees,Face Mask,Hazel,Demon,Twin Bun,Light Purple,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,32.28253626365845,127
127,None,None,White Haus Hoodie,Big Smile,Green,Darker,Hime Cut,White,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,15.200945882423705,128
128,Default Open R,None,Brown Street Agent,Bland,Silver,Default,Messy,Dark,None,None,None,None,Goggles,None,None,None,None,Dice,None,None,None,None,44.735273496652695,129
129,None,None,Admiral,Open,Silver,Dark,Shag,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.6729377329468407,130
130,Default Hand Palm,None,Trainer,A,Eye Cover,Default,Slick Back,Red,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,29.98552682166082,131
131,Default Hand Face,None,Winter Camo,Biting Lips,Hazel,Default,Side Fringe,Blue,None,None,Blue Saber,None,Gas Mask,Fangs,None,None,None,None,None,None,None,None,54.645440178777186,132
132,None,None,Yakuza Yukata,Pout,Black,Darker,Bowl Cut,Blue,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,13.556968836444122,133
133,Demon Open L,Agent Hat,Red Trainer,Grin,Green,Demon,Short Spiky,Red,None,None,None,phase.module [created to be loved] v0.01,None,None,Rings,None,None,None,None,None,None,None,60.89288628153323,134
134,Demon Hand Face,None,Yakuza Yukata,Mumble,Green,Demon,Academy,Purple,None,None,Red Tech Sword,None,None,Fangs,None,None,None,None,None,None,None,None,43.50180259368581,135
135,None,None,Nu Sailor,Smile,Hazel,Dark,Hime Ponytail,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.257549693242623,136
136,None,None,Crimson Blazer,Big Smile,Blue,Dark,Braided Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.445277786968418,137
137,Default Hand ETH,None,Heart Halter,Open,Hazel,Default,Bangs Short,Green Gray,None,Mark,None,None,None,None,None,None,None,None,None,None,None,None,26.357516259347037,138
138,None,None,Light Fur Coat,Big Smile,Hazel,Fiend,Spiky,Green Gray,Feathers,None,None,None,None,None,None,None,None,None,None,None,None,None,21.465483313462283,139
139,None,White Bucket Hat,Light Open Jacket,Mask,Hazel,Demon,Short Ponytail,Light Purple,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,29.884371775452877,140
140,None,Hat,Blood Worshipper,Meh,Black,Dark,Bob,Light Purple,None,None,None,None,None,None,None,None,Crow,None,None,None,None,None,31.324573968969915,141
141,Default Hand ETH,None,Party Blood,Censored,Pink,Default,Short Ponytail,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.20314819621915,142
142,Dark Hold,Spacehelm,Classic Denim,Meh,Green,Dark,Spiky,Light Purple,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,41.92926586938338,143
143,None,Beanie,Onyx Technocoat,Biting Lips,Silver,Fiend,Bowl Cut,Purple,None,None,Ninjato,None,None,None,Rings,None,None,None,None,None,None,None,47.66610666504492,144
144,None,None,Mono Side Shirt,Smile,Black,Fiend,Bangs Short,Off White,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,17.40105155895785,145
145,Default Hand Palm,None,Light Technocoat,Hmm,Hazel,Default,Side Fringe,Dark,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,28.770879353829677,146
146,None,None,Black Haus Hoodie,Grunt,Pink,Dark,Bun,Blue,None,None,None,None,None,None,Dot,None,None,None,None,None,None,None,16.467526176070983,147
147,None,None,Pretty Half Yukata,Face Mask,Pink,Demon,Bob,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.64973848177407,148
148,Demon Open R,None,Red Haus Hoodie,Mumble,Blue,Demon,Twin Bun,Light Purple,None,None,None,None,None,None,None,None,None,Dice,None,None,None,None,32.36248188972828,149
149,None,None,Blue Male Yukata,Grin,Pink,Fiend,Side Fringe,Navy,None,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,17.548767967543778,150
150,Default Hand ETH,None,Red Sidebelt,Grin,Pink,Default,Braided Bun,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.16391518938659,151
151,None,None,MURI Hoodie,A,Pink,Darker,Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.8930292799982253,152
152,None,None,Raider,Grunt,Black,Darker,Bob,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.0264836632661622,153
153,None,None,White Open Vest,Meh,Red,Demon,Short Spiky,Blue,None,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,15.176648000039469,154
154,None,None,Violet Gown,Face Mask,Hazel,Demon,Long Side Swept,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.349410591788746,155
155,None,None,White Sidebelt,Mumble,Green,Darker,Hime Ponytail,Light Purple,None,Oval Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,18.141157863132964,156
156,None,None,Racer,Mask,Silver,Pale,Long Side Swept,Off White,None,White Browline Sunglasses,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,31.87571949104803,157
157,None,None,Black Haus T-Shirt,Open,Silver,Demon,Side Fringe,Light Purple,Stargazer,None,None,None,None,None,None,None,None,None,None,None,None,None,20.660906589757655,158
158,None,None,Dark Jeans Hoodie,Mumble,Closed,Dark,Slick Back,Blue,None,None,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,15.920098847078833,159
159,None,None,Dark Techno Biker,Grin,Green,Pale,Slick Back,Blue,None,None,Red Tech Sword,None,None,None,None,Ribcage,None,None,None,None,None,None,30.89045657958997,160
160,None,None,Red Halter,Meh,Silver,Demon,Long Side Swept,Blue,None,Browline Glasses,None,None,None,None,None,None,None,None,None,None,None,None,17.918754856018417,161
