,Background,Offhand,Mouth,Eyes,Clothing,Hair,Type,Ear,Neck,Headgear,Face,Special,Rarity score,Token Id
21,Off White B,None,Tactical Knife,Tired,Green Yukata,Powder Blue Swept Back,Human,None,Zen Headphones,None,None,None,21.027135378285664,21
22,Off White B,Leather Katana,Relaxed,Indifferent,Azuki Tech Jacket,Blue Short Spiky,Human,None,None,Chef Headband,None,None,22.95736122585948,22
23,Red,Hand Seal,Whistling,Amethyst,Black Qipao,Black Hairband,Human,None,None,None,None,None,12.654116594235637,23
24,Off White C,Banner,Frown,Joyful,Turquoise Kimono,Maroon Bun,Human,None,None,Pointy Straw Hat,None,None,23.41022861790451,24
25,Off White B,Lantern,Closed,Closed,Cloud Poncho,Maroon Half Bun,Human,None,Zen Headphones,None,None,None,23.36616910460837,25
26,Off White A,Shuriken,Smile,Striking,Blue Qipao,Blue Half Bun,Human,None,None,None,None,None,10.552441775297458,26
27,Off White D,None,Lipstick,Closed,Black Qipao,Brown Blonde Flowy,Human,None,None,None,Sleep Mask,None,15.603996715266305,27
28,Cool Gray,None,Smoking,Determined,Black Yukata,Brown Messy,Human,None,None,None,None,None,5.867660985125667,28
29,Off White B,Floorsweeper,Closed,Indifferent,Kimono with Jacket,Silver Disheveled,Human,None,None,None,Reading Glasses,None,24.131206316988894,29
30,Off White B,Banner,Relaxed,Bored,Azuki Sweater,Brown Disheveled,Human,None,None,None,Red Stripes Face Paint,None,23.449727710214987,30
31,Off White D,None,Smirk,Closed,Blue Qipao,Brown Blonde Flowy,Human,None,Koi Tattoo,None,None,None,16.887823369120643,31
32,Off White C,None,Relaxed,Relaxed,Red Hoodie,Blue Nightshade Flowy,Human,None,None,Black Bucket Hat,None,None,16.806534418366166,32
33,Off White A,None,Face Mask,Closed,Red Floral Kimono,Teal Hairband,Human,Corded Earbuds,None,None,None,None,19.28394130473188,33
34,Off White D,Banner,Grass,Chill,Dress Shirt,Orange Short Spiky,Human,None,None,Sloth Headband,None,None,23.568493691586013,34
35,Off White B,None,Relaxed,Tired,Maroon Yukata,Orange Samurai,Human,Chill,None,None,None,None,20.70611912843682,35
36,Cool Gray,Boombox,Closed,Indifferent,Black Kimono,Buzzcut,Human,None,None,IKZ Baseball Cap,Black Glasses,None,40.82833723827866,36
37,Off White A,Floorsweeper,Tongue Out,Ruby,White Hoodie,Pink Bangs,Human,None,None,None,None,None,10.864609185616523,37
38,Off White A,Katana,Smirk,Joyful,Camo Tech Jacket,Indigo Bangs,Human,None,None,None,None,None,9.319130683521275,38
39,Off White A,Leather Katana,Tongue Out,Closed,Light Armor,Pink Flowy,Human,None,None,None,None,None,7.819914519259656,39
40,Cool Gray,Lantern,Long Stubble,Tired,Straw Poncho,Brown Long,Human,None,None,None,None,Fireflies,34.12392063969845,40
41,Off White B,Bat,Grass,Tired,Green Yukata,Blonde Long,Human,None,None,None,None,None,9.954457571278866,41
42,Off White A,None,Smirk,Amethyst,Azuki Sweater,Orange Pixie,Human,None,None,Backwards Cap,None,None,17.164864760439826,42
43,Off White B,Bean Juice,Laughing,Determined,Black Qipao,Brown Blonde Flowy,Human,Stud,None,None,None,None,27.53389359668082,43
44,Off White D,Lantern,Frown,Determined,Turquoise Kimono,Blonde Flowy,Human,None,Red Panda Headphones,None,None,None,25.595106278544645,44
45,Off White A,None,Laughing,Hopeful,Turquoise Kimono with Bow,Purple Dreadlocks,Human,None,Zen Headphones,None,None,None,20.55448380967443,45
46,Off White A,Hand Seal,Tongue Out,Striking,Frog T-Shirt,Indigo Ponytail,Human,None,None,None,None,None,11.022923737426089,46
47,Off White D,Skateboard,Growl,Bored,Brown Yukata,Purple Spiky,Human,None,None,None,None,None,10.424925459024745,47
48,Off White C,None,Scroll,Determined,Green Yukata,Brown Samurai,Human,None,None,Straw Hat,None,None,17.178057442597932,48
49,Cool Gray,Shuriken,Growl,Careless,Hoshi Jacket,Maroon Disheveled,Human,None,None,None,None,None,13.41917931869743,49
50,Off White A,None,Wheat Straw,Determined,Turquoise Kimono,Indigo Bangs,Human,None,None,Full Bandana,None,None,17.021948778658814,50
51,Red,Sakura Katana,Lipstick,Relaxed,Black Ninja Top,Indigo Bangs,Human,None,None,None,None,None,11.825308244474245,51
52,Off White D,None,Whistling,Careless,Yellow Jumpsuit,Blue Short Spiky,Human,None,None,Red Panda Baseball Cap,None,None,18.09477570780072,52
53,Off White C,Hand Wrap,Chuckle,Determined,Bloody Bomber,Brown Messy,Human,None,None,None,Blue Sunglasses,None,24.085066687816717,53
54,Dark Blue,Guitar,Smile,Calm,Sloth Kimono,Violet Flowy,Human,None,None,None,None,None,13.689571600955095,54
55,Red,Boombox,Smirk,Indifferent,Alpine Jacket,Brown Fluffy,Human,None,None,None,None,None,11.807748427155666,55
56,Red,Gloves,Face Mask,Tired,Black Hoodie,Black Disheveled,Human,None,None,IKZ Baseball Cap,None,None,26.558132809718533,56
57,Off White A,Katana,Scroll,Pierced Eyebrow,Light Kimono,Brown Ponytail,Human,None,None,None,Black Glasses,None,24.685187293630868,57
58,Off White C,Guitar,Smoking,Tired,Suit with Turtleneck,Green Fluffy,Human,None,None,None,None,None,10.330413265817812,58
59,Off White D,None,Pout,Closed,White T-Shirt,Blonde Long,Human,None,None,Backwards Cap,Eye Patch,None,29.230824243409987,59
60,Off White C,Coin,Smoking,Bored,Green Yukata,Purple Spiky,Human,None,None,None,None,None,9.789588020139318,60
61,Cool Gray,Banner,Meh,Closed,Red Kimono,Green Samurai,Human,None,Chain,None,Eye Patch,None,41.42378619980982,61
62,Off White C,Coin,Smirk,Meditating,Blue Kimono,Silver Short Spiky,Blue,None,None,None,None,None,28.021831372536994,62
63,Off White B,Monk Staff,Closed,Hopeful,Cat Kimono,Magenta Flowy,Human,None,None,None,None,None,9.90389956416585,63
64,Red,None,Face Mask,Indifferent,Black Hoodie,Orange Samurai,Human,None,None,None,None,None,6.184223460557725,64
65,Off White D,None,Whistling,Determined,Cat Yukata,Black Swept Back,Human,None,None,None,None,None,3.2338784837635526,65
66,Off White B,Coin,Not Bad,Meditating,Green Yukata,Blonde Short Spiky,Human,None,None,None,None,None,10.2380566000759,66
67,Off White B,Hand Wrap,Lipstick,Amethyst,Tank Top with Jacket,Black Bangs,Human,None,None,None,None,None,10.778875029522661,67
68,Red,None,Grass,Striking,Yellow Bikini,Brown Ponytail,Human,None,None,None,None,None,5.709354347662127,68
69,Off White B,Hand Seal,420,Indifferent,Hawaiian Shirt,Brown Disheveled,Human,None,None,None,None,None,11.368054150070295,69
70,Off White B,Banner,Lipstick,Determined,Red Floral Kimono,Teal Bun,Human,None,Tribal Tattoo,None,None,None,25.66765940772342,70
71,Off White D,None,Relaxed,Focused,Brown Yukata,Indigo Disheveled,Human,None,Towel,None,None,None,19.204756436778418,71
72,Off White D,Lantern,Grass,Determined,Blue Kimono with Bow,Blue Bun,Human,None,None,None,None,None,8.747525021830205,72
73,Off White D,None,Frown,Calm,Turquoise Kimono with Bow,Maroon Ponytail,Human,None,None,None,Red Stripes Face Paint,None,17.703423650243895,73
74,Off White B,Lantern,Relaxed,Determined,Black Kimono,Indigo Disheveled,Human,None,None,None,None,None,8.338608518608947,74
75,Off White A,Shuriken,Pout,Pensive,White T-Shirt,Black Swept Back,Human,None,None,None,None,None,10.640400289663186,75
76,Red,None,Bubble Gum,Closed,Black Qipao,Silver Bangs,Human,None,None,Ayaigasa,None,None,17.549652580270365,76
77,Off White C,Fireball,420,Careless,Azuki Sweater,Brown Messy,Human,Chill,None,Backwards Cap,None,None,42.72509967965561,77
78,Off White A,Hook Sword,Stubble,Focused,Red Perfecto Jacket,Orange Short Spiky,Human,None,None,None,None,None,11.447221869135658,78
79,Off White D,None,Whistling,Chill,White Hoodie,Orange Swept Back,Human,None,None,None,None,None,3.7944797708001543,79
80,Off White A,None,Pout,Meditating,Red Kimono,Teal Long,Human,Chill,Chain,None,None,None,38.52433524441754,80
81,Off White D,None,Scroll,Joyful,Lavender Kimono with Bow,Brown Flowy,Human,None,None,None,None,None,3.917610259819515,81
82,Off White C,Lantern,Smile,Closed,Frog Hoodie,Indigo Bangs,Human,None,None,None,None,None,7.353834883761391,82
83,Off White C,None,Relaxed,Focused,Kimono with Jacket,Orange Samurai,Human,None,None,Horns,None,None,16.79997106194148,83
84,Off White D,Lantern,Smoking,Closed,Suikan,Green Half Bun,Human,None,None,Full Bandana,None,None,21.069125762410483,84
85,Off White A,None,Chuckle,Tired,Red Hoodie,Pink Samurai,Human,None,None,Cat Baseball Cap,None,None,18.121124999930885,85
86,Off White D,None,Chuckle,Meditating,Camo Tech Jacket,Black Fluffy,Human,Small Hoop,None,None,None,None,21.625035148887715,86
87,Cool Gray,Fireball,Smoking,Meditating,Vegan Mink Coat,Indigo Long,Human,None,None,Fur Bucket Hat,Round Purple Sunglasses,Fireflies,63.091011329779874,87
88,Off White D,None,Relaxed,Relaxed,Hoodie with Bag,Purple Bangs,Human,None,None,Backwards Cap,None,None,16.786761674278196,88
89,Off White A,Leather Katana,Meh,Suspicious,Blue Kimono,Green Samurai,Human,None,None,Fur Bucket Hat,None,None,24.131261503281706,89
90,Off White D,None,Smirk,Ruby,Red Floral Kimono,Silver Pixie,Red,None,None,None,None,None,21.58314964155677,90
91,Off White A,Bean Juice,Toothpick,Closed,Red Qipao with Fur,Blonde Flowy,Human,None,None,None,None,None,7.8331265481444365,91
92,Off White D,Katana,Face Mask,Calm,Denim Jacket,Pink Hairband,Human,None,None,None,None,None,10.13472590896692,92
93,Off White C,Sakura Katana,Meh,Focused,Blue Kimono,Powder Blue Swept Back,Human,None,None,None,None,None,9.58954891738889,93
94,Off White C,None,Laughing,Closed,Hoodie,Blue Bun,Human,None,Choker,None,Seer Eyeband,None,32.37848197023334,94
95,Off White D,None,Smirk,Concerned,Blue Qipao,Brown Bangs,Human,None,None,None,None,None,2.8930993744653573,95
96,Off White C,Zanbato,Gaiter,Pensive,White Hoodie,Brown Spiky,Human,None,None,None,None,None,10.61620543415312,96
97,Dark Blue,Zanbato,Toothpick,Closed,Red Panda T-Shirt,Silver Swept Back,Human,None,None,None,None,None,10.765854527372579,97
98,Dark Purple,Coin,Face Mask,Determined,Fur Hoodie,Blonde Short Spiky,Human,None,None,None,None,None,12.781637968576556,98
99,Red,Sake,Relaxed,Focused,Azuki Track Jacket,Magenta Messy,Red,None,None,None,None,None,30.266183824348815,99
100,Off White B,None,Lipstick,Glowing,Stitched Samurai Armor,Blue Bob,Human,None,Chill Headphones,None,None,None,21.053537445521304,100
101,Off White C,Katana,Closed,Determined,Bloody Bomber,Blue Short Spiky,Human,None,Beads,None,None,None,24.412446428214725,101
102,Off White B,Coin,Growl,Focused,Light Kimono,Powder Blue Disheveled,Human,None,None,Cat Headband,None,None,24.232365641500234,102
103,Red,Boombox,Meh,Pierced Eyebrow,Azuki Sweater,Braids,Human,Skull Ear Cuffs,Contract Tattoo,None,None,None,47.39580170940238,103
104,Off White A,Umbrella,Closed,Focused,Fur Hoodie,Indigo Swept Back,Human,None,None,Full Bandana,None,None,23.544323017959677,104
105,Off White A,Monkey King Staff,Face Mask,Indifferent,White Blazer,Indigo Messy,Human,None,None,None,None,None,11.148223390423315,105
106,Off White D,Coin,Chuckle,Closed,Light Kimono,Silver Spiky,Red,None,None,None,None,None,25.768714075327193,106
107,Off White B,None,Meh,Bored,Fur Hoodie,Black Swept Back,Human,None,None,Sloth Mask,None,None,18.422319035418514,107
108,Off White A,Fan,Long Stubble,Meditating,Red Perfecto Jacket,Brown Blonde Long,Human,Wireless Earbuds,None,None,Sleep Mask,None,43.71858189261854,108
109,Off White D,Fan,Laughing,Relaxed,Black Ninja Top,Maroon Bob,Human,None,None,None,None,None,10.040202059443642,109
110,Off White D,Red Bean,Lipstick,Determined,Pink Oversized Kimono,Blonde Flowy,Human,Cat,None,Cat Mask,None,None,41.76230994706131,110
111,Off White A,None,Relaxed,Careless,Light Kimono,Black Fluffy,Human,Wu,None,None,None,None,20.462096807281135,111
112,Off White D,Earth,Chewing,Closed,Yellow Bikini,Indigo Ponytail,Human,None,None,None,Sleep Mask,None,22.453905274700993,112
113,Red,Coin,Grin,Daydreaming,Vest,Black Hairband,Human,None,None,IKZ Baseball Cap,None,None,25.82171674479342,113
114,Off White C,Sakura Katana,Not Bad,Pensive,Red Hoodie,Gray Samurai,Blue,None,None,None,None,None,28.509791796878453,114
115,Off White C,None,Closed,Hopeful,Azuki Track Jacket,Silver Dreadlocks,Human,None,None,None,Black Glasses,None,17.25497749373479,115
116,Off White C,Coin,Relaxed,Closed,Red Kimono,Long Dreadlocks,Human,None,Chain,None,Round Blue Sunglasses,None,37.43423563620729,116
117,Off White A,Katana,Meh,Pierced Eyebrow,White Yukata,Blonde Swept Back,Human,None,None,None,None,None,10.068803858074507,117
118,Off White C,Umbrella,Pout,Focused,Camo Tech Jacket,Blue Spiky,Human,None,None,None,None,None,10.255681291369829,118
119,Cool Gray,Lantern,Smoking,Amethyst,Turquoise Kimono,Maroon Bob,Human,None,Zen Headphones,None,None,None,29.180454668767286,119
120,Cool Gray,None,Toothpick,Joyful,Golden Sloth Kigurumi,Green Ombre Flowy,Human,None,None,None,None,None,7.373626101519559,120
121,Off White C,Golden Shinai,Chuckle,Determined,Red Hoodie,Magenta Messy,Human,None,None,None,None,None,9.637903891592014,121
122,Off White D,Bean Juice,Tactical Knife,Hopeful,Camo Hoodie,Magenta Pigtails,Human,None,None,None,None,None,10.471092795140716,122
123,Off White A,Gloves,Whistling,Meditating,Black Yukata,Black Disheveled,Human,None,None,None,Eye Scar,None,25.105077384398072,123
124,Dark Purple,None,Not Bad,Indifferent,White Layered Yukata,Blonde Long,Human,None,None,None,None,None,6.799816303291291,124
125,Red,None,Chuckle,Focused,Hoshi Jacket,Brown Messy,Human,None,None,Frog Mask,Red Bandana,None,34.73295272941833,125
126,Off White C,Hand Seal,Toothpick,Joyful,Red Ninja Top,Indigo Bangs,Human,None,None,None,None,None,10.400779197462663,126
127,Cool Gray,None,Toothpick,Pensive,Suit with Turtleneck,Black Disheveled,Human,None,Contract Tattoo,Fur Bucket Hat,Round Purple Sunglasses,None,52.7698591745684,127
128,Off White A,None,Chewing,Ruby,Turquoise Kimono with Bow,Violet Flowy,Human,None,Chill Headphones,None,None,None,20.064263406990985,128
129,Off White C,Katana,Growl,Curious,Azuki Tech Jacket,Blonde Swept Back,Human,None,None,None,None,None,9.505994045409896,129
130,Off White D,None,Frown,Closed,Plated Samurai Armor,Pink Hairband,Human,None,None,Red Panda Mask,None,None,15.48542929230834,130
131,Dark Blue,Zanbato,Relaxed,Glowing,White Qipao with Fur,Silver Ponytail,Blue,None,None,None,None,Lightning,52.21561398908124,131
132,Off White B,Monk Staff,Smile,Concerned,Vest,Magenta Flowy,Human,None,None,None,None,None,10.640353451585707,132
133,Off White C,None,Whistling,Relaxed,Sloth Hoodie,Brown Bangs,Human,None,None,Yellow Kanzashi,None,None,18.081579513462515,133
134,Off White A,Bat,Tongue Out,Closed,Tank Top,Powder Blue Pigtails,Human,None,None,None,Sleep Mask,None,22.32641116270126,134
135,Off White D,Katana,Laughing,Red,Blue Kimono with Bow,Orange Pixie,Human,None,Towel,None,None,None,26.50520203912452,135
136,Off White B,Zanbato,Smirk,Closed,Bumblebee Jacket,Violet Flowy,Human,Sword,None,None,None,None,24.9576720103256,136
137,Red,Shinai,Wheat Straw,Pensive,Sloth Kigurumi,Teal Long,Human,None,None,None,None,None,12.755252174342846,137
138,Off White B,Red Bean,Smirk,Focused,White Blazer,Black Swept Back,Human,None,None,None,None,None,10.356795759805335,138
139,Dark Purple,None,Whistling,Amethyst,Black Ninja Top,Blonde Bun,Human,None,None,Newsboy Cap,None,None,21.174627826069205,139
140,Off White D,Floorsweeper,Closed,Closed,Azuki Track Jacket,Silver Swept Back,Human,None,None,None,None,None,6.390939165671984,140
141,Off White C,Fishing Rod,Growl,Pierced Eyebrow,Red Hoodie,Indigo Messy,Human,None,None,None,None,None,10.369976124768462,141
142,Off White D,Zanbato,Lipstick,Determined,Cat Kimono,Brown Flowy,Human,Cat,None,Cat Mask,Eye Scar,None,55.62046996434001,142
143,Off White D,Fan,Frown,Pierced Eyebrow,Cat Hoodie,Blue Bun,Human,None,None,None,None,None,10.411754551368482,143
144,Dark Purple,Bean Juice,Pout,Focused,Matsuri Happi,Orange Swept Back,Human,None,None,None,None,None,13.379605022731294,144
145,Off White B,Banner,Closed,Indifferent,Black Yukata,Brown Spiky,Human,None,None,Red Panda Baseball Cap,None,None,23.07167651019755,145
146,Off White A,Floorsweeper,Chuckle,Meditating,Red Kimono,Green Spiky,Human,None,Chain,Chef Headband,None,None,41.0106230510283,146
147,Off White B,Red Bean,Laughing,Pierced Eyebrow,Tank Top,Silver Flowy,Human,Hoop,None,Fur Bucket Hat,Clear Glasses,None,57.84480606486343,147
148,Off White A,Floorsweeper,Frown,Joyful,Hoodie,Powder Blue Pigtails,Human,None,Choker,None,Red Stripes Face Paint,None,41.25451367135791,148
149,Off White B,Fan,Whistling,Pensive,Cat Yukata,Brown Disheveled,Human,None,None,None,None,None,11.00751329485396,149
150,Off White D,Floorsweeper,Lipstick,Calm,Black Hoodie,Blue Hairband,Human,None,None,None,Round Blue Sunglasses,None,24.21033204050078,150
151,Cool Gray,None,Laughing,Ruby,Red Panda Kimono,Long Dreadlocks,Human,None,None,None,None,None,7.076808663134103,151
152,Red,Banner,Closed,Concerned,Alpine Jacket,Blue Half Bun,Human,None,None,None,None,None,10.798634577553434,152
153,Off White D,Bat,Meh,Careless,Kimono with Jacket,Brown Samurai,Human,None,None,None,None,None,9.695051418966303,153
154,Off White C,None,Chuckle,Meditating,White Layered Yukata,Gray Samurai,Human,None,None,None,Eye Scar,None,18.013426506050095,154
155,Off White C,Bokken,Pout,Closed,White T-Shirt,Black Swept Back,Human,None,Beads,None,None,None,24.22353285308578,155
156,Red,Fan,Pout,Chill,White T-Shirt,Blue Short Spiky,Human,None,Zen Headphones,None,None,None,28.523184112682458,156
157,Off White B,Coin,Relaxed,Chill,Vest,Maroon Half Bun,Human,None,None,None,Eye Scar,None,23.625611313055813,157
158,Off White B,None,Face Mask,Concerned,Vegan Mink Coat,Pink Flowy,Human,None,None,None,None,None,4.618898772297514,158
159,Off White B,Bat,Laughing,Striking,Tank Top with Jacket,Purple Pigtails,Human,None,None,Yellow Kanzashi,None,None,24.085083396249164,159
160,Off White A,Katana,Grin,Hopeful,Black Ninja Top,Blue Bob,Human,None,None,None,None,None,10.07098379975044,160
161,Off White D,None,Not Bad,Suspicious,Maroon Yukata,Silver Dreadlocks,Blue,None,None,None,None,None,22.39651720775255,161
162,Off White A,None,Laughing,Daydreaming,Denim Jacket,Green Ombre Bangs,Blue,None,None,None,None,None,22.981231772672615,162
163,Red,Coin,Laughing,Determined,Sloth Kigurumi,Violet Flowy,Human,None,None,None,None,None,11.484551790003742,163
164,Off White C,Coin,Relaxed,Determined,Frog Kimono,Purple Pigtails,Human,None,None,None,None,None,8.32324887606851,164
165,Off White C,None,Frown,Closed,Light Armor,Teal Hairband,Human,None,None,None,Round Blue Sunglasses,None,15.370994607507408,165
166,Off White B,Leather Katana,Chewing,Closed,Red Ninja Top,Dreadlocks,Human,Ear Cuffs,None,None,None,None,25.428090863131175,166
167,Off White C,Leather Katana,420,Curious,White T-Shirt,Indigo Swept Back,Human,None,None,None,None,None,10.167723437004552,167
168,Off White B,Sakura Katana,Toothpick,Concerned,Cat Hoodie,Blue Hairband,Human,None,None,None,None,None,10.372156504314296,168
169,Off White A,None,Chewing,Determined,Cloud Poncho,Green Ponytail,Human,None,Chill Headphones,None,None,None,19.532286350355424,169
170,Off White D,Leather Katana,Relaxed,Striking,Blue Qipao,Brown Flowy,Human,None,None,None,None,None,8.59363742108826,170
171,Off White A,Umbrella,Grass,Ruby,Red Floral Kimono,Brown Ponytail,Human,None,Beads,None,None,None,26.898698858303717,171
172,Off White C,Katana,Meh,Focused,Black Yukata,Maroon Disheveled,Human,None,Chill Headphones,None,None,None,25.61930553417155,172
173,Off White A,None,Closed,Relaxed,Red Qipao with Fur,Brown Bangs,Human,None,None,None,Reading Glasses,None,17.786965543466255,173
174,Off White B,Umbrella,Closed,Calm,Blue Bikini,Pink Flowy,Human,None,None,None,None,None,9.769792405240365,174
175,Off White A,Sakura Katana,Meh,Closed,Suikan,Brown Samurai,Human,None,None,None,None,None,7.5209336311595445,175
176,Off White B,Banner,Relaxed,Ruby,Red Floral Kimono,Maroon Bun,Human,None,Sneakers,None,None,None,25.641276251052126,176
177,Off White C,None,Surprised,Hopeful,Azuki Sweater,Magenta Pigtails,Human,None,Towel,None,None,None,20.796346418060647,177
178,Off White B,Bokken,Face Mask,Careless,White Yukata,Teal Long,Human,None,None,None,None,None,11.053688106665449,178
179,Off White C,None,Long Stubble,Pensive,White Blazer,Blue Half Bun,Human,None,None,None,Round Blue Sunglasses,None,18.756433854961806,179
180,Off White D,None,Gaiter,Focused,Maroon Yukata,Indigo Long,Human,None,None,Backwards Cap,None,None,17.973867164743773,180
181,Off White D,None,Closed,Focused,White T-Shirt,Blue Half Bun,Human,None,Chill Headphones,None,None,None,18.76726804414835,181
182,Off White D,None,Smirk,Closed,Black Yukata,Magenta Messy,Human,None,None,Horns,Eye Patch,None,28.56695141112083,182
183,Off White B,Sakura Katana,Meh,Meditating,Green Yukata,Blonde Messy,Human,None,None,None,Round Purple Sunglasses,None,24.80606505601928,183
184,Off White B,None,420,Indifferent,White Yukata,Indigo Swept Back,Human,None,Zen Headphones,None,None,None,21.12167923751212,184
185,Off White D,None,Tactical Knife,Hopeful,Rain Jacket,Black Pigtails,Human,None,None,None,None,None,4.137459051022257,185
186,Off White D,Monkey King Staff,Meh,Focused,Sloth Yukata,Powder Blue Disheveled,Human,None,None,None,None,None,10.515079750393584,186
187,Red,Katana,Lipstick,Determined,Azuki Track Jacket,Teal Bob,Human,None,None,None,Red Fang Face Paint,None,25.190773279346683,187
188,Off White C,None,Lipstick,Ruby,Hoodie,Magenta Pigtails,Human,Hoop,Choker,None,None,None,38.106703151405526,188
189,Off White D,Zanbato,Face Mask,Curious,Denim Jacket,Maroon Short Spiky,Human,None,None,None,None,None,10.389752167004747,189
190,Off White B,Fan,Lipstick,Closed,Azuki Track Jacket,Black Bangs,Human,None,None,Ayaigasa,None,None,21.952831547257638,190
191,Off White D,Skateboard,Relaxed,Closed,Blue Kimono,Brown Blonde Long,Human,None,None,None,Sleep Mask,None,21.23387152116667,191
192,Off White A,None,Smirk,Relaxed,Azuki Tech Jacket,Magenta Flowy,Human,None,None,Cat Mask,None,None,17.314357952410152,192
193,Off White D,Bat,Frown,Relaxed,Vest,Violet Flowy,Human,None,None,None,None,None,9.730209314797502,193
194,Off White B,Coin,Frown,Amethyst,Cat T-Shirt,Brown Flowy,Human,None,None,None,None,None,10.534839957644204,194
195,Off White B,Shinai,Grass,Bored,Tank Top,Purple Spiky,Human,None,None,None,Eye Scar,None,25.03250446628061,195
196,Off White A,Lantern,Not Bad,Bored,Maroon Yukata,Indigo Swept Back,Human,None,None,None,Reading Glasses,None,24.421403664231793,196
197,Off White B,None,Closed,Calm,Tank Top with Jacket,Purple Half Bun,Human,None,None,None,Red Fang Face Paint,None,17.65944329084857,197
198,Off White A,None,Laughing,Amethyst,Pink Oversized Kimono,Indigo Bangs,Human,None,Chill Headphones,None,None,None,20.24891230012513,198
199,Red,Bean Juice,Surprised,Joyful,Hawaiian Shirt,Orange Pixie,Human,None,None,None,None,None,12.790422608670177,199
200,Off White D,Sake,Chewing,Calm,Blue Bomber,Green Flowy,Human,None,None,None,None,None,10.25125478031877,200
201,Off White A,None,Chuckle,Curious,Kung Fu Shirt,Teal Messy,Human,None,Cat Headphones,None,None,None,20.93042542861093,201
202,Red,None,Smile,Ruby,Turquoise Kimono with Bow,Purple Pigtails,Human,None,None,Red Panda Headband,None,None,19.798452428966527,202
203,Off White C,Shinai,Pout,Chill,Archer,Blue Samurai,Human,None,None,None,Black Glasses,None,24.744539392826507,203
204,Red,Bat,Grass,Suspicious,Azuki Tech Jacket,Gray Samurai,Red,None,None,Cat Mask,Red Fang Face Paint,None,59.24912970382845,204
205,Off White C,Leather Katana,Bubble Gum,Indifferent,Kimono with Straw Hat,Magenta Messy,Human,None,None,None,None,None,10.013845732073612,205
206,Off White A,None,Closed,Joyful,Turquoise Kimono,Purple Bun,Human,None,None,None,None,None,2.802962456115463,206
207,Off White C,None,Frown,Striking,Turquoise Kimono,Black Teal Bangs,Human,None,None,Red Panda Beanie,None,None,17.850764165172492,207
208,Red,Leather Katana,Relaxed,Indifferent,Black T-Shirt,Silver Disheveled,Human,None,None,None,Red Stripes Face Paint,None,25.26552922018298,208
209,Off White A,None,Smile,Relaxed,Turquoise Kimono with Bow,Dreadlocks,Human,None,None,None,None,None,3.996719263287473,209
