,Head,Mouth,Eyes,Skin,Species,Background,Weapon,Clothing,Fur,Rarity score,Token Id
15,DEVIL HORNS,LAUGHING,BTC,RED,ZOMBIE,MUSTARD YELLOW,AK97,RED HOODIE,None,79.32221203912846,15
16,CYCLOPS HEADSET,CIGARETTE,ANGRY,None,GORILLA,DARK GREY,None,GREEN VEST + T SHIRT,GREY,31.126197424023538,16
17,None,GAS MASK,CRAZY + EYE PATCH,BLACK,ZOMBIE,DARK GREY,None,None,None,3.0605141520847305,17
18,BLACK HAT,SAVAGE,SCARED,None,GORILLA,MILITARY GREEN,AUG,ORANGE PRISON JUMPSUIT,BROWN,84.46196390722385,18
19,BLACK FRKS HAT,CRAZY EYE BALL,CRAZY + EYE PATCH,PINK,ZOMBIE,MINT,None,TOOTH NECKLACE,None,32.35090210101208,19
20,KNIFE IN HEAD,CRAZY,3D GLASSES,RED,ZOMBIE,MUSTARD YELLOW,None,PRISON SHIRT,None,34.16202645781732,20
21,MONKEY HAT,GRASS,SLEEPY,None,GORILLA,MINT,None,None,BROWN,18.77450716309204,21
22,MONKEY HAT,RED BANDANA,BORED,None,GORILLA,DEEP BLUE,BRUEN,BLUE VEST + T SHIRT,WHITE,88.06777539560139,22
23,GLASSES,TASTY,SHOCKED BLUE + RED,None,GORILLA,WHITE,None,None,GOLD + TATTED,26.531725293167042,23
24,SILVER HAIR,SNARLING,BLOODSHOT,None,GORILLA,MUSTARD YELLOW,None,GREEN GENERAL'S SUIT,WHITE,41.71731606132846,24
25,MONKEY HAT,CIGAR,SCARED,None,GORILLA,MUSTARD YELLOW,AUG + KATANA,BLOODY WHITE COAT,RED,87.30464910127368,25
26,BLACK ARMY HELMET,STITCHED MOUTH,RED X + EYE PATCH,WHITE,ZOMBIE,GRANITE,None,RED HOODIE,None,32.4009701425115,26
27,BLACK HAT,SAVAGE,SCARED,None,GORILLA,PURPLE,None,DOUBLE STRAP,LIGHT BROWN,36.3334172834856,27
28,MONKEY HAT,BULLET,ANGRY,None,GORILLA,TREEHOUSE,M45,BULLETPROOF GREEN VEST,GOLD,93.81127230844758,28
29,BLACK NINJA HEADBAND,RED WHITE AND BLUE GRENADE,GREEN X,None,GORILLA,OLIVE.GREEN,None,None,RED,19.39591969244348,29
30,BLONDE HAIR,CIGARETTE,SCARED,None,GORILLA,MILITARY GREEN,None,NEON GREEN COP VEST,RED,32.58546927905097,30
31,SILVER CROWN,SAVAGE + GOLD PILL,BLOODSHOT,None,GORILLA,PURPLE,None,None,WHITE,26.238515871813984,31
32,I HEART ZMBS TRUCKER HAT,BLOODY,BORED,None,GORILLA,MILITARY GREEN,BRUEN,GREEN VEST + T SHIRT,PINK,87.39724668500375,32
33,GLASSES,MULTICOLORED,SLEEPY,None,GORILLA,DEEP BLUE,None,None,RED,21.768437267720213,33
34,SILVER HAIR,CIGARETTE,SLEEPY,None,GORILLA,DEEP BLUE,None,KHAKI OVERALLS,BLACK + TATTED,35.143229907975346,34
35,SILVER CROWN + CROSS EARRING,BULLET,SHOCKED,None,GORILLA,BABY BLUE,None,MINT KING'S ROBE,BLUE,36.52623485933464,35
36,BLACK HAIR,FROWN,SHOCKED BLUE + RED,None,GORILLA,MUSTARD YELLOW,KATANA,I HEART ZOMBIES RED T SHIRT,GREY,83.42202260593204,36
37,BLUE & WHITE HEADBAND,RED JOKER,BLOODY BLINDFOLD,BURNT,ZOMBIE,MINT,None,BLACK KING'S ROBE,None,38.137138217386216,37
38,None,CIGAR,CLOSED,None,GORILLA,WHITE,None,BLUE GENERAL'S SUIT,BLUE,25.004893186464912,38
39,BLACK BEANIE,TONGUE OUT,CRAZY + EYE PATCH,BLUE,ZOMBIE,MINT,None,GREY TRENCH COAT,None,28.274901150617765,39
40,None,GRASS,SHOCKED,None,GORILLA,TREEHOUSE,AUG,SILVER DOG TAGS,GREY,73.35143901087862,40
41,GENERAL'S HAT,DUMB DROOL,RED X + EYE PATCH,BLACK + TATTED,ZOMBIE,PURPLE,AK97,GOLD CROSS,None,80.44593356153706,41
42,RED & WHITE HEADBAND,CRAZY RED PILL,RED X + EYE PATCH,GREEN,ZOMBIE,TAN,None,GOLD CROSS,None,30.966937770110093,42
43,BLACK NINJA HEADBAND,GAS MASK,CRAZY + SCAR,BLACK + TATTED,ZOMBIE,MINT,AK97 RED,None,None,63.88619460541604,43
44,RED VISOR,TONGUE,CLOSED,None,GORILLA,GRANITE,M45,None,WHITE + TATTED,71.83495387481582,44
45,BLACK COWBOY HAT,JOINT,GREEN DRAGON,GREEN,ZOMBIE,GREY,SILVER SAW GUN,KHAKI TRENCH COAT,None,80.97437775950146,45
46,BLACK NINJA HEADBAND + CROSS EARRING,CRAZY BLUE PILL,CRAZY + SCAR,RED,ZOMBIE,ORANGE,AK97,RED T SHIRT + TOOTH NECKLACE,None,83.10425964473248,46
47,BLACK ARMY HELMET,GREEN JOKER,CRAZY + SCAR,WHITE + TATTED,ZOMBIE,DEEP BLUE,None,GOLD CROSS,None,33.21443285651163,47
48,BLACK & GREEN HAT,GAS MASK,MELTING,DIAMOND ROBOT,ZOMBIE,DEEP BLUE,BLACK WIDOW,KHAKI TRENCH COAT,None,85.61993347859742,48
49,None,CIGAR,CLOSED,None,GORILLA,BABY BLUE,None,CUT OFF BLACK TUX,BLACK,25.05525894428498,49
50,RED HAT,CIGAR,SCARED,None,GORILLA,TAN,None,BLUE KING'S ROBE,WHITE + TATTED,40.2246137885739,50
51,BROWN HAIR,FROWN,CLOSED,None,GORILLA,GREY,None,BLACK COWBOY SHIRT,RED,33.12976530711569,51
52,AIR POD,DUMB DROOL,BLOODY BLINDFOLD,GOLD,ZOMBIE,MILITARY GREEN,None,TOOTH NECKLACE,None,34.74074416613802,52
53,BLACK BEANIE,CIGARETTE,BLOODY BLINDFOLD,RED,ZOMBIE,BABY BLUE,None,BLACK KING'S ROBE,None,31.71391619335487,53
54,RED VISOR,EVIL LAUGH,ANGRY,None,GORILLA,MUSTARD YELLOW,None,DOUBLE STRAP,LIGHT BROWN,34.9076596851274,54
55,GREEN BRAIN,LAUGHING,GREEN X,WHITE,ZOMBIE,GREY,None,RED T SHIRT,None,31.94851025442657,55
56,BLACK NINJA HEADBAND,TONGUE,RED DRAGON,None,GORILLA,DARK GREY,M45,BLACK COWBOY SHIRT,RED,84.94043896987675,56
57,BLONDE HAIR,RED BANDANA,SHOCKED,None,GORILLA,GREY,None,KHAKI OVERALLS,PINK,35.52824864528451,57
58,BLOODY BLINDFOLD,FROWN,CRAZY GREEN,None,GORILLA,GREY,None,DOUBLE STRAP,BLACK,38.86599797204289,58
59,SNOWBOARD GOGGLES,BULLET,ANGRY,None,GORILLA,PURPLE,None,JEAN OVERALLS,BLACK,37.85129865875209,59
60,None,TONGUE,SHOCKED BLUE + RED,None,GORILLA,TAN,BLACK RIFLE,GOLD CHAIN,BLACK + TATTED,76.13674488560642,60
61,None,RED JOKER,ROBOT + LASERS,GREY,ZOMBIE,JUNGLE NIGHT,GREEN RPG,RED & WHITE SCARF,None,76.58951761998995,61
62,BLACK ARMY HELMET,GOLD BANDANA,GREEN X,GREY,ZOMBIE,DARK GREY,None,BLACK TUX,None,31.629825666496554,62
63,BLUE BEANIE,GRASS,SHOCKED,None,GORILLA,GRANITE,None,BULLETPROOF BLUE CAMO VEST + SILVER DOG TAGS,WHITE + TATTED,37.77581836929926,63
64,BLACK FRKS HAT,GREEN JOKER,SKEPTICAL,GREY,ZOMBIE,MINT,None,TOOTH NECKLACE,None,32.07413405302896,64
65,BLONDE HAIR,SNARLING,SHOCKED,None,GORILLA,MINT,None,ORANGE PRISON JUMPSUIT,BROWN,34.337475907031525,65
66,RED COWBOY HAT,SALIVATING,RED HEARTS,LIGHT BLUE,ZOMBIE,TAN,AK97,None,None,62.4014895551251,66
67,STITCHES,SALIVATING,CRAZY + EYE PATCH,HALF HALF,ZOMBIE,MUSTARD YELLOW,None,None,None,18.364197836597302,67
68,HEADSET,EVIL LAUGH,ANGRY,None,GORILLA,MILITARY GREEN,None,BLACK COWBOY SHIRT,BLACK + TATTED,38.07775377809449,68
69,BLACK BRA,CRAZY SILVER PILL,CRAZY + EYE PATCH,WHITE + TATTED,ZOMBIE,ORANGE,BLACK WIDOW,BLACK T SHIRT,None,85.18390575231538,69
70,BLUE SNAKES,CRAZY EYE BALL,GREEN MELTING,LIGHT BLUE,ZOMBIE,PURPLE,GREEN SNIPER,GREY TRENCH COAT,None,84.59691074428628,70
71,BLACK ARMY HELMET,GOLD BANDANA,GREEN X,PINK,ZOMBIE,DARK GREY,SILVER & BLACK RPG,RED T SHIRT + TOOTH NECKLACE,None,82.41697672395989,71
72,BLUE SNAKES,LAUGHING,CRAZY + EYE PATCH,LIGHT BLUE,ZOMBIE,GRANITE,None,TOOTH NECKLACE,None,30.06119276578894,72
73,SILVER CROWN,GAS MASK,BLUE DRAGON,WHITE + TATTED,ZOMBIE,DARK GREY,None,None,None,20.058517452855522,73
74,BLACK HAIR,FROWN,SHOCKED,None,GORILLA,MUSTARD YELLOW,AUG + KATANA,NEON GREEN COP VEST,LIGHT BROWN,83.25431370175555,74
75,BLACK COWBOY HAT,GAS MASK,WHITE GLOWING,GREY,ZOMBIE,BABY BLUE,None,BLACK TRENCH COAT,None,31.394585028808113,75
76,BROWN HAIR,RED BANDANA,SHOCKED BLUE + RED,None,GORILLA,DARK GREY,M45,I HEART ZOMBIES BLACK T SHIRT,BLACK,84.56248576435893,76
77,GREEN FRKS HAT,CRAZY,CRAZY + SCAR,GREEN,ZOMBIE,TAN,None,YELLOW & RED SCARF,None,30.00244402458554,77
78,None,CIGARETTE,GREEN MELTING,WHITE + TATTED,ZOMBIE,GREY,None,RED & WHITE SCARF,None,20.35198351403245,78
79,PURPLE HAT,ANGRY MOUTH,WHITE GLOWING,WHITE + TATTED,ZOMBIE,OLIVE.GREEN,AK97 RED,KHAKI TRENCH COAT,None,82.34951883022794,79
80,BLACK ARMY HELMET,CRAZY BLUE PILL,BLACK HEARTS,PINK,ZOMBIE,OLIVE.GREEN,GREEN SNIPER,BLACK TRENCH COAT,None,79.76671749288357,80
81,SILVER CROWN,SALIVATING,RED X,GREEN,ZOMBIE,DESTROYED CITY,None,TOOTH NECKLACE,None,35.73846955332219,81
82,ORANGE CONSTRUCTION HELMET,SAVAGE + BLUE PILL,BORED,None,GORILLA,MILITARY GREEN,None,GOLD DOG TAGS,BLACK,40.46782898177443,82
83,ORANGE CONSTRUCTION HELMET,RED BANDANA,BORED,None,GORILLA,MUSTARD YELLOW,None,BLOODY WHITE COAT,BROWN,38.228678297210095,83
84,None,RED JOKER,BLACK BLEEDING,BURNT,ZOMBIE,DARK GREY,None,TOOTH NECKLACE,None,24.65361352018263,84
85,RED HAIR,CIGARETTE,RED HEARTS,BLUE,ZOMBIE,GREY,GREEN SNIPER,PRISON SHIRT,None,77.51998636454243,85
86,RED HAT,EVIL LAUGH,BORED,None,GORILLA,MUSTARD YELLOW,None,BULLETPROOF BLUE CAMO VEST + SILVER DOG TAGS,WHITE,39.81364440606476,86
87,AIR POD,DUMB DROOL,BLACK HEARTS,BLUE,ZOMBIE,DEEP BLUE,None,GOLD CROSS,None,27.49496529722732,87
88,BLACK ARMY HELMET,GOLD BANDANA,RED X,GREY,ZOMBIE,OLIVE.GREEN,AK97,BLACK HOODIE,None,79.61609318224706,88
89,BLACK BEANIE,JOINT,SKEPTICAL,RED,ZOMBIE,BABY BLUE,None,None,None,15.470928803553354,89
90,BLONDE HAIR,SAVAGE + BLUE PILL,ANGRY,None,GORILLA,GREY,None,BULLETPROOF GREEN VEST,RED,37.07129822443046,90
91,TIE DYE CONSTRUCTION HELMET,THONG,SHOCKED,None,GORILLA,WHITE,BLACK ANGEL WINGS,ROMAN ARMOR,PINK,90.02994670317936,91
92,None,DUMB DROOL,RED X + EYE PATCH,BLUE,ZOMBIE,PURPLE,None,TOOTH NECKLACE,None,18.31352010179294,92
93,GREEN FRKS HAT,CRAZY SILVER PILL,CRAZY + SCAR,LIGHT BLUE,ZOMBIE,WHITE,GREEN RPG,TOOTH NECKLACE,None,80.8903451006809,93
94,RED HAIR,CIGARETTE,RED X,WHITE + TATTED,ZOMBIE,OLIVE.GREEN,AK97 RED,SILVER CROSS,None,77.94798666536647,94
95,BLACK HAIR,SNARLING,SLEEPY,None,GORILLA,DARK GREY,SPEAR,JEAN OVERALLS,BROWN,85.96294431549434,95
96,None,GRASS,ANGRY,None,GORILLA,WHITE,None,I HEART ZOMBIES BLACK T SHIRT,BROWN,23.159833540620316,96
97,None,GRASS,SHOCKED,None,GORILLA,MINT,None,MJ USA JERSEY,GREY,21.8853116118619,97
98,None,LAUGHING,CRAZY + EYE PATCH,GOLD,ZOMBIE,JUNGLE NIGHT,None,GREY TRENCH COAT,None,26.33867713979744,98
99,BROWN HAIR,THONG,ANGRY,None,GORILLA,WHITE,None,None,BROWN,21.11416211039125,99
100,GREEN SNAKES,CIGARETTE,BLACK HEARTS,GREY,ZOMBIE,ORANGE,None,BLACK T SHIRT,None,28.761960517746164,100
101,None,CIGARETTE,BLOODSHOT,None,GORILLA,MUSTARD YELLOW,None,None,GREY,7.186517712347841,101
102,RED HAIR,GAS MASK,SKEPTICAL,GREY,ZOMBIE,BABY BLUE,GREEN RPG,RED T SHIRT + TOOTH NECKLACE,None,80.6891261112408,102
103,GREEN BERET HAT,CIGAR,SHOCKED,None,GORILLA,GRANITE,KATANA,DOUBLE STRAP,BROWN,82.02167223993743,103
104,RED HAT,GRASS,MEAN RED + BLUE,None,GORILLA,DEEP BLUE,None,GOLD CHAIN,BLUE,34.86625472547702,104
105,GREEN BRAIN + BLACK HALO,SEVERED GORILLA ARM,SKEPTICAL,HALF HALF,ZOMBIE,ORANGE,AK97 RED,BLACK TUX,None,87.64930188096368,105
106,KING OF THE RATS,MULTICOLORED,GLOWING,None,GORILLA,WHITE,None,GREEN VEST + T SHIRT,GREY,39.905795875007996,106
107,None,TONGUE OUT,GREEN X,GREEN,ZOMBIE,TAN,None,None,None,1.8615496566980896,107
108,ORANGE CONSTRUCTION HELMET,ONE GOLD,SHOCKED,None,GORILLA,BABY BLUE,None,None,BROWN,20.040795425204706,108
109,None,CRAZY,CRAZY + SCAR,RED,ZOMBIE,MILITARY GREEN,GREEN SNIPER,TOOTH NECKLACE,None,69.4453005206987,109
110,SILVER HAIR,RED WHITE AND BLUE GRENADE,SQUINTING,None,GORILLA,WHITE,None,DOUBLE STRAP,PINK,38.08596231243569,110
111,AIR POD,JOINT,BTC,GREEN,ZOMBIE,PURPLE,GREEN SNIPER,ZOBE LA JERSEY,None,76.78138844722831,111
112,SURGEON'S CAP,RED BANDANA,SCARED,None,GORILLA,DARK GREY,None,BLOODY WHITE COAT,LIGHT BROWN,37.49070426461725,112
113,BLUE FRKS HAT,CIGAR,SQUINTING,None,GORILLA,ORANGE,KATANA,MJ BULLS JERSEY,GOLD,89.55200412029286,113
114,BLACK FRKS HAT,BLACK BANDANA,BULLET HOLE,None,GORILLA,MILITARY GREEN,None,TIE DYE TANK,BLACK,40.87063679227402,114
115,PURPLE HAT,CRAZY EYE BALL,GREEN X,BURNT,ZOMBIE,WHITE,None,BLACK T SHIRT,None,34.07855652047648,115
116,BLACK COWBOY HAT,LAUGHING,BLACK HEARTS,WHITE + TATTED,ZOMBIE,MUSTARD YELLOW,None,KHAKI TRENCH COAT,None,32.107374093344376,116
117,BLACK CROWN,BUBBLE GUM,ANGRY,None,GORILLA,DEEP BLUE,BRUEN,MINT KING'S ROBE,WHITE,88.1181730172343,117
118,BLACK HAIR,RED WHITE AND BLUE GRENADE,SHOCKED,None,GORILLA,WHITE,AUG,None,BLUE,68.08630397075133,118
119,BLACK COWBOY HAT,SALIVATING,GREEN MELTING,LIGHT BLUE,ZOMBIE,BABY BLUE,None,BLACK HOODIE,None,30.128295108110777,119
120,HEADSET,RED BANDANA,SHOCKED BLUE + RED,None,GORILLA,OLIVE.GREEN,None,BLOODY WHITE COAT,BLUE,37.04618957323426,120
121,GREEN BRAIN + BLACK HALO,STITCHED MOUTH,RED HEARTS,PINK,ZOMBIE,ORANGE,GREEN SNIPER,RED HOODIE,None,84.52143800781583,121
122,EXPLODING BRAIN,DEAD ROSE,SKEPTICAL,BURNT,ZOMBIE,DARK GREY,None,None,None,21.316267580203295,122
123,BROWN HAIR,PEARLY WHITES,SHOCKED BLUE + RED,None,GORILLA,GREY,BRUEN + BARBED WIRE BASEBALL BAT,None,BLACK,70.84533807892748,123
124,MONKEY HAT,RED WHITE AND BLUE GRENADE,SLEEPY,None,GORILLA,MILITARY GREEN,BRUEN + BARBED WIRE BASEBALL BAT,BULLETPROOF BLACK VEST,HALF HALF,90.47451001008037,124
125,AIR POD,LAUGHING,BLACK BLEEDING,GREY,ZOMBIE,WHITE,BLACK SAW GUN,BLACK T SHIRT,None,80.90712949504922,125
126,None,GOLD GRENADE,SHOCKED BLUE + RED,None,GORILLA,OLIVE.GREEN,AUG,TIE DYE TANK,LIGHT BROWN,75.48218380000763,126
127,None,RED JOKER,WHITE GLOWING,BLACK,ZOMBIE,GRANITE,BLACK SAW GUN,TOOTH NECKLACE,None,72.27973777068577,127
128,None,SAVAGE + RED PILL,SCARED,None,GORILLA,PURPLE,AUG,None,GREY,58.335053179656015,128
129,GREEN BRAIN,SALIVATING,WHITE GLOWING,GREY,ZOMBIE,BABY BLUE,GREEN RPG,KHAKI TRENCH COAT,None,81.49419075134318,129
130,BLACK NINJA HEADBAND,RED WHITE AND BLUE GRENADE,BORED,None,GORILLA,TAN,None,GOLD CHAIN,BROWN,35.126532738035024,130
131,KING OF THE RATS,SAVAGE + GOLD PILL,SCARED,None,GORILLA,GRANITE,KATANA,CUT OFF BLACK TUX,BLUE,86.79317043559998,131
132,NEON GREEN BEANIE,GRASS,SLEEPY,None,GORILLA,TAN,None,GREEN GENERAL'S SUIT,BLACK + TATTED,38.56414223078414,132
133,KING OF THE RATS,RED BANDANA,CLOSED,None,GORILLA,PURPLE,WOODEN RIFLE,NEON GREEN COP VEST,GOLD + TATTED,88.96506781331685,133
134,WHITE.HAIR,CIGARETTE,CRAZY + EYE PATCH,PINK,ZOMBIE,BABY BLUE,None,RED HOODIE,None,28.988392984284335,134
135,BLUE SNAKES,SEVERED GORILLA ARM,BLACK HEARTS,BLUE,ZOMBIE,GREY,None,BLACK HOODIE,None,33.26474158191532,135
136,BLUE FRKS HAT,ROAR,CLOSED,None,GORILLA,TAN,None,SILVER DOG TAGS,BLUE,34.48843145471087,136
137,RED HAT,RED BANDANA,SHOCKED BLUE + RED,None,GORILLA,WHITE,BRUEN,BULLETPROOF GREEN VEST,BLUE,84.65466910772548,137
138,ORANGE CONSTRUCTION HELMET,CIGARETTE,GLOWING,None,GORILLA,BABY BLUE,BLACK RIFLE,None,GREY,69.11015690356946,138
139,GREEN FRKS HAT,RED JOKER,SKEPTICAL,RED,ZOMBIE,MUSTARD YELLOW,None,None,None,18.7834839357962,139
140,SNOWBOARD GOGGLES,GRASS,ANGRY,None,GORILLA,BABY BLUE,BRUEN,GREEN GENERAL'S SUIT,GREY,84.15997064267665,140
141,None,DUMB DROOL,CRAZY + SCAR,BLUE,ZOMBIE,GRANITE,None,None,None,2.9765972177985023,141
142,NEON GREEN BEANIE,ROAR,SHOCKED,None,GORILLA,OLIVE.GREEN,None,BLACK OVERALLS,BLACK + TATTED,38.75696063648396,142
143,RED VISOR,EVIL LAUGH,ANGRY,None,GORILLA,OLIVE.GREEN,None,GOLD CHAIN,GREY,33.759217779678764,143
144,RED VISOR,FROWN,SLEEPY,None,GORILLA,MILITARY GREEN,None,None,BLACK,19.973775261751097,144
145,None,CIGARETTE,CRAZY + EYE PATCH,HALF HALF,ZOMBIE,GRANITE,AK97,None,None,50.99878921791144,145
146,RED BRA,CRAZY BLUE PILL,3D GLASSES,PINK,ZOMBIE,GRANITE,AK97,RED HOODIE,None,80.92395498006162,146
147,BLACK COWBOY HAT,GREEN JOKER,BLACK HEARTS,GREY,ZOMBIE,OLIVE.GREEN,AK97,RED T SHIRT + TOOTH NECKLACE,None,80.16923261847498,147
148,RAINBOW MOWHAWK,LAUGHING,MELTING,BLACK + TATTED,ZOMBIE,GRANITE,AK97,RED T SHIRT,None,83.27195596693406,148
149,PURPLE HAT,SALIVATING,RED X,RED,ZOMBIE,BABY BLUE,None,ZOBE LM JERSEY,None,32.26711850743978,149
150,RED HAT,SNARLING,SQUINTING,None,GORILLA,OLIVE.GREEN,None,ORANGE PRISON JUMPSUIT,PINK,36.6268254652697,150
151,MONKEY HAT,WHISTLE,SHOCKED,None,GORILLA,WHITE,BLACK RIFLE,None,LIGHT BROWN,68.56434887006942,151
152,BLACK CROWN,SAVAGE + SILVER PILL,SHOCKED,None,GORILLA,MINT,DUAL KATANA,NEON GREEN COP VEST,WHITE,89.25025739495645,152
153,GENERAL'S HAT,CIGARETTE,RED HEARTS,WHITE,ZOMBIE,DARK GREY,None,ZOBE LA JERSEY,None,30.975979062316377,153
154,None,ANGRY MOUTH,GREEN MELTING,BLACK + TATTED,ZOMBIE,MINT,RED SNIPER,GREY TRENCH COAT,None,71.90238581216305,154
155,MONKEY HAT,WHISTLE,SHOCKED BLUE + RED,None,GORILLA,TAN,None,None,BLACK,20.47694475180391,155
156,BLACK HALO,TONGUE OUT,WHITE GLOWING,GREY,ZOMBIE,HEADQUARTERS,None,GREEN KING'S ROBE,None,39.922708605110884,156
157,HALO,FROWN,ANGRY,None,GORILLA,MINT,None,None,PINK,20.35951688955901,157
158,BLACK NINJA HEADBAND,TONGUE OUT,BTC,GOLD,ZOMBIE,BABY BLUE,None,None,None,15.454531037185248,158
159,BLACK & GREEN HAT,DUMB DROOL,CRAZY + EYE PATCH,BLUE,ZOMBIE,PURPLE,AK97 RED,GOLD CROSS,None,77.17547866447396,159
160,BLACK FRKS HAT,CRAZY SILVER PILL,SKEPTICAL,RED,ZOMBIE,GREY,None,RED & WHITE SCARF,None,33.34045836320433,160
161,None,DUMB DROOL,BLACK HEARTS,BLUE,ZOMBIE,MILITARY GREEN,RED SNIPER,KHAKI TRENCH COAT,None,67.16434316913826,161
162,BLACK BEANIE,GREEN JOKER,RED HEARTS,WHITE,ZOMBIE,OLIVE.GREEN,AK97,None,None,65.66368645460794,162
163,KNIFE IN HEAD,CRAZY,RED X + EYE PATCH,GREY,ZOMBIE,BABY BLUE,None,None,None,17.16498593101026,163
164,RED HAT,WHISTLE,ANGRY,None,GORILLA,PURPLE,None,JEAN OVERALLS,RED,33.90973889954337,164
165,BLUE FRKS HAT,FROWN,SHOCKED,None,GORILLA,TAN,AUG,DOUBLE STRAP,GOLD ROBOT,84.21034645904022,165
166,BLACK NINJA HEADBAND,LAUGHING,ROBOT + LASERS,BURNT,ZOMBIE,WHITE,None,None,None,18.93482191512624,166
167,BLACK FRKS HAT,ANGRY MOUTH,CRAZY + EYE PATCH,WHITE + TATTED,ZOMBIE,GRANITE,AK97,RED HOODIE,None,79.02902354889056,167
168,SILVER HAIR,CIGARETTE,RED DRAGON,None,GORILLA,BABY BLUE,BLACK RIFLE,MJ BULLS JERSEY,BROWN,84.24480578879594,168
169,BLUE BEANIE,GRASS,CLOSED,None,GORILLA,PURPLE,AUG,BLACK OVERALLS,LIGHT BROWN,82.5499789047475,169
170,BLUE FRKS HAT,WHISTLE,SHOCKED,None,GORILLA,WHITE,None,KHAKI OVERALLS,PINK,35.33527090171948,170
171,HALO,SAVAGE,BORED,None,GORILLA,DARK GREY,None,BLACK COWBOY SHIRT,BLUE,39.30209278332806,171
172,BLACK HAIR,GREEN GRENADE,GREEN X,None,GORILLA,OLIVE.GREEN,None,BLACK OVERALLS,LIGHT BROWN,36.83714279180444,172
173,RED HAT,BULLET,RED X,None,GORILLA,BABY BLUE,WOODEN RIFLE,ORANGE PRISON JUMPSUIT,HALF HALF,89.34269984647825,173
174,MONKEY HAT,SNARLING,SQUINTING,None,GORILLA,MUSTARD YELLOW,None,BLACK OVERALLS,BLACK,37.75061829751169,174
175,BLACK COWBOY HAT,ANGRY MOUTH,GREEN X,BLACK + TATTED,ZOMBIE,GRANITE,None,GOLD CROSS,None,29.013294507480524,175
176,None,SALIVATING,BLACK HEARTS,PINK,ZOMBIE,WHITE,None,TOOTH NECKLACE,None,19.29464055682081,176
177,BLACK ARMY HELMET,CIGARETTE,3D GLASSES,GREEN,ZOMBIE,ORANGE,GREEN RPG + SNIPER,BLACK TUX,None,76.74008489616246,177
178,BLONDE HAIR,BUBBLE GUM,MEAN RED + BLUE,None,GORILLA,TAN,BRUEN,BLUE VEST + T SHIRT,BLACK + TATTED,91.07826425541545,178
179,RED & WHITE HEADBAND,CRAZY RED PILL,GREEN X,DIAMOND ROBOT,ZOMBIE,GRANITE,GREEN SNIPER,SILVER CROSS,None,83.09622970105524,179
180,SILVER CROWN,GREEN JOKER,CRAZY + EYE PATCH,GREEN,ZOMBIE,DESTROYED CITY,SILVER SAW GUN,BLACK TRENCH COAT,None,86.34894760374196,180
181,None,FROWN,SQUINTING + SCAR,None,GORILLA,GRANITE,DUAL KATANA,NEON GREEN COP VEST,BLUE,74.52628857476039,181
182,None,CIGARETTE,RED X + EYE PATCH,LIGHT BLUE,ZOMBIE,PURPLE,AK97 RED,None,None,47.895894759545115,182
183,SILVER CROWN + CROSS EARRING,MULTICOLORED,CRAZY GREEN,None,GORILLA,JUNGLE NIGHT,None,None,BROWN,30.581917331960508,183
