,Mouth,Clothes,Eyes,Hat,Earring,Fur,Background,Rarity score,Token Id
47,22,0,0,0,0,11,5,20.16908143000912,48
48,0,13,8,8,0,13,0,38.525716079641896,49
49,1,32,0,4,0,12,7,34.80667659484008,50
50,26,24,2,28,0,12,4,51.93010680666678,51
51,15,14,3,5,0,1,2,43.17775414973034,52
52,14,9,15,11,0,14,1,53.18336629643509,53
53,1,32,9,0,3,5,0,70.18926122850026,54
54,0,10,13,3,0,1,3,32.16391663419763,55
55,0,29,18,3,5,5,6,81.12070440426906,56
56,26,42,13,2,0,2,6,47.5777776504738,57
57,0,0,3,1,1,2,5,57.18708188425404,58
58,6,36,3,2,0,7,0,47.16910492208305,59
59,0,32,2,0,0,11,6,23.833584518806585,60
60,23,14,1,0,1,7,2,74.8547468043742,61
61,5,0,12,12,0,11,5,39.99006543176292,62
62,0,21,0,17,3,11,3,72.10319296667468,63
63,31,0,19,0,0,8,2,30.53607495748355,64
64,0,37,2,14,4,9,2,79.24093131996963,65
65,0,8,5,0,6,1,3,62.806241370793614,66
66,11,20,11,0,1,8,4,76.9661717724519,67
67,10,35,13,0,0,3,1,37.42906813399143,68
68,3,9,3,1,0,3,4,41.67239045584698,69
69,1,32,0,25,2,2,0,69.86233538284252,70
70,10,9,2,0,0,1,3,29.44617083090806,71
71,10,2,20,27,0,9,4,52.82919340165916,72
72,18,3,19,0,0,4,7,38.27364199397452,73
73,9,14,18,20,0,0,0,46.13382826237839,74
74,1,1,0,15,0,0,6,27.212021924299894,75
75,1,21,2,8,3,18,5,84.70997283794817,76
76,2,24,15,1,0,3,4,45.016699320454066,77
77,15,26,3,0,0,3,7,34.575098565557454,78
78,2,31,0,17,0,5,0,38.198712072427526,79
79,12,34,15,23,4,1,6,89.23233021157456,80
80,2,9,13,13,0,5,7,46.9715335369009,81
81,0,17,0,0,2,5,7,54.558021096183296,82
82,1,2,2,1,0,3,5,35.583146815782804,83
83,3,23,2,6,1,1,4,78.42356507424941,84
84,24,0,1,2,0,6,5,36.468658288383274,85
85,2,36,0,0,5,13,1,71.40849328509292,86
86,14,16,12,0,0,1,4,32.5317277547218,87
87,5,0,2,2,2,2,2,70.16196685684606,88
88,1,8,3,30,2,3,3,79.26812100656883,89
89,25,11,15,2,0,8,4,51.27621710799464,90
90,4,0,3,21,4,5,1,77.34066863878513,91
91,9,1,16,10,0,14,1,51.862008904779024,92
92,3,15,0,27,0,17,0,42.48302077194707,93
93,20,22,9,22,4,2,7,89.28000376090861,94
94,5,0,10,12,0,4,5,37.67423777627792,95
95,15,0,6,34,0,15,6,43.10279985180129,96
96,3,0,14,7,0,10,1,37.77643553670063,97
97,3,36,19,0,0,2,0,32.33421875232303,98
98,8,9,5,4,0,1,4,43.43653190777867,99
99,31,29,0,17,1,3,5,81.51572098457031,100
100,6,32,0,0,0,0,3,23.356785923065022,101
101,0,15,9,5,0,4,1,36.08045078731914,102
102,1,8,13,13,3,5,4,83.81096511266638,103
103,5,17,6,19,0,8,3,49.18524087144567,104
104,1,33,3,2,0,14,7,41.13436756926509,105
105,3,1,14,5,0,8,6,46.808064158325315,106
106,1,12,21,17,0,6,0,44.15176779694281,107
107,0,18,4,0,1,2,7,58.297347263029295,108
108,12,42,4,0,0,7,3,37.96715196848856,109
109,1,9,5,17,4,9,1,84.03572044934221,110
110,28,0,6,0,0,5,2,26.88511256993646,111
111,2,13,5,1,0,1,2,39.302078024538034,112
112,1,6,3,16,0,4,4,39.2544360207409,113
113,8,25,11,0,0,1,2,32.9404076513121,114
114,16,0,4,3,0,5,0,37.36095158809771,115
115,19,19,0,22,0,5,0,42.3876535920848,116
116,0,0,1,11,4,4,7,65.01295177410071,117
117,3,0,7,0,4,7,2,66.08225874272212,118
118,0,10,16,0,0,15,1,27.88644354123479,119
119,0,0,3,0,0,12,5,13.412020877700185,120
120,0,0,5,5,0,0,2,20.754851001894853,121
121,2,29,3,0,0,2,6,28.15884446164513,122
122,22,30,1,22,0,0,1,44.00872850548056,123
123,5,0,3,15,0,0,7,30.495095744743782,124
124,5,29,8,4,0,0,3,43.40932142841953,125
125,5,18,6,25,0,1,1,43.96784538714702,126
126,5,0,3,26,0,5,5,36.23705730612309,127
127,2,7,20,8,5,1,3,86.75320239274158,128
128,0,0,0,2,0,12,7,18.43215905900309,129
129,5,40,0,9,0,2,2,37.054389855095934,130
130,0,33,1,5,0,8,0,34.61601323133852,131
131,11,0,0,7,0,4,5,29.807162119008705,132
132,0,38,13,10,0,0,7,33.51939540290747,133
133,9,38,0,0,0,2,2,25.298075134066416,134
134,2,5,14,18,4,13,4,91.44574859214003,135
135,17,26,0,11,0,9,1,43.579621390830894,136
136,14,18,8,0,0,9,0,37.46995555201645,137
137,0,0,3,5,2,2,5,59.475590795660494,138
138,12,0,2,7,4,0,5,73.54021138775438,139
139,1,20,6,0,0,3,4,27.382336951462214,140
140,2,0,9,9,0,6,7,35.84204288290061,141
141,0,0,15,15,0,1,7,22.301029698269918,142
142,3,41,8,14,5,8,1,92.37884828800314,143
143,11,42,8,1,0,2,6,44.3424268596611,144
144,6,36,1,0,0,1,3,29.010250339103916,145
145,0,0,5,5,0,10,6,26.639848267020128,146
146,1,14,7,9,5,1,2,79.91515789650654,147
147,1,0,0,0,0,0,5,4.652337106629995,148
148,4,22,1,2,1,7,6,83.4908045988706,149
149,12,0,2,11,0,14,6,39.28173398502437,150
150,2,41,5,18,0,7,6,48.15666357596922,151
151,12,25,11,2,0,4,0,48.81741397828952,152
152,6,17,0,20,0,15,5,44.069996543969005,153
153,9,8,1,36,0,11,0,48.871936035984156,154
154,3,8,12,3,0,0,0,41.46128552956215,155
155,3,8,15,4,3,5,4,88.52396577733438,156
156,0,10,0,3,0,10,7,28.976180593284788,157
157,0,14,3,16,0,2,2,31.728028410413955,158
158,0,9,10,0,1,7,7,63.5554502055367,159
159,4,1,2,25,0,8,1,46.25639086162537,160
160,1,0,9,31,0,1,7,26.735282130312566,161
161,1,0,3,8,0,4,0,28.01576859155317,162
162,28,36,11,2,5,2,6,90.36971213756743,163
163,30,38,1,14,3,5,7,90.00191464310484,164
164,13,32,5,0,0,7,3,37.69470372131156,165
165,12,1,14,0,0,11,1,37.85138338427363,166
166,1,20,0,0,0,1,7,15.080821686778709,167
167,9,0,1,19,1,6,6,75.50163957330986,168
168,1,25,0,8,0,12,7,34.881611531738486,169
169,11,0,7,23,0,2,6,35.14725500919583,170
170,1,1,5,1,0,6,7,38.185080299764785,171
171,0,12,11,15,5,1,6,76.12155561060663,172
172,2,28,0,13,0,2,7,34.8815735280666,173
173,4,5,0,36,0,5,6,39.88110234234416,174
174,0,13,2,18,0,3,6,34.1323553739135,175
175,2,24,2,27,4,12,6,89.53877363236802,176
176,0,16,15,4,0,5,0,37.08170430753486,177
177,16,8,11,5,2,6,6,90.0495803042123,178
178,6,0,20,15,0,3,4,39.615456715177544,179
179,0,29,3,0,0,1,1,17.79186240151585,180
180,1,0,0,14,0,5,3,22.205684745489858,181
181,1,0,11,0,1,5,7,56.69670387038678,182
182,3,2,3,10,0,0,4,39.07055448790159,183
183,0,0,12,0,0,3,7,12.914788615999683,184
184,30,0,18,15,0,6,7,41.80873324667609,185
185,1,23,2,3,0,1,3,33.723681207652206,186
186,12,4,2,10,0,5,2,46.86259266801368,187
187,5,38,12,3,0,2,6,44.85328085335903,188
188,32,5,0,0,0,0,4,24.48753875543026,189
189,2,25,0,2,0,3,5,36.611632331692924,190
190,30,0,7,0,0,0,1,21.94006565656059,191
191,1,17,2,19,0,12,3,41.45452449930227,192
192,15,8,18,0,0,10,5,40.051434577006624,193
193,5,42,17,1,0,5,2,48.65394459930452,194
194,2,12,7,12,0,7,1,47.05330550976529,195
195,14,12,0,12,1,11,7,81.55656610018727,196
196,13,3,13,16,0,1,3,45.50036578422213,197
197,5,13,2,33,0,0,7,41.93128007206284,198
198,0,0,14,0,0,1,4,9.08674372476852,199
199,16,11,1,7,0,0,4,41.63159553100115,200
200,0,3,10,0,3,2,0,61.10345542316858,201
201,8,13,16,20,0,8,4,51.814277279313146,202
202,1,7,7,1,0,12,1,40.569023781935286,203
203,17,0,5,27,4,0,2,77.68804751798312,204
204,3,5,9,10,0,2,7,42.34675470070986,205
205,0,32,5,11,0,0,7,32.157084617540775,206
206,10,0,9,14,0,4,5,38.97522603173826,207
207,5,1,0,1,0,1,3,31.850520735375614,208
208,5,4,11,0,0,1,6,30.488322528885853,209
209,23,19,9,0,0,17,5,41.583969311982024,210
210,0,1,11,0,0,0,5,18.908888091479223,211
211,4,1,1,0,0,5,5,30.678995215072753,212
212,1,29,9,26,0,3,1,42.1629140307704,213
213,1,1,16,5,0,1,0,35.91691615131086,214
214,3,16,4,14,5,9,1,91.03032702072514,215
215,2,3,1,15,0,5,4,42.66691234667994,216
216,10,16,1,6,0,0,1,41.51579755177742,217
217,1,13,2,0,0,7,0,26.701182991258758,218
218,0,15,13,0,0,2,4,20.911491230820456,219
219,0,23,6,0,0,0,1,18.98386533788225,220
220,0,0,5,4,1,14,2,67.15844792259274,221
221,16,15,12,0,0,0,6,32.776951899343985,222
222,28,4,7,10,0,2,5,46.12699051170778,223
223,1,0,1,0,3,8,7,57.1938888103701,224
224,0,15,1,24,4,3,4,75.85596017352879,225
225,19,14,10,8,0,1,6,45.493584675224604,226
226,27,0,6,0,0,8,4,27.634397416390428,227
227,3,39,16,12,0,2,5,45.091659355672206,228
228,8,11,0,3,0,1,0,34.97017537006214,229
229,6,8,4,20,0,0,5,44.17216131757245,230
230,19,9,10,20,0,0,0,45.88181297341578,231
231,9,16,12,18,0,7,3,51.2898617832801,232
232,0,33,2,18,0,1,7,30.49513088645826,233
233,0,13,0,11,0,1,3,23.81315729678952,234
234,7,6,1,12,0,3,2,45.84776402254014,235
235,0,0,7,12,1,6,0,65.36710459177665,236
236,1,18,1,31,0,3,6,38.73000834224865,237
237,3,11,1,22,0,1,3,39.56097265897123,238
238,3,5,6,1,0,0,2,39.6154122552813,239
239,1,0,0,28,0,8,6,24.235488325572003,240
240,1,5,3,24,3,6,1,82.03332883991914,241
241,0,1,0,35,0,9,4,29.732302475568257,242
242,6,41,10,4,0,9,2,51.14003206218206,243
243,0,0,18,0,3,1,2,51.826801983636905,244
244,13,30,0,17,0,5,7,41.57027587669942,245
245,3,6,3,5,0,8,4,45.05758100637595,246
246,5,29,18,13,0,7,2,51.610005805235694,247
247,0,9,2,0,0,0,7,16.572555775722915,248
248,0,8,13,3,1,3,3,75.09993007463288,249
249,11,0,8,2,0,4,0,37.0680581975177,250
250,4,2,0,12,0,1,7,33.662362984124464,251
251,3,26,3,11,2,1,1,80.11948314675139,252
252,1,0,0,9,5,7,0,66.00735822341697,253
253,0,5,0,16,0,3,7,27.53897287919514,254
254,2,3,0,18,4,11,5,81.67234902380369,255
255,0,10,3,5,0,4,5,34.22092351192863,256
256,14,6,11,17,0,2,4,46.14740984126761,257
257,5,4,15,0,0,0,0,30.794818286611438,258
258,1,29,2,31,0,2,5,37.013561235413334,259
259,10,11,3,0,0,7,0,35.0587334735532,260
260,10,10,0,17,0,2,1,37.265577960199415,261
261,5,23,1,36,4,11,6,90.20620977776794,262
262,1,10,3,19,0,15,4,42.707774667477025,263
263,2,37,5,12,0,0,4,42.06747873533925,264
264,9,43,0,17,3,2,3,79.84708867451356,265
265,0,14,11,3,0,5,0,36.182609824179394,266
266,0,7,17,33,0,0,2,34.82039297750488,267
267,7,2,0,10,0,6,2,40.86876424914658,268
268,1,0,5,4,0,2,3,25.781654117004322,269
269,0,29,11,32,0,0,0,34.18010206276561,270
270,2,9,4,1,0,11,2,45.56845292582693,271
271,4,5,1,8,0,6,1,44.84653057492084,272
272,0,32,11,15,0,6,6,38.648264332527305,273
273,30,5,3,16,1,6,7,88.10852986665446,274
274,7,8,11,1,0,8,0,48.170359163144646,275
275,0,1,11,19,6,4,6,80.75291694678704,276
276,5,13,4,36,0,5,2,48.837824702325136,277
277,0,12,9,32,0,12,4,40.04463697289356,278
278,3,22,4,26,0,2,4,43.38201199788269,279
279,0,0,18,0,0,1,5,9.924539343170375,280
280,11,9,2,10,1,12,3,87.87693964303956,281
281,0,37,6,0,0,6,7,24.86891782687146,282
282,2,6,1,4,0,9,3,43.93377348888919,283
283,10,1,6,0,0,3,0,34.350328883748304,284
284,10,25,1,13,0,15,7,49.92762700935134,285
285,2,34,0,9,0,2,1,34.50018513557772,286
286,0,24,3,14,1,1,0,69.5967220205575,287
287,3,35,5,0,0,0,0,29.04430501989914,288
288,19,0,8,4,0,0,2,34.643295412345175,289
289,27,39,11,0,0,9,0,40.01057081601897,290
290,5,20,12,0,0,1,7,30.896978764617565,291
291,1,6,0,5,0,6,2,33.342271302239865,292
292,1,26,2,1,0,0,7,32.3341757241561,293
293,3,0,9,0,4,9,4,66.23899218417162,294
294,1,20,5,22,4,6,1,84.2809022897822,295
295,1,39,8,0,0,0,1,24.439816441186068,296
296,0,20,0,0,0,5,1,15.271634206285722,297
297,1,0,16,2,0,1,1,25.761247689930737,298
298,0,11,4,5,0,2,5,31.857394343693585,299
299,1,0,2,2,0,0,7,22.253348978279814,300
300,15,34,0,0,0,14,7,31.84380345098971,301
301,0,13,0,30,0,11,1,31.046873020391814,302
302,0,3,0,6,0,1,5,22.97531434957393,303
303,23,37,19,24,0,5,1,53.57162255940696,304
304,0,3,3,3,0,1,6,28.72412298949515,305
305,1,0,1,15,0,3,3,27.028143969350882,306
306,13,27,15,2,0,1,6,45.41864328510422,307
307,3,8,1,0,0,7,1,31.578168578101273,308
308,1,7,7,4,0,0,0,35.256248216516376,309
309,1,17,3,16,0,12,2,41.95174600808932,310
310,0,16,1,2,0,4,0,32.51811606298027,311
311,12,27,18,27,0,1,5,47.71402149476528,312
312,15,4,2,35,0,5,0,47.952394974494,313
313,7,3,5,21,2,1,3,83.53848101548446,314
314,25,20,18,14,0,1,0,47.10103929217346,315
315,0,28,8,31,0,12,5,40.72574216941512,316
316,10,28,0,34,0,3,1,42.23778443722325,317
317,8,19,13,3,3,9,7,92.19497176764935,318
318,0,39,10,4,0,0,0,32.42277254807075,319
319,16,3,11,1,2,1,1,82.55774362179343,320
320,0,0,3,13,1,2,3,59.5164724765329,321
321,2,8,2,4,5,16,5,90.11768179040452,322
322,0,26,3,0,0,0,5,17.75096709157948,323
323,1,40,0,1,0,0,1,27.021286136803756,324
324,11,18,0,22,0,2,0,37.69471877705536,325
325,6,21,0,11,0,6,1,41.48855409146731,326
326,17,35,6,8,0,7,7,51.18766832650656,327
327,3,35,4,9,0,1,0,41.604337012900174,328
328,4,3,1,0,1,5,1,69.8078477364634,329
329,27,26,7,28,0,3,4,51.010595141140726,330
330,3,5,0,5,0,1,4,32.72922098571683,331
331,15,0,6,3,3,0,0,74.77296694369264,332
332,1,1,2,14,0,2,0,34.28220301735279,333
333,0,17,18,33,3,4,7,80.4396307538303,334
334,6,8,0,6,0,5,2,40.2557060416675,335
335,4,33,0,18,0,10,2,42.05388066924988,336
336,13,1,0,15,0,15,7,43.143657161477584,337
337,3,27,2,3,5,1,1,82.93916499919098,338
338,5,0,2,6,0,10,6,36.32561541166124,339
339,8,0,12,3,0,0,1,33.58751050492587,340
340,2,18,1,0,0,4,3,30.39292666940177,341
341,12,4,3,0,0,5,3,33.893986193466844,342
342,0,22,16,16,0,3,6,37.60616784449329,343
343,5,0,6,0,0,7,1,24.971132793156656,344
344,0,3,10,0,1,7,4,63.310263347834685,345
345,1,14,3,23,0,1,7,35.16769010811232,346
346,0,18,2,7,0,9,6,35.3720383071041,347
347,5,6,4,3,0,6,2,47.700376814976224,348
348,0,0,1,11,0,9,0,24.27636786301286,349
349,31,3,7,4,0,0,1,44.62854272459276,350
350,1,40,8,0,0,8,3,30.501952144333362,351
351,0,0,9,12,1,7,0,65.91882091323174,352
352,5,19,0,14,0,10,3,41.81549428157602,353
353,8,37,5,0,0,1,4,31.93913118125769,354
354,5,20,2,8,0,2,5,41.97895074934055,355
355,1,31,3,2,0,1,4,34.02338223782465,356
356,0,26,0,1,0,8,1,27.69564034878023,357
357,1,8,8,2,0,8,6,41.09351313451105,358
358,3,31,8,22,4,1,3,85.22756778835425,359
359,0,24,2,2,3,1,2,71.31986419465898,360
360,0,6,3,8,0,3,2,34.28229121766412,361
361,1,8,0,35,0,11,2,36.0736001194233,362
362,11,35,1,4,0,12,4,48.66754553663141,363
363,12,22,18,13,0,2,4,47.41429393236025,364
364,0,1,18,22,0,0,1,33.11072984230686,365
365,1,23,0,0,0,0,2,15.830132343937006,366
366,15,1,8,19,1,5,2,88.5103540843646,367
367,13,7,2,0,0,1,2,29.868479624420008,368
368,32,35,0,0,0,6,0,30.70634337053677,369
369,12,2,7,14,0,14,7,51.105954429774,370
370,8,6,9,4,3,15,6,93.29148061324454,371
371,4,30,0,8,0,2,3,35.78748855554784,372
372,1,4,16,5,0,10,2,43.39571690542344,373
373,7,0,3,11,0,1,0,31.557709088063735,374
374,14,4,13,21,0,0,1,45.74560211485179,375
375,9,10,6,9,3,0,1,85.37740109594033,376
376,0,1,0,0,0,12,0,16.38870220343368,377
377,16,14,8,1,0,1,4,42.980197821520235,378
378,3,1,14,9,0,10,1,47.639057156170914,379
379,1,17,18,0,2,1,7,64.25013196013718,380
380,2,33,8,0,0,5,5,33.73728716770001,381
381,28,17,13,7,0,3,7,50.152406728823415,382
382,0,7,1,16,4,2,2,72.49136533871625,383
383,0,0,0,1,5,6,5,59.81621294756542,384
384,1,22,8,18,0,3,3,41.22290774522895,385
385,1,10,1,6,0,1,2,33.67600120127496,386
386,0,0,7,12,4,9,5,69.33790984641709,387
387,1,33,4,0,0,2,2,24.834849512781634,388
388,0,28,1,4,0,1,3,29.378070772350963,389
389,13,26,8,11,4,4,1,92.01107445385325,390
390,21,23,14,8,3,9,2,94.25861706851693,391
391,2,11,2,34,0,3,3,44.47183509698647,392
392,5,0,3,0,0,0,2,18.132416431301223,393
393,1,0,8,6,2,7,4,70.64558814642268,394
394,0,2,12,3,0,4,5,35.876068172917655,395
395,18,35,10,18,0,5,3,51.33073199284968,396
396,4,0,7,32,4,4,0,79.35669488173657,397
397,0,10,8,27,0,3,0,36.70709702267878,398
398,1,0,3,3,1,14,4,69.37874277384303,399
399,4,40,2,14,0,2,2,43.22540618477622,400
400,10,0,0,11,0,3,2,30.236353850074636,401
401,2,14,20,1,6,0,4,85.69071811972935,402
402,0,0,10,35,0,4,3,27.246149038233348,403
403,1,20,2,11,0,1,6,34.49337462433836,404
404,23,0,5,6,0,8,6,39.92875150915491,405
405,7,0,0,3,3,1,2,66.40239129160074,406
406,3,0,10,20,6,2,1,76.90485139553014,407
407,27,7,12,2,0,7,5,50.8403281656851,408
408,16,12,7,25,0,1,7,45.52762000031161,409
409,13,0,2,32,0,9,1,38.89353221442571,410
410,0,0,9,0,5,2,0,52.63054578456566,411
411,8,38,20,8,0,10,3,53.687422691342356,412
412,15,1,0,0,2,11,7,68.72491114748149,413
413,5,26,20,0,0,3,5,37.17021437132877,414
414,1,14,11,8,1,7,6,81.45438698622702,415
415,9,6,4,0,2,0,5,70.57753183483132,416
416,15,24,0,22,0,3,3,42.10836400965977,417
417,0,33,7,14,0,7,2,38.51890844018593,418
418,17,4,2,17,0,3,0,46.814911949115356,419
419,0,37,13,14,3,0,6,75.57667991215145,420
420,1,41,22,1,0,13,5,45.01678680510545,421
421,3,4,1,5,1,1,2,77.33384450707955,422
422,0,14,0,1,0,5,0,25.856600527798545,423
423,20,10,0,33,0,15,3,46.018036741426094,424
424,0,12,1,3,0,0,5,28.465340932301213,425
425,3,7,8,29,0,7,5,48.21121431969986,426
426,9,5,2,2,0,6,6,46.22915169595728,427
427,5,33,19,8,0,1,5,45.68425449331285,428
428,2,0,19,29,3,4,5,79.96965270917458,429
429,1,11,13,16,0,3,4,41.56347038354092,430
430,22,2,6,12,0,0,4,44.73070463541997,431
431,11,6,5,10,6,10,2,94.85112401471693,432
432,3,4,9,30,0,15,4,50.34311239336831,433
433,9,0,20,0,0,6,1,28.329213976540622,434
434,1,0,19,10,0,2,5,28.730970071312374,435
435,0,0,20,0,3,13,3,59.21005774477784,436
436,14,0,1,0,0,5,7,22.389564136262337,437
437,0,3,6,0,0,6,2,24.15373786167338,438
438,11,26,0,16,0,3,7,40.70522030546489,439
439,6,13,0,0,3,2,5,65.36717271021145,440
440,15,5,6,9,0,2,6,45.22106615731057,441
441,22,9,6,5,0,13,2,52.086783601393705,442
442,4,22,8,11,0,7,4,48.81061924677869,443
443,0,15,4,24,0,0,0,31.92551877358327,444
444,2,14,2,0,0,11,5,33.028920580338756,445
445,18,0,0,1,0,5,1,28.649304938671115,446
446,5,1,13,0,2,8,5,75.90361507994865,447
447,29,9,0,13,2,4,3,81.94479583515721,448
448,14,18,1,0,0,2,7,29.589223747613048,449
449,2,23,0,0,2,6,4,65.43528208667738,450
450,20,0,0,0,1,12,3,59.210056311547355,451
451,4,25,11,0,0,2,5,31.843731022900958,452
452,4,8,5,24,1,2,5,82.93233656615624,453
453,0,0,5,3,2,1,4,59.673112712691534,454
454,7,9,2,4,0,13,2,48.79700468134315,455
455,1,19,0,7,0,5,5,32.715583476993245,456
456,8,16,18,11,4,1,6,88.19706932573014,457
457,5,5,11,0,1,9,7,75.33832793592961,458
458,7,1,6,1,2,2,0,81.09341577126868,459
459,24,29,10,11,2,4,2,91.22102265129186,460
460,9,31,1,0,0,3,6,33.12432432859533,461
461,0,15,8,29,1,10,5,78.28058887877401,462
462,32,12,12,18,1,4,0,90.36969421154143,463
463,6,0,0,9,0,0,6,24.616906114707366,464
464,0,9,0,2,4,0,2,64.9244746954884,465
465,0,30,0,0,0,4,1,15.918703364926253,466
466,2,0,12,0,0,2,2,19.910220494233908,467
467,0,37,17,19,2,11,3,80.7666096605414,468
468,3,15,7,1,4,3,5,85.6770555197826,469
469,8,1,0,10,0,10,7,41.24332277714438,470
470,9,0,2,0,0,1,3,18.595621981490783,471
471,0,33,3,1,0,0,6,28.308667721742292,472
472,6,0,0,5,0,3,5,28.62878091641387,473
473,0,31,17,16,1,5,3,77.76296596481546,474
474,9,29,9,0,2,0,7,71.56509622709835,475
475,1,32,3,8,0,5,3,39.499660884434824,476
476,1,23,1,24,4,1,5,76.68682410939147,477
477,5,12,5,36,0,15,4,51.82112005284114,478
478,0,8,13,11,0,13,7,39.894750606301216,479
479,2,0,0,5,2,1,6,61.464404410498844,480
480,3,0,15,21,0,0,0,32.68840742109567,481
481,2,34,3,17,4,0,4,82.53732930840386,482
482,4,19,14,9,3,9,1,90.92813499922919,483
483,1,3,8,4,1,4,1,78.90035864617828,484
484,20,24,11,17,0,0,4,46.72640045645806,485
485,0,32,0,6,0,4,2,28.901269318746152,486
486,1,8,16,15,0,3,3,41.69288650909288,487
487,0,1,3,0,0,6,7,21.45640636931688,488
488,3,21,15,9,0,2,4,43.75663003988286,489
489,18,5,10,6,0,6,3,50.52021210427958,490
490,5,15,0,17,0,2,7,35.760235776237124,491
491,9,15,1,26,1,3,7,85.16628684997254,492
492,4,7,14,0,0,2,1,31.142196454380112,493
493,1,0,11,28,0,11,5,34.009793491418236,494
494,0,32,1,2,0,8,7,34.19368578999938,495
495,10,4,0,0,0,5,1,27.409581846776952,496
496,6,3,0,7,0,3,3,38.838918373479984,497
497,0,10,0,5,1,1,7,61.81181484451383,498
498,3,26,4,9,0,1,6,41.43401338717372,499
499,1,1,16,19,0,6,0,42.30591890136405,500
500,16,0,3,2,0,2,6,32.191144320511036,501
501,9,0,12,2,3,10,5,81.39310819537103,502
502,18,1,12,31,1,10,6,91.40491924888212,503
503,1,9,0,0,0,15,3,22.89359615383225,504
504,0,0,10,6,0,0,0,20.97279224739394,505
505,17,32,11,0,0,2,0,34.41165428557454,506
506,3,40,0,0,0,2,7,22.369128318683522,507
507,15,10,0,3,0,0,6,35.88289660513356,508
508,1,39,13,0,0,7,0,30.842526260635307,509
509,0,0,14,0,3,4,5,55.42988646408903,510
510,7,19,3,6,0,3,3,46.28364866256522,511
511,5,4,19,15,0,0,0,44.66258235278306,512
512,0,4,10,2,0,0,6,30.631346757644224,513
513,6,0,22,5,0,1,1,35.24945348077491,514
514,1,0,2,2,0,3,5,26.673941676290813,515
515,20,17,5,0,0,1,6,32.00721115370763,516
516,1,1,0,6,0,6,2,32.722431985353836,517
517,0,16,3,8,4,0,0,71.89880533760414,518
518,6,19,6,1,0,16,0,49.40995462000866,519
519,5,4,14,0,0,16,6,38.29411151444196,520
520,0,32,5,24,2,0,7,72.21212236139316,521
521,0,25,18,0,0,13,1,27.757041037786713,522
522,0,18,4,0,0,0,6,18.61598465968801,523
523,11,19,9,19,1,7,6,89.84524143131767,524
524,0,0,4,13,0,13,6,28.015790824913093,525
525,11,2,3,3,3,5,5,87.372944196184,526
526,0,16,4,2,0,13,0,37.326916263147176,527
527,9,22,0,2,0,17,5,43.65453912350449,528
528,31,21,0,0,0,0,2,25.325334372876814,529
529,0,2,12,17,4,2,0,74.86840151773202,530
530,2,32,13,18,0,8,5,49.42354193154691,531
531,0,7,14,9,0,2,6,33.008499812908376,532
532,1,0,9,28,0,3,0,30.774410428354443,533
533,1,32,0,0,0,12,5,22.75056260620975,534
534,9,15,9,34,0,0,3,45.71155029860694,535
