,character,nose,mouth,eyes,earrings,neck,whiskers,hat,burned,Rarity score,Token Id
19,Templeton,Dark,Frown,Looking Left,None,Plain,Whiskers,No Hat,Not Burned,12.733567766971904,19
20,Simon,No Nose,Small Frown,Looking Left,None,Red Necklace,Whiskers,No Hat,Not Burned,32.423387766999845,20
21,Templeton,No Nose,Frown,Crosseyed,None,Plain,Whiskers,Construction Hat,Not Burned,28.350347974447164,21
22,Reepicheep,Dark,Big Frown,Sunglasses,None,Red Necklace,Tiny Whiskers,No Hat,Not Burned,43.073907089371886,22
23,Jerry,No Nose,Small Frown,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,11.76852716824184,23
24,Common,Tiny,Small Frown,Looking Up,None,Plain,Whiskers,Bane,Not Burned,29.622530872865592,24
25,Common,Big,Smile,Bandit Mask,Flower,Plain,No Whiskers,No Hat,Not Burned,59.48435429155069,25
26,Templeton,Big,Smile,Looking Up,None,Plain,Tiny Whiskers,No Hat,Burned,7.532279027555797,26
27,Simon,Normal,Small Frown,Looking Up,None,Plain,Tiny Whiskers,No Hat,Burned,8.26239191372791,27
28,Stuart,Dark,Big Frown,Looking Left,None,Plain,No Whiskers,Motorcycle Helmet,Burned,31.92844080878775,28
29,Alvin,Big,Big Smile,Crazy,Flower,Red Necklace,Whiskers,Elvis,Not Burned,86.31572727803956,29
30,Jerry,No Nose,Frown,Looking Left,None,Red Necklace,Handlebar,No Hat,Not Burned,47.327601943581435,30
31,Reepicheep,Dark,Small Smile,3D Glasses,None,Plain,Tiny Whiskers,Construction Hat,Not Burned,39.99846315451745,31
32,Alvin,No Nose,Big Smile,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,14.284077699435032,32
33,Reepicheep,Normal,Big Smile,Looking Left,None,Fancy,Whiskers,No Hat,Not Burned,32.42704390221012,33
34,Jerry,Dark,Small Smile,Crazy,None,Plain,Whiskers,Construction Hat,Not Burned,31.99339374799034,34
35,Reepicheep,Normal,Frown,Sunglasses,None,Red Necklace,Whiskers,Halo,Not Burned,53.886693472803316,35
36,Jerry,Big,Smile,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,11.038431988951594,36
37,Jerry,No Nose,Frown,Bandit Mask,None,Black Necklace,No Whiskers,Karate Kid,Not Burned,63.13450518064013,37
38,Reepicheep,No Nose,Small Frown,Crazy,None,Red Necklace,Whiskers,No Hat,Not Burned,36.80010026368854,38
39,Jerry,Normal,Smile,Looking Right,None,Fancy,Whiskers,No Hat,Not Burned,31.877704276345842,39
40,Reepicheep,Tiny,Small Smile,Looking Right,Bar,Black Necklace,Tiny Whiskers,No Hat,Burned,58.96719190109789,40
41,Jerry,Dark,Big Frown,Looking Up,None,Plain,Whiskers,Construction Hat,Burned,16.362094213706087,41
42,Templeton,Dark,Small Frown,Looking Left,None,Plain,Whiskers,No Hat,Not Burned,12.715498212675442,42
43,Jerry,No Nose,Small Frown,Looking Left,Jim Dangles,Plain,Tiny Whiskers,No Hat,Not Burned,50.20026973489461,43
44,Matthias,Tiny,Small Frown,Closed,None,Plain,Whiskers,Cheese,Not Burned,35.94364364031703,44
45,Reepicheep,Tiny,Big Frown,Looking Up,None,Plain,Whiskers,Karate Kid,Not Burned,26.25050818177958,45
46,Stuart,Normal,Big Frown,Closed,None,Red Necklace,Whiskers,No Hat,Not Burned,35.83871363767008,46
47,Templeton,Big,Small Frown,Looking Right,None,Red Necklace,Tiny Whiskers,Karate Kid,Not Burned,52.07241453698526,47
48,Matthias,Normal,Small Frown,Looking Left,None,Plain,Tiny Whiskers,Construction Hat,Burned,23.915759121249398,48
49,Stuart,Normal,Smile,Looking Up,None,Red Necklace,Handlebar,Construction Hat,Not Burned,61.80459917624012,49
50,Reepicheep,Big,Frown,Looking Left,None,Red Necklace,No Whiskers,No Hat,Not Burned,44.6894205596238,50
51,Common,Normal,Frown,Closed,None,Plain,Whiskers,No Hat,Burned,5.859029089894724,51
52,Matthias,Tiny,Smile,Closed,None,Plain,Tiny Whiskers,Cheese,Not Burned,41.888605958399346,52
53,Simon,Normal,Frown,Crosseyed,None,Plain,Tiny Whiskers,Karate Kid,Burned,22.97964621330511,53
54,Common,No Nose,Big Smile,Looking Left,None,Plain,Whiskers,Bane,Not Burned,29.575494577578677,54
55,Simon,Big,Smile,Looking Up,None,Plain,Tiny Whiskers,No Hat,Not Burned,18.194577167500455,55
56,Stuart,Tiny,Smile,Looking Right,Flower,Fancy,Tiny Whiskers,No Hat,Not Burned,69.20511517768976,56
57,Simon,Normal,Big Smile,Looking Right,None,Fancy,Handlebar,No Hat,Not Burned,49.0984906089436,57
58,Common,Tiny,Big Smile,Looking Left,None,Plain,Tiny Whiskers,No Hat,Not Burned,17.453691816480692,58
59,Stuart,Tiny,Big Frown,Crazy,None,Plain,Tiny Whiskers,Construction Hat,Not Burned,37.66015410966453,59
60,Stuart,Normal,Big Smile,Looking Left,None,Plain,Whiskers,No Hat,Burned,0.7048485575105962,60
61,Stuart,No Nose,Smile,Crazy,Stud,Gold Chain,Whiskers,No Hat,Not Burned,69.8304332280518,61
62,Stuart,Normal,Big Frown,Closed,None,Plain,Tiny Whiskers,No Hat,Not Burned,22.354582256136258,62
63,Jerry,Big,Small Smile,Looking Left,None,Red Necklace,Tiny Whiskers,No Hat,Burned,26.28636895924017,63
64,Jerry,Normal,Big Smile,Crazy,None,Plain,Handlebar,No Hat,Not Burned,32.61162041767306,64
65,Templeton,Dark,Small Smile,Looking Up,None,Plain,Whiskers,Cheese,Not Burned,29.98032258556471,65
66,Matthias,Tiny,Smile,Looking Up,None,Plain,Big Whiskers,Halo,Not Burned,42.93665531495928,66
67,Stuart,Normal,Frown,Looking Up,None,Plain,Tiny Whiskers,No Hat,Burned,6.813078138337655,67
68,Reepicheep,Dark,Frown,Crosseyed,None,Plain,Whiskers,Cheese,Not Burned,30.063417380292833,68
69,Simon,No Nose,Smile,Crosseyed,Stud,Plain,Tiny Whiskers,Soldier,Not Burned,68.52575290362614,69
70,Templeton,Big,Frown,Crosseyed,None,Red Necklace,Whiskers,No Hat,Not Burned,32.145112435092734,70
71,Stuart,No Nose,Frown,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,11.396273589137765,71
72,Alvin,Dark,Small Frown,Crazy,None,Plain,Tiny Whiskers,No Hat,Not Burned,25.531494175575,72
73,Matthias,Big,Small Frown,Looking Up,None,Plain,Tiny Whiskers,No Hat,Burned,8.269638394402175,73
74,Stuart,Tiny,Big Frown,Looking Up,None,Plain,Big Whiskers,No Hat,Burned,13.60796996445773,74
75,Matthias,Tiny,Big Frown,Bandit Mask,None,Plain,Tiny Whiskers,Motorcycle Helmet,Not Burned,41.01038605562073,75
76,Common,Normal,Big Smile,Looking Up,Flower,Plain,Whiskers,Elvis,Burned,48.50894516857409,76
77,Simon,Tiny,Small Smile,Looking Right,None,Plain,Tiny Whiskers,Karate Kid,Burned,22.66524044999547,77
78,Matthias,Tiny,Frown,Looking Up,Flower,Plain,Whiskers,No Hat,Not Burned,44.65300279812298,78
79,Matthias,Normal,Frown,Looking Right,None,Plain,Whiskers,Construction Hat,Burned,17.840390994072795,79
80,Common,No Nose,Straight,Bandit Mask,None,Plain,Whiskers,Elvis,Not Burned,32.011374016265584,80
81,Alvin,Normal,Smile,Looking Left,None,Plain,Tiny Whiskers,No Hat,Not Burned,20.05955866240563,81
82,Simon,No Nose,Big Smile,Closed,None,Black Necklace,Whiskers,No Hat,Not Burned,37.60604231678414,82
83,Templeton,Normal,Small Smile,Looking Left,None,Plain,Whiskers,Construction Hat,Not Burned,27.59494218929651,83
84,Matthias,Tiny,Frown,Looking Left,None,Plain,Tiny Whiskers,No Hat,Not Burned,19.423509690820314,84
85,Stuart,Tiny,Small Smile,Looking Left,None,Fancy,Tiny Whiskers,Construction Hat,Not Burned,53.11322898556009,85
86,Simon,Big,Big Frown,Looking Left,None,Fancy,Tiny Whiskers,Construction Hat,Not Burned,53.883030478262114,86
87,Reepicheep,No Nose,Big Smile,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,12.13357258973255,87
88,Reepicheep,No Nose,Big Smile,Looking Left,Stud,Plain,Whiskers,Motorcycle Helmet,Not Burned,61.02723824824727,88
89,Alvin,Dark,Frown,Crosseyed,None,Plain,Whiskers,No Hat,Not Burned,14.808150094239828,89
90,Reepicheep,Dark,Big Smile,Looking Up,None,Plain,Big Whiskers,No Hat,Not Burned,25.072487868889308,90
91,Reepicheep,Tiny,Frown,Crosseyed,None,Plain,Big Whiskers,No Hat,Not Burned,25.538703419010428,91
92,Reepicheep,Normal,Small Smile,Sunglasses,None,Plain,Whiskers,No Hat,Not Burned,17.186347641493654,92
93,Common,Dark,Big Frown,Looking Left,None,Plain,Tiny Whiskers,Cheese,Not Burned,34.64967215974881,93
94,Reepicheep,No Nose,Big Smile,Closed,None,Plain,Whiskers,Construction Hat,Not Burned,32.64031352596789,94
95,Jerry,Big,Frown,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,11.226378350824659,95
96,Stuart,Dark,Big Frown,Looking Left,None,Fancy,Whiskers,No Hat,Not Burned,31.68254036183113,96
97,Simon,Big,Small Frown,Crazy,None,Plain,Tiny Whiskers,No Hat,Not Burned,23.442501320307368,97
98,Reepicheep,Big,Small Frown,Looking Up,None,Plain,Whiskers,Halo,Not Burned,28.520185010210703,98
99,Common,No Nose,Big Frown,Looking Up,None,Plain,Tiny Whiskers,No Hat,Burned,6.675694074857585,99
100,Stuart,No Nose,Frown,Looking Right,None,Fancy,Big Whiskers,No Hat,Not Burned,44.72189233455887,100
101,Reepicheep,Big,Small Smile,Looking Left,None,Fancy,Whiskers,No Hat,Not Burned,31.902995362599196,101
102,Jerry,Tiny,Smile,Crosseyed,None,Plain,Whiskers,No Hat,Not Burned,12.086586900893701,102
103,Reepicheep,Dark,Small Frown,Closed,None,Plain,Whiskers,No Hat,Not Burned,17.450201606273556,103
104,Simon,Normal,Frown,Looking Right,None,Plain,Tiny Whiskers,Construction Hat,Not Burned,34.04969939095674,104
105,Templeton,Normal,Big Smile,Looking Up,None,Plain,Tiny Whiskers,No Hat,Not Burned,18.58854197795126,105
106,Stuart,Dark,Big Frown,Looking Left,None,Plain,Tiny Whiskers,No Hat,Not Burned,17.345301234415135,106
107,Stuart,Dark,Straight,Looking Right,None,Plain,Tiny Whiskers,No Hat,Not Burned,17.648842712041002,107
108,Common,Normal,Smile,Sunglasses,None,Plain,Whiskers,No Hat,Not Burned,16.26108457053947,108
109,Simon,Big,Big Smile,Looking Up,None,Plain,Tiny Whiskers,Halo,Not Burned,35.33265946517435,109
110,Simon,Big,Straight,Crosseyed,None,Red Necklace,Whiskers,Bane,Not Burned,50.69926499860692,110
111,Templeton,No Nose,Small Smile,Closed,None,Plain,Tiny Whiskers,Construction Hat,Not Burned,39.13105873688074,111
112,Common,Normal,Small Frown,Looking Left,None,Plain,Tiny Whiskers,No Hat,Burned,6.708250072361261,112
113,Stuart,Big,Small Smile,Looking Up,None,Plain,Big Whiskers,No Hat,Not Burned,23.529231999965106,113
114,Common,Tiny,Straight,Crosseyed,None,Plain,Whiskers,Soldier,Not Burned,29.98750580825911,114
115,Jerry,No Nose,Small Smile,Crosseyed,None,Plain,Big Whiskers,No Hat,Not Burned,24.93149899552783,115
116,Matthias,Dark,Small Smile,Looking Right,None,Plain,Whiskers,Halo,Not Burned,30.13572090070271,116
117,Simon,Tiny,Frown,Looking Right,Bar,Plain,Whiskers,Construction Hat,Burned,49.40524258235429,117
118,Jerry,Dark,Small Smile,Crosseyed,None,Plain,Whiskers,No Hat,Not Burned,12.12271877968461,118
119,Jerry,No Nose,Smile,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,11.598654696733398,119
120,Matthias,Tiny,Small Smile,Looking Left,None,Plain,Whiskers,No Hat,Not Burned,13.163687231040605,120
121,Common,No Nose,Big Smile,Crosseyed,None,Plain,Whiskers,No Hat,Not Burned,11.703461808309422,121
122,Jerry,Dark,Big Smile,Crosseyed,None,Black Necklace,Whiskers,No Hat,Burned,21.295233039199296,122
123,Common,Tiny,Big Frown,Bandit Mask,None,Plain,No Whiskers,Elvis,Not Burned,45.296606910165714,123
124,Reepicheep,Big,Big Smile,Looking Up,None,Plain,Whiskers,Cheese,Not Burned,28.97917831021614,124
125,Stuart,Normal,Straight,Crazy,None,Plain,Tiny Whiskers,No Hat,Not Burned,22.45218626568965,125
126,Reepicheep,No Nose,Big Frown,Sunglasses,Flower,Plain,Whiskers,Motorcycle Helmet,Not Burned,66.34315373127893,126
127,Templeton,No Nose,Big Smile,Looking Up,None,Plain,Tiny Whiskers,No Hat,Not Burned,18.76200803883215,127
128,Templeton,Big,Big Frown,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,11.920327548633335,128
129,Stuart,Tiny,Frown,Looking Right,None,Plain,Tiny Whiskers,No Hat,Not Burned,17.583809884813736,129
130,Templeton,Dark,Big Frown,Looking Up,None,Plain,No Whiskers,No Hat,Not Burned,26.00493234419708,130
131,Templeton,Big,Small Smile,Closed,None,Plain,No Whiskers,Elvis,Burned,36.778541946894215,131
132,Matthias,Big,Big Frown,Looking Up,None,Plain,Tiny Whiskers,Soldier,Not Burned,36.69884012734831,132
133,Reepicheep,Big,Frown,Crosseyed,None,Plain,Tiny Whiskers,Construction Hat,Not Burned,33.39193159697726,133
134,Reepicheep,Big,Straight,Looking Left,None,Red Necklace,Tiny Whiskers,No Hat,Not Burned,37.3818364744186,134
135,Templeton,No Nose,Big Frown,Looking Left,None,Black Necklace,Tiny Whiskers,No Hat,Burned,27.60922513139863,135
136,Reepicheep,Big,Straight,Looking Up,None,Black Necklace,Whiskers,No Hat,Not Burned,31.176518003641103,136
137,Stuart,Tiny,Frown,Crosseyed,None,Fancy,Whiskers,No Hat,Not Burned,32.336672626591,137
138,Common,Big,Small Smile,Looking Left,None,Plain,Whiskers,Halo,Not Burned,27.526240210712384,138
139,Stuart,Dark,Small Smile,Looking Right,None,Black Necklace,Whiskers,No Hat,Not Burned,30.840395938632913,139
140,Stuart,Big,Big Frown,Looking Left,None,Plain,Whiskers,No Hat,Not Burned,10.604753643630222,140
141,Alvin,Tiny,Small Frown,Looking Right,None,Plain,Tiny Whiskers,Karate Kid,Not Burned,34.743595816369066,141
142,Templeton,No Nose,Frown,Crosseyed,None,Plain,Whiskers,Halo,Not Burned,30.063421720372162,142
143,Stuart,No Nose,Frown,Looking Left,None,Plain,Whiskers,No Hat,Not Burned,11.374610805751596,143
144,Templeton,Big,Big Smile,Closed,None,Fancy,No Whiskers,No Hat,Not Burned,51.29574283043633,144
145,Common,Tiny,Smile,Looking Left,None,Plain,Whiskers,Cheese,Not Burned,28.563555054693584,145
146,Jerry,Big,Big Smile,Looking Left,None,Plain,Whiskers,Karate Kid,Not Burned,25.44453070713859,146
147,Simon,Dark,Smile,Looking Left,None,Black Necklace,Whiskers,No Hat,Not Burned,32.242694751710275,147
148,Alvin,No Nose,Small Smile,Looking Left,Bar,Black Necklace,Whiskers,Construction Hat,Not Burned,80.63871741912327,148
149,Stuart,Normal,Straight,Looking Left,None,Fancy,No Whiskers,Construction Hat,Not Burned,60.46388599518241,149
150,Alvin,No Nose,Straight,Looking Up,None,Plain,Handlebar,Construction Hat,Not Burned,45.571277804668085,150
151,Matthias,No Nose,Smile,Bandit Mask,None,Plain,Whiskers,Cheese,Not Burned,34.55936052436063,151
152,Stuart,Big,Smile,Crosseyed,None,Red Necklace,Big Whiskers,No Hat,Not Burned,43.53655759139675,152
153,Jerry,No Nose,Small Frown,Looking Up,None,Plain,Whiskers,No Hat,Burned,1.2433951106914138,153
154,Reepicheep,Dark,Small Frown,Looking Left,None,Plain,No Whiskers,No Hat,Not Burned,25.697735812369604,154
155,Templeton,Normal,Straight,Looking Left,None,Gold Chain,Whiskers,No Hat,Not Burned,34.960538187572354,155
156,Templeton,Normal,Smile,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,12.292596308709152,156
157,Common,Tiny,Big Smile,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,11.323966097274521,157
158,Jerry,Big,Small Smile,Looking Up,None,Red Necklace,No Whiskers,No Hat,Not Burned,44.140037207179525,158
159,Common,No Nose,Big Smile,Looking Up,None,Plain,No Whiskers,Motorcycle Helmet,Not Burned,42.437926059201395,159
160,Alvin,Tiny,Frown,Crosseyed,None,Plain,Tiny Whiskers,Halo,Not Burned,37.88783462074206,160
161,Simon,No Nose,Frown,Crosseyed,None,Plain,Whiskers,No Hat,Not Burned,13.279318855845542,161
162,Jerry,Dark,Straight,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,11.887789624230788,162
163,Stuart,Big,Big Frown,Closed,None,Plain,Whiskers,Elvis,Not Burned,32.41261927665405,163
164,Reepicheep,No Nose,Frown,Looking Right,None,Plain,Tiny Whiskers,Cheese,Burned,25.209727713619174,164
165,Matthias,Big,Big Frown,Looking Up,None,Plain,Whiskers,Construction Hat,Not Burned,27.696186421773046,165
166,Common,Tiny,Straight,Looking Left,None,Red Necklace,Whiskers,Construction Hat,Burned,35.77346754488125,166
167,Templeton,No Nose,Frown,Crazy,None,Plain,Whiskers,No Hat,Not Burned,17.732135967606126,167
168,Common,Normal,Smile,Bandit Mask,None,Plain,Whiskers,Construction Hat,Not Burned,30.262148860470706,168
169,Reepicheep,Dark,Straight,Bandit Mask,None,Red Necklace,Tiny Whiskers,Karate Kid,Not Burned,56.35852948693615,169
170,Stuart,Normal,Smile,Looking Right,None,Plain,Big Whiskers,Halo,Not Burned,40.8658028605285,170
171,Stuart,Normal,Smile,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,10.9986703643174,171
172,Stuart,Dark,Straight,Crosseyed,None,Plain,Tiny Whiskers,No Hat,Burned,7.575683769970102,172
173,Jerry,Dark,Small Smile,Looking Left,None,Plain,No Whiskers,Elvis,Burned,31.25251489914746,173
174,Simon,Big,Frown,Looking Right,Stud,Plain,No Whiskers,Construction Hat,Not Burned,72.22988477143345,174
175,Jerry,Tiny,Smile,Looking Up,None,Plain,Tiny Whiskers,Karate Kid,Not Burned,31.996830453362602,175
176,Stuart,Dark,Straight,Closed,None,Fancy,Whiskers,Elvis,Not Burned,53.771126900252064,176
177,Jerry,Big,Big Frown,Looking Right,None,Black Necklace,Tiny Whiskers,Construction Hat,Not Burned,51.89894774719567,177
178,Stuart,Tiny,Straight,Looking Left,None,Plain,Whiskers,No Hat,Burned,1.0301363286282925,178
179,Simon,Normal,Small Frown,Crosseyed,None,Plain,Whiskers,Karate Kid,Not Burned,27.3347107406381,179
180,Simon,Normal,Big Frown,Looking Left,None,Black Necklace,Whiskers,No Hat,Not Burned,31.9824658410757,180
181,Stuart,Tiny,Big Smile,Looking Up,Bar,Fancy,Whiskers,Bane,Not Burned,81.8962707498298,181
182,Reepicheep,Tiny,Small Frown,Looking Left,None,Black Necklace,No Whiskers,No Hat,Not Burned,45.22785939307864,182
183,Simon,Normal,Frown,Looking Right,None,Fancy,Whiskers,Construction Hat,Burned,37.89865915081786,183
184,Stuart,Big,Frown,Bandit Mask,None,Plain,No Whiskers,No Hat,Burned,17.92714445754253,184
185,Common,Dark,Big Smile,Crosseyed,None,Plain,Big Whiskers,No Hat,Not Burned,24.642398416348815,185
186,Common,Normal,Smile,Bandit Mask,None,Fancy,Whiskers,Motorcycle Helmet,Not Burned,53.160302137907735,186
187,Stuart,Dark,Frown,Crosseyed,Flower,Plain,Big Whiskers,Elvis,Burned,62.180160485672594,187
188,Jerry,Normal,Smile,Looking Left,None,Plain,Whiskers,No Hat,Not Burned,11.403484640083867,188
189,Reepicheep,Normal,Big Frown,Looking Right,None,Red Necklace,Whiskers,Construction Hat,Not Burned,46.63717948484719,189
190,Stuart,Big,Small Smile,Looking Right,None,Plain,Whiskers,Construction Hat,Not Burned,25.936033719346263,190
191,Jerry,No Nose,Big Frown,Looking Right,None,Plain,Tiny Whiskers,No Hat,Burned,7.203375972364874,191
192,Templeton,Normal,Big Frown,Looking Left,Stud,Plain,Whiskers,Karate Kid,Not Burned,57.72062176245587,192
193,Templeton,Normal,Big Smile,Looking Up,None,Plain,Tiny Whiskers,Karate Kid,Burned,22.347161556334612,193
194,Jerry,No Nose,Small Frown,Looking Left,None,Plain,Big Whiskers,Motorcycle Helmet,Not Burned,42.31145219358807,194
195,Stuart,No Nose,Smile,Bandit Mask,None,Red Necklace,Tiny Whiskers,Soldier,Burned,48.650348953278495,195
196,Stuart,No Nose,Big Frown,Bandit Mask,Stud,Plain,Whiskers,No Hat,Not Burned,46.45990803013884,196
197,Common,Big,Small Frown,Looking Left,None,Red Necklace,Whiskers,Elvis,Not Burned,46.85401125045253,197
198,Matthias,Big,Frown,Looking Up,None,Plain,Whiskers,No Hat,Burned,2.172318291197275,198
199,Alvin,Dark,Straight,Looking Up,None,Plain,Whiskers,Motorcycle Helmet,Not Burned,32.11987918155965,199
200,Reepicheep,Tiny,Big Smile,Crosseyed,Bar,Plain,Tiny Whiskers,Karate Kid,Not Burned,64.73131409654086,200
201,Simon,No Nose,Big Frown,Crosseyed,None,Plain,Big Whiskers,No Hat,Burned,15.454896004387736,201
202,Stuart,Big,Big Frown,Crazy,None,Plain,Whiskers,Karate Kid,Burned,19.427016535163645,202
203,Templeton,Normal,Small Frown,3D Glasses,None,Plain,Whiskers,Elvis,Not Burned,35.60027040999627,203
204,Common,Big,Small Frown,Sunglasses,None,Plain,Tiny Whiskers,No Hat,Not Burned,22.159427017448134,204
205,Matthias,No Nose,Big Smile,Looking Up,None,Plain,Whiskers,No Hat,Burned,2.725322002238209,205
206,Common,No Nose,Small Frown,Looking Up,None,Plain,Tiny Whiskers,No Hat,Not Burned,17.356058885633434,206
207,Alvin,Normal,Small Frown,Looking Up,None,Plain,Tiny Whiskers,Karate Kid,Not Burned,34.461668678260196,207
208,Stuart,Tiny,Small Frown,Sunglasses,None,Plain,Big Whiskers,No Hat,Not Burned,29.65161400154674,208
209,Jerry,Tiny,Straight,Closed,None,Plain,Tiny Whiskers,Karate Kid,Not Burned,37.519188738594714,209
210,Templeton,Dark,Big Smile,Crosseyed,None,Plain,Whiskers,Halo,Not Burned,30.12124097146521,210
211,Simon,Normal,Small Smile,Bandit Mask,None,Black Necklace,Whiskers,Cheese,Not Burned,53.557803791394356,211
212,Jerry,Big,Big Smile,Looking Left,None,Gold Chain,Tiny Whiskers,No Hat,Not Burned,39.7056872764718,212
213,Simon,Tiny,Big Smile,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,12.892572695410603,213
214,Stuart,Dark,Small Smile,Closed,None,Red Necklace,Whiskers,No Hat,Burned,25.65406866474807,214
215,Reepicheep,Dark,Big Smile,Looking Left,None,Plain,Whiskers,No Hat,Burned,1.7241003504151236,215
216,Simon,Dark,Big Smile,Looking Left,None,Fancy,Handlebar,No Hat,Not Burned,49.315345505166164,216
217,Stuart,No Nose,Small Smile,Bandit Mask,None,Plain,Whiskers,No Hat,Not Burned,15.335849336661553,217
218,Alvin,No Nose,Big Frown,Looking Up,None,Plain,Big Whiskers,Elvis,Not Burned,43.5149284220453,218
219,Matthias,Big,Small Smile,Crosseyed,None,Plain,Whiskers,No Hat,Not Burned,12.968502705481146,219
220,Common,Dark,Small Smile,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,11.215548765238339,220
221,Common,No Nose,Small Frown,Looking Up,Flower,Fancy,Big Whiskers,Construction Hat,Not Burned,91.16500725917864,221
222,Alvin,Dark,Big Smile,Looking Up,None,Fancy,Tiny Whiskers,Cheese,Not Burned,58.32089484764976,222
223,Simon,Big,Big Frown,Sunglasses,None,Red Necklace,Tiny Whiskers,No Hat,Not Burned,43.135360417723426,223
224,Reepicheep,Big,Straight,Looking Left,Stud,Plain,Tiny Whiskers,Cheese,Not Burned,66.37560057610845,224
225,Reepicheep,Big,Small Smile,Looking Up,None,Plain,Handlebar,Karate Kid,Not Burned,41.646491777874736,225
226,Templeton,Big,Big Smile,Looking Right,None,Black Necklace,Tiny Whiskers,Construction Hat,Not Burned,53.00481346737222,226
227,Jerry,No Nose,Straight,VR Goggles,None,Plain,Whiskers,No Hat,Not Burned,18.56703246370438,227
228,Jerry,Dark,Smile,Looking Up,None,Black Necklace,Whiskers,No Hat,Not Burned,31.151214983453173,228
229,Templeton,No Nose,Small Smile,Looking Up,None,Plain,Whiskers,No Hat,Not Burned,12.509471814291773,229
230,Stuart,Normal,Small Smile,Looking Left,None,Plain,No Whiskers,No Hat,Not Burned,24.55202894743814,230
231,Reepicheep,Big,Small Smile,Bandit Mask,None,Fancy,Whiskers,Cheese,Not Burned,53.41330482167852,231
232,Matthias,Big,Small Smile,Crosseyed,None,Gold Chain,Whiskers,Construction Hat,Not Burned,50.60533229328227,232
233,Stuart,Big,Smile,Bandit Mask,None,Plain,Big Whiskers,Elvis,Not Burned,44.165413597250804,233
234,Alvin,Normal,Smile,Looking Up,None,Black Necklace,Whiskers,No Hat,Not Burned,33.453412036705295,234
235,Simon,Big,Small Frown,Looking Up,None,Plain,Whiskers,Halo,Not Burned,29.20685555949542,235
236,Stuart,Big,Big Smile,VR Goggles,Stud,Plain,Tiny Whiskers,No Hat,Not Burned,54.84057340849093,236
237,Common,Dark,Small Smile,Looking Up,None,Red Necklace,Big Whiskers,No Hat,Not Burned,43.652162841435334,237
238,Alvin,Big,Small Frown,Looking Right,None,Fancy,Big Whiskers,No Hat,Burned,36.58665643556448,238
