,Back,Outfit,Eyes,Head,Mouth,Regiment,Background,Type,Branch,Glasses,Special,Earring,Mask,Marking,Rarity score,Token Id
16,Rifle Orange,Urban Street Camo,Gazing Wisteria,Topknot WcVisor,Plump,62,Army,Human,Army,None,None,None,None,None,1.0032031589323878,16
17,Dual Combat Scalpels,Urban Operations,Gazing Russet,Lawliet ,Lollipop,98,Healing Pulse,Human,Support,None,None,None,None,None,19.488608861386208,17
18,Rifle Charcoal,High Admiral's Longcoat,Base Iron,Stardust BANii,Fang Smirk,79,Ocean Blue,Human,Navy,None,None,None,None,None,19.408395769683338,18
19,Sashimono Glacial,Kimono Ichimatsu Checkered Blue,Wary Crimson,Kojiroh ,Plump,84,Crimson Records,Human,Historical,None,None,None,None,None,9.239883951215825,19
20,Dual Katanas Black,Jiangshi,Curious Russet,Shiro Tsuno,Plump,74,Crimson Records,Human,Historical,None,None,None,None,None,9.630882112404876,20
21,Rifle Red,Tracksuit Snood Desert,Dark Crimson,Fresh Recruit,Fang Smirk,71,Tactical Green,Human,Army,None,None,None,None,None,18.181329257252944,21
22,Yumiya,Kimono Blue Orchid,Basic Wisteria,Rebel Girl ,Plump,51,Crimson Records,Human,Historical,Architect Clear,None,None,None,None,32.710243234368924,22
23,Rifle Red Ammo,Stealth Vest Camo,Emerald Highlights,Bunny Girl,Plump,15,Army,Human,Army,Aviators Sunrise,None,None,None,None,26.682236560879474,23
24,Rifle Black Ammo,Tactical Vest Jungle,,Tanuki WcHeadset,Plump,62,Airforce,Human,Airforce,None,None,None,None,None,8.534723466947638,24
25,Spellblade,Mana Integration SVS,Glaring Wisteria,Greater Mewsashi Aka,Boo!Boo! Gum,64,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,40.17990349976992,25
26,Rifle Charcoal,Black Rose,Base Fern,Red Foxy,Popsicle,78,Ocean Blue,Human,Navy,None,None,None,None,None,22.401572055927467,26
27,Rifle Navy Grey,Sailor Stripes,,Cashier WcVisor,Plump,51,Ocean Blue,Human,Navy,None,None,None,None,None,8.179032739511756,27
28,Ornamental Broadsword,Oni Seifuku Shiro,Bold Iron,Side Pony ,Plump,01,Crimson Records,Human,Historical,None,None,None,None,None,9.188593152226781,28
29,Crown Staff,Red Dawn Shell Armor,Lined Russet,Bobcut,Full Kiss,41,Mana Portal,Human,Support,None,None,None,None,None,19.81536672585867,29
30,R-H00D Compound Red,Midnight Raven,Glaring Wisteria,Bozo Alby,Saucy,92,Party Pink,Human,Special Ops,None,None,None,None,None,26.39788512505099,30
31,Sashimono Ghost,Armoured Greatcoat,Gazing Russet,Blue Lambo,Plump,36,Crimson Records,Human,Historical,None,None,None,None,None,8.89056008948574,31
32,Frontier XVII-A Powered EVA Helmet,A55 KAZUAR Atmo-Control Suit,Base Fern,Blue Lambo,Fang Smirk,46,Moonsilver,Human,Astronaut,All-Seeing Shades,None,None,None,None,48.71354948430441,32
33,Rifle Navy Grey,Sailor Uniform Fukushima,,Sagittarius WcHeadset,Plump,67,Ocean Blue,Human,Navy,None,None,None,None,None,8.162994865868423,33
34,Cyber Reaper,Serpent Shell Armor,Tranquil Sea,Blue Trouble Aka,Plump,74,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,26.73054700901783,34
35,R-H00D Compound Blue,Red Snapper,Curious Iron,Chainwhip Aka,Plump,99,Flaming Hibisucus,Aka Oni,Special Ops,None,None,None,None,None,31.950842088780906,35
36,DEMIURGE Autonomous Pseudo-Priest System,Spellcaster's Vest,Dark Crimson,Delinquent Ao,Smoke,89,Bluefire,Ao Oni,Support,None,None,None,None,None,40.20238325305266,36
37,Rifle Red,Combat Stealth,Tense Iron,Spiky Aka,Fangs Out,03,Flaming Hibisucus,Aka Oni,Army,Tinted Specs,None,None,None,None,64.5739833788556,37
38,Grenade Gun Tiger,BANii Maid,Lined Russet,Regal Maiden Ao,Lollipop,07,Bluefire,Ao Oni,Special Ops,None,None,None,None,None,45.826187765749204,38
39,Cyber Reaper,Serpent Shell Armor,Smug Poppy,Fringed Bob,Lollipop,33,Mana Portal,Human,Support,None,None,None,None,None,18.879601890422144,39
40,Cyber Reaper,Vest of Shielding,Basic Wisteria,Skunk WcHeadset,Plump,55,Mana Portal,Human,Support,None,None,None,None,None,4.749917388466864,40
41,Rifle Custom,Urban Street Camo,Glaring Wisteria,Mewsashi,Saucy,06,Army,Human,Army,None,None,None,None,None,15.200306115963835,41
42,Sashimono Red Dawn,Kimono Blue Orchid,Smug Poppy,Kiwi Cut ,Plump,68,Crimson Records,Human,Historical,None,None,None,None,None,8.752737430109564,42
43,DEMIURGE Autonomous Pseudo-Priestess System,Purity Shell Armor,Cheeky Fern,Chainwhip Ao,Plump,65,Bluefire,Ao Oni,Support,None,None,None,None,None,26.874816040633053,43
44,Rifle Heavy,Urban Security,Glaring Wisteria,Loose Strand ,Boo!Boo! Gum,91,Army,Human,Army,None,None,None,None,None,14.80943010754571,44
45,M16 Heavy Assault Rifle Red,Magician's Assistant,Lined Poppy,Pastel Buns,Plump,03,Party Pink,Human,Special Ops,None,None,None,None,None,12.41596519448791,45
46,Assault Rifle Khaki,Mach-3 Utility Jacket Navy,Foxy Fern,Forest Fire Ao,Smoke,72,Bluefire,Ao Oni,Airforce,Smart Glasses,None,None,None,None,68.02809760508725,46
47,Assault Rifle Khaki,Tactical Flight Armor,Frozen Corruption,Messy Chunin ,Smoke,93,Airforce,Human,Airforce,None,None,None,None,None,22.183574465100016,47
48,Makimono Katana Smiley Suprise,Chunin Garb,Base Iron,Mewsashi,Plump,78,Lilac,Human,Shinobi,None,None,None,None,None,12.848826172723896,48
49,Boom Boom Gun,Forager's Uniform,Scarred Slumber,Lawliet ,Plump,37,Party Pink,Human,Special Ops,Rounded Aviators,None,None,None,None,36.50462415710967,49
50,Rifle Blue,Tactical Woodlands,Peridot Rebel,Bedhead Ao,Plump,10,Bluefire,Ao Oni,Army,None,None,None,None,None,25.535233384720808,50
51,Rifle Primitive,Urban Street Camo,,Apache Pilot Jungle,Choco Stick,46,Army,Human,Army,None,None,None,None,None,14.264565964544474,51
52,Rifle Navy Grey,Sailor Stripes,Basic Wisteria,Coral ,Full Kiss,47,Ocean Blue,Human,Navy,None,None,None,None,None,22.17716815703611,52
53,Rail Gun,Street Magus,Glaring Poppy,Spiky Ao,Fangs Out,93,Bluefire,Ao Oni,Support,None,None,None,None,None,41.37522353104383,53
54,Private Contractor EVA Helmet,Private Contractor Flight Suit,Sapphire Highlights,Cotton Candy Swirl,Fang Smirk,24,Moonsilver,Human,Astronaut,None,None,None,None,None,25.12251519533846,54
55,Rifle Medic,Combat Surgeon,Cheeky Iron,IV Mechajaw Headgear,Plump,43,Healing Pulse,Human,Support,Heartbeat Blue,None,None,None,None,31.011903260319812,55
56,R-H00D Compound Blue,Cyborg,Tense Fern,Kojiroh,Plump,81,Red X,Human,Special Ops,None,None,None,None,None,13.521822727316902,56
57,Assault Rifle Maverick,Aviator Jacket,Glaring Wisteria,Mewsashi,Plump,85,Airforce,Human,Airforce,None,None,None,None,None,8.72388245968586,57
58,Rifle Custom,Tracksuit Snood Desert,Base Iron,Topknot ,Plump,85,Army,Human,Army,None,None,None,None,None,0.3205772717970924,58
59,Rifle Stock Custom Orange,Tactical Parade Fur,Neon Yellow Highlights,Regal Maiden,Plump,64,Army,Human,Army,None,None,None,None,None,2.7627844920364275,59
60,Ninja Makimono,Tactical Overalls Polar,Smug Fern,Hatchimaki,Plump,99,Shadow Reflection,Human,Shinobi,None,None,None,None,None,13.162722694336376,60
61,MK-14 Amphibious Assault Rifle,Sailor Stripes,Cheeky Fern,Blonde Bombshell,Saucy Fangs,77,Ocean Blue,Human,Navy,None,None,None,None,None,24.00715242349848,61
62,Carbine Black,Mach-3 Utility Jacket Navy,Lined Poppy,Bobcut Ao,Fang Smirk,23,Bluefire,Ao Oni,Airforce,None,None,None,None,None,40.90401838773186,62
63,DEMIURGE Autonomous Pseudo-Priest System,Street Magus,Gazing Russet,Mewsashi WcVisor,Plump,21,Mana Portal,Human,Support,Lexington Clear,None,None,None,None,30.127503923483967,63
64,Rifle Custom,Urban Camo,Base Iron,Bronsn ,Choco Stick,61,Army,Human,Army,None,None,None,None,None,13.505003559199011,64
65,Rifle Custom,Frogsplash Jungle,Dark Crimson,Loose Strand ,Plump,14,Army,Human,Army,None,None,None,None,None,1.2724351291642906,65
66,Whaler's Harpoon,Able Seaman's Uniform,Wary Russet,Night Watch,Plump,58,Ocean Blue,Human,Navy,None,None,None,None,None,9.41622392113381,66
67,Rail Gun,Spellcaster's Vest,Scarred Slumber,Celestial Dreamer ,Plump,93,Mana Portal,Human,Support,Lexington,None,None,None,None,30.717136509170302,67
68,Rifle Navy Grey,Sailor Uniform Osaka,Basic Wisteria,Twintails,Smoke,27,Ocean Blue,Human,Navy,None,None,None,None,None,20.956183497514527,68
69,Ornamental Broadsword,Kimono Blue Orchid,,Chainwhip,Smoke,64,Crimson Records,Human,Historical,Aviators Sunset,None,None,None,None,46.64967436473136,69
70,Katana Black,Hakama,Gazing Wisteria,Aka Kami,Choco Stick,33,Crimson Records,Human,Historical,None,None,None,None,None,21.71253346335171,70
71,WcSpatula,Chef's WcUniform,Blithe Russet,Service WcVisor,Plump,11,Golden Hex,Human,Support,None,None,None,None,None,8.115269194766967,71
72,Rifle Medic,Combat Surgeon,Emerald Crescent,Black Rose Aka,Plump,69,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,26.361991422582726,72
73,Sashimono Orca,Hakama,Wary Crimson,0xBunnies,Plump,51,Crimson Records,Human,Historical,None,None,None,None,None,9.255907075691864,73
74,First Aid Kit,Surgeon General,Solar,Horse Girl,Tasty,68,Healing Pulse,Human,Support,None,None,None,None,None,21.10056443123545,74
75,XIV Non-Powered EVA Helmet,"Frontier XVII-A Powered EVA Suit, Refit",Base Fern,INFILTRATOR Integrated Rebreather,Choco Stick,63,Moonsilver,Human,Astronaut,None,None,None,None,None,25.98457904897765,75
76,Rifle Camo Polar,Naval Academy Uniform,Tense Iron,Brozo,Fang Smirk,25,Ocean Blue,Human,Navy,None,None,None,None,None,20.48521527154251,76
77,Katana Silver,Kimono Urokomon Red,Blithe Poppy,Bozo Sharky,Plump,58,Crimson Records,Human,Historical,None,None,None,None,None,9.42255359785712,77
78,Assault Rifle Maverick,Aviator Jacket Bare,Base Fern,Mewsashi,Plump,00,Airforce,Human,Airforce,Lexington Clear,None,None,None,None,32.73913473746799,78
79,Dual Katanas Black Gold,Grand Master,Wary Crimson,Two Block ,Fang Smirk,42,Crimson Records,Human,Historical,None,None,None,None,None,19.89863612538285,79
80,XIV Non-Powered EVA Helmet,Frontier XIV Non-Powered EVA Suit,Duality,INFILTRATOR Integrated Rebreather,Plump,82,Moonsilver,Human,Astronaut,None,None,None,None,None,14.133800728205214,80
81,Rifle Leather,Urban Street Camo,Cheeky Fern,Kiwi Sparkle ,Plump,74,Army,Human,Army,None,None,None,None,None,1.3813566534642112,81
82,Private Contractor EVA Helmet,E.M.U,Bold Iron,Cashier WcVisor,Boo!Boo! Gum,23,Moonsilver,Human,Astronaut,Heartbeat Blue,None,None,None,None,51.9628062990811,82
83,Hunter's Rifle Forest,Forager's Uniform,Gazing Wisteria,The Dreaded One,Saucy,36,Party Pink,Human,Special Ops,None,None,Golden Hoops,None,None,58.13374923010903,83
84,Ketchup Dispenser,Chef's WcUniform,Blithe Russet,Celestial Dreamer ,Plump,27,Golden Hex,Human,Support,None,None,None,None,None,7.7082447093468955,84
85,Rifle Navy Black,Fur Lined Captain's Armor,Basic Fern,Frostbite,Popsicle,39,Ocean Blue,Human,Navy,Aviators Sunset,None,None,None,None,46.28752634997714,85
86,None,None,None,None,None,15,Peach Fuzz,Human,Special Ops,None,SENSHIS,None,None,None,59.54021234462772,86
87,Rifle Leather,Military Street Jungle,Basic Fern,Kiwi Sparkle ,Plump,37,Army,Human,Army,None,None,None,None,None,0.6250092640715864,87
88,Katana Black,Tactical Jacket Hooded,Basic Fern,Black Rose,Saucy Fangs,33,Shadow Reflection,Human,Shinobi,Scouter Green,None,None,None,None,50.93097419950663,88
89,Rifle Scorpion Polar,NanoGoth,Coy Crimson,Kiwi Cut ,Plump,93,Party Pink,Human,Special Ops,Architect Black,None,None,None,None,35.90214819697074,89
90,Rifle Charcoal,Naval Academy Uniform,Peridot Rebel,Topknot ,Plump,51,Ocean Blue,Human,Navy,None,None,None,None,None,8.890587976813565,90
91,Rifle Custom,Urban Camo,Tense Fern,Loose Strand Aka,Fang Smirk,10,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,36.690156521809094,91
92,Carbine Black,Fur Lined Turtle,Curious Iron,Horse Girl Ao,Lollipop,46,Bluefire,Ao Oni,Airforce,None,None,None,None,None,43.512452160072876,92
93,Chef's Rusty Pan,Server's WcUniform,Smug Fern,Shrine Maiden,Full Kiss,78,Golden Hex,Human,Support,None,None,None,None,None,22.44350699265691,93
94,Rifle Black Ammo,Flight Suit Olive,,Bozo Mommy,Plump,25,Airforce,Human,Airforce,None,None,None,None,None,8.41293804154825,94
95,First Aid Kit,Medic's Flak Jacket,Basic Wisteria,Chainwhip Ao,Plump,51,Bluefire,Ao Oni,Support,None,None,None,None,None,25.560874619093667,95
96,Cyber Reaper,Protection Starbeam,Basic Wisteria,Kiwi Cut ,Plump,92,Mana Portal,Human,Support,Starstruck Blue,None,None,None,None,28.842323529140756,96
97,Sashimono Night,Kimono Urokomon Red,Wary Crimson,Farmer Hat,Plump,83,Crimson Records,Human,Historical,Monocle,None,None,None,None,34.02419587378917,97
98,Rifle Lucky 8,Utility Vest Camo Red,Doe Poppy,Kiwi Cut ,Lollipop,58,Army,Human,Army,Aviators Sunset,None,None,None,None,39.97775851012327,98
99,Combat Scalpel,Silent Angel,Basic Wisteria,Black Curtain,Plump,80,Healing Pulse,Human,Support,None,None,None,None,None,5.265967606729002,99
100,DEMIURGE Autonomous Pseudo-Priestess System,Azurite Shell Armor,Basic Fern,Mana Sensors,Saucy Fangs,37,Mana Portal,Human,Support,None,None,None,None,None,20.036590232997735,100
101,Rifle Scorpion Polar,Fur Lined Captain's Armor,Cheeky Fern,Puppy Love,Full Kiss,53,Ocean Blue,Human,Navy,None,None,None,None,None,23.36938314316061,101
102,Rifle Stock Custom Orange,Military Street Choker,Bold Crimson,Green Dragon,Plump,32,Army,Human,Army,None,None,None,None,None,2.394220888115467,102
103,Rifle Stock Custom Orange,Locked n' Loaded,Sapphire Highlights,Kiwi Cut ,Plump,64,Army,Human,Army,None,None,None,None,None,2.1346067061337166,103
104,Crown Staff,Azurite Shell Armor,Cheeky Iron,Mommy,Full Kiss,21,Mana Portal,Human,Support,None,None,None,X White Mask,None,51.875489175228964,104
105,Rifle Orange,Tactical Woodlands,Base Iron,Delinquent,Fang Smirk,96,Army,Human,Army,Surgeon's Spectacles,None,None,None,None,36.72195914734066,105
106,Hunter's Rifle Forest,Midnight Raven,Blithe Poppy,Kojiroh ,Plump,44,Party Pink,Human,Special Ops,Lexington Clear,None,None,None,None,36.75781055451671,106
107,Rifle Navy Grey,Sailor Uniform Okinawa,Doe Russet,Chainwhip,Boo!Boo! Gum,10,Ocean Blue,Human,Navy,Evil Glare,None,None,None,None,47.74554926762215,107
108,Parachute,Fighter Pilot Turtle,Dark Fern,Fringe WcSnapback,Plump,63,Airforce,Human,Airforce,Rosy Aviators,None,None,None,None,33.87992010643904,108
109,Rifle Custom,Parade Fur,Gazing Wisteria,Henti,Plump,61,Army,Human,Army,None,None,None,None,None,0.6891052902754075,109
110,Twin Chain Katanas,TechSuit Winter's Shadow,Dark Crimson,Arctic Bad Boy,Plump,64,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.983234394573696,110
111,Rifle Stock Custom Orange,Tactical Overalls,Lined Poppy,SkunkCandy,Plump,36,Army,Human,Army,None,None,None,None,None,2.4487090617012544,111
112,Rifle Orange,Urban Street Camo,Blithe Russet,Eth-ore,Plump,06,Army,Human,Army,None,None,None,None,None,1.5640833737215805,112
113,Rifle Navy Black,Admiral's Coat,Lined Russet,Black Curtain,Plump,27,Ocean Blue,Human,Navy,None,None,None,None,None,8.7559315906575,113
114,Chef's Rusty Pan,Staff WcUniform,Coy Crimson,Canine Lupis,Choco Stick,61,Golden Hex,Human,Support,Clear Specs,None,None,None,None,45.32330661361746,114
115,Rifle Charcoal,Able Seaman's Uniform,Base Iron,Hino Ao,Choco Stick,85,Bluefire,Ao Oni,Navy,None,None,None,None,None,42.096111866938855,115
116,Assault Rifle Maverick,Mach5,Gazing Russet,Fresh Recruit,Choco Stick,29,Airforce,Human,Airforce,None,None,None,None,None,21.898452744386194,116
117,Rifle Red Ammo,Locked n' Loaded,Emerald Highlights,Bozo Mommy,Plump,35,Army,Human,Army,None,None,None,None,None,2.1986527087783436,117
118,Rifle Black Ammo,Fur-Lined Aviator Olive,Lined Russet,Raven Ao,Plump,06,Bluefire,Ao Oni,Airforce,None,None,None,None,None,29.678674021613222,118
119,Rifle Scorpion Polar,R0B-1N Power Armor,Basic Wisteria,Canine Lupis Aka,Boo!Boo! Gum,94,Flaming Hibisucus,Aka Oni,Special Ops,None,None,None,None,None,44.570024864990785,119
120,Parachute,Fighter Pilot Turtle,Duality,Service WcVisor,Choco Stick,20,Airforce,Human,Airforce,None,None,None,None,None,22.67075016097413,120
121,Chef's Rusty Pan,Server's WcUniform,Acid,Rebel Girl ,Fang Smirk,45,Golden Hex,Human,Support,Clear Specs,None,None,None,None,43.62494933130821,121
122,Crown Staff,Potioneer,Curious Russet,Beguiling Hex,Plump,07,Mana Portal,Human,Support,Aviators Sunset,None,None,None,None,30.29724844024396,122
123,Rifle Leather,Tactical Parade Fur,Cheeky Fern,Puppy Love,Plump,33,Army,Human,Army,None,None,None,None,None,1.9582939791124045,123
124,Rifle Stock Custom Green,Meka Vest Camo Jungle,Solar,Canine Lupis,Plump,08,Army,Human,Army,Aviators Sunrise,None,None,None,None,26.755968326673578,124
125,Rifle Navy Gray,Black Rose,Frozen Corruption,Greenhorn,Fang Smirk,98,Ocean Blue,Human,Navy,Aviators,None,None,None,None,44.98978532822895,125
126,Assault Rifle Khaki,Gun BANii,Coy Crimson,Horse Girl Aka,Plump,42,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,29.598565133616777,126
127,Katana Black Kiss,Oni Seifuku Shiro,Lined Poppy,Hime Ponytail,Plump,19,Crimson Records,Human,Historical,None,None,None,None,None,8.954629822514589,127
128,Rifle Orange,Polar,Base Iron,Henti,Fang Smirk,70,Army,Human,Army,None,None,None,None,None,11.675107781624638,128
129,Rifle Navy Gray,Sailor Uniform Aomori,Dark Crimson,Messy Chunin ,Plump,96,Ocean Blue,Human,Navy,None,None,None,None,None,8.720719384656231,129
130,Katana Red,Armoured Greatcoat,Gazing Russet,Swept Back Aka,Lollipop,94,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,43.83621205011695,130
131,Rifle Red Ammo,Tactical Vest Camo,Smug Fern,Pastel Buns,Boo!Boo! Gum,86,Army,Human,Army,Architect Black,None,None,None,None,40.346287169263725,131
132,R-H00D Compound Blue,Midnight Raven,Scarred Slumber,Delinquent,Lollipop,93,Party Pink,Human,Special Ops,Aviators,None,None,None,None,50.62972516220186,132
133,Rifle Lucky 8,Military Street Jungle,Foxy Crimson,Rebel Girl ,Plump,96,Army,Human,Army,Genius,None,None,None,None,26.6405712445575,133
134,Cyber Neko Katana,Fishnet Overalls Polar,Solar,Bozo Goth Babe,Lollipop,48,Shadow Reflection,Human,Shinobi,None,None,None,None,None,27.304909456169202,134
135,Katana Red,Hakama,Frozen Corruption,Topknot WcVisor,Plump,16,Crimson Records,Human,Historical,Lexington Clear,None,None,None,None,34.29977771706874,135
136,Rifle Navy Black,Fur Lined Captain's Armor,Smug Fern,Chocolate Ao,Plump,32,Bluefire,Ao Oni,Navy,None,None,None,None,None,29.65630134054489,136
137,Ornamental Sword,Ruby Diamond,Cheeky Fern,Foxtrot,Plump,70,Crimson Records,Human,Historical,Heartbeat Blue,None,None,None,None,33.98571030763288,137
138,Pilot Wings,Aviator Jacket Bare,Wary Crimson,Block WcVisor,Plump,24,Airforce,Human,Airforce,None,None,None,None,None,9.246299865940484,138
139,Katana Black Kiss,Do Kimono,,Bobcut Ao,Plump,85,Bluefire,Ao Oni,Historical,None,None,None,None,None,29.589085199657745,139
140,Rifle Black Ammo,Flight Suit Olive,Curious Russet,Hime Ponytail,Fang Smirk,16,Airforce,Human,Airforce,Starstruck Blue,None,None,None,None,44.51228320308312,140
141,Rifle Scorpion Polar,Fur Lined Captain's Armor,Foxy Fern,Twintails,Fang Smirk,72,Ocean Blue,Human,Navy,None,None,None,None,None,20.04933646254775,141
142,Parachute,Mach5,Tense Iron,Bronsn ,Saucy,99,Airforce,Human,Airforce,None,None,None,None,None,23.48152193337554,142
143,Sashimono Orca,Kimono Hibuscus,Smug Fern,Regal Maiden Ao,Fang Smirk,97,Bluefire,Ao Oni,Historical,None,None,None,None,None,41.65076177779512,143
144,Twin Cyber Swords,Tactical Vest Camo,Basic Fern,Fractured Emerald Aka,Smoke,96,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,38.510368475074294,144
145,Rifle Primitive,Utility Vest Camo Red,Obsidian,Blonde Bombshell,Plump,00,Army,Human,Army,Clear Specs,None,None,None,None,26.60538500240427,145
146,Rifle Orange,Military Street,Glaring Wisteria,Eth-ore,Popsicle,63,Army,Human,Army,None,None,None,None,None,15.530469106636563,146
147,Rifle Medic,Exo-Medicine,Frozen Corruption,Lawliet ,Plump,19,Healing Pulse,Human,Support,None,None,None,None,None,5.801122263023439,147
148,Rifle Custom,Urban Camo,Dark Crimson,Vox Headset Polar,Plump,60,Army,Human,Army,None,None,None,None,None,1.8204626632238514,148
149,Hunter's Rifle Red,Crimson Hawk,Frozen Corruption,Loose Strand ,Fangs Out,25,Party Pink,Human,Special Ops,Rosy Aviators,None,None,None,None,51.29944291751861,149
150,Rifle Red,Tactical Woodlands,Tense Iron,Bronsn ,Plump,29,Army,Human,Army,None,None,None,None,None,1.3749974897844837,150
151,Combat Scalpel,Silent Angel,,Bozo Banger,Smoke,68,Healing Pulse,Human,Support,None,None,None,None,None,19.08159943973985,151
152,Cyber Reaper,Azurite Shell Armor,Bold Iron,Bewitching Enchantress,Plump,10,Mana Portal,Human,Support,None,None,None,None,None,5.7562438568596095,152
153,Yumiya,Kimono Urokomon Red,Tense Iron,Swept Back Ao,Plump,42,Bluefire,Ao Oni,Historical,None,None,None,None,None,30.354980807537206,153
154,Spellblade,Survival Suit Polar,Wary Russet,Eth-ore,Plump,54,Mana Portal,Human,Support,None,None,None,None,None,5.830025324424018,154
155,Carbine Black,Fur-Lined Aviator Olive,Coy Crimson,Oritsu Aka,Saucy,85,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,44.19822317331552,155
156,Rifle Orange,Polar,Scrunched,Topknot Aka,Plump,87,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,26.073629989525145,156
157,Rifle Red,Tracksuit Snood Desert,Gazing Wisteria,Stardust BANii,Plump,98,Army,Human,Army,Lexington Clear,None,None,None,None,25.621489553806303,157
158,Private Contractor EVA Helmet,E.M.U,Lined Poppy,Mommy,Plump,61,Moonsilver,Human,Astronaut,None,None,None,None,None,13.37104190680279,158
159,Rifle Red,Combat Stealth,Gazing Wisteria,Messy Chunin ,Plump,22,Army,Human,Army,None,None,None,None,None,0.5641311414581353,159
160,Rifle Red,Camo Vest Desert,Blithe Russet,Kaminari,Fang Smirk,58,Army,Human,Army,None,None,None,None,None,12.934595968598552,160
161,R-H00D Compound Red,Cyborg,Gazing Wisteria,Greater Mewsashi Aka,Plump,77,Flaming Hibisucus,Aka Oni,Special Ops,None,None,None,None,None,31.19454438508692,161
162,Ketchup Dispenser,Chef's WcUniform,Base Iron,Topknot ,Plump,08,Golden Hex,Human,Support,None,None,None,None,None,6.599367740797015,162
163,Shuriken Black,Tactical Overalls Polar,Cheeky Fern,Shrine Maiden ,Plump,72,Shadow Reflection,Human,Shinobi,Aviators Sunset,None,None,None,None,37.33780707960611,163
164,Sashimono Glacial,Kimono Ichimatsu Checkered Blue,Base Fern,Loose Strand ,Plump,37,Crimson Records,Human,Historical,Monocle,None,None,None,None,32.67504128223299,164
165,M16 Heavy Assault Rifle Red,Magician's Assistant,,Blonde Bombshell,Plump,56,Red X,Human,Special Ops,None,None,None,None,None,13.057111722089623,165
166,Carbine Black,Tactical Flight Jacket Olive,Lined Russet,Rebel Girl Ao,Plump,62,Bluefire,Ao Oni,Airforce,None,None,None,None,None,29.579310003445432,166
167,Rifle Lucky 8,Urban Street Camo,,Oritsu Aka,Fang Smirk,73,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,35.98837809336197,167
168,Cyber Reaper,Potioneer's Assistant,,Oritsu,Boo!Boo! Gum,28,Mana Portal,Human,Support,None,None,None,None,None,18.82513487098936,168
