,Dance,Music,Background,Expression,Ears,Nose,Mouth,Head,Neck,Top,Eyewear,Eyes,Fur,Sex,Rarity score,Token Id
33,Side Nod,Stardust,Dancing in the Shroomlight,Mouth Open (Left) + Wink,,,Lollipop,Tuft (Black),Bowtie (Gold),Tie Dye Singlet,,Heart (Red),Barney,Female,63.47750213167733,33
34,Side To Side,Coffee and Carrots,Mystic Valley,Mouth Open (Right),Steel Rings,Steel Stud,Joint,Mohawk (Base),Dog Tags,Pink Jacket,Aviators,Brown,Marshmellow,Male,67.92828173830556,34
35,Side To Side,L.O.V.E.,Dancing in the Shroomlight,Grin,,Diamond Stud,,Beanie,Collar (Black),,Deal With It Glasses,Brown,Blue Blood,Male,50.42919659856205,35
36,Side Nod,Hop With Me,Gallery,Blank,FLUF Tag,Bone,,Tuft (Black),Bowtie (Red),White Singlet,Designer Glasses,Green (Dilated),Guernica,Male,68.89792295033044,36
37,Groove,I Love FLUF,FTW (F*ck The War),Mouth Open (Right),,Gold Stud,Joint,Tuft (Base),,Flannel Jacket,,Scribble,Camo,Male,31.812962259345895,37
38,Round,Hop On By,Dunes,Smile,Steel Studs,,Lip Piercings,Afro (Base),Collar (Black),,,Red (Dilated),Orange,Male,36.86492716219718,38
39,Bob,Hop With Me,Lambo,Blank + Wink,,Steel Stud,,,Collar (Black),,,Yellow,Black & White,Female,30.534621546445003,39
40,Bob,Desert Digging,Backalley,Mouth Open (Left),Gold Rings & Studs,Bull Ring,Party Horn,,FLUF Logo Chain,Puffer Jacket,,Reptile (Cream),Brown,Female,67.63200630937784,40
41,Round,Hop On By,Heaven,Smile,Gold Rings,Bull Ring,,Halo,,Puffer Jacket,,Thirties,Orange,Male,38.686800647961824,41
42,Groove,Ear Wobbler,Backalley,Mouth Open (Right),Steel Studs,,Cigarette,,Headphones,,,Hypnotic,Avatar,Female,36.29633402918447,42
43,Side Nod,Ear Wobbler,Dunes,Mouth Open (Left),Steel Studs,,Lollipop,Cowboy Hat,Glowstick Necklace,Tie Dye Singlet,,Brown,Hawk,Male,48.0149199358926,43
44,Subtle Nod,Space Fluffle,Spaceship,Sad,,Bone,,Propeller Hat,Bowtie (Red),Boob Tube,Designer Glasses,Dead,Darkness,Male,62.471381698233884,44
45,Big Nod,Rabbiton,Mansion,Blank,Steel Studs,Bone,,Sombrero,VIP lanyard,,Deal With It Glasses,Green,Cow,Male,50.37192432852285,45
46,Groove,Electric Carrots,Heaven,Blank,Diamond Studs,Gold Stud,,,Glowstick Necklace,Black FLUF Singlet,Neon Glasses,Blue,Winter,Male,54.064145222822724,46
47,Bob,Rabbiton,Lambo,Mouth Open (Middle),FLUF Tag,,Whistle,,Bowtie (Red),FLUF Jacket,,Yellow,Winter,Male,38.58529172353065,47
48,Groove,I Like to Party,Star Explorer,Blank,,Diamond Stud,,Propeller Hat,Bowtie (Red),,,Reptile (White),Ice Cream,Male,23.981703412765746,48
49,Bob,Space Fluffle,Swamp,Blank,,,,,Bowtie (Gold),Sign My Carrot Singlet,,Yellow,Pheonix,Male,14.693432511475695,49
50,Round,Hop On By,Garden,Blank,Diamond Studs,Gold Ring,,Bandana,,Flannel Jacket,Star Glasses,Heart (Red),Tie Dye,Female,73.73370663689875,50
51,Side To Side,What the FLUF,Fluf Haus LA 2022,Sad,,Steel Ring,,Pirate Hat,Collar (Black),Red Balloon Singlet,,Green,Black & White,Male,36.694663409452914,51
52,Groove,I Love FLUF,Beach,Mouth Open (Left) + Wink,Steel Rings & Studs,Steel Stud,Party Horn,Bandana,Bowtie (Black),Yellow Rabbit Singlet,,Thirties,Retro,Male,62.45127972753573,52
53,Big Nod,Rabbiton,Heaven,Mouth Open (Left),Steel Rings,Bull Ring,Party Horn,Pirate Hat,,Red Balloon Singlet,,Cat (Blue),Moody Blue,Male,47.40621986826843,53
54,Round,Floating or Flying,Tiki,Mouth Open (Middle),Bit Ear,Steel Ring,Pacifier,Afro (Base),Bowtie (Red),Gold Jacket,Bug Eye Glasses,Blue,Orange,Female,96.11330678046326,54
55,Big Nod,Back in the Burrow,Gallery,Blank,,,Medical Mask,Beanie,Glowstick Necklace,Digital Camo Singlet,,Brown,Brown,Female,48.7976389099395,55
56,Groove,FLUF You Up,Lambo,Smile + Wink,,Steel Stud,,,Bowtie (Red),,,Brown,Camo,Male,10.599606409849212,56
57,Bob,Eating Carrots in the Dark,Gallery,Smile + Wink,,,,,Bowtie (Gold),Black FLUF Singlet,Star Glasses,Cat (Blue),Tie Dye,Female,58.210843666233266,57
58,Side To Side,Back in the Burrow,Pass,Smile + Wink,Steel Studs,Bull Ring,,Cowboy Hat,Glowstick Necklace,Black FLUF Singlet,,Green,Honeycomb,Female,63.15689396000512,58
59,Groove,Space Fluffle,Markets,Mouth Open (Right),Steel Rings,,Cigar,,Collar (Pink),,Fake Eyelashes,Brown,Brown,Female,49.97802582190764,59
60,Side Nod,Desert Digging,Heaven,Mouth Open (Right),Gold Studs,,Carrot,,FLUF Logo Chain,,,Heart (Red),Darkness,Male,21.53900244510154,60
61,Side To Side,Rabbiton,Thank You For Having Us,Mouth Open (Right),,Clown Nose,Joint,Afro (Base),Peace Necklace,FLUF Jacket,Aviators,Blue,Smoothie,Male,62.11003435778799,61
62,Big Nod,Beyond the Gates,FTW (F*ck The War),Blank,,Steel Ring,,,,Tie Dye Singlet,Fake Eyelashes,Cat (Brown),Brown,Male,33.56972121868323,62
63,Subtle Nod,Ear Wobbler,Garden,Smile + Wink,Steel Rings,,Lip Piercings,Mohawk (Base),Bowtie (Red),White Singlet,Round Glasses,Blue,Winter,Female,82.3637317716873,63
64,Groove,Latin Fiesta,Dunes,Blank,Steel Rings,Steel Stud,,,,,Designer Glasses,Purple,Barney,Male,29.1672454738464,64
65,Bob,Reggae Rabbits,Tiki,Mouth Open (Right),,,Cigar,Beanie,,Digital Camo Singlet,Eye Patch,Brown,Sandy,Male,37.079404032153604,65
66,Subtle Nod,Dubhop,Garden,Mouth Open (Right),Gold Studs,Diamond Stud,Joint,,FLUF Logo Chain,White Singlet,,Scribble,Camo,Male,46.083597472955134,66
67,Big Nod,Coffee and Carrots,Backalley,Mouth Open (Right) + Wink,Bandaged,Steel Ring,Cigarette,Mullet (Base),Peace Necklace,Yellow Rabbit Singlet,Shutter Glasses,Green (Dilated),Sandy,Male,82.10459328512245,67
68,Bob,Coffee and Carrots,Mystic Valley,Mouth Open (Right),Diamond Studs,,Joint,,Bowtie (Red),,,Blue,Retro,Female,33.516934557346225,68
69,Big Nod,Let The Story Begin,FTW (F*ck The War),Mouth Open (Right),Red Ribbon,Gold Stud,Carrot,Devil Horns,Bowtie (Black),Sign My Carrot Singlet,,Green (Dilated),Red,Female,74.56200341369322,69
70,Bob,I Like to Party,Dunes,Sad,,,Lipstick,Bandana,,Voxel Rabbit Singlet,Bug Eye Glasses,Green,Grey,Female,62.288427704602924,70
71,Round,Ear Wobbler,Spaceship,Mouth Open (Right),,,Carrot,,Collar (Pink),,,Purple Rings,Darkness,Female,24.85366954492002,71
72,Subtle Nod,Run Rabbit,Beach,Mouth Open (Right),Steel Rings & Studs,Clown Nose,Carrot,Afro (Black),Clock Necklace,,,Brown,Brown,Male,35.91928793544429,72
73,Subtle Nod,Dubhop,The Wall,Mouth Open (Right),,Bull Ring,Carrot,,Dog Tags,Boob Tube,Dive Goggles,Cat (Brown),Highlighter,Male,55.37894160266858,73
74,Subtle Nod,Space Fluffle,Spaceship,Mouth Open (Right) + Wink,Gold Rings,Clown Nose,Cigarette,Tuft (Base),FLUF Logo Chain,,,Heart (Blue),Winter,Female,63.676167476392685,74
75,Side To Side,Follow You,FTW (F*ck The War),Mouth Open (Left),Gold Rings,,Lollipop,Mullet (Orange),Collar (Pink),,Fake Eyelashes,Green (Dilated),Orange,Female,74.79286973359281,75
76,Side Nod,Floating or Flying,The Front,Smile + Wink,Gold Studs,,,Pirate Hat,Clock Necklace,FLUF Jacket,Sunglasses,Blue,Brown,Male,61.89940067652175,76
77,Side To Side,Hop On By,Pass,Anger,Steel Rings,Bull Ring,Lollipop,FLUF Cap,,Flannel Jacket,,Green,Black & White,Male,38.471544605623905,77
78,Bob,All I Need,Pass,Mouth Open (Right),Gold Rings,Bull Ring,Joint,FLUF Cap,,Pink Jacket,,Red (Dilated),Sky,Male,41.08052204628976,78
79,Subtle Nod,Stardust,FLUF Haus Miami 2021,Smile,Gold Rings & Studs,,Lip Piercings,,Lei,,,Red,Ice Cream,Male,33.72863025247671,79
80,Groove,FLUF You Up,Lambo,Mouth Open (Right),,Bull Ring,Joint,Flower Crown,Tie,,,Blue,Winter,Female,36.74258133827218,80
81,Big Nod,Let It Go,Gallery,Sad,Bandaged,Bone,,Pirate Hat,Peace Necklace,,,Heart (Red),Red,Female,60.19106694970879,81
82,Round,Floating or Flying,Mansion,Grin,,Diamond Stud,,Army Helmet,VIP lanyard,,,Inverted,Darkness,Male,30.41346034127984,82
83,Side Nod,FLUF Ocean,FLUF Haus Miami 2021,Mouth Open (Right),Bandaged,Bull Ring,Carrot,Mohawk (Base),VIP lanyard,Sign My Carrot Singlet,Round Glasses,Brown,Orange,Male,75.15439845523079,83
84,Round,Higher,Star Explorer,Mouth Open (Middle) + Wink,,,Whistle,Devil Horns,,Boob Tube,Cyberpunk Glasses,Green (Dilated),Tiger,Male,56.04883099377177,84
85,Side To Side,Back in the Burrow,Garden,Blank,Red Ribbon,Steel Ring,,,Dog Tags,Voxel Rabbit Singlet,,Cat (Blue),Grinch,Male,37.197406254889955,85
86,Groove,Dubhop,Mansion,Mouth Open (Right),Gold Rings,Gold Ring,Joint,Afro (Base),,Tie Dye Singlet,Sunglasses,Brown,Guernica,Male,57.861920348736675,86
87,Groove,Lucky Foot,Party House,Anger,Steel Studs,,Lollipop,Afro (Ginger),Glowstick Necklace,,,Cat (Brown),Orange,Female,55.01763483538623,87
88,Bob,Run Rabbit,Pass,Blank,Gold Rings,Steel Ring,,,Dog Tags,,Aviators,Blue,Brown,Male,36.056782578286786,88
89,Subtle Nod,Ear Wobbler,The Front,Mouth Open (Right) + Wink,Gold Bows,Steel Stud,Cigarette,Devil Horns,Bowtie (Black),,Sunglasses,Blue,Peppermint,Male,64.2120624894344,89
90,Subtle Nod,Back in the Burrow,FTW (F*ck The War),Smile,Steel Rings & Studs,Bone,,Holographic Cap,Collar (Black),Sign My Carrot Singlet,,Brown,Guernica,Male,49.3824575139186,90
91,Round,Desert Digging,Beach,Mouth Open (Right),Steel Rings & Studs,Steel Ring,Cigarette,Army Helmet,Clock Necklace,,Sunglasses,Brown,Red,Male,54.534749618967396,91
92,Side Nod,I Like to Party,FTW (F*ck The War),Mouth Open (Right),,,Cigarette,FLUF Cap,Bowtie (Black),,,Blast,Guernica,Female,37.61511444258839,92
93,Side To Side,Electric Carrots,Spaceship,Blank,Steel Rings,Clown Nose,,Sun Visor,Collar (Pink),,Eye Patch,Purple,Kandinsky,Male,53.78023700888493,93
94,Big Nod,FLUF You Up,Pass,Smile + Wink,Steel Studs,Bloody,,Sun Visor,Tie,High Vis Vest,,Cat (Blue),Orange,Male,56.089514176940845,94
95,Bob,Desert Digging,Dunes,Blank,,Bull Ring,,Conical Hat,Lei,Voxel Rabbit Singlet,,Hypnotic,Sandy,Male,33.857946620910226,95
96,Big Nod,Coffee and Carrots,Pass,Sad,Diamond Studs,Gold Ring,Lipstick,Mullet (Black),,,,Inverted,Darkness,Female,59.785456949906276,96
97,Groove,Rabbiton,Spaceship,Mouth Open (Left),Red Ribbon,,Lollipop,Mohawk (Black),Bowtie (Gold),Red Balloon Singlet,,Blue,Orange,Female,63.25825233181931,97
98,Round,Space Fluffle,Markets,Sad,Gold Bows,,,Tennis Hat,,Red Balloon Singlet,,Green (Dilated),Sandy,Female,46.93128003215292,98
99,Round,What the FLUF,Backalley,Mouth Open (Right),Steel Rings & Studs,Bone,Carrot,Afro (Ginger),Bowtie (Red),,,Fire,Hawk,Male,39.74143798117326,99
100,Side Nod,Desert Digging,After Party,Mouth Open (Right),Bandaged,Steel Stud,Cigarette,,Bowtie (Gold),Red Balloon Singlet,Deal With It Glasses,Blue,Raspberry Ripple,Male,63.82222105462885,100
101,Subtle Nod,Rabbiton,Dunes,Blank,Steel Studs,Gold Ring,,Mullet (Black),FLUF Logo Chain,Red Balloon Singlet,Fake Eyelashes,Red,Black & White,Female,83.2762095277786,101
102,Groove,Reggae Rabbits,Heaven,Mouth Open (Middle),,Steel Stud,Mooncrust Pizza,,Collar (Pink),Leather Vest,,Reptile (White),Raspberry Ripple,Female,57.13580282753769,102
103,Subtle Nod,NFT (Instrumental),FTW (F*ck The War),Smile,Bandaged,,,Tuft (Base),FLUF Logo Chain,,,Green (Dilated),Raspberry Ripple,Male,31.224999280228023,103
104,Side To Side,Disco Rabbit,Lambo,Mouth Open (Right) + Wink,Red Ribbon,Steel Stud,Cigarette,Tuft (Base),Gold Dollar Chain,Tie Dye Singlet,,Xs,Grey,Female,77.02868608518172,104
105,Side Nod,Back in the Burrow,Spaceship,Mouth Open (Right),Gold Bows,Steel Ring,Pipe,Mohawk (Base),,Pink Jacket,,Green,Winter,Male,36.79165707960869,105
106,Bob,I Like to Party,Mansion,Mouth Open (Middle),,Steel Ring,Whistle,Pirate Hat,Collar (Pink),Red Balloon Singlet,Sunglasses,Blue,Black & White,Male,64.38226456530276,106
107,Bob,Electric Carrots,Markets,Grin,FLUF Tag,Steel Ring,,Halo,,Red Balloon Singlet,Dive Goggles,Green (Dilated),Cow,Female,78.4932859417081,107
108,Subtle Nod,Rabbiton,Lambo,Grin + Wink,Steel Rings,Steel Stud,,Beer Hat,Collar (Black),,,Inverted,Zombie (Black),Female,55.362544073653005,108
109,Side Nod,Space Fluffle,Swamp,Smile,Gold Rings,Steel Stud,Lip Piercings,,,,,Red (Dilated),Sky,Female,42.76826238789012,109
110,Side To Side,Rabbiton,Garden,Smile,,Diamond Stud,Lip Piercings,Afro (Black),,,Neon Glasses,Brown,Winter,Female,59.208868576942976,110
111,Groove,Ear Wobbler,Spaceship,Smile + Wink,,Bone,Lip Piercings,,,Dress,Speed Glasses,Blue,Marshmellow,Female,64.18722213629063,111
112,Round,Ear Wobbler,Mansion,Blank,,,,,Peace Necklace,,Heart Glasses,Green,Guernica,Female,35.85761485759969,112
113,Side Nod,FLUF You Up,Gallery,Mouth Open (Left),,,Party Horn,,FLUF Logo Chain,,Bug Eye Glasses,Brown,Marshmellow,Male,36.60500837429196,113
114,Subtle Nod,FLUF You Up,Beach,Mouth Open (Middle),,,Pacifier,Mohawk (Red),Gold Chain,,Sunglasses,Green,Marshmellow,Female,61.92724631372276,114
115,Bob,Desert Digging,FLUF Haus Miami 2021,Smile,Gold Rings,Steel Stud,Lip Piercings,Tennis Hat,,,,Cat (Blue),Kandinsky,Male,37.59950661903056,115
116,Subtle Nod,Follow You,Lambo,Blank,Steel Rings & Studs,Gold Stud,,Bandana,Collar (Black),Voxel Rabbit Singlet,Bug Eye Glasses,Blue,Brown,Female,77.17002119213514,116
117,Side Nod,Run Rabbit,ASTO Discovery Portal,Mouth Open (Right),Steel Studs,Bull Ring,Joint,Crown,,Leather Vest,,Green (Dilated),Grey,Male,39.006977430170345,117
118,Side To Side,Run Rabbit,Garden,Mouth Open (Right),Diamond Studs,Gold Ring,Cigarette,Propeller Hat,Headphones,,,Blue,Red,Female,54.936558197053756,118
119,Big Nod,Let The Story Begin,Fluf Haus LA 2022,Mouth Open (Right) + Wink,Steel Studs,Gold Stud,Joint,Mohawk (Base),,Voxel Rabbit Singlet,,Cat (Brown),Smoothie,Male,52.729881158905066,119
120,Groove,Back in the Burrow,FTW (F*ck The War),Anger,Steel Studs,Gold Ring,Lollipop,Flower Crown,,,,Cat (Brown),Zebra,Female,49.450788296585,120
121,Subtle Nod,Coffee and Carrots,Beach,Mouth Open (Right) + Wink,Gold Rings & Studs,,Cigar,Tuft (Base),,,Shutter Glasses,Zombie,Zombie (Black),Male,50.043781507973485,121
122,Side Nod,Eating Carrots in the Dark,Mansion,Mouth Open (Right),Steel Rings & Studs,Bone,Pipe,Birthday Hat,Bone Necklace,Gold Jacket,Star Glasses,Green,Moody Blue,Male,72.00581019261027,122
123,Bob,Disco Rabbit,Dunes,Blank,,,,Bandana,,Red Balloon Singlet,,Glowing White,Sandy,Male,12.181607014349728,123
124,Subtle Nod,Coffee and Carrots,FTW (F*ck The War),Blank,Steel Rings,,Medical Mask,Tennis Hat,Collar (Black),Dress,,Heart (Blue),Sandy,Female,61.902868934229375,124
125,Subtle Nod,Higher,Dancing in the Shroomlight,Mouth Open (Right),,Bone,Cigarette,,,Pink Jacket,Heart Glasses,Blue,Ice Cream,Female,57.2245764472132,125
126,Big Nod,Beyond the Gates,Swamp,Mouth Open (Left),,,Lollipop,Mullet (Black),Bowtie (Gold),Tie Dye Singlet,Fake Eyelashes,Heart (Red),Red,Male,62.7878268759233,126
127,Subtle Nod,Beyond the Gates,Fluf Haus LA 2022,Blank,,,Lipstick,Flower Crown,,Sign My Carrot Singlet,,Yellow,Honeycomb,Female,42.53283824312126,127
128,Subtle Nod,Follow You,Spaceship,Anger,,,Lollipop,Birthday Hat,Lei,,Star Glasses,Cat (Blue),Brown,Female,60.94942155773339,128
129,Bob,Rabbiton,Lambo,Grin + Wink,Diamond Studs,Clown Nose,,Bandana,,Camo Jacket,Shutter Glasses,Red (Dilated),Peppermint,Female,80.42855592736441,129
130,Bob,Messiah,Backalley,Anger,Santa Hat,,,Tennis Hat,Collar (Pink),White Singlet,,Yellow,Black & White,Male,42.314482854115326,130
131,Side Nod,Floating or Flying,Markets,Blank + Wink,,,,Birthday Hat,,High Vis Vest,,Blue,Red,Male,16.71456426819175,131
132,Bob,Floating or Flying,Backalley,Mouth Open (Right),Steel Rings & Studs,,Carrot,Mullet (Base),,Flannel Jacket,Star Glasses,Scribble,Camo,Male,51.27683370324987,132
133,Big Nod,Desert Digging,Swamp,Smile,,Bull Ring,Lip Piercings,Conical Hat,,Black FLUF Singlet,,Cat (Blue),Darkness,Female,54.33196755299067,133
134,Subtle Nod,Run Rabbit,Mansion,Blank + Wink,FLUF Tag,Gold Ring,,Conical Hat,,Digital Camo Singlet,Designer Glasses,Brown,Sandy,Female,72.83338552317365,134
135,Groove,Back in the Burrow,The Wall,Blank + Wink,Gold Bows,Bone,,Propeller Hat,Bone Necklace,,Shutter Glasses,Cat (Brown),Raspberry Ripple,Male,63.38855683882906,135
136,Groove,Follow You,Markets,Mouth Open (Middle),,Diamond Stud,Whistle,Tuft (Base),,Camo Jacket,Aviators,Green,Candy Floss,Male,56.63669539057037,136
137,Groove,Ear Wobbler,Dunes,Mouth Open (Right),FLUF Tag,Bull Ring,Cigar,Tennis Hat,,High Vis Vest,,Heart (Red),Darkness,Male,40.1919412305958,137
138,Subtle Nod,Run Rabbit,Swamp,Mouth Open (Right),Steel Studs,,Carrot,Birthday Hat,Bowtie (Red),Boob Tube,,Green,Black & White,Female,51.065709816231596,138
139,Side Nod,Dubhop,Heaven,Sad,Bit Ear,Steel Ring,,,Bowtie (Gold),,Heart Glasses,Brown,Tiger,Female,63.740966695979,139
140,Round,Follow You,Markets,Blank,Gold Rings,,,FLUF Cap,Headphones,Kimono,,Cat (Brown),Sky,Male,36.824003734710374,140
141,Groove,What the FLUF,Backalley,Mouth Open (Right),Gold Bows,Steel Ring,Cigarette,Mullet (Base),,Red Balloon Singlet,,Dollars,Honeycomb,Female,57.379114278512446,141
142,Round,Rabbiton,Gallery,Grin,,Bull Ring,Tongue Out,,Gold Chain,,,Thirties,Cheetah,Male,30.81528392396256,142
143,Side Nod,Electric Carrots,Backalley,Mouth Open (Right),Steel Rings,Steel Ring,Cigar,,,Yellow Rabbit Singlet,,Fire,Darkness,Male,30.258887559003327,143
144,Big Nod,I Like to Party,Beach,Mouth Open (Right),Diamond Studs,Steel Stud,Cigarette,,Gold Chain,,Neon Glasses,Green,Grey,Female,62.174540997518044,144
145,Groove,Disco Rabbit,Beach,Mouth Open (Left),Gold Bows,Gold Stud,Lollipop,Birthday Hat,,Digital Camo Singlet,,Scribble,Guernica,Female,66.43502589342276,145
146,Round,Beyond the Gates,Heaven,Sad,,Bull Ring,,Sombrero,Clock Necklace,Tie Dye Singlet,Aviators,Glowing White,Black & White,Male,61.79798792841426,146
147,Groove,Messiah,Dancing in the Shroomlight,Mouth Open (Middle) + Wink,Diamond Studs,Bull Ring,Pacifier,Gold Cap,,,,Zombie (Inverted),Zombie (Green),Female,60.34125227181703,147
148,Side To Side,Desert Digging,Beach,Grin,Steel Rings & Studs,,Lipstick,,,Camo Jacket,Star Glasses,Cat (Blue),Black & White,Male,50.717210172295424,148
149,Round,Coffee and Carrots,Markets,Mouth Open (Right),Red Ribbon,Steel Stud,Carrot,Mohawk (Black),,FLUF Jacket,,Thirties,Orange,Male,42.18421361369414,149
150,Round,I Like to Party,Swamp,Blank,,,,Mohawk (Red),,Leather Vest,Shutter Glasses,Green,Winter,Male,27.803563681850335,150
151,Bob,Eating Carrots in the Dark,Mansion,Mouth Open (Right),,Gold Ring,Joint,,Clock Necklace,Red Balloon Singlet,3D Glasses,Blue,Winter,Male,49.79569916623065,151
152,Big Nod,Follow You,Lambo,Anger,Gold Studs,Steel Ring,Party Horn,Birthday Hat,Bowtie (Red),,Bug Eye Glasses,Brown,Parrot,Male,64.45954829549743,152
153,Bob,Disco Rabbit,Mansion,Smile,Gold Bows,,,,Greenstone,Voxel Rabbit Singlet,,Purple,Red,Female,49.53209298865932,153
154,Groove,Back in the Burrow,Swamp,Smile + Wink,,Steel Stud,,,,,Bug Eye Glasses,Brown,Red,Female,36.71434737867664,154
