,stankfinder,MUNCHYHOLE,Eye on dat side,Eyz on dis side,Hedz,Eers,Boddee,collrzes,1 of 1,djeimebdie,Rarity score,Token Id
69,zippyzipzip,nomnomhole,don lookitme,o noooooo,growf,eeerbonez,wekkum tarbys,wat dis?,None,None,3.0201977207988393,69
70,berries,glaaaaaah,whoaz me,hangded over,furrrrrrrrrr,iers,ouchies,darkerer,None,None,6.3568208189279485,70
71,das notta nose,burblurblurb,das not eyz eeder,krazed,jawboymangirl,floaty eerz,furr,dirt,None,None,4.5268049041929945,71
72,dizeezsd,mouf,gathp,transeded,furrrrrrrrrr,eers,wanna poak dat,bloody milk yumm,None,None,4.038385937181309,72
73,flassid,blarrr,das not eyz eeder,look up dere,furrrrrrrrrr,leefs,inna bun,bloody milk yumm,None,None,9.260034323186353,73
74,zippyzipzip,nomnomhole,oook,yallo,cracky,onny a fleshwoond,clubbin time,darkerer,None,None,7.780929764115428,74
75,das notta nose,bleebleebloobloo,browney,lookin dere,avvokado,eors,clubbin time,wat dis?,None,None,3.274707439615207,75
76,bloo,ibblebiddle,peep,lookin hear,wart top,EERS,ETH,purdy cave,None,None,5.345498280435319,76
77,buttnose,blippyblipblipblip,narf,seepy,taterhead,eers,Diamondhands?,darkerer,None,None,6.315553120666256,77
78,uppy,blippyblipblipblip,not enthuzd,spooky,growf,EERS,yur mom,darkderest,None,None,4.630025421728265,78
79,kwaigun,glibbaglab,termigooblin,lookin hear,cracky,eer,wanna poak dat,nothin,None,None,3.563652214915895,79
80,blobby,blippyblipblipblip,don lookitme,krazed,flatface,eirs,ouchies,fLEsh stik,None,None,2.572998279302575,80
81,pointy,mubblebumm,whaja say?,wass overder?,cracky,eeerbonez,ouchies,fludded tunlz,None,None,3.9901975061354276,81
82,dribble,gooooooo,LAZZARZZZZ,lookin dere,taterhead,iers,sashay,darkderest,None,None,7.8084062373752925,82
83,das notta nose,blippyblipblipblip,grrrAAAAAuuugh,lookin dere,TAK UR ORDRR?,eerchompr,wanna poak dat,fludded tunlz,None,None,7.010358064342364,83
84,kwaigun,glaaaaaah,zoinks,upside downside,growf,eerchompr,blarggh,mold,None,None,3.5361392681339745,84
85,droopy,nomnomhole,waaah,transeded,furrrrrrrrrr,floaty eerz,RRRRRRAAAAAHHH,purdy cave,None,None,6.920948731168224,85
86,pointy,mouf,suthpithus,lookin dere,TAK UR ORDRR?,eermoffs,dat spase soot gots holes,mold,None,None,7.361244646624665,86
87,crooky,yabbagabba,oook,punchded,SPIKR,eermoffs,yur mom,wat dis?,None,None,7.732739958288934,87
88,zippyzipzip,mrnnhrhmn,angreye,upside downside,deflateded,eirs,clubbin time,fludded tunlz,None,None,5.297344947062082,88
89,dizeezsd,blablabla,angreye,wass overder?,deflateded,iers,sashay,wat dis?,None,None,4.210349246266215,89
90,arouzd,yabbagabba,nspektin stuff,sparples,taterhead,eer,teeheehee,darkerer,None,None,6.136665633142555,90
91,arouzd,gooooooo,i seend a mouse! yum!,transeded,wart top,earz,wekkum tarbys,nothin,None,None,3.4192149258543094,91
92,kwaigun,flthththlffh,hlo,teeny peephoal,bierdy,floaty eerz,BLINGG,nothin,None,None,3.859507397946429,92
93,udder pointy kind,ibblebiddle,nar,o noooooo,SPIKR,eors,fansee,fLEsh stik,None,None,3.7838046445745865,93
94,berries,blarrr,nar,lookin hear,soft pare,iers,wanna poak dat,bloody milk yumm,None,None,3.1233384089892327,94
95,crooky,oobie doo,narf,ooooh,bumpynoggn,earz,grey body,nothin,None,None,2.9238683445210976,95
96,pointy,mouf,peep,upside downside,bierdy,eors,BLINGG,kobold puke,None,None,2.6486397848545207,96
97,ouchie,ibblebiddle,LAZZARZZZZ,grekd,floppee,woodywood eers,eeeeeeeeboooom,kobold puke,None,None,10.876762108623504,97
98,pointy,mubblebumm,das not eyz eeder,squintee,bierdy,iers,dawwww,bloody milk yumm,None,None,3.536138581354411,98
99,droopy,burblurblurb,angreye,lookit dat,cracky,EERS,flappy,kobold puke,None,None,3.1302667105483803,99
100,pointy,mouf,narf,hangded over,oweee,eerz?,dawwww,stupid sun,None,None,3.928285292207333,100
101,crooky,mrnnhrhmn,nspektin stuff,o noooooo,kiwimonstr,eerz?,yur mom,rottn elfboddie,None,None,4.73319913977102,101
102,is dat a nose,yabbagabba,not enthuzd,eh?,bumpynoggn,eeeeers,flappy,fLEsh stik,None,None,3.0064037422659644,102
103,arouzd,glibbaglab,wass dat way,glowcoma,bumpynoggn,EERS,inna bun,stupid color,None,None,7.326842625184016,103
104,bloo,nuddernuddermouf,nar,ooop,deflateded,LAAAAAZZER EERS,sashay,purdy cave,None,None,4.6644398299361205,104
105,berries,flthththlffh,pinkypinkpink,das not an eyez!,taterhead,eerz?,blarggh,purdy cave,None,None,2.277144473648308,105
106,blobby,oobie doo,oook,punchded,floppee,eeerbonez,stukinda troat,bloody milk yumm,None,None,5.476224172007728,106
107,sniffer,mrnnhrhmn,don lookitme,ooooh,oweee,eerchompr,BLINGG,rottn elfboddie,None,None,4.4373921293340715,107
108,dribble,aaaabaaaaabbbaaa,don lookitme,glowcoma,avvokado,eors,wanna poak dat,purdy cave,None,None,3.5292515684085433,108
109,droopy,glaaaaaah,oook,transeded,bumpynoggn,eer,dat spase soot gots holes,fLEsh stik,None,None,3.412347183655954,109
110,goz down,glibbaglab,tremblr,krazed,soft pare,eerz?,flappy,fLEsh stik,None,None,0.8462152682593551,110
111,danglydoo,nuddernuddermouf,grrrAAAAAuuugh,look up dere,flatface,eer,Diamondhands?,darkderest,None,None,5.476212475837223,111
112,udder pointy kind,mouffs,narf,das not an eyez!,wart top,onny a fleshwoond,wanna poak dat,wat dis?,None,None,6.404963140314591,112
113,danglydoo,nudder mouf,tremblr,spooky,STABBYSTABHEAD,earrz,stukinda troat,fludded tunlz,None,None,8.957321033025849,113
114,das notta nose,yabbagabba,angreye,o noooooo,jawboymangirl,floaty eerz,dawwww,bloody milk yumm,None,None,3.2058999585608925,114
115,blobby,bleebleebloobloo,look dis way,das not an eyez!,furrrrrrrrrr,earrz,dat spase soot gots holes,mold,None,None,5.132260387886931,115
116,arouzd,blahhhhhhh,nspektin stuff,spooky,growf,LAAAAAZZER EERS,REKT,dirt,None,None,8.214331786768206,116
117,berries,mouffs,termigooblin,hangded over,kiwimonstr,blingyfaweez,flappy,darkerer,None,None,7.161736044478643,117
118,goz down,yabbagabba,waaah,sparples,bierdy,eerchompr,BLINGG,stupid color,None,None,4.279140214531947,118
119,dribble,blippyblipblipblip,whaja say?,hangded over,soft pare,eirs,fansee,nothin,None,None,2.5935891182143225,119
120,droopy,nuddernuddermouf,narf,lookin dere,taterhead,earz,stukinda troat,wat dis?,None,None,4.636878021338083,120
121,ouchie,bleebleebloobloo,zoweee,ooop,bumpynoggn,eirs,ouchies,dirt,None,None,3.5155229693663066,121
122,flassid,burblurblurb,don lookitme,grekd,jawboymangirl,earrz,wanna poak dat,nothin,None,None,4.292895656303048,122
123,uppy,aaaabaaaaabbbaaa,whoaz me,upside downside,jawboymangirl,eers,shy gobblin,stupid color,None,None,5.627599399071016,123
124,crooky,blarrr,waaah,das not an eyez!,soft pare,eerz?,furr,bloody milk yumm,None,None,4.224104689869543,124
125,berries,mouf,oook,sparples,jawboymangirl,earz,flappy,darkerer,None,None,2.7036966445729504,125
126,blobby,mrnnhrhmn,nspektin stuff,yallo,deflateded,eers,flappy,nothin,None,None,2.02951625735663,126
127,buttnose,blablabla,whoaz me,eeep,bierdy,earz,RRRRRRAAAAAHHH,dirt,None,None,4.54743772246741,127
128,bloo,glibbaglab,don lookitme,ooooh,oweee,floaty eerz,furr,bloody milk yumm,None,None,2.6761589247146733,128
129,droopy,blarrr,don lookitme,squintee,bumpynoggn,eerz?,dawwww,stupid sun,None,None,4.471810667380444,129
130,is dat a nose,blarrr,gooness,wass overder?,flatface,woodywood eers,dawwww,nothin,None,None,5.352365334327255,130
131,kwaigun,aaaabaaaaabbbaaa,gooness,glowcoma,furrrrrrrrrr,earz,shy gobblin,stupid color,None,None,6.528793764150039,131
132,udder pointy kind,nuddernuddermouf,peep,eh?,deflateded,earz,blarggh,purdy cave,None,None,2.146422020096227,132
133,udder pointy kind,oobie doo,don lookitme,lookin hear,floppee,eeerbonez,dawwww,fLEsh stik,None,None,2.2771430967300983,133
134,bloo,aaaabaaaaabbbaaa,nspektin stuff,ooop,kiwimonstr,eerz?,sashay,darkderest,None,None,2.662404860472523,134
135,berries,oobie doo,peep,lookin dere,bumpynoggn,iers,dawwww,fLEsh stik,None,None,2.194631096059491,135
136,ouchie,blarrr,gathp,hipnoatisn,STABBYSTABHEAD,buttfly eerz,sashay,rottn elfboddie,None,None,10.34701488322591,136
137,udder pointy kind,aaaabaaaaabbbaaa,LAZZARZZZZ,lookit dat,soft pare,eors,yur mom,mold,None,None,3.143979484803081,137
138,uppy,mouf,oook,lookin dere,bierdy,eer,flappy,darkerer,None,None,3.5842664513599596,138
139,flassid,glibbaglab,whoaz me,das not an eyez!,wart top,eerchompr,dawwww,fludded tunlz,None,None,4.2378621930481355,139
140,zippyzipzip,aaaabaaaaabbbaaa,suthpithus,eeep,bierdy,eors,teeheehee,stupid sun,None,None,6.418737162389188,140
141,flassid,blahhhhhhh,don lookitme,grekd,oweee,earz,sashay,stupid color,None,None,4.691936258280093,141
142,pointy,oobie doo,wass dat way,blindeded,flatface,floaty eerz,grey body,mold,None,None,3.5430242157025282,142
143,bloo,mouffs,whaja say?,glowcoma,wart top,EERS,furr,mold,None,None,2.896352645734984,143
144,dizeezsd,glaaaaaah,nar,lookit dat,kiwimonstr,eerchompr,BLINGG,mold,None,None,2.634883654776999,144
145,das notta nose,mouffs,gooness,seepy,kiwimonstr,eer,fansee,fLEsh stik,None,None,2.6417823654202266,145
146,berries,gooooooo,look dis way,teeny peephoal,growf,eermoffs,dawwww,mold,None,None,4.581896861889441,146
147,crooky,blarrr,zoweee,ooop,growf,eer,grey body,nothin,None,None,1.7336376752669242,147
148,is dat a nose,gaaahhh,nar,hipnoatisn,SPIKR,eeerbonez,blarggh,kobold puke,None,None,5.579429550008171,148
149,ouchie,bleebleebloobloo,don lookitme,das not an eyez!,taterhead,eerz?,inna bun,kobold puke,None,None,4.671300001221922,149
150,arouzd,blahhhhhhh,peep,LAZERRR,jawboymangirl,earrz,furr,kobold puke,None,None,4.203478065436789,150
151,goz down,flthththlffh,narf,wass overder?,soft pare,woodywood eers,yur mom,fLEsh stik,None,None,5.60003346277206,151
152,pointy,yabbagabba,peep,glowcoma,SPIKR,floaty eerz,flappy,dirt,None,None,5.510601418997851,152
153,dribble,aaaabaaaaabbbaaa,don lookitme,teeny peephoal,soft pare,EERS,yaris pleeze,fLEsh stik,None,None,6.398075441657958,153
154,flassid,aaaabaaaaabbbaaa,waaah,krazed,STABBYSTABHEAD,eors,yur mom,fludded tunlz,None,None,6.556327354780541,154
155,das notta nose,aaaabaaaaabbbaaa,not enthuzd,yallo,TAK UR ORDRR?,EERS,sashay,fludded tunlz,None,None,7.608895571226128,155
156,danglydoo,mrnnhrhmn,tremblr,lookin down,growf,earrz,flappy,dirt,None,None,2.841289590800724,156
157,is dat a nose,gaaahhh,look dis way,lookin down,avvokado,eermoffs,shy gobblin,stupid sun,None,None,8.537655871535307,157
158,goz down,blippyblipblipblip,suthpithus,o noooooo,flatface,eeerbonez,ouchies,kobold puke,None,None,0.9700169885691887,158
159,danglydoo,ibblebiddle,zoinks,upside downside,bumpynoggn,onny a fleshwoond,fansee,darkderest,None,None,8.248728990369294,159
160,goz down,aaaabaaaaabbbaaa,whaja say?,das not an eyez!,SPIKR,eirs,sashay,fLEsh stik,None,None,5.063428819467025,160
161,LAAAYZERSNOT,burblurblurb,nspektin stuff,das not an eyez!,furrrrrrrrrr,eeeeers,flappy,fLEsh stik,None,None,7.588273076326517,161
162,droopy,oobie doo,wass dat way,look up dere,floppee,earrz,BLINGG,fLEsh stik,None,None,2.8068910105867992,162
163,goz down,flthththlffh,don lookitme,eeeeeediot,cracky,eors,dat spase soot gots holes,purdy cave,None,None,0.708584474034285,163
164,goz down,oobie doo,LAZZARZZZZ,look up dere,cracky,eeerbonez,grey body,bloody milk yumm,None,None,3.955789979159537,164
165,uppy,bleebleebloobloo,oook,seepy,soft pare,eeeeers,flappy,kobold puke,None,None,2.6417803006536547,165
166,blobby,gooooooo,gathp,seepy,bumpynoggn,eors,clubbin time,bloody milk yumm,None,None,3.659944429365162,166
167,ouchie,glaaaaaah,waaah,krazed,flatface,eermoffs,flappy,rottn elfboddie,None,None,5.441815957488845,167
168,buttnose,ibblebiddle,nar,ooooh,wart top,eerz?,flappy,kobold puke,None,None,1.3552718692474213,168
169,funny,aaaabaaaaabbbaaa,i seend a mouse! yum!,look up dere,growf,eerchompr,wekkum tarbys,mold,None,None,1.871270538228391,169
170,berries,blablabla,look dis way,das not an eyez!,avvokado,eers,grey body,bloody milk yumm,None,None,3.997085206166231,170
171,droopy,blarrr,browney,ooop,jawboymangirl,eeeeers,clubbin time,mold,None,None,2.800019829452001,171
172,uppy,gaaahhh,not enthuzd,lookin down,avvokado,earz,flappy,purdy cave,None,None,3.384795010431671,172
173,bloo,blahhhhhhh,wass dat way,blindeded,STABBYSTABHEAD,blingyfaweez,ouchies,purdy cave,None,None,8.551424389296148,173
174,bloo,blarrr,waaah,lookin hear,floppee,eers,New Tattoo,fludded tunlz,None,None,6.907174022619433,174
175,dribble,mubblebumm,gooness,transeded,cracky,eors,dat spase soot gots holes,dirt,None,None,2.0707199541146912,175
176,blobby,glibbaglab,narf,transeded,SPIKR,eer,stukinda troat,nothin,None,None,5.957793290803045,176
177,zippyzipzip,mouf,wass dat way,teeny peephoal,furrrrrrrrrr,floaty eerz,fansee,kobold puke,None,None,4.561239270385983,177
178,crooky,ibblebiddle,pinkypinkpink,grekd,growf,warin der farree,furr,fLEsh stik,None,None,6.6044875712179705,178
179,kwaigun,glibbaglab,gooness,upside downside,jawboymangirl,eirs,wanna poak dat,bloody milk yumm,None,None,4.609387784850858,179
180,dizeezsd,gooooooo,not enthuzd,blindeded,oweee,floaty eerz,blarggh,kobold puke,None,None,4.815779957341852,180
181,funny,flthththlffh,hlo,hipnoatisn,bierdy,eerchompr,shy gobblin,mold,None,None,2.999520171004878,181
182,flassid,mouf,hlo,eeep,furrrrrrrrrr,EERS,shy gobblin,fLEsh stik,None,None,4.9464803873788,182
183,zippyzipzip,nuddernuddermouf,hlo,krazed,growf,eers,yur mom,darkerer,None,None,2.758702579540917,183
184,ouchie,mubblebumm,tremblr,o noooooo,floppee,eirs,flappy,fludded tunlz,None,None,3.735656816889276,184
185,blobby,ibblebiddle,whaja say?,lookin down,oweee,eerz?,ouchies,nothin,None,None,3.2540560431748937,185
186,berries,glibbaglab,wass dat way,squintee,jawboymangirl,eers,sashay,bloody milk yumm,None,None,2.875686106553448,186
187,berries,glaaaaaah,angreye,lookit dat,bumpynoggn,floaty eerz,shy gobblin,mold,None,None,3.1096015484377393,187
188,bloo,nuddernuddermouf,narf,look up dere,SPIKR,eeerbonez,fansee,fLEsh stik,None,None,3.8731864519047505,188
189,shnozz,glibbaglab,pinkypinkpink,hipnoatisn,taterhead,earz,inna bun,mold,None,None,4.458007053779185,189
190,danglydoo,blablabla,nspektin stuff,yallo,bierdy,eermoffs,yur mom,fLEsh stik,None,None,4.581847312530331,190
191,blobby,mrnnhrhmn,browney,sparples,kiwimonstr,EERS,REKT,dirt,None,None,6.762718151727497,191
192,goz down,nudder mouf,wass dat way,eh?,flatface,eors,dat spase soot gots holes,nothin,None,None,2.167096130648375,192
193,dizeezsd,oobie doo,don lookitme,blindeded,oweee,blingyfaweez,sashay,rottn elfboddie,None,None,9.039854367072943,193
194,udder pointy kind,aaaabaaaaabbbaaa,wass dat way,o noooooo,jawboymangirl,LAAAAAZZER EERS,dawwww,mold,None,None,4.444254365386445,194
195,berries,nudder mouf,grrrAAAAAuuugh,das not an eyez!,STABBYSTABHEAD,warin der farree,wanna poak dat,darkderest,None,None,11.076259700767842,195
196,sniffer,ibblebiddle,suthpithus,yallo,furrrrrrrrrr,eers,dat spase soot gots holes,fLEsh stik,None,None,3.192136256502018,196
197,crooky,glibbaglab,hlo,krazed,bumpynoggn,floaty eerz,blarggh,kobold puke,None,None,2.772507570213072,197
198,dizeezsd,blablabla,hlo,punchded,taterhead,eers,flappy,dirt,None,None,2.3115299790939776,198
199,uppy,flthththlffh,oook,lookin down,oweee,eer,stukinda troat,purdy cave,None,None,4.76071208624757,199
200,flassid,blablabla,pinkypinkpink,lookit dat,growf,eeeeers,ouchies,darkerer,None,None,3.962660471987915,200
201,droopy,mouffs,nspektin stuff,lookin dere,soft pare,eer,New Tattoo,nothin,None,None,4.70570339927541,201
202,dizeezsd,gaaahhh,suthpithus,punchded,avvokado,eermoffs,shy gobblin,purdy cave,None,None,6.136665634822096,202
203,pointy,flthththlffh,das not eyz eeder,LAZERRR,jawboymangirl,eer,ouchies,bloody milk yumm,None,None,4.884578495145968,203
204,berries,nuddernuddermouf,hlo,spooky,bumpynoggn,eer,wanna poak dat,darkerer,None,None,3.5223535497361875,204
205,pointy,nomnomhole,gooness,teeny peephoal,bumpynoggn,eors,yur mom,kobold puke,None,None,4.595588989394533,205
206,uppy,mrnnhrhmn,whaja say?,krazed,kiwimonstr,iers,clubbin time,fLEsh stik,None,None,3.5843235701047687,206
207,zippyzipzip,mouffs,gathp,o noooooo,jawboymangirl,eers,wekkum tarbys,bloody milk yumm,None,None,3.095826836987924,207
208,kwaigun,ibblebiddle,suthpithus,glowcoma,soft pare,onny a fleshwoond,RRRRRRAAAAAHHH,stupid sun,None,None,8.544538753726547,208
209,ouchie,gaaahhh,zoweee,seepy,oweee,eers,clubbin time,purdy cave,None,None,2.3872058926379793,209
210,blobby,aaaabaaaaabbbaaa,zoweee,krazed,furrrrrrrrrr,eeeeers,blarggh,stupid color,None,None,5.882133893254023,210
211,blobby,blahhhhhhh,nspektin stuff,eeeeeediot,avvokado,eors,RRRRRRAAAAAHHH,darkderest,None,None,3.8663372907733176,211
212,blobby,glaaaaaah,look dis way,krazed,avvokado,iers,flappy,darkderest,None,None,5.207919786352066,212
213,ouchie,mouffs,not enthuzd,spooky,cracky,eeeeers,New Tattoo,darkderest,None,None,6.446265248247879,213
214,dizeezsd,mubblebumm,wass dat way,hipnoatisn,flatface,earz,dat spase soot gots holes,purdy cave,None,None,2.614246020495247,214
215,shnozz,mrnnhrhmn,hlo,lookit dat,growf,earz,clubbin time,stupid sun,None,None,3.935118623817978,215
216,berries,nuddernuddermouf,pinkypinkpink,eeeeeediot,kiwimonstr,eeeeers,ouchies,wat dis?,None,None,2.7174610311211063,216
217,funny,mubblebumm,termigooblin,grekd,cracky,eirs,stukinda troat,darkderest,None,None,6.776496303029868,217
218,bloo,glibbaglab,don lookitme,ooop,bierdy,eors,RRRRRRAAAAAHHH,mold,None,None,1.0250311830615007,218
