,Chin,Eyes,Hat,Back,Layerz,Lol-Drip,Base-Layer,Sides,Nose,Smoking,Lips,Tattoos,Mouth,Body,Tail,Background,Rarity score,Token Id
11,Triple,Crosseyed-Green,Lwa,Purple-8,None,Dyor-Sweater,None,Bumps,Snouty,None,None,Chest-Hair,Gappy,Yellow,Bone,Purple,30.054754135290395,11
12,Soft-Spikes,Vr2,Five-Panel-Olive,Purple-4,None,Gorn-Hub,None,Spots,Wide,None,None,Colour-Tatts,Scaly,Blue,Curvy,Yellow,28.659172621599343,12
13,Spikes,Spiral,Creepz-Trucker,Red-6,None,One-Of-Us,None,Ovals,Flared,None,None,Chest-Hair,Befuddled,Blue,Mottled,Brown,25.11172871410926,13
14,Soft-Spikes,Chameleon-Almond-Yellow,Pink-Bucket,Green-8,Vest-1,None,None,Markings,Deep,None,None,None,Scaly,Green,Mottled,Blue,16.830920934240083,14
15,Triple,Dopey-Purple,Dad-Cap-Green,Pink-1,Baggy-Beige,None,TShirt-Purple,Ovals,Original,None,Red,None,Cheesy,Green,Bone,Teal,67.10059012090868,15
16,Creases,Vertical-Red,Eggscellent-Extreme,Red-7,Creepz-Hoody,None,Sweater-Black,Colour-Tatts,Wide,None,None,None,Disgusted,Blue,Colour-Tatts,Brown,49.85982290490739,16
17,Big-Bumps,Bosseyed-Yellow,Five-Panel-Purple,Pink-4,None,Rcsa,None,Flaps,Flared,None,None,Chest-Hair,Befuddled,Grey,Stripy,Green,26.74925037787669,17
18,Veiny,Nerd,Dad-Cap-Green,Pink-3,None,None,Sweater-Purple,Spots,Wide,Spliff,None,None,Closed,Yellow,Bone,Light-Blue,66.98587481091297,18
19,Lines,Squint-Blue,Crazy-Hair,Pink-2,Sneakers,None,None,Stripes,Original,None,None,None,Scaly,Grey,Waves,Light-Green,23.016373393179084,19
20,Armoured,Veins-2,Monster,Purple-2,None,Rcsa,None,Stripes,Original,None,None,Black-Tatts,Befuddled,Grey,Mottled,Blue,27.37245899165181,20
21,Spikes,Squint-Grey,Tinfoil,Pink-6,None,Godziller,None,Bumps,Flared,None,Blue,Chest-Hair,Awkward,Grey,Black-Tatts,Light-Green,55.49312976867743,21
22,Stubble,Crosseyed-Pink,Pyramid,Red-5,None,Agamids-Black,None,Colour-Tatts,Original,Cigarette,None,Black-Tatts,Closed,Grey,Black-Tatts,Purple,64.0160285423055,22
23,Flaps,Bosseyed-Blue,Lu-Tang,Red-1,None,Gorn-Hub,None,Techno,Wide,None,None,Chest-Hair,Goofy,Blue,Bone,Purple,24.883929385522357,23
24,Plasters,Crosseyed-Yellow,Hermes,Green-7,Ngmi-Hoody,None,Sweater-White,Hatching,Original,None,Orange,None,Grills,Yellow,Stripy,Purple,69.65682500454857,24
25,Frills,Vertical-Yellow,Sneakerhead,Orange-2,None,Diamond-Hands,None,Colour-Tatts,Snouty,None,None,Chest-Hair,Scaly,Green,Colour-Tatts,Lilac,25.472517301212665,25
26,Spots,Bosseyed-Green,Line,Tech,Dyor-Hoody,None,TShirt-White,Markings,Snouty,None,Red,None,Jaws,Green,Techno,Lilac,68.4109179655984,26
27,Little-Bumps,Chameleon-Circle-Purple,Eggscellent-Extreme,Red-4,Sneakers,None,Sweater-Pink,Bumps,Wide,None,None,None,Scaly,Grey,Techno,Green,47.790080798657506,27
28,Spots,Dopey-Purple,Gatorade,Green-1,Gillet,None,Sweater-Purple,Hatching,Deep,None,None,None,Gappy,Green,Techno,Blue,43.082376371065536,28
29,Spots,Chameleon-Circle-Green-2,Sombrero,Ophiocordyceps,None,Cold-Blooded,None,Spots,Snouty,None,None,Chest-Hair,Scaly,Purple,Sharp,Yellow,30.578836716097385,29
30,Creases,Vertical-Blue,Dad-Cap-Pink,Red-1,Stormzy,None,None,Spots,Snouty,None,Neon-Green,None,Awkward,Green,Colour-Tatts,Teal,43.059906591713556,30
31,Creases,Vertical-Red,Purple-Camo,Purple-6,None,Cold-Blooded,None,Scales,Flared,None,Green,Black-Tatts,Razor-Sharp,Blue,Mottled,Grey,49.427329141579875,31
32,Frills,Bosseyed-Purple,Pyramid,Orange-3,None,Diamond-Hands,None,Stripes,Wide,None,Red,Chest-Hair,Jaws,Grey,Curvy,Light-Green,50.363162137583885,32
33,Armoured,Vr4,Pimp,Green-1,None,Run-Cbc,None,Spots,Snouty,None,Purple,Black-Tatts,Razor-Sharp,Blue,Bone,Purple,49.43760080373731,33
34,Creases,Vertical-Purple,Headband-1,Purple-9,Lanyard,None,TShirt-White,Flaps,Flared,None,Red,None,Awkward,Green,Mottled,Purple,60.07819934028874,34
35,Stubble,Chameleon-Almond-Purple,Purple-Camo,Red-3,None,Slugger,None,Techno,Wide,None,None,Chest-Hair,Disgusted,Blue,Curvy,Green,24.366189239315364,35
36,Triple,Chameleon-Almond-Blue,Bucket-Navy,Bones,None,Birds-Aren't-Real,None,Mottling,Original,None,None,Black-Tatts,Disgusted,Grey,Sharp,Blue,30.47031264898602,36
37,Flaps,Demon-Realm-2,Skull-And-Bones,Pink-4,None,Dyor-Sweater,None,Stripes,Wide,Cigarette,None,Black-Tatts,Closed,Green,Black-Tatts,Blue,60.5201359900991,37
38,Spikes,Bosseyed-Pink,Bucket-Creepz,Green-9,Vest-2,None,TShirt-White,Stripes,Flared,None,Red,None,Awkward,Purple,Colour-Tatts,Yellow,72.84948482457922,38
39,Spots,Spiral,Gatorade,Green-8,None,Dystopian,None,Black-Tatts,Flared,None,Gradient,None,Jaws,Blue,Techno,Purple,42.039149047871874,39
40,Spikes,Vertical-Red,Lu-Tang,Green-5,Vest-2,None,None,Markings,Deep,None,Red,None,Checkerboard,Green,Curvy,Lilac,42.34162001591088,40
41,Frills,V,Backwards-Cap-Black,Green-9,Ase-Chain-Silver,None,None,Mottling,Deep,None,Red,None,Grills,Yellow,Sharp,Blue,45.33047615149418,41
42,Frills,Peace,Raptors,Green-5,Og-Hoody,None,None,Stripes,Snouty,None,None,None,Gappy,Yellow,Sharp,Light-Blue,26.89048282652065,42
43,Armoured,Chameleon-Circle-Green-2,Backwards-Cap-Yellow,Pink-1,None,Diamond-Hands,None,Stripes,Original,None,Purple,Chest-Hair,Checkerboard,Yellow,Plain,Light-Blue,55.516802513620235,43
44,Little-Bumps,Chameleon-Almond-Yellow,Koopa-Red,Pink-8,Dyor-Hoody,None,Sweater-White,Stripes,Deep,None,None,None,Befuddled,Blue,Mottled,Grey,42.13582526418109,44
45,Armoured,White-Shades,Creepz,Orange-4,None,Floral-Green-Orange,None,Black-Tatts,Flared,None,None,Chest-Hair,Cheerful,Grey,Black-Tatts,Pink,29.275164842917018,45
46,Armoured,Chameleon-Almond-Grey,Raptors,Purple-8,None,None,Sweater-White,Hatching,Deep,None,None,None,Befuddled,Grey,Rainbow,Blue,23.714409601166782,46
47,Armoured,Bowie-Pink,Lwa,Green-3,Cardigan,None,TShirt-Navy,Speckled,Wide,None,Neon-Green,None,Razor-Sharp,Yellow,Spotty,Teal,68.37361647018612,47
48,Spikes,Polycoria,Five-Panel-Red,Red-2,None,None,None,Spots,Flared,None,None,Chest-Hair,Closed,Green,Waves,Lilac,3.482687284190448,48
49,Triple,Purple-Shades,Lwa,Purple-6,None,Gold-Suit,None,Bumps,Wide,None,Purple,Black-Tatts,Grills,Green,Stripy,Sky,53.981940141385834,49
50,Spots,Dopey-Yellow,Dad-Cap-Pink,Orange-2,Gucci-Bag,None,Sweater-White,Sharp,Snouty,Cigarette,None,None,Closed,Green,Waves,Sky,74.53014986694672,50
51,Creases,Vertical-Blue,Pink-Bucket,Green-3,Baggy-Beige,None,TShirt-White,Hatching,Flared,None,None,None,Befuddled,Purple,Spotty,Teal,49.815434030525644,51
52,Lines,Dopey-Blue,Hermes,Green-7,None,Agamids-Navy,None,Ovals,Original,None,None,Chest-Hair,Befuddled,Yellow,Bone,Purple,28.417317057661695,52
53,Spikes,Crosseyed-Yellow,Red-Camo,Orange-4,Ase-Chain-Gold,None,TShirt-Turquoise,Speckled,Original,None,Red,None,Razor-Sharp,Purple,Mottled,Blue,67.36600076856199,53
54,Little-Bumps,Spiral,Gatorade,Purple-3,None,Astro-Creepz,None,Sharp,Snouty,Cigarette,None,Chest-Hair,Closed,Green,Sharp,Lilac,56.29874447112751,54
55,Frills,Dopey-Purple,Bucket-Navy,Pink-9,None,Dystopian,None,Bumps,Deep,Cigarette,None,None,Closed,Purple,Waves,Teal,54.76249576116072,55
56,Creases,Nerd,Lumpy,Purple-4,Police-vest,None,TShirt-Pink,Black-Tatts,Deep,None,None,None,Checkerboard,Green,Spotty,Sky,44.65175457762816,56
57,Plasters,Bosseyed-Purple,Backwards-Cap-Blue,Orange-5,Block-Chain,None,Sweater-Turquoise,Mottling,Snouty,None,Purple,None,Awkward,Yellow,Waves,Teal,72.65219278254956,57
58,Spots,Purple-Shades,Creepz,Green-3,Hawaiian-Lei,None,TShirt-White,Hatching,Snouty,None,Green,None,Razor-Sharp,Blue,Curvy,Grey,64.74154340087395,58
59,Armoured,Caiman,Pink-Bucket,Orange-8,Tech-2,None,Sweater-Turquoise,Scales,Original,None,Red,None,Awkward,Green,Stripy,Blue,59.2885636249524,59
60,Soft-Spikes,Diamond,Line,Purple-6,Og-Hoody,None,TShirt-Turquoise,Spots,Original,None,Green,None,Razor-Sharp,Green,Mottled,Blue,60.35730093531993,60
61,Stubble,Stoned,Bucket-Creepz,Pink-2,None,Dyor-Sweater,None,Mottling,Wide,None,None,Black-Tatts,Closed,Green,Curvy,Teal,25.20747070639237,61
62,Stubble,Vertical-Yellow,Hermes,Orange-3,Windbreaker-2,None,TShirt-Purple,Mottling,Deep,None,Orange,None,Spiky,Green,Curvy,Purple,62.56663336631273,62
63,Little-Bumps,Dopey-Blue,Ronald,Orange-6,Puffer-vest,None,None,Ovals,Wide,None,None,None,Cheerful,Blue,Stripy,Green,19.602011275219773,63
64,Creases,Chameleon-Almond-Green,Beanie-Black,Flames,Gillet,None,None,Markings,Flared,None,None,None,Gappy,Grey,Spotty,Light-Green,27.37723819263005,64
65,Big-Bumps,Chameleon-Almond-Blue,Five-Panel-Purple,Green-8,Iridescent-Bag,None,None,Spots,Flared,None,None,None,Disgusted,Purple,Techno,Teal,28.739015951250497,65
66,Veiny,Peace,Pimp,Red-8,None,Gorn-Hub,None,Ovals,Snouty,None,None,Chest-Hair,Scaly,Grey,Mottled,Purple,22.950019973027377,66
67,Creases,Chameleon-Circle-Green-2,Five-Panel-Red,Pink-9,Sneakers,None,Sweater-White,Bumps,Flared,None,None,None,Closed,Grey,Techno,Light-Green,49.43762957043476,67
68,Plasters,Dopey-Purple,Crazy-Hair,Purple-6,Og-Hoody,None,Sweater-Pink,Ovals,Deep,None,Blue,None,Spiky,Grey,Black-Tatts,Green,72.48210186400786,68
69,Flaps,Vr2,Raptors,Red-5,None,Creepz-Rugby,None,Speckled,Wide,None,Green,Colour-Tatts,Goofy,Green,Mottled,Purple,45.165504873027615,69
70,Plasters,Dopey-Blue,Pimp,Orange-4,None,Rcsa,None,Flaps,Wide,None,None,Chest-Hair,Gappy,Blue,Techno,Grey,28.75085366627537,70
71,Plasters,Gorn,Hermes,Red-8,None,Creepz-Rugby,None,Techno,Deep,None,None,Colour-Tatts,Disgusted,Green,Black-Tatts,Lilac,33.584999828504905,71
72,Armoured,Bowie-Red,Camo,Tech,None,Slugger,None,Colour-Tatts,Snouty,None,Red,Colour-Tatts,Awkward,Blue,Curvy,Yellow,50.03999982452443,72
73,Frills,Bowie-Purple,Fujita,None,None,Suit-2,None,None,Wide,None,None,Chest-Hair,Razor-Sharp,Blue,Stripy,Brown,27.127011904894093,73
74,Triple,Pokeball,Bucket-Creepz,Red-7,Windbreaker-1,None,Sweater-Purple,Colour-Tatts,Flared,Cigarette,None,None,Closed,Yellow,Spotty,Grey,83.427834275194,74
75,Little-Bumps,Demon-Realm-1,Bobble-Hat-Grey,Orange-7,Gucci-Bag,None,TShirt-Turquoise,Spots,Wide,None,None,None,Jaws,Green,Rainbow,Teal,46.500166059878,75
76,Spots,Bosseyed-Purple,Five-Panel-Purple,Orange-1,Psychrome-Hoody,None,None,Techno,Snouty,None,Purple,None,Cheesy,Blue,Techno,Yellow,47.96173653921774,76
77,Little-Bumps,Bowie-Pink,Bobble-Hat-Olive,Orange-4,None,Flat-Earth,None,Sharp,Deep,None,Purple,Black-Tatts,Cheesy,Grey,Sharp,Pink,55.88478907867391,77
78,Armoured,Weird-Pupil-Red,Pyramid,Flames,None,Astro-Creepz,None,Sharp,Flared,None,None,Chest-Hair,Gappy,Yellow,Curvy,Grey,26.303240594448685,78
79,Veiny,Bosseyed-Green,Lu-Tang,Red-8,None,Diamond-Hands,None,Flaps,Flared,None,Purple,Black-Tatts,Razor-Sharp,Blue,Sharp,Purple,50.28181708737296,79
80,Armoured,Diamond,Beanie-Black,Red-8,None,None,None,Black-Tatts,Flared,None,None,Chest-Hair,Scaly,Green,Waves,Teal,1.5011728708190737,80
81,Spikes,Veins-2,Gypsy-King,Orange-9,None,Gorn-Hub,None,Techno,Original,None,None,Chest-Hair,Jaws,Grey,Waves,Purple,24.47191608627683,81
82,Plasters,Crazed-Yellow,Line,Green-7,None,Creepz-Rugby,None,Mottling,Flared,None,None,Chest-Hair,Cheerful,Yellow,Techno,Grey,31.933842090180597,82
83,Little-Bumps,Vertical-Red,Koopa-Red,Purple-9,None,Birds-Aren't-Real,None,Spots,Deep,None,None,Chest-Hair,Closed,Blue,Stripy,Green,21.591850887303934,83
84,Big-Bumps,Crazed-Blue,Lumpy,Green-7,None,Gorn-Hub,None,Stripes,Wide,Pipe,None,Chest-Hair,Closed,Blue,Colour-Tatts,Green,58.40595630395045,84
85,Triple,Weird-Pupil-Yellow,Line,Orange-1,None,Birds-Aren't-Real,None,Scales,Snouty,None,None,Chest-Hair,Scaly,Blue,Stripy,Grey,23.944046468806356,85
86,Stubble,Chameleon-Circle-Blue,Gypsy-King,Green-7,None,Suit-1,None,Stripes,Deep,None,None,Chest-Hair,Closed,Blue,Curvy,Brown,25.244670463630076,86
87,Frills,Blood,Pyramid,Green-6,None,None,Sweater-Black,Colour-Tatts,Wide,None,None,None,Closed,Grey,Rainbow,Blue,24.69504943482169,87
88,Little-Bumps,Vertical-Green,Gypsy-King,Red-6,None,None,TShirt-Purple,Markings,Original,None,Neon-Green,None,Awkward,Yellow,Plain,Grey,50.29017663698473,88
89,Soft-Spikes,Vr3,Valhalla,Purple-3,None,Lemuria-Wyoming-1,None,Black-Tatts,Flared,None,None,Black-Tatts,Scaly,Yellow,Curvy,Blue,30.296678335915562,89
90,Stubble,Vertical-Blue,Beanie-Burgundy,Red-8,None,Lemuria-Wyoming-1,None,Bumps,Wide,None,None,Black-Tatts,Gappy,Blue,Sharp,Green,29.316232485635098,90
91,Spots,Vr2,Military,Pink-2,Tech-1,None,Sweater-Pink,Sharp,Flared,Spliff,None,None,Closed,Yellow,Waves,Grey,81.62734831163482,91
92,Little-Bumps,Demon-Realm-2,Creepz-Trucker,Green-8,None,Highest-in-the-room,None,Sharp,Wide,None,None,Chest-Hair,Cheerful,Green,Curvy,Lilac,23.399325861264312,92
93,Frills,Diamond,Lumpy,Pink-7,None,Camo-Desert,None,Techno,Original,None,Red,Chest-Hair,Awkward,Green,Curvy,Lilac,44.41615512786281,93
94,Big-Bumps,Peace,Headband-1,Red-4,None,Slytherin,None,Hatching,Flared,None,Red,Chest-Hair,Jaws,Blue,Mottled,Purple,44.70913826594337,94
95,Big-Bumps,Weird-Pupil-Green,Eggscellent-Extreme,Red-8,None,Flat-Earth,None,Hatching,Original,Cigarette,None,Colour-Tatts,Closed,Green,Waves,Teal,61.176993007249,95
96,Creases,Squint-Blue,Bucket-Burberry,Red-4,None,Slugger,None,Scales,Original,None,Green,Chest-Hair,Cheesy,Blue,Curvy,Green,44.65103024417122,96
97,Lines,Dopey-Purple,Pimp,Green-8,None,Dyor-Sweater,None,Spots,Original,None,None,Colour-Tatts,Gappy,Blue,Stripy,Grey,28.352838045967882,97
98,Spikes,Demon-Realm-3,Raptors,Pink-2,None,Tie-Dye-1,None,Sharp,Snouty,None,None,Chest-Hair,Cheerful,Purple,Spotty,Green,28.99607061357677,98
99,Armoured,Vertical-Blue,Lu-Tang,Green-3,None,Slugger,None,Flaps,Deep,None,None,Black-Tatts,Cheerful,Green,Waves,Purple,22.04815407092182,99
100,Lines,Veins-1,Camo,Green-6,Vest-1,None,Sweater-Turquoise,Speckled,Deep,None,None,None,Scaly,Grey,Curvy,Light-Green,47.4598902482892,100
101,Frills,Blank,Crazy-Hair,Orange-4,Poncho,None,TShirt-Navy,Markings,Wide,None,None,None,Cheerful,Green,Spotty,Blue,42.59557993200831,101
102,Plasters,Sunglasses-1,Dad-Cap-Green,Purple-5,Og-Hoody,None,Sweater-Turquoise,Bumps,Flared,None,Red,None,Awkward,Yellow,Waves,Purple,67.26046821961334,102
103,Frills,Dopey-Purple,Koopa-Red,Flames,None,Tie-Dye-3,None,Techno,Snouty,None,Green,Black-Tatts,Goofy,Blue,Spotty,Yellow,53.63471135034772,103
104,Big-Bumps,Veins-2,Bobble-Hat-Red,Pink-3,Creepz-Hoody,None,TShirt-White,Bumps,Deep,None,None,None,Checkerboard,Blue,Stripy,Grey,45.31896629320272,104
105,Spots,Peace,Bobble-Hat-Orange,Green-8,None,Flat-Earth,None,Ovals,Wide,None,None,Black-Tatts,Disgusted,Green,Spotty,Sky,30.00041931654066,105
106,Lines,Dopey-Blue,Raptors,Purple-8,None,Agamids-Black,None,Spots,Deep,None,None,Black-Tatts,Goofy,Purple,Sharp,Yellow,35.76398949411086,106
107,Armoured,Vertical-Blue,Pyramid,Pink-2,None,Gorn-Hub,None,Scales,Wide,None,Neon-Green,Chest-Hair,Checkerboard,Purple,Plain,Green,51.24474549555295,107
108,Plasters,Vr1,Dad-Cap-Pink,Red-9,None,Black-Puffer,None,Techno,Wide,None,Red,Chest-Hair,Awkward,Green,Stripy,Teal,44.858818862373596,108
109,Lines,Chameleon-Almond-Yellow,Lu-Tang,Green-9,Gucci-Bag,None,TShirt-White,Sharp,Flared,Cigarette,None,None,Closed,Grey,Techno,Pink,83.3459095209841,109
110,None,Bowie-Green,Bobble-Balaclava,None,None,Tie-Dye-2,None,None,Original,None,Orange,Black-Tatts,Cheesy,Grey,Colour-Tatts,Blue,57.06565971597678,110
111,Flaps,Squint-Blue,Sombrero,Orange-3,None,Slugger,None,Scales,Snouty,None,None,Chest-Hair,Disgusted,Blue,Curvy,Brown,26.211247007243703,111
112,Triple,Vr1,Beanie-Black,Red-9,None,Gorn-Hub,None,Black-Tatts,Original,None,None,Black-Tatts,Cheerful,Green,Spotty,Teal,28.55703851729964,112
113,Spikes,Bosseyed-Green,Dad-Cap-Black,Red-1,Fat-Gold-Chain,None,Sweater-Navy,Spots,Snouty,None,Green,None,Goofy,Blue,Sharp,Yellow,66.94742130845405,113
114,Veiny,Dopey-Purple,Lumpy,Pink-9,None,Astro-Creepz,None,Bumps,Original,None,None,Colour-Tatts,Gappy,Green,Spotty,Purple,25.755435014802845,114
115,Soft-Spikes,Purple-Shades,Gypsy-King,Ophiocordyceps,None,None,Sweater-Turquoise,Mottling,Deep,None,Green,None,Goofy,Purple,Black-Tatts,Blue,49.72847357519253,115
116,Little-Bumps,Vertical-Blue,Sombrero,Purple-7,Ase-Chain-Silver,None,TShirt-Turquoise,Ovals,Wide,None,None,None,Grills,Blue,Stripy,Purple,41.543850821481634,116
117,Plasters,Demon-Realm-2,Fujita,None,None,None,None,None,Original,Cigarette,None,Colour-Tatts,Closed,Green,Plain,Purple,43.92026910819835,117
118,Frills,Vr5,Headband-2,Red-2,None,Fanboy,None,Spots,Original,None,Neon-Green,Colour-Tatts,Cheesy,Grey,Techno,Light-Green,57.54248511076961,118
119,Stubble,Vertical-Blue,Creepz-Trucker,Green-8,None,Camo-Brown,None,Stripes,Deep,None,None,Black-Tatts,Gappy,Green,Sharp,Lilac,29.105089243710236,119
120,Little-Bumps,Demon-Realm-3,Five-Panel-Red,Purple-6,Creepz-Hoody,None,Sweater-Black,Black-Tatts,Deep,None,None,None,Gappy,Green,Rainbow,Blue,43.7461595995764,120
121,Spots,Chameleon-Circle-Purple,Purple-Camo,Orange-2,Psychrome-Hoody,None,TShirt-White,Colour-Tatts,Deep,Cigarette,None,None,Closed,Grey,Colour-Tatts,Light-Green,82.52565155229844,121
122,Soft-Spikes,Crosseyed-Yellow,Pyramid,Orange-7,Ase-Chain-Gold,None,TShirt-Olive,Techno,Flared,None,None,None,Scaly,Blue,Bone,Brown,48.78748121818708,122
123,Creases,Bowie-Blue,Raptors,Orange-3,Fat-Gold-Chain,None,TShirt-Olive,Colour-Tatts,Deep,None,None,None,Awkward,Green,Spotty,Lilac,46.07132536069682,123
124,Spikes,Vr3,Lu-Tang,Orange-7,Tech-2,None,TShirt-Turquoise,Scales,Wide,None,Green,None,Razor-Sharp,Blue,Curvy,Green,63.665940534950806,124
125,None,Diamond,Bobble-Balaclava,None,None,Birds-Aren't-Real,None,None,Snouty,None,Purple,Chest-Hair,Spiky,Green,Bone,Blue,49.246312026398336,125
126,Spots,Gorn,Line,Red-6,Faker,None,Sweater-White,Hatching,Deep,None,Red,None,Spiky,Blue,Mottled,Purple,61.49763804613302,126
127,Lines,Bosseyed-Blue,Headband-1,Orange-4,Gillet,None,Sweater-White,Scales,Flared,Cigarette,None,None,Closed,Green,Curvy,Teal,74.0434058262331,127
128,Soft-Spikes,Sunglasses-1,Bobble-Hat-Grey,Purple-9,Ase-Chain-Gold,None,TShirt-Purple,Sharp,Snouty,None,None,None,Grills,Purple,Curvy,Yellow,52.9099636757556,128
129,Armoured,Vr2,Lumpy,Purple-3,None,Dyor-Sweater,None,Black-Tatts,Deep,None,None,Chest-Hair,Goofy,Yellow,Bone,Light-Blue,31.528829178969676,129
130,Flaps,Dopey-Yellow,Monster,Purple-5,Creepz-Hoody,None,Sweater-Purple,Spots,Original,None,None,None,Cheesy,Blue,Waves,Brown,45.094356707474574,130
131,Triple,Dopey-Purple,Lwa,Green-7,None,None,Sweater-White,Flaps,Original,None,None,None,Cheerful,Grey,Mottled,Light-Green,25.773867782571298,131
132,None,Villain,None,Villain,None,Villain,None,None,Villain,None,None,Villain,Villain,Mint,Villain,Purple,61.29482069339034,132
133,Big-Bumps,Crazed-Blue,Lwa,Orange-2,Cbc-Hoody,None,TShirt-Purple,Techno,Wide,None,None,None,Scaly,Yellow,Spotty,Teal,46.57815767216041,133
134,Frills,Blank,Backwards-Cap-Black,Flames,None,Lemuria-Wyoming-2,None,Spots,Original,None,Purple,Black-Tatts,Goofy,Green,Mottled,Sky,50.67649951481453,134
135,Frills,Diamond,Gypsy-King,Green-3,None,Ronald,None,Flaps,Original,None,None,Chest-Hair,Scaly,Blue,Waves,Green,23.024847860610155,135
136,Veiny,Crazed-Blue,Line,Orange-9,Cbc-Hoody,None,TShirt-Purple,Mottling,Snouty,None,Red,None,Checkerboard,Yellow,Waves,Blue,68.54709083194508,136
137,Little-Bumps,Chameleon-Circle-Blue,Raptors,Purple-5,Og-Hoody,None,Sweater-Black,Spots,Deep,None,None,None,Scaly,Grey,Curvy,Light-Green,45.604597289203525,137
138,Little-Bumps,Glass,Hermes,Purple-1,Lizard-Man,None,TShirt-White,Colour-Tatts,Snouty,None,None,None,Cheerful,Yellow,Bone,Blue,48.63084500500028,138
139,Lines,Squint-Yellow,Creepz-Trucker,Purple-6,Block-Chain,None,None,Black-Tatts,Wide,None,Green,None,Cheesy,Green,Spotty,Teal,40.45914189146365,139
140,Spikes,Vr4,Ronald,Purple-3,Og-Hoody,None,Sweater-Black,Stripes,Flared,None,None,None,Cheerful,Yellow,Sharp,Grey,47.017356141431556,140
141,Spikes,Vertical-Yellow,Kruger,Purple-7,None,Tie-Dye-2,None,Flaps,Original,None,None,Chest-Hair,Jaws,Blue,Sharp,Purple,23.29067434256979,141
142,Little-Bumps,Crosseyed-Green,Lwa,Purple-6,None,Tie-Dye-2,None,Mottling,Original,None,Neon-Green,Black-Tatts,Spiky,Purple,Waves,Grey,56.31370669495157,142
143,Creases,Weird-Pupil-Blue,Koopa-Red,Green-3,Police-vest,None,TShirt-White,Stripes,Flared,Pipe,None,None,Closed,Green,Sharp,Sky,76.1026565902399,143
144,Techno,Bosseyed-Pink,Beanie-Creepz,Pink-4,None,Flat-Earth,None,Techno,Snouty,None,Neon-Green,Chest-Hair,Checkerboard,Green,Curvy,Sky,49.50190517807255,144
145,Stubble,Crosseyed-Blue,Purple-Camo,Bones,None,Lucky-Lizards,None,Colour-Tatts,Snouty,None,None,Chest-Hair,Cheesy,Blue,Colour-Tatts,Green,26.970681520676028,145
146,Flaps,Sunglasses-1,Military,Pink-4,Cbc-Hoody,None,TShirt-Olive,Markings,Snouty,None,None,None,Scaly,Blue,Mottled,Brown,45.63873718244259,146
147,Armoured,Squint-Blue,Pharrell,Pink-8,None,Lemuria-Wyoming-2,None,Spots,Deep,None,Green,Black-Tatts,Jaws,Grey,Waves,Blue,50.931912131036505,147
148,Soft-Spikes,Crosseyed-Green,Lumpy,Purple-2,None,Vote-for-Pedro,None,Black-Tatts,Wide,None,None,Chest-Hair,Spiky,Blue,Black-Tatts,Brown,28.420877007411477,148
149,Spots,Vertical-Green,Miner,Purple-4,None,Birds-Aren't-Real,None,Hatching,Wide,None,None,Black-Tatts,Cheerful,Grey,Waves,Light-Green,34.395233419902304,149
150,Creases,V,Purple-Camo,Pink-5,Wizard,None,TShirt-Purple,Stripes,Wide,None,Red,None,Cheesy,Grey,Curvy,Pink,68.82622429742784,150
