,Ethnicity,Tatoos,Neck Accessories,Head Accessories,Hair,Color Eyes,Clothes,Body Accessories,Earings,Nose Accessories,Rarity score,Token Id
52,4,Fl3wy,Gyraphe,Silver Liner Kb2,White tiger king,None,Pryzo Red,Silver Nek-T2,Ring Hysteria ,None,45.61215751107062,52
53,1,None,None,Tiger Chain,Mahogany,Fire,Ye  Kn1-ght,3mr0s,None,None,29.51588153053157,53
54,3,Mothered,Sh4ggy Sl,Neo,Leia,None,Kiya-T4 Rd,Pk Priam,None,None,28.305395216250247,54
55,3,THO,None,Sonmi-451,Dk Motok-0,None,Kiya-T4 Bl,Pk J4w,None,None,19.154084656840574,55
56,4,Yddre,Goldy Flewer,Purple Hk-Tk,Grand line,None,Amy Snake,Purple Padm3,None,None,27.125156465942123,56
57,1,THO,Gl J0sh1,M0-Nonok3,Dk Mkia-Wa,None,Leeloo Bl,None,None,None,20.10923504720527,57
58,2,Yddre,None,Teal'c,Blond shorty,Sapphire,buildy yellow,Plav4,None,None,35.40265177724955,58
59,3,Ohm,Sh4ggy Gl,Sonmi-451,Leia,None,Kiya-T4 Pk,Pk J4w,None,None,27.352379318720754,59
60,3,None,None,None,Br Leia,Mahubiri,Zh0ra Gr,Pk Priam,Ring Hysteria ,None,39.625168967926484,60
61,4,None,Green River Cubo,Silver Liner Kb2,Double line,Emerald,Ivor snake,None,None,None,31.517155071678047,61
62,1,Yddre,Big J0sh1,Tiger,Dk Mkia-Wa,None,Tq 1ungle,None,None,None,20.239919759104883,62
63,1,None,Gl J0sh1,L3x4,lanu,None,Coco-Br,V0l-T4n,None,None,20.653335033961177,63
64,3,THO,Sh4ggy Sl,None,Dk Leia,Mahubiri,P13N-FU Gr,None,Ring Hysteria ,None,45.59771298757342,64
65,2,None,Double 50X-TS Silver,None,Fr33zy,None,Pandora Wh,Neckilver,Pyram1d,None,33.27790846127942,65
66,3,Ohm,Glody Cora,Sonmi-451,Dk Motok-0,Fire,X-0c Bitum Bl,Pk J4w,None,None,43.93117250951863,66
67,2,Ohm,94 Blue PU,P-43cock Dark,M1ley,None,Pandora Wh,None,None,None,22.079466491531914,67
68,2,Yddre,Double 50X-TS Goldy,Teal'c,Xtail,None,Pandora Wh,None,None,None,19.60948949859575,68
69,1,None,Dk J0sh1,Kida,Mahogany,None,Coco-Bl,V0l-T4n,None,None,21.261917621973268,69
70,2,Ohm,94 Blue PU,Teal'c,Brown Tifa ,None,Zippy,Smakras,None,None,29.955506005377835,70
71,3,None,Sh4ggy Gl,Sonmi-451,Dk Motok-0,None,Zh0ra Gr,B3cky,None,None,20.946093137167306,71
72,1,None,D4isy,None,Pr F4la,None,Tq 1ungle,None,None,None,9.179675899653597,72
73,3,Yddre,Glody Cora,None,Dk Leia,None,Mam3-Shib0r1,B3cky,Itz4,None,38.05599446545991,73
74,2,Yddre,None,Teal'c,Xtail,None,Zippy,Neckilver,Pyram1d,None,36.22210777488724,74
75,2,None,None,Nebula,Blond shorty,None,Dk Flowpow,N0v4,None,None,14.563705009517944,75
76,2,Angel3,None,Loop HT-X,M1ley,None,Pandora Br,M3tr0 Tw1,None,None,23.19027269912648,76
77,3,Ohm,Sh4ggy Gl,Sonmi-451,Dk Motok-0,None,Zh0ra Gr,B3cky,None,None,27.638572892204373,77
78,1,Yddre,Sl J0sh1,Tiger Chain,Dk Mkia-Wa,Sapphire,Leeloo Bl,3mr0s,None,None,42.00299160624883,78
79,4,None,Goldy Flewer,Purple Hk-Tk,Blond shorty 0,None,Red kroko,None,Ona Jenta,None,31.188827234004158,79
80,4,Ciblo,Brown River Cubo,Silver Liner Kb2,Macca,None,1nKa,None,None,None,22.87446317187566,80
81,4,None,Green River Cubo,None,Macca,None,Pryzo,Goldy Nek-T2,Geometria,None,33.51445303426189,81
82,4,Yddre,None,Silver Liner Kb2,Shorty Blue,None,Blue Kroko,Purple Padm3,None,None,19.12401130284743,82
83,4,THO,Green River Cubo,Purple Hk-Tk,Guerti,None,Pryzo Red,Goldy Nek-T2,Ring Hysteria ,None,44.048405131061486,83
84,2,Ohm,None,Teal'c,Blond shorty,None,Pandora Wh,None,None,None,13.313604830041442,84
85,1,Ohm,Gl J0sh1,Tiger,Mahogany,None,Dk 1ungle,V0l-T4n,None,None,27.2599476410523,85
86,2,None,None,Teal'c,Xtail,None,Dk Flowpow 0,None,None,None,5.989642347999277,86
87,3,Yddre,None,Sonmi-451,Dk Leia,Mahubiri,Str4w-J4p,None,None,None,27.879876159873838,87
88,1,Yddre,D4isy,Yoona-939,lanu,None,Coco-Dk,3mr0s,None,None,26.223833703700656,88
89,3,Ohm,Sh4ggy Sl,None,Pk Motok-0,None,Str4w-J4p,Pk Priam,None,None,21.718068772766884,89
90,4,Yddre,None,Copper Hk-Tk,Brado,None,Blue Kroko,None,None,None,12.433835518798189,90
91,2,Angel3,None,Loop HT-X,M1ley,None,buildy pink gold,N0v4,Pyram1d,None,40.1280726259734,91
92,4,Mothered,Green River Cubo,Purple Hk-Tk,Macca,None,Red kroko,Dark Padm3,Ona Jenta,Silver Innoza,68.15292946740807,92
93,4,Yddre,Gyraphe,Purple Hk-Tk,Blond shorty 0,None,Amy Snake,Purple Padm3,Ona Jenta,None,43.539898367998056,93
94,4,H3art,Perly,Copper Hk-Tk,Brado,None,Yel Kroko,None,Geometria,None,42.384573831290965,94
95,3,THO,Bl Pr1s,Sonmi-451,Br Leia,Mahubiri,Str4w-Pur,None,None,None,37.111700697117584,95
96,2,None,Goldy Perly,Metropolis Noisa,Blond shorty,Sapphire,Dk Flowpow,None,Pyram1d,None,47.709246242681694,96
97,3,None,Sh4ggy Gl,Sonmi-451,Dk Motok-0,None,P13N-FU Wh,4-Smakras Sl,None,None,21.829689371180027,97
98,3,None,Sh4ggy Sl,None,Dk Leia,Esmerald,Str4w-Pur,Pk Priam,3-Ncke,None,49.228382199691666,98
99,1,None,Gl J0sh1,M0-Nonok3,Dk Mkia-Wa,Sapphire,Ye  Kn1-ght,V0l-T4n,None,None,36.546862673269224,99
100,4,None,Damondy,None,Skrill,None,Ruby snake,Purple Padm3,None,Silver Innoza,37.8951420327448,100
101,2,Yddre,Diamond Perly,P-43cock Dark,Fr33zy,None,Pandora Br,None,None,None,20.918268132002094,101
102,1,THO,Sl J0sh1,None,Dk F4la,None,M3b Gr,None,None,None,14.386321897293783,102
103,4,Mothered,Brown River Cubo,blue jewels,Macca,None,Vintegio Br,Purple Padm3,Ring Hysteria ,None,44.759397787530744,103
104,4,THO,None,blue jewels,Shorty Blue,None,Amy Snake,None,None,None,13.484083322237982,104
105,2,Angel3,None,Metropolis Noisa,M1ley,None,SG1,None,Pyram1d,None,32.330240837480396,105
106,4,Yddre,Gyraphe,None,Grand line,Sunny,Black Aredeko,None,None,None,30.847677975620652,106
107,2,Mothered,Goldy Perly,Ltt Loop  HT-X,Fr33zy,None,Dk Flowpow 0,None,None,None,22.8157425801009,107
108,1,None,Sl J0sh1,M0-Nonok3,Dk F4la,None,Br  Kn1-ght,None,None,None,14.438630880681714,108
109,4,H3art,Goldy Flewer,None,Skrill,None,Pryzo Red,Silver Nek-T2,Ona Jenta,None,41.139902249845164,109
110,4,Yddre,Perly,Copper Hk-Tk,Double line,None,Vintegio Br,Purple Padm3,Geometria,None,45.9237161144693,110
111,1,None,None,Tiger,Gi Mkia-Wa,None,Dk 1ungle,None,None,None,7.156828737763234,111
112,2,THO,None,P-43cock Dark,Blond Tifa,None,Pandora Br,None,None,None,13.230484317887361,112
113,1,THO,Big J0sh1,None,Mahogany,None,M3b Dk,3mr0s,None,None,21.404147754300386,113
114,4,THO,Damondy,blue jewels,Goldy Skrill,None,Red kroko,Goldy Nek-T2,Geometria,None,46.52093744097196,114
115,2,None,Goldy Perly,Metropolis Noisa,Blond shorty,None,Pandora Wh,Goldy J4w,None,None,23.171161062574466,115
116,2,None,None,None,Fr33zy,None,Pandora Bl Cl,N0v4,None,None,8.207033997721403,116
117,3,Yddre,None,Sonmi-451,Dk Leia,Mahubiri,Str4w-1r1,B3cky Br,None,None,35.42224175875509,117
118,3,Yddre,Sh4ggy Gl,Neo,Br Leia,None,Str4w-J4p,Pk Priam,None,None,26.48571990759075,118
119,1,None,D4isy,Tiger Chain,Dk Mkia-Wa,None,M3b Goldy Bl,3mr0s,None,None,21.431410912440167,119
120,4,Yddre,None,Goldy Liner Kb2,Blond shorty 0,Sunny,Ruby snake,None,None,None,30.075487219823177,120
121,1,THO,Dk J0sh1,L3x4,Dk F4la,Sapphire,M3b Gr,None,None,None,36.81132326339427,121
122,3,None,None,Sonmi-451,Dk Leia,Mahubiri,Kiya-T4 Rd,Pk J4w,None,None,29.129887570334006,122
123,4,None,Goldy Flewer,Copper Hk-Tk,Grand line,None,Black Aredeko,Goldy Nek-T2,None,Silver Innoza,44.3565499707721,123
124,1,None,Sl J0sh1,None,lanu,None,Leeloo Bl,None,None,None,7.79304120516868,124
125,4,None,Brown River Cubo,Copper Hk-Tk,Grand line,None,Blue Kroko,None,None,None,14.92584932960198,125
126,1,Angel3,70 Purple,Yoona-939,Dk F4la,None,Bl PSLV,V0l-T4n,None,None,30.00224446411725,126
127,3,Ciblo,Sh4ggy Sl,None,Leia,None,Kiya-T4 Rd,Abydoss,Ring Hysteria ,None,39.58400037108941,127
128,2,Ohm,None,Ltt Loop  HT-X,M1ley,None,Pandora Br,Nek_Gl7,None,None,21.042647515546754,128
129,2,None,Double 50X-TS Goldy,Ltt Loop  HT-X,M1ley,None,Dk Flowpow 0,M3tr0 Tw1,None,None,22.095797686001973,129
130,2,None,Double 50X-TS Goldy,P-43cock Blue,Fr33zy,None,Pandora Bl Cl,None,Pyram1d,None,32.03605267807205,130
131,4,Fl3wy,None,Silver Liner Kb2,Skrill,None,Kruel,None,None,None,15.628915236711052,131
132,4,Mothered,Brown River Cubo,Silver Liner Kb2,Double line,None,Ivor snake,None,None,None,22.218806986782454,132
133,2,Yddre,None,Teal'c,Fr33zy,None,Pandora Kh,M3tr0 Tw1,None,None,19.456293331551333,133
134,1,Yddre,D4isy,Tiger Chain,Dk Mkia-Wa,None,Gr PSLV,None,None,None,19.984256293656752,134
135,4,H3art,None,blue jewels,Brado,None,Pryzo Red,Goldy Nek-T2,None,Silver Innoza,45.367906621271196,135
136,1,Angel3,D4isy,Tiger,Gi Mkia-Wa,None,M3b Goldy Bl,None,None,None,23.787775102199436,136
137,2,Angel3,None,Nebula,Fr33zy,None,buildy white gold,M3tr0 Tw1,None,None,23.45146920920994,137
138,3,None,Glody Cora,None,Pk Motok-0,None,Str4w-1r1,None,None,None,8.543803903053838,138
139,4,None,Brown River Cubo,Purple Hk-Tk,Macca,Ruby,Ivor snake,Dark Padm3,Ona Jenta,None,56.0958407764594,139
140,1,THO,70 Purple,Kida,lanu,None,Cameron Light,None,None,None,20.44826197459643,140
141,1,None,70 Rainbow,Tiger,lanu,None,M3b Gr,V0l-T4n,None,None,21.161880589572366,141
142,2,None,Diamond Perly,None,Fr33zy,None,Ye Paiesly,N0v4,Pyram1d,None,33.605777667592925,142
143,4,None,Perly,Purple Hk-Tk,Macca,Sunny,Vintegio Br,Silver Nek-T2,None,None,38.787375252571294,143
144,1,None,None,L3x4,Mahogany,None,Coco-Bl,Maua,None,None,14.391597961211827,144
145,2,Ohm,None,None,Fr33zy,None,Pandora Wh,Plav4,None,None,14.989013736028706,145
146,2,THO,Double 50X-TS Goldy,Teal'c,M1ley,None,Pandora Bl,Plav4,None,None,27.635579863558558,146
147,3,Ohm,None,None,Leia,Fire,X-0c Bitum,Pk J4w,None,None,30.426990742771174,147
148,2,None,None,None,Xtail,None,Dk Flowpow 0,Plav4,None,None,7.842997811523671,148
149,3,Ciblo,None,Neo,Br Leia,None,X-0c Bitum Bl,None,None,None,15.520324936173912,149
150,2,None,None,P-43cock Dark,Blond Tifa,None,SG1,Plav4,None,None,14.961072695237188,150
151,1,None,None,Yoona-939,Mahogany,None,Coco-Br,None,None,None,6.298152321880024,151
152,1,Yddre,70 Blue,None,Mahogany,None,Gr PSLV,None,None,None,13.722239972844285,152
153,3,Ohm,Sh4ggy Sl,None,Dk Motok-0,Pk M3rm4id,X-0c Bitum,4-Smakras Sl,Itz4,None,56.411686414827386,153
154,3,THO,None,Sonmi-451,Pk Motok-0,Pk M3rm4id,Str4w-J4p,Pk J4w,None,None,35.54452636162438,154
155,1,Ohm,Gl J0sh1,Tiger,lanu,None,Leeloo Bl,V0l-T4n,None,None,26.96260823042379,155
156,4,Yddre,None,Purple Hk-Tk,Blond shorty 0,None,Vintegio,None,None,None,12.556092612805635,156
157,2,Yddre,Goldy Perly,None,M1ley,None,Dk Flowpow 0,N0v4,None,None,21.459919732383383,157
158,3,None,Sh4ggy Gl,None,Gamo-Gr31,None,Zh0ra Dk,None,None,None,9.135663510433071,158
159,1,None,Anck-5U-Namun,Yoona-939,Mahogany,None,Wh 1ungle,3mr0s,None,None,21.495338193782977,159
160,4,None,Brown River Cubo,Copper Hk-Tk,Shorty,None,Amy Snake,Goldy Nek-T2,None,None,22.663409623797246,160
161,2,Ohm,None,Metropolis Noisa,Fr33zy,Fire,Pandora Bl,None,None,None,29.768952122171132,161
162,1,None,D4isy,Tiger,Dk F4la,None,Br PSLV,V0l-T4n,None,None,21.0590481064827,162
163,1,None,Gl J0sh1,M0-Nonok3,Gi Mkia-Wa,None,Wh 1ungle,V0l-T4n,None,None,21.122968194070204,163
164,3,None,Sh4ggy Gl,None,Dk Motok-0,1R-1cent,Str4w-1r1,None,None,None,25.199010072952603,164
165,2,THO,None,P-43cock Dark,Xtail,None,Pandora Dk,M3tr0 Tw1,None,None,20.35654625087648,165
166,4,H3art,Brown River Cubo,None,Macca,None,Silver snake,None,None,Silver Innoza,39.37572947278545,166
167,2,None,None,Metropolis Noisa,Fr33zy,None,Dk Flowpow 0,N0v4,None,None,14.016283023966047,167
168,2,None,Double 50X-TS Silver,P-43cock Dark,Fr33zy,None,BL Kombinacija,Neckilver,None,None,22.771036701810658,168
169,3,Ohm,Sh4ggy Gl,None,Dk Motok-0,None,X-0c Bitum,Pk Priam,None,None,21.676392514992443,169
170,4,Mothered,Goldy Flewer,Copper Hk-Tk,Tiger king,None,Kruel,None,Doubla Jenta,Silver Innoza,62.68956079773662,170
171,4,None,Damondy,Goldy Liner Kb2,Guerti,None,Yel Kroko,Purple Padm3,None,None,23.258020276410306,171
172,2,Ohm,None,Loop HT-X,Blond shorty,None,Dk Flowpow,N0v4,None,None,21.203799802055816,172
173,3,Ohm,Sh4ggy Sl,Sonmi-451,Dk Leia,None,Str4w-1r1,Pk J4w,Ring Hysteria ,None,42.01740737610998,173
174,4,H3art,None,blue jewels,Brado,Emerald,Yel Kroko,Goldy Nek-T2,Ona Jenta,None,57.53771434677207,174
175,4,THO,Gyraphe,Dark Tb2,Grand line,None,Pryzo Red,None,None,None,20.899154559870777,175
176,3,Ohm,Sh4ggy Gl,None,Leia,Mahubiri,Str4w-1r1,None,Ring Hysteria ,None,46.63380849361547,176
177,4,Fl3wy,Green River Cubo,Dark Tb2,Tiger king,None,Vintegio Br,Purple Padm3,None,Goldy Innoza,53.82918132974793,177
178,3,Yddre,Bl Pr1s,None,Dk Leia,Pk M3rm4id,Kiya-T4 Rd,Pk Priam,Itz4,None,54.442089646242685,178
179,4,THO,Gyraphe,None,Double line,None,Blue Kroko,Goldy Nek-T2,Ring Hysteria ,None,37.43411840502359,179
180,1,None,Sl J0sh1,None,lanu,Sapphire,Coco-Br,Maua,None,None,31.377345031505836,180
181,1,None,70 Purple,None,Pr F4la,None,Or PSLV,None,None,None,9.596503535105128,181
182,2,THO,None,P-43cock Blue,Fr33zy,None,Rorschach,Smakras,None,None,20.4926773945975,182
183,2,None,None,Metropolis Noisa,Blond Tifa,Sapphire,buildy white silver,Neckilver,Pyram1d,None,47.55327188489505,183
184,4,THO,Green River Cubo,Silver Liner Kb2,Tiger king,None,Vintegio,Silver Nek-T2,Ona Jenta,Silver Innoza,65.01112761064603,184
185,3,None,Bl Pr1s,None,Br Leia,Pk M3rm4id,Str4w-J4p,None,None,None,25.343491292727798,185
186,4,None,Brown River Cubo,Purple Hk-Tk,Brado,Sunny,Amy Snake,Goldy Nek-T2,Ring Hysteria ,None,54.40964840203611,186
187,1,None,Gl J0sh1,None,lanu,None,Rd PSLV,None,None,None,8.132067821865608,187
188,4,Mothered,Brown River Cubo,None,Grand line,None,Pryzo,None,Ona Jenta,None,33.20312670861203,188
189,1,None,None,Tiger Chain,Dk Mkia-Wa,None,Coco-Dk,Maua,None,None,14.50829980315563,189
190,3,Ohm,None,Arkosmel,Dk Leia,None,Kiya-T4 Pk,Pk J4w,Ring Hysteria ,None,36.12004749835513,190
191,3,Ciblo,None,None,Leia,None,P13N-FU Dk,B3cky Br,Itz4,None,34.60871798281408,191
192,2,Yddre,None,Teal'c,Blond Tifa,None,buildy white silver,N0v4,None,None,19.73693665705808,192
193,2,None,Double 50X-TS Silver,None,M1ley,None,Pk Paiesly,Nek_Gl7,None,None,16.156147843133038,193
194,3,Mothered,Sh4ggy Sl,None,Dk Motok-0,Fire,P13N-FU Wh,Pk Priam,Ring Hysteria ,None,54.42832593575343,194
195,2,THO,None,Teal'c,M1ley,Sapphire,Gr Flowpow 0,Smakras,None,None,35.41371818851596,195
196,4,None,Green River Cubo,Silver Liner Kb2,Blond shorty 0,None,Amy Snake,None,None,None,13.983924842241418,196
197,2,Ohm,None,Ltt Loop  HT-X,M1ley,None,buildy blue silver,Neckilver,None,None,21.423329749311044,197
198,1,None,None,Kida,lanu,None,Coco-Dk,None,None,None,6.64830663825163,198
199,3,Mothered,None,Sonmi-451,Dk Leia,Pk M3rm4id,Kiya-T4 Pk,None,None,None,30.124680399631238,199
200,3,Ciblo,None,None,Leia,None,Zh0ra Rd,Abydoss,Ring Hysteria ,None,32.86414108270496,200
201,1,Yddre,P3X-774,None,lanu,None,Tq 1ungle,Maua,None,None,21.768179868688907,201
202,4,None,Brown River Cubo,Silver Liner Kb2,Skrill,None,Kruel,None,None,Goldy Innoza,36.791999328077324,202
203,2,Yddre,None,P-43cock Dark,Brown Tifa ,None,Dk Flowpow 0,N0v4,None,None,20.356627238751003,203
204,4,Mothered,None,blue jewels,Double line,None,Vintegio Br,Silver Nek-T2,Ring Hysteria ,None,37.459159240214426,204
205,1,THO,Gl J0sh1,Tiger,Dk Mkia-Wa,None,Coco-Br,None,None,None,20.223171774211025,205
206,4,None,Gyraphe,blue jewels,Blond shorty 0,None,Pryzo Blue,Silver Nek-T2,None,None,21.95491446575142,206
207,3,None,Sh4ggy Gl,Sonmi-451,Dk Motok-0,None,Kiya-T4 Rd,None,Itz4,None,30.805730987520636,207
208,3,Ohm,None,None,Br Leia,None,Kiya-T4 Rd,B3cky Br,None,None,14.669691257197043,208
209,4,THO,Gyraphe,None,Brado,None,Red kroko,Purple Padm3,Ona Jenta,None,37.564545794822216,209
210,1,Yddre,70 Blue,M0-Nonok3,Dk Mkia-Wa,None,M3b Dk,None,None,None,20.00093517918791,210
211,2,THO,Goldy Perly,None,Fr33zy,None,Gr Flowpow 0,Plav4,None,None,22.17398796025685,211
212,2,Ohm,None,Ltt Loop  HT-X,M1ley,Sapphire,buildy green,M3tr0 Tw1,Galactic Diamond,None,54.720260782045926,212
213,1,Angel3,Dk J0sh1,Kida,lanu,None,Leeloo Dk,V0l-T4n,None,None,30.021706915235296,213
214,4,Fl3wy,Damondy,blue jewels,Shorty Blue,None,White Aredeko,None,Ona Jenta,None,41.40104125246168,214
215,1,None,Sl J0sh1,Kida,Mahogany,None,Ye  Kn1-ght,None,None,None,14.541457107262401,215
216,3,Ohm,Glody Cora,None,Dk Leia,Fire,Str4w-1r1,None,None,None,30.85779432181121,216
217,3,None,Glody Cora,None,Dk Motok-0,None,Mam3-Shib0r1,None,Ring Hysteria ,None,23.632453801874085,217
218,4,THO,Brown River Cubo,Silver Liner Kb2,Tiger king,None,Yel Kroko,Purple Padm3,Ona Jenta,None,43.7731685610694,218
219,2,None,None,P-43cock Blue,M1ley,None,Pr Paiesly,Plav4,None,None,14.705417048147924,219
220,1,Ohm,Dk J0sh1,M0-Nonok3,lanu,Sapphire,M3b Rd,None,None,None,36.758297349207496,220
221,1,None,P3X-774,Tiger Chain,Dk Mkia-Wa,None,Cameron,None,None,None,15.1555846224786,221
222,4,Mothered,None,None,Macca,Ruby,Ivor snake,Silver Nek-T2,Ona Jenta,Silver Innoza,70.85017250030371,222
223,3,Ohm,Sh4ggy Sl,None,Pk Motok-0,None,Zh0ra Dk,Pk Priam,None,None,21.71250945839315,223
224,4,THO,Gyraphe,Goldy Liner Kb2,Skrill,None,Ivor snake,Purple Padm3,Ona Jenta,None,44.67613844064876,224
225,3,Mothered,None,Atlas,Dk Leia,Esmerald,Str4w-J4p,Pk J4w,None,None,38.5144142939739,225
226,4,Ciblo,Green River Cubo,blue jewels,Tiger king,None,Blue Kroko,Goldy Nek-T2,Ona Jenta,Silver Innoza,69.46965422857065,226
227,4,None,None,blue jewels,Blond shorty 0,Sunny,Vintegio Br,Goldy Nek-T2,None,Silver Innoza,53.39303446338122,227
228,3,Ciblo,Sh4ggy Gl,None,Br Leia,Pk M3rm4id,X-0c Bitum Gr,Pk Priam,None,None,40.24737170079806,228
229,3,THO,C3d-Gl,Atlas,Dk Leia,Pk M3rm4id,Str4w-1r1,Pk Priam,Itz4,None,61.10641400377587,229
