,Beard Gene,Bones Gene,Teeth Gene,Nose Gene,Eyes Gene,Hair Gene,Skull Gene,Background ID,NAME,UNIQUENESS INDEX,Noname Trait,Rarity score,Token Id
106,#8,#15,#1,#0,#21,#53,#2,#114,Porsikruuth,22,None,0.7603430826911064,106
107,#8,#15,#5,#0,#52,#122,#6,#58,Blartuz,25,None,1.4799746174619457,107
108,#8,#15,#3,#6,#21,#22,#7,#24,Ralforr,22,None,1.4631843947217351,108
109,#8,#15,#2,#3,#1,#78,#2,#57,Nimen,22,None,0.3287925966858965,109
110,#8,#15,#3,#2,#29,#52,#0,#31,Phruroth,22,None,0.8754794262662248,110
111,#8,#15,#4,#2,#4,#76,#12,#49,Baugisthuuh,22,None,0.43982703938472234,111
112,#8,#5,#0,#2,#75,#122,#12,#93,Ephriszuurr,16,None,37.0351118946677,112
113,#2,#0,#9,#4,#86,#120,#7,#63,Ikholdoin,2,None,85.32571555703481,113
114,#2,#15,#8,#7,#75,#122,#3,#114,Gloutruuszaul,15,None,42.509197391361816,114
115,#5,#15,#9,#6,#16,#118,#5,#66,Yeashiograas,11,None,52.364109430255525,115
116,#8,#15,#9,#5,#47,#122,#5,#104,Sliahao,25,None,1.4840724031807655,116
117,#8,#15,#9,#0,#39,#24,#12,#37,Donisitt,22,None,0.7932478736334286,117
118,#8,#15,#0,#0,#78,#122,#5,#78,Wriacoin,26,None,7.24287459123454,118
119,#8,#15,#9,#5,#16,#73,#6,#123,Thraalteknak,22,None,0.8014607107234516,119
120,#8,#15,#6,#5,#74,#122,#4,#16,Giannal,25,None,1.7717161320534036,120
121,#8,#13,#3,#0,#63,#14,#13,#33,Sabraah,12,None,46.41341382636666,121
122,#8,#15,#0,#7,#69,#117,#6,#26,Droxxoiss,22,None,0.8508014482758446,122
123,#8,#15,#4,#5,#85,#100,#14,#76,Reria,22,None,0.8590422399178673,123
124,#8,#15,#6,#6,#5,#51,#4,#62,Xinruddow,22,None,1.274084015369892,124
125,#8,#0,#6,#2,#66,#122,#8,#48,Crathitirth,16,None,37.40909031122262,125
126,#8,#15,#0,#4,#77,#17,#8,#84,Phessaas,22,None,0.45211998746130255,126
127,#8,#15,#10,#6,#17,#121,#2,#23,Stholdekkitt,22,None,0.8261152542025573,127
128,#7,#15,#8,#4,#20,#76,#6,#131,Frirlaolraul,11,None,51.93670399630277,128
129,#8,#15,#4,#5,#88,#122,#11,#107,Sirnaummoin,25,None,1.5251415171128677,129
130,#8,#15,#9,#5,#5,#93,#8,#36,Phraustriz,22,None,0.7603389733724186,130
131,#8,#15,#6,#0,#22,#23,#6,#90,Asziotiutt,22,None,0.9370798120266955,131
132,#8,#15,#5,#3,#63,#81,#12,#18,Khaorkurm,22,None,0.42746790840565246,132
133,#8,#15,#0,#3,#66,#122,#14,#40,Lesaoth,26,None,7.242881166983765,133
134,#8,#15,#1,#1,#86,#122,#13,#84,Xordusza,25,None,1.6443698908244204,134
135,#8,#15,#10,#2,#22,#122,#10,#84,Xarphou,26,None,7.1442465523258125,135
136,#7,#15,#3,#1,#81,#69,#5,#65,Debbion,11,None,52.384643578232925,136
137,#8,#15,#5,#1,#30,#14,#11,#62,Fruuzziogon,22,None,0.5425216201259601,137
138,#8,#10,#6,#7,#46,#122,#10,#113,Waandrangaan,16,None,37.861161380065354,138
139,#8,#15,#3,#4,#83,#104,#7,#73,Bliszux,22,None,1.1837119780470706,139
140,#8,#15,#4,#0,#2,#78,#12,#105,Piazilea,22,Game Token,33.58601796534871,140
141,#8,#15,#5,#5,#81,#33,#12,#10,Eheggiuc,22,None,0.6946514914313614,141
142,#8,#15,#0,#1,#1,#44,#6,#98,Kraulthaostris,22,None,0.5137253058091563,142
143,#8,#15,#6,#4,#46,#122,#8,#77,Theahauxxuc,25,Game Token,34.33721826153882,143
144,#8,#15,#3,#3,#53,#122,#2,#7,Ernioddis,25,Game Token,34.337219088274296,144
145,#8,#15,#10,#7,#25,#106,#8,#8,Stharpakoihr,22,Game Token,33.676398227877534,145
146,#8,#15,#1,#2,#71,#116,#8,#44,Thioshizeas,22,Game Token,33.42977264025209,146
147,#8,#15,#9,#0,#71,#5,#7,#3,Hirsoih,22,Game Token,33.79145893035697,147
148,#8,#15,#4,#3,#84,#74,#3,#55,Okean,22,None,0.8014960642021414,148
149,#8,#15,#10,#5,#71,#90,#12,#66,Phaodrou,22,Game Token,33.49557686851821,149
150,#8,#15,#10,#2,#83,#90,#1,#45,Theazaulrian,22,Game Token,33.38042738348005,150
151,#8,#15,#7,#3,#27,#80,#11,#83,Waarlodrio,22,Game Token,33.56540202091891,151
152,#8,#15,#7,#1,#12,#8,#13,#57,Zimokrox,22,Game Token,33.88183631701045,152
153,#8,#15,#0,#3,#2,#60,#14,#36,Xuuttea,22,Game Token,33.285953033464125,153
154,#5,#15,#10,#2,#35,#46,#14,#131,Oulizzaa,11,None,52.014810217106,154
155,#8,#15,#3,#6,#30,#13,#6,#37,Vroldegerth,22,Game Token,34.39150741058532,155
156,#8,#15,#5,#3,#87,#48,#5,#43,Wrauszi,22,None,0.23015551514125066,156
157,#8,#15,#0,#0,#85,#61,#9,#88,Oigaknorth,22,Game Token,33.61469672083701,157
158,#8,#15,#0,#4,#71,#68,#5,#110,Ujorchess,22,Game Token,33.08865420689053,158
159,#8,#15,#7,#5,#8,#21,#12,#8,Iudriolphoz,22,Game Token,33.92709981589363,159
160,#8,#15,#0,#0,#84,#65,#14,#6,Thorpolthorth,22,None,0.6370605049560556,160
161,#8,#15,#0,#6,#87,#77,#10,#4,Thriutroulme,22,Game Token,33.70100056942501,161
162,#8,#15,#9,#0,#76,#83,#5,#90,Lloumfoh,22,Game Token,33.57770976657518,162
163,#8,#15,#2,#0,#88,#122,#7,#40,Honthogew,25,None,1.7470447307245593,163
164,#8,#15,#7,#3,#2,#122,#5,#29,Praknalfu,25,None,1.3196722048943128,164
165,#8,#15,#10,#0,#66,#100,#4,#67,Trebelrerr,22,Game Token,33.71337121029161,165
166,#8,#1,#10,#7,#22,#122,#5,#14,Cital,16,None,37.54472914260171,166
167,#8,#15,#0,#2,#84,#35,#0,#88,Uthaghu,22,Game Token,33.16673370886589,167
168,#8,#15,#2,#2,#15,#68,#11,#108,Yiuthari,22,Game Token,33.1996023203239,168
169,#8,#15,#9,#4,#2,#79,#7,#88,Rurchaahihr,22,Game Token,33.5078948892502,169
170,#8,#15,#10,#1,#24,#15,#9,#1,Thrikhongehr,22,Game Token,33.67225440689643,170
171,#8,#15,#10,#5,#7,#23,#1,#33,Chesiox,22,None,0.7562395467725314,171
172,#8,#13,#0,#0,#16,#122,#12,#123,Koltheagron,16,None,37.52829853574305,172
173,#8,#15,#1,#3,#49,#3,#2,#99,Nourralleah,22,Game Token,33.49553699454263,173
174,#8,#15,#3,#1,#85,#47,#6,#107,Khiastriul,22,Game Token,33.86541763039644,174
175,#1,#3,#1,#7,#46,#13,#1,#124,Cikhirm,2,None,85.82707680739708,175
176,#8,#15,#2,#6,#62,#122,#0,#33,Uphiriath,25,Game Token,34.78513975536899,176
177,#4,#15,#0,#7,#82,#93,#10,#63,Seblekho,11,None,52.096950925176635,177
178,#8,#6,#0,#6,#47,#78,#6,#34,Krekhenthe,12,None,46.09287722031894,178
179,#8,#15,#1,#1,#2,#2,#6,#119,Koshoblik,22,Game Token,33.766788354668826,179
180,#8,#15,#3,#2,#65,#51,#2,#29,Shrathrial,22,None,0.40687250865344676,180
181,#8,#13,#7,#5,#48,#79,#0,#52,Grotabro,12,None,46.38056370807436,181
182,#8,#15,#6,#3,#40,#122,#1,#8,Cekhas,25,None,1.4593866211979807,182
183,#8,#15,#1,#0,#11,#122,#9,#44,Srintodrehr,25,Game Token,34.707086559766076,183
184,#1,#6,#6,#6,#41,#122,#12,#59,Aorpokric,5,None,74.7647982155549,184
185,#8,#15,#7,#3,#7,#10,#12,#114,Ithiggiurr,22,None,0.7028137617232643,185
186,#8,#15,#10,#7,#35,#39,#11,#100,Iudhaastraus,22,Game Token,33.56955529644398,186
187,#8,#15,#8,#5,#84,#61,#12,#17,Krercha,22,Game Token,33.55721137641233,187
188,#8,#15,#2,#7,#36,#50,#2,#12,Chogreth,22,Game Token,33.61885369842551,188
189,#1,#15,#2,#4,#30,#42,#0,#106,Bajiggus,11,None,52.36003095859911,189
190,#3,#15,#6,#5,#46,#76,#1,#28,Pliukhaoh,11,None,52.49972770838131,190
191,#8,#15,#9,#6,#70,#5,#3,#28,Pretrax,22,None,1.2083747447251028,191
192,#8,#3,#2,#5,#33,#101,#4,#5,Khishiz,12,None,46.19561702454888,192
193,#8,#15,#4,#0,#21,#122,#8,#38,Zibrujol,25,Game Token,34.39885647368592,193
194,#4,#5,#7,#5,#14,#122,#0,#29,Briggeanal,5,None,74.40316824053205,194
195,#8,#15,#7,#4,#32,#98,#2,#130,Throdduuxhio,22,Game Token,33.44209641747877,195
196,#8,#15,#3,#4,#1,#9,#5,#105,Toghul,22,Game Token,33.61885575230939,196
197,#8,#15,#9,#2,#88,#50,#0,#88,Lelpha,22,Game Token,33.35580407740985,197
198,#8,#15,#5,#3,#20,#122,#8,#22,Ranrearr,26,None,7.094942807673481,198
199,#8,#15,#3,#3,#34,#23,#7,#59,Glausel,22,None,1.0727379633981973,199
200,#8,#15,#10,#5,#85,#112,#12,#88,Miogios,22,Game Token,33.5531057793114,200
201,#6,#11,#3,#4,#37,#112,#10,#48,Sraaphurzhaas,2,None,85.86405060842706,201
202,#8,#15,#10,#2,#70,#122,#6,#128,Sthrirparr,26,None,7.197674800521302,202
203,#8,#15,#8,#2,#46,#122,#12,#15,Vuggorsaott,26,None,6.975732939170136,203
204,#8,#14,#1,#5,#45,#122,#13,#115,Xecurzharth,16,None,37.88172759154852,204
205,#8,#15,#6,#4,#47,#3,#3,#71,Bisza,22,Game Token,33.779162281311734,205
206,#8,#15,#1,#4,#52,#113,#3,#7,Bunarm,22,Game Token,33.943553439151806,206
207,#8,#2,#9,#3,#39,#97,#0,#76,Yautro,12,None,45.9408102486942,207
208,#8,#15,#10,#1,#20,#58,#12,#34,Ugraarli,22,Game Token,33.43388686899321,208
209,#8,#15,#3,#3,#6,#122,#7,#112,Xeatrilmu,25,None,1.7183277608441085,209
210,#8,#15,#1,#7,#71,#100,#11,#15,Iulthan,22,None,0.854911981704636,210
211,#8,#15,#3,#1,#26,#40,#3,#73,Sthriratrurr,22,None,1.3152078067872675,211
212,#5,#15,#0,#7,#8,#122,#1,#100,Podrimu,15,None,42.31195940301283,212
213,#8,#15,#3,#1,#34,#64,#2,#62,Zaonthaorserth,22,None,0.9576123130105529,213
214,#2,#15,#6,#4,#84,#71,#11,#42,Pazzaummea,11,None,52.21207287249731,214
215,#1,#15,#9,#5,#61,#68,#8,#14,Pruzzothuux,11,None,52.261361817927785,215
216,#8,#15,#0,#2,#84,#122,#10,#89,Drialriuhah,26,None,7.04557946079436,216
217,#8,#15,#3,#7,#87,#122,#5,#0,Pusiac,25,None,1.8744904599247023,217
218,#8,#1,#3,#7,#39,#101,#13,#109,Haubrioz,12,None,46.50793051204467,218
219,#8,#15,#5,#0,#30,#14,#8,#121,Xaxhios,22,None,0.6206270212185132,219
220,#8,#6,#3,#2,#31,#87,#8,#112,Iochio,12,None,45.90383028190717,220
221,#3,#15,#7,#5,#88,#74,#2,#78,Sthoxaorkaurr,11,None,52.35176181016753,221
222,#4,#15,#1,#2,#10,#81,#12,#70,Deblilfioc,11,None,52.07645787695474,222
223,#8,#15,#4,#6,#64,#118,#11,#49,Tholthoz,22,None,0.9535576939771602,223
224,#2,#3,#6,#5,#15,#122,#12,#60,Sthaxxuzzurr,5,None,74.39904086047493,224
225,#8,#15,#2,#0,#73,#122,#0,#23,Phriluus,25,Game Token,34.51389702697421,225
226,#8,#3,#9,#2,#64,#83,#2,#61,Pliachindrion,12,None,45.59972470055618,226
227,#8,#15,#9,#5,#61,#122,#8,#13,Pauxxekna,25,Game Token,34.38244518700214,227
228,#6,#15,#10,#3,#69,#60,#10,#34,Streamorm,11,None,52.20797015264017,228
229,#8,#15,#6,#0,#61,#122,#0,#128,Struuthrarkiss,25,Game Token,34.66594591506051,229
230,#0,#15,#10,#0,#30,#103,#2,#115,Sekru,11,None,52.24493614402144,230
231,#8,#15,#1,#6,#62,#56,#8,#25,Seghiszaar,22,Game Token,34.12434479664389,231
232,#8,#15,#7,#0,#70,#122,#13,#24,Pextrax,25,None,1.8785824917032952,232
233,#8,#7,#4,#3,#42,#21,#11,#97,Ghiastroudhaoz,12,None,45.82161353232792,233
234,#8,#15,#10,#2,#81,#104,#0,#56,Bardushuss,22,Game Token,33.38045821199154,234
235,#0,#15,#4,#5,#66,#43,#8,#98,Meshax,11,None,52.409324836069594,235
236,#8,#13,#9,#1,#58,#23,#9,#72,Nidduu,12,None,46.02710752171543,236
237,#8,#15,#10,#0,#82,#1,#8,#15,Uulfehliu,22,None,0.6246919221699567,237
238,#3,#15,#7,#3,#55,#94,#0,#126,Wrashirchiw,11,None,52.355879738691314,238
239,#8,#6,#8,#4,#46,#87,#8,#124,Pilmis,12,None,45.7394424042783,239
240,#8,#14,#2,#1,#50,#122,#5,#120,Alfaokhiu,16,None,37.54472831896808,240
241,#8,#15,#7,#6,#31,#0,#14,#107,Zaulioth,22,None,1.196002868408068,241
242,#8,#15,#9,#1,#82,#49,#14,#46,Bluukroddaox,22,None,0.604152837682237,242
243,#8,#5,#2,#3,#72,#122,#11,#94,Zaumlea,16,None,37.34333828534429,243
244,#8,#15,#1,#3,#52,#50,#7,#94,Khiastroulmio,22,None,0.9494076979334533,244
245,#8,#4,#9,#4,#35,#11,#11,#129,Essaa,12,None,45.79284434765227,245
246,#8,#15,#0,#2,#28,#114,#8,#27,Blugroxiun,22,None,0.28360021037320915,246
247,#8,#15,#10,#7,#65,#9,#14,#20,Coulphoi,22,None,0.7973448363572463,247
248,#8,#15,#6,#2,#54,#29,#8,#18,Shoihroi,22,None,0.6781711460609825,248
249,#8,#15,#9,#7,#77,#97,#1,#105,Kiobroil,22,None,0.9001109462297865,249
250,#8,#3,#2,#0,#20,#8,#9,#130,Niustriuh,12,None,46.14216945608728,250
251,#8,#15,#8,#7,#52,#105,#13,#48,Saogaorr,22,None,0.8179340687102571,251
252,#8,#15,#8,#3,#80,#122,#4,#115,Traazzirroc,25,None,1.2498084181650915,252
253,#8,#13,#9,#2,#20,#46,#6,#19,Roddoxtra,12,None,45.8298559663107,253
254,#7,#15,#2,#5,#58,#28,#12,#61,Drernil,11,None,52.22438431948715,254
255,#8,#15,#10,#0,#2,#122,#12,#124,Khephrauw,25,None,1.488152510883006,255
256,#8,#15,#3,#6,#18,#122,#5,#71,Yodde,25,Game Token,34.793380135741586,256
257,#1,#15,#9,#6,#73,#12,#14,#109,Taunthe,11,None,52.495630743559175,257
258,#8,#15,#0,#6,#2,#73,#1,#65,Brialmorsurr,22,Game Token,33.692780336510154,258
259,#8,#15,#10,#1,#27,#96,#10,#69,Grikontau,22,None,0.6698962321028411,259
260,#2,#15,#5,#1,#11,#111,#6,#58,Gruxxidea,11,None,51.9572496544414,260
261,#8,#15,#4,#4,#46,#14,#3,#43,Thilthaa,22,Game Token,33.63533239497772,261
262,#8,#15,#1,#6,#55,#27,#10,#30,Dhuzzathoh,22,None,1.21245197545723,262
263,#8,#0,#7,#1,#43,#90,#5,#34,Praknalrao,12,None,46.11344014410996,263
264,#8,#14,#6,#1,#83,#44,#2,#10,Jilfaliol,12,None,45.973699004964246,264
265,#8,#15,#1,#2,#35,#110,#10,#115,Wruubruugoh,22,Game Token,33.4955345295718,265
266,#8,#15,#5,#6,#40,#29,#10,#123,Xeamliu,22,None,0.9288686160914331,266
267,#8,#15,#2,#0,#4,#122,#1,#71,Ghoxao,25,None,1.6114124769193228,267
268,#8,#15,#10,#2,#9,#57,#13,#38,Srandez,22,None,0.505545769043791,268
269,#8,#4,#4,#0,#51,#105,#0,#103,Bloihiuhath,12,None,46.146263543118216,269
270,#2,#15,#3,#4,#29,#114,#14,#98,Bragnaxa,11,None,52.46686936807608,270
271,#8,#15,#9,#4,#10,#24,#3,#99,Breazuruz,22,None,0.9165727953325973,271
272,#8,#8,#5,#4,#25,#85,#2,#89,Plubrau,13,None,50.90966521910168,272
273,#7,#8,#1,#5,#20,#122,#3,#124,Pukion,5,None,74.57577182939289,273
274,#8,#15,#7,#3,#16,#97,#6,#33,Yoilnuldouth,22,None,0.8137799648075588,274
275,#8,#15,#2,#4,#80,#94,#6,#113,Draokheas,22,None,0.7685814082675151,275
276,#8,#15,#2,#2,#60,#16,#14,#106,Xeceke,22,None,0.5343059036025862,276
277,#8,#15,#7,#1,#15,#122,#8,#121,Bleakruu,25,None,1.5292413621894285,277
278,#8,#15,#10,#0,#47,#28,#2,#81,Chutroursoi,22,None,0.641147192512918,278
279,#8,#13,#7,#5,#87,#66,#9,#116,Thukhuc,12,None,46.44630175872939,279
280,#8,#15,#0,#2,#72,#122,#6,#21,Stuucheaddoi,26,None,7.152441299126291,280
281,#8,#15,#10,#5,#33,#122,#4,#121,Iagnirzhen,25,Game Token,34.47697462157613,281
282,#8,#15,#4,#0,#22,#31,#3,#11,Strighorth,22,None,1.0439794729135552,282
283,#8,#15,#1,#3,#53,#105,#5,#15,Liakriosauz,22,Game Token,33.40101085587158,283
284,#8,#15,#10,#2,#44,#122,#14,#101,Crommaasac,26,None,7.242897609002529,284
285,#4,#15,#2,#4,#61,#59,#1,#54,Wruxiuxxa,11,None,52.22028817601786,285
286,#8,#15,#4,#2,#81,#7,#2,#17,Troxtriurm,22,Game Token,33.236635313406026,286
287,#6,#15,#2,#7,#83,#122,#9,#49,Oundrauth,15,None,42.55854347404825,287
288,#1,#15,#0,#3,#82,#122,#8,#82,Sthelfialrax,15,None,41.68723994038845,288
