,Colors,Chest,Arms,Jaws,Mask,Eyes,Helmet,Meka Type,Color,Material,Weapon,Legendary,Rarity score,Token Id
27,3.0,MI Racer C1,MI Sonic A1,MI Sonar J2,MI Kaiman,MI Pink Visor,MI Radar,Mirage,Aqua Lite,None,None,None,35.643896567393504,28
28,4.0,OG Trooper C2,OG Trooper A2,OG Sabotage S3,OG Trooper M1,OG Rose E1,OG Darya Trooper,OG Meka,Dark Brown,None,None,None,18.344070254816295,29
29,2.0,OG Heavy C1,OG Solid Tank,OG Trooper S1,OG Trooper M2,OG Rose E1,OG Radiant Heavy,OG Meka,Camo Green,None,None,None,26.013461034555174,30
30,4.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M2,Pink Delta,GAI Jingasa H2,Gādian,Pastel Blue,None,None,None,40.34850077457297,31
31,3.0,OG Trooper C1,OG Trooper A2,OG Sabotage S3,OG Sphere,OG Rose E1,OG Quartz Heavy,OG Meka,White,None,None,None,6.490805617473437,32
32,4.0,OG Heavy C2,OG Trooper A2,OG Trooper S2,OG Trooper M2,OG Blue E4,OG Darya Heavy,OG Meka,Dark Brown,None,None,None,24.537152003604902,33
33,3.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M1,Green Circle,GAI Jingasa H1,Gādian,Grey,None,None,None,33.5664927256867,34
34,4.0,OG Heavy C2,OG Trooper A1,OG Trooper S2,OG Filter,OG Rose E1,OG Delta Trooper,OG Meka,Dark Brown,None,None,None,16.798808920795103,35
35,3.0,GAI Jingasa C1,GAI Jingasa A2,GAI Jingasa J1,GAI Ukiyo-E,Pink Delta,GAI Jingasa H2,Gādian,White,None,None,None,28.770746056760153,36
36,3.0,OG Heavy C2,OG Trooper A2,OG Trooper S2,OG Trooper M1,OG Blue E4,OG Delta Elite,OG Meka,White,None,None,None,13.822704236037112,37
37,2.0,OG Trooper C2,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Violet E1,OG Rombus Trooper,OG Meka,Dark Brown,None,None,None,25.416873839646065,38
38,4.0,MI Racer C1,MI Radar A1,MI Sonar J2,MI Racer M2,MI White Visor,MI Sonar,Mirage,Camo Green,None,Mi Spectral blade,None,61.880683317311636,39
39,4.0,OG Heavy C2,OG Trooper A1,OG Rocket jaw,OG Trooper M1,OG Green E7,OG Delta Trooper,OG Meka,Yellow,None,OG Gatling Gun,None,48.90425571047658,40
40,3.0,GAI Jingasa C1,GAI Jingasa A1,Bastion J1,GAI Jingasa M1,Green Circle,GAI Jingasa H1,Gādian,White,None,GAI Kochi x2,None,53.086466027011646,41
41,4.0,OG Heavy C1,OG Trooper A2,OG Trooper S2,OG Trooper M1,OG Pink E0,OG Radiant Trooper,OG Meka,Grey,None,None,None,21.798502563864712,42
42,3.0,OG Trooper C2,OG Trooper A1,OG Sabotage S3,OG Filter,OG Violet E1,OG Rombus Trooper,OG Meka,White,None,None,None,16.193389749379307,43
43,5.0,MI Radar C1,MI Radar A1,MI Racer W1,MI Racer M1,MI Pink Visor,MI Racer H2,Mirage,Grey,None,None,None,40.748147191128695,44
44,4.0,OG Heavy C2,OG Trooper A1,OG Assault jaw,OG Trooper M1,OG Green E21,OG Delta Trooper,OG Meka,White,None,None,None,18.17661569903516,45
45,3.0,GAI Sōhei C2,GAI Sōhei A1,Bastion J1,GAI Bastion M1,White Circle,GAI Janjin H2,Gādian,White,None,None,None,35.23512020792302,46
46,2.0,GAI Jingasa C1,GAI Yasuke,GAI Jingasa J1,GAI Bastion M2,Pink Circle,GAI Jingasa H1,Gādian,White,None,None,None,40.11668865217725,47
47,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Falcon M0,MI Pink Visor,MI Radar,Mirage,Grey,None,None,None,33.64330719555874,48
48,4.0,GAI Sōhei C2,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M1,White Circle,GAI Tetra H1,Gādian,Blue Grey,None,GAI Katana x2,None,66.42438689452128,49
49,3.0,GAI Sōhei C2,GAI Yasuke,Bastion J1,GAI Youma,Pink Circle,GAI Jingasa H1,Gādian,White,None,None,None,34.380273240200445,50
50,4.0,F9 Bastion C1,F9 Jingasa A2,F9 Brackyura,F9 Heavy,F9 Red E21,F9 Spikes,F9,White,Silver Helmet,GAI Enten,None,81.77238279811004,51
51,4.0,OG Trooper C1,OG Metal spike,OG Sabotage S3,OG Trooper M2,OG Violet E1,OG Darya Master,OG Meka,Orange,None,None,None,25.994823474078714,52
52,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S2,OG Knight,OG Rose E1,OG Delta Trooper,OG Meka,Aqua Lite,None,OG Cannons,None,36.3553855594291,53
53,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S1,OG Trooper M2,OG Green E21,OG Quartz Heavy,OG Meka,Blue,None,None,None,19.46373158272489,54
54,4.0,GAI Jingasa C1,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M1,Green Circle,GAI Janjin H2,Gādian,White,None,None,None,33.38283095775053,55
55,3.0,OG Heavy C1,OG Solid Tank,OG Trooper S1,OG Filter,OG Green E21,OG Quartz Trooper,OG Meka,Blue Grey,None,None,None,23.879398296137676,56
56,2.0,MI Radar C1,MI Racer A1,MI Racer W2,MI Racer M2,MI Pink Visor,MI Racer H2,Mirage,White,None,None,None,35.9658301078678,57
57,4.0,OG Heavy C1,OG Squadron 3,OG Trooper S1,OG Sphere,OG Violet E1,OG Radiant Heavy,OG Meka,Dark Brown,None,None,None,23.082401938938276,58
58,3.0,MI Racer C2,MI Racer A1,MI Racer W2,MI Racer M1,MI Aqua Eye,MI Eagle,Mirage,White,None,None,None,28.255019618217208,59
59,3.0,GAI Sōhei C2,GAI Jingasa A2,GAI Jingasa J1,GAI Bastion M1,Green Circle,GAI Youma H2,Gādian,Blurple,None,None,None,39.9722217277256,60
60,3.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Heavy,OG Violet E1,OG Delta Heavy,OG Meka,Camo Green,None,OG Cannons,None,39.977656391653866,61
61,2.0,GAI Jingasa C1,GAI Jingasa A2,GAI Jingasa J1,GAI Bastion M2,Pink Delta,GAI Tetra H2,Gādian,Dark Brown,None,None,None,43.23814453806097,62
62,4.0,OG Heavy C2,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Violet E1,OG Radiant Heavy,OG Meka,White,None,None,None,15.793020708874,63
63,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E4,F9 Spikes,F9,White,None,None,None,29.650535582168075,64
64,3.0,F9 Bastion C1,F9 Bastion,F9 Assault,F9 Jingasa M2,F9 Green E4,F9 Assault Spikes,F9,White,None,GAI Katana,None,54.71172960062059,65
65,2.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Red E21,F9 Loop,F9,Camo Green,None,None,None,48.38836742758255,66
66,5.0,OG Heavy C2,OG Trooper A1,OG Trooper S2,OG Monkey R-9,OG Rose E1,OG Darya Heavy,OG Meka,White,None,None,None,23.688459254228935,67
67,3.0,MI Racer C1,MI Racer A2,MI Racer W2,MI Racer M1,MI Pink Visor,MI Radar,Mirage,White,None,None,None,24.36133797042576,68
68,4.0,OG Trooper C1,OG Solid Tank,OG Assault jaw,OG Trooper M2,OG Violet E1,OG Darya Trooper,OG Meka,White,None,None,None,15.051229406748584,69
69,0.0,OG Heavy C1,OG Squadron 3,OG Assault jaw,OG Heavy,OG Rose E1,OG Quartz Elite,OG Meka,None,Camo green,None,None,52.23198866220991,70
70,2.0,GAI Jingasa C1,GAI Sōhei A1,GAI Jingasa J1,GAI Jingasa M1,Pink Circle,GAI Citadel,Gādian,White,None,None,None,39.84255589554335,71
71,4.0,GAI Sōhei C2,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M2,Pink Circle,GAI Jingasa H1,Gādian,Orange,None,None,None,42.23883751854719,72
72,0.0,OG Heavy C2,OG Trooper A2,OG Rocket jaw,OG Trooper M2,OG Rose E1,OG Oblong Elite,OG Meka,None,Silver Helmet,None,None,50.41631668120501,73
73,4.0,OG Heavy C1,OG Trooper A1,OG Assault jaw,OG Trooper M1,OG Rose E1,OG Radiant Heavy,OG Meka,Light Green,None,None,None,18.96302905854521,74
74,3.0,OG Heavy C1,OG Trooper A1,OG Sabotage S7,OG Filter,OG Rose E1,OG Darya Heavy,OG Meka,Dark Brown,None,None,None,15.68663286449558,75
75,4.0,GAI Youma,GAI Jingasa A2,GAI Jingasa J1,GAI Bastion M2,Pink Delta,GAI Bastion,Gādian,Grey,None,None,None,38.8235104464872,76
76,5.0,OG Heavy C2,OG Squadron 4,OG Trooper S1,OG Mantis,OG Rose E1,OG Delta Elite,OG Meka,Grey,None,None,None,28.9358488703655,77
77,4.0,OG Heavy C1,OG Squadron 3,OG Rocket jaw,OG Monkey R-7,OG Rose E1,OG Rombus Trooper,OG Meka,White,None,None,None,18.899355326959245,78
78,4.0,OG Trooper C1,OG Solid Tank,OG Trooper S2,OG Heavy,OG Pink E0,OG Quartz Heavy,OG Meka,White,None,None,None,16.922194291493053,79
79,4.0,OG Trooper C1,OG Solid Tank,OG Trooper S1,OG Filter,OG Pink E0,OG Darya Trooper,OG Meka,Yellow,None,None,None,21.791881958161312,80
80,0.0,OG Trooper C1,OG Solid Tank,OG Trooper S1,OG Trooper M1,OG White E13,OG Delta Elite,OG Meka,None,Camo green,None,None,47.023266914044385,81
81,0.0,OG Trooper C2,OG Trooper A2,OG Assault jaw,OG Sphere,OG Violet E1,OG Oblong Elite,OG Meka,None,Carbon,None,None,54.47006443825941,82
82,0.0,OG Heavy C2,OG Squadron 4,OG Assault jaw,OG Monkey R-9,OG Rose E1,OG Delta Elite,OG Meka,None,Carbon,None,None,53.538171093185916,83
83,4.0,F9 Bastion C1,F9 Bastion,F9 Brackyura,F9 Assault,F9 Green E21,F9 Spikes,F9,Dark Brown,None,GAI Tessen x2,None,64.88943922398384,84
84,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E4,F9 Spikes,F9,White,None,None,None,29.650535582168075,85
85,4.0,OG Heavy C1,OG Trooper A2,OG Trooper S1,OG Monkey R-9,OG Rose E1,OG Delta Trooper,OG Meka,Red,None,None,None,17.337225014251224,86
86,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S2,OG Heavy,OG Violet E1,OG Delta Trooper,OG Meka,Light Green,None,None,None,17.114596959755985,87
87,4.0,OG Trooper C2,OG Trooper A2,OG Rocket jaw,OG Trooper M1,OG Violet E1,OG Delta Trooper,OG Meka,Sky Blue,None,None,None,25.446259555849903,88
88,0.0,OG Heavy C1,OG Trooper A2,OG Sabotage S3,OG Monkey R-9,OG Rose E1,OG Delta Elite,OG Meka,None,Camo green,None,None,49.33890705658129,89
89,4.0,GAI Sōhei C1,GAI Youma,Bastion J2,GAI Jingasa M1,Pink Delta,GAI Bastion,Gādian,Grey,None,GAI Enten,None,62.92224960124682,90
90,3.0,GAI Sōhei C1,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Jingasa H1,Gādian,Blurple,None,None,None,35.82048757551311,91
91,3.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Sphere,OG Rose E1,OG Quartz Heavy,OG Meka,Camo Green,None,None,None,12.74157827617538,92
92,0.0,MI Radar C1,MI Radar A1,MI Falcon W0,MI Racer M2,MI Pink Visor,MI Racer H2,Mirage,None,Carbon,Mi Spectral blade x2,None,87.97822019500128,93
93,3.0,OG Trooper C1,OG Squadron 4,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Oblong Elite,OG Meka,Blood Red,None,OG Solid Blade,None,34.987877255621676,94
94,2.0,OG Trooper C1,OG Trooper A2,OG Sabotage S7,OG Sphere,OG Green E21,OG Rombus Trooper,OG Meka,Camo Green,None,None,None,29.95188292737089,95
95,0.0,GAI Jingasa C1,GAI Youma,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Bastion,Gādian,None,Silver Helmet,None,None,65.45557664340161,96
96,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S2,OG Heavy,OG Rose E1,OG Rombus Trooper,OG Meka,Light Green,None,None,None,15.056782124986428,97
97,5.0,OG Trooper C1,OG Squadron 3,OG Trooper S2,OG Trooper M2,OG Rose E1,OG Radiant Trooper,OG Meka,Red,None,None,None,25.632679833077017,98
98,3.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Trooper M2,OG Rose E1,OG Delta Trooper,OG Meka,White,None,None,None,0.509926245497734,99
99,0.0,F9 Fortress C1,F9 Samourai A0,F9 Assault,F9 Bastion M1,F9 Green E4,F9 Kagen,F9,None,Camo blue,None,None,73.36995513487044,100
100,3.0,MI Radar C1,MI Racer A2,MI WS-2,MI Racer M2,MI Pink Visor,MI Radar,Mirage,White,Gold Helmet,None,None,50.419784221736094,101
101,4.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Jingasa H2,Gādian,Yellow,None,None,None,38.57119100688428,102
102,4.0,MI Racer C1,MI Racer A1,MI Radar W1,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Grey,None,None,None,30.70759921339438,103
103,2.0,OG Heavy C1,OG Trooper A2,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Oblong Elite,OG Meka,Dark Brown,Gold Helmet,OG Smiley K2,None,67.57725951149195,104
104,0.0,OG Trooper C1,OG Solid Tank,OG Assault jaw,OG Monkey R-7,OG Green E21,OG Delta Elite,OG Meka,None,Siberie,None,None,52.41583885291943,105
105,3.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Sphere,OG White E13,OG Quartz Trooper,OG Meka,White,None,None,None,8.984118189216774,106
106,3.0,F9 Fortress C2,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E4,F9 Spikes,F9,Grey,Silver Weapon,GAI Tessen x2,None,82.06210367768524,107
107,4.0,F9 Fortress C2,F9 Jingasa A1,F9 Assault,F9 Bastion M1,F9 Red E21,F9 Spikes,F9,Grey,Gold Weapon,GAI Katana x2,None,87.9244032256525,108
108,3.0,GAI Jingasa C1,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M2,Pink Delta,GAI Bastion,Gādian,Black,None,GAI Enten,None,58.11665122559868,109
109,3.0,GAI Sōhei C1,GAI Sōhei A1,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Bastion,Gādian,Black,None,None,None,36.57554267604786,110
110,3.0,MI Racer C1,MI Radar A1,MI Racer W2,MI Racer M1,MI Pink Visor,MI Radar,Mirage,Dark Brown,None,None,None,27.608971665627667,111
111,0.0,GAI Sōhei C2,GAI Youma,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Yokai,Gādian,None,Camo blue,GAI Gessoku,None,91.53183800446915,112
112,4.0,GAI Jingasa C1,GAI Jingasa A2,Bastion J2,GAI Jingasa M1,White Circle,GAI Youma H2,Gādian,Grey,None,GAI Enten,None,63.2867433248102,113
113,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S1,OG Sphere,OG Rose E1,OG Rombus Elite,OG Meka,Dark Grey,None,None,None,13.918813590731336,114
114,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Kaiman,MI Aqua Eye,MI Racer,Mirage,Yellow,None,None,None,37.07165085437508,115
115,4.0,MI Racer C1,MI Racer A2,MI Racer W1,MI Kaiman,MI Pink Visor,MI Eagle,Mirage,Light Green,None,None,None,36.807667046998404,116
116,4.0,GAI Sōhei C2,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M2,Pink Delta,GAI Jingasa H2,Gādian,Pastel Blue,None,None,None,42.222693404580184,117
117,4.0,MI Racer C1,MI Radar A1,MI Sonar J2,MI Salamender,MI Red Visor,MI Sonar,Mirage,Grey,None,Mi Wing blade x2,None,61.06820051122328,118
118,4.0,GAI Youma,GAI Youma,GAI Jingasa J1,GAI Ukiyo-E,Red Hexa,GAI Bastion,Gādian,White,None,None,None,37.41823230750353,119
119,3.0,MI Racer C1,MI Radar A1,MI Storm,MI Racer M1,MI Pink Visor,MI Radar,Mirage,White,None,None,None,23.800173501707786,120
120,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Salamender,MI Pink Visor,MI Eagle,Mirage,Red,None,None,None,36.23319448466818,121
121,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Last Breath,OG Rose E1,OG Delta Trooper,OG Meka,Red,None,None,None,12.333987794755279,122
122,3.0,OG Heavy C1,OG Trooper A1,OG Rocket jaw,OG Heavy,OG Pink E0,OG Oblong Elite,OG Meka,Dark Brown,Silver Helmet,OG Solid Blade,None,66.62405981510369,123
123,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S2,OG Knight,OG Green E21,OG Delta Trooper,OG Meka,White,None,OG Dawn Sword,None,35.72334989890201,124
124,0.0,OG Trooper C1,OG Solid Tank,OG Trooper S2,OG Sphere,OG Violet E1,OG Delta Elite,OG Meka,None,Ghost,None,None,48.703614660836976,125
125,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Monkey,F9 Green E21,F9 Ronin H1,F9,Blood Red,None,GAI Gessoku,None,62.65106613206153,126
126,0.0,F9 Bastion C1,F9 Bastion,F9 Assault,F9 Monkey,F9 Green E7,F9 Ronin H1,F9,None,Fire,GAI Katana x2,None,93.93073330980448,127
127,4.0,GAI Youma,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M1,Pink Delta,GAI Tetra H2,Gādian,Light Green,Silver Helmet,None,None,62.522166587608275,128
128,0.0,OG Trooper C1,OG Trooper A2,OG Sabotage S3,OG Filter,OG Rose E1,OG Oblong Elite,OG Meka,None,Gold Helmet,None,None,45.181711003623455,129
129,4.0,MI Racer C1,MI Radar A1,MI WS-2,MI Racer M1,MI Pink Visor,MI Eagle,Mirage,Light Green,None,None,None,34.47548601227612,130
130,3.0,OG Trooper C1,OG Trooper A1,OG Rocket jaw,OG Monkey R-9,OG Violet E1,OG Quartz Trooper,OG Meka,Dark Brown,None,OG Plasma Ray,None,39.177849698622616,131
131,3.0,OG Heavy C1,OG Trooper A1,OG Sabotage S7,OG Sphere,OG Rose E1,OG Darya Trooper,OG Meka,White,None,OG Cannons,None,32.079079403214095,132
132,0.0,OG Heavy C1,OG Trooper A2,OG Assault jaw,OG Sphere,OG Rose E1,OG Quartz Master,OG Meka,None,Siberie,None,None,49.33897602507961,133
133,3.0,OG Heavy C2,OG Squadron 3,OG Sabotage S3,OG Heavy,OG Violet E1,OG Delta Elite,OG Meka,Dark Brown,None,None,None,23.51833085379021,134
134,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M2,OG Green E7,OG Radiant Elite,OG Meka,Grey,Silver Helmet,None,None,39.5515188724875,135
135,2.0,OG Trooper C2,OG Trooper A1,OG Trooper S1,OG Knight,OG Rose E1,OG Rombus Trooper,OG Meka,Dark Brown,None,None,None,23.675155218927596,136
136,3.0,OG Heavy C1,OG Trooper A2,OG Trooper S2,OG Last Breath,OG Blue E4,OG Darya Elite,OG Meka,Blurple,None,None,None,23.743914025502512,137
137,4.0,OG Trooper C1,OG Trooper A1,OG Assault jaw,OG Sphere,OG Blue E4,OG Delta Trooper,OG Meka,White,None,None,None,12.731751659758972,138
138,4.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Knight,F9 Green E7,F9 Spikes,F9,White,Silver Helmet,None,None,57.74948646867388,139
139,2.0,MI Racer C2,MI Racer A1,MI Racer W1,MI Radar M1,MI Pink Visor,MI Racer,Mirage,Dark Brown,None,None,None,39.970968723540246,140
140,3.0,GAI Jingasa C1,GAI Youma,GAI Jingasa J1,GAI Jingasa M2,Pink Delta,GAI Janjin H2,Gādian,Camo Green,None,GAI Katana,None,58.742666960647504,141
141,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Quartz Trooper,OG Meka,White,None,OG Smiley K1,None,26.85071464260243,142
142,3.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Sphere,OG Rose E1,OG Delta Trooper,OG Meka,Camo Green,None,None,None,7.170334477858555,143
143,4.0,OG Trooper C1,OG Trooper A1,OG Sabotage S3,OG Trooper M1,OG Violet E1,OG Radiant Trooper,OG Meka,Dark Brown,None,None,None,16.902113142674995,144
144,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Racer M2,MI Pink Visor,MI Racer,Mirage,Grey,None,None,None,31.117387597587197,145
145,3.0,MI Radar C1,MI Radar A1,MI WS-2,MI Racer M1,MI Pink Visor,MI Falcon H0,Mirage,Dark Brown,None,None,None,30.51247089909491,146
146,4.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Mantis,OG Violet E1,OG Delta Trooper,OG Meka,White,None,OG Cannons,None,35.46545235571103,147
147,2.0,GAI Jingasa C1,GAI Youma,GAI Jingasa J1,GAI Youma,Pink Circle,GAI Jingasa H1,Gādian,White,None,None,None,40.12960648966064,148
148,3.0,MI Racer C1,MI Radar A1,MI WS-1,MI Racer M1,MI Pink Visor,MI Racer,Mirage,White,None,MI Rockets X,None,44.54873546694652,149
149,3.0,OG Trooper C1,OG Trooper A1,OG Trooper S2,OG Trooper M2,OG Rose E1,OG Radiant Trooper,OG Meka,White,None,OG Plasma Ray,None,26.021631110012606,150
150,4.0,OG Trooper C2,OG Solid Tank,OG Trooper S1,OG Sphere,OG Rose E1,OG Delta Trooper,OG Meka,Blue Grey,None,None,None,20.02735246290382,151
151,3.0,GAI Sōhei C1,GAI Jingasa A1,Brachyura,GAI Bastion M2,White Square,GAI Jingasa H1,Gādian,Grey,None,GAI Tessen x2,None,60.86207187473218,152
152,3.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M1,Pink Circle,GAI Jingasa H1,Gādian,White,None,None,None,28.509313657877538,153
153,4.0,MI Sonic C1,MI Radar A1,MI Falcon W0,MI Kaiman,MI Pink Visor,MI Racer,Mirage,White,None,None,None,31.82861572000895,154
154,4.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Last Breath,OG Violet E1,OG Oblong Heavy,OG Meka,Dark Brown,None,None,None,20.044032712011195,155
155,4.0,OG Heavy C1,OG Trooper A1,OG Trooper S2,OG Monkey R-9,OG Blue E4,OG Oblong Heavy,OG Meka,White,None,None,None,19.463724309848153,156
156,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S2,OG Sphere,OG Red E0,OG Delta Trooper,OG Meka,Red,None,OG Thunder Gun,None,42.02484183479868,157
157,2.0,F9 Fortress C1,F9 Jingasa A2,F9 Assault,F9 Heavy,F9 Green E4,F9 Loop,F9,White,None,None,None,43.2645191910722,158
158,3.0,OG Trooper C1,OG Solid Tank,OG Trooper S2,OG Knight,OG Rose E1,OG Delta Elite,OG Meka,Dark Brown,None,None,None,11.132178985385934,159
159,4.0,F9 Fortress C1,F9 Jingasa A1,F9 Assault,F9 Bastion M2,F9 Green E7,F9 Assault Spikes,F9,White,None,None,None,38.15646155687043,160
