,hat under headphones,smoke,headphones,mouth,eyes,type,background,shirt,4:20 watch,long hair,beard,short hair,hat over headphones,chain,1/1,Rarity score,Token Id
79,knit miami,cig white,pink headphones,smile,regular eyes,plain mfer,orange,None,sub black,None,None,None,None,None,None,21.82096637829273,79
80,None,cig white,black headphones,smile,regular eyes,plain mfer,orange,hoodie down gray,sub rose,None,None,None,None,None,None,15.0190248105196,80
81,headband pink/white,cig white,pink headphones,smile,regular eyes,plain mfer,yellow,collared shirt blue,sub red,None,None,None,None,None,None,33.45857182046974,81
82,None,cig black,green headphones,smile,regular eyes,charcoal mfer,red,hoodie down green,None,None,None,None,None,None,None,22.06551340304742,82
83,None,None,red headphones,smile,regular eyes,charcoal mfer,orange,hoodie down red,sub red,None,None,None,None,None,None,28.7211114479559,83
84,headband blue/white,None,black headphones,smile,regular eyes,plain mfer,red,collared shirt blue,sub black,None,None,None,None,None,None,30.58624353487986,84
85,None,pipe,green headphones,smile,shades,plain mfer,blue,None,sub black,long hair black,None,None,None,None,None,39.449429926314984,85
86,bandana dark gray,None,green headphones,smile,regular eyes,charcoal mfer,yellow,None,oyster silver,None,None,None,None,None,None,32.075725844413824,86
87,None,cig white,pink headphones,smile,purple shades,plain mfer,yellow,None,sub black,None,None,None,None,None,None,21.39697975670173,87
88,None,cig black,blue headphones,flat,regular eyes,charcoal mfer,red,collared shirt turquoise,sub blue,None,None,None,top hat,None,None,58.3421154193816,88
89,knit cleveland,None,blue headphones,smile,regular eyes,charcoal mfer,blue,None,argo black,None,None,None,None,None,None,34.39037722844861,89
90,knit las vegas,None,white headphones,smile,regular eyes,charcoal mfer,red,None,None,long hair black,None,None,None,None,None,38.37121409809275,90
91,None,cig black,white headphones,smile,3D glasses,plain mfer,green,collared shirt pink,None,None,None,mohawk pink,None,None,None,45.803554696717384,91
92,None,cig white,pink headphones,smile,regular eyes,charcoal mfer,green,collared shirt white,sub black,None,None,None,None,None,None,21.741668435026746,92
93,None,cig black,green headphones,smile,purple shades,plain mfer,green,collared shirt blue,argo white,long hair yellow,None,None,None,None,None,49.9311377328848,93
94,None,cig black,white headphones,smile,shades,charcoal mfer,blue,None,sub lantern (green),None,None,None,None,silver chain,None,44.247355064003884,94
95,bandana dark gray,None,green headphones,flat,regular eyes,charcoal mfer,orange,collared shirt yellow,None,None,None,None,None,None,None,52.82806655131972,95
96,None,pipe,black headphones,smile,nerd glasses,plain mfer,orange,None,oyster gold,None,None,mohawk blue,None,None,None,40.940710492466415,96
97,beanie,cig white,white headphones,smile,regular eyes,plain mfer,yellow,None,sub red,long hair black,None,None,None,None,None,31.887326639539467,97
98,knit baltimore,cig white,black headphones,flat,regular eyes,plain mfer,orange,None,None,None,None,None,None,None,None,27.06614147607389,98
99,None,cig black,green headphones,smile,regular eyes,plain mfer,yellow,None,sub rose,long hair black,None,None,None,None,None,22.658581138945927,99
100,headband pink/white,cig white,white headphones,smile,regular eyes,charcoal mfer,yellow,hoodie down white,sub red,None,None,None,None,None,None,34.693031463441635,100
101,None,cig white,black headphones,smile,regular eyes,charcoal mfer,red,collared shirt turquoise,sub bat (blue/black),None,None,mohawk green,None,None,None,37.429271515802895,101
102,beanie,cig white,black headphones,smile,regular eyes,plain mfer,red,None,sub black,long hair yellow,None,None,None,None,None,30.162053804253425,102
103,None,cig black,blue headphones,smile,regular eyes,plain mfer,red,None,None,None,None,None,hoodie,None,None,27.279396866293077,103
104,None,cig white,pink headphones,smile,regular eyes,plain mfer,blue,None,sub black,long hair black,None,None,None,silver chain,None,37.901186222971155,104
105,None,cig white,lined headphones,smile,regular eyes,charcoal mfer,yellow,hoodie down blue,sub black,None,None,mohawk black,None,None,None,40.63158095794925,105
106,None,cig black,black headphones,smile,regular eyes,plain mfer,green,collared shirt blue,oyster gold,None,None,None,None,None,None,14.647200860744553,106
107,cap purple,cig black,black headphones,smile,vr,charcoal mfer,blue,hoodie down gray,sub lantern (green),None,None,None,None,None,None,47.33879216397518,107
108,None,pipe,red headphones,smile,purple shades,charcoal mfer,red,None,None,None,None,mohawk yellow,None,None,None,48.25573283333621,108
109,cap purple,cig black,white headphones,flat,regular eyes,plain mfer,yellow,None,sub black,long hair black,None,None,None,silver chain,None,61.919285072219886,109
110,None,cig white,green headphones,flat,vr,plain mfer,yellow,hoodie down blue,None,None,None,messy red,None,None,None,61.05717791882807,110
111,None,cig white,blue headphones,smile,regular eyes,plain mfer,red,collared shirt turquoise,None,long hair black,None,None,None,None,None,30.71780715553591,111
112,knit atlanta,cig black,black headphones,flat,regular eyes,charcoal mfer,blue,collared shirt blue,sub black,long hair yellow,None,None,None,None,None,56.32209587463378,112
113,None,None,black headphones,smile,shades,plain mfer,green,None,sub cola (blue/red),None,None,messy purple,None,None,None,40.23258899104988,113
114,None,cig black,green headphones,flat,regular eyes,plain mfer,orange,None,oyster gold,None,None,None,None,None,None,22.692192146733237,114
115,headband blue/green,cig black,blue headphones,smile,regular eyes,plain mfer,green,None,None,long hair black,None,None,None,None,None,33.50640901368383,115
116,knit las vegas,pipe,black headphones,smile,regular eyes,charcoal mfer,green,None,oyster silver,None,None,None,None,silver chain,None,47.25081033688833,116
117,None,cig black,green headphones,smile,nerd glasses,plain mfer,blue,None,sub turquoise,None,full beard,None,None,None,None,40.89080917566047,117
118,None,cig white,blue headphones,smile,regular eyes,plain mfer,red,None,None,long hair black,None,None,None,None,None,19.45393062292596,118
119,bandana red,cig black,green headphones,smile,regular eyes,charcoal mfer,yellow,collared shirt white,sub red,None,None,None,None,None,None,37.316716028116524,119
120,None,cig white,pink headphones,smile,regular eyes,plain mfer,green,collared shirt blue,sub turquoise,None,None,None,None,None,None,20.977214372161132,120
121,bandana blue,cig black,pink headphones,smile,regular eyes,charcoal mfer,yellow,None,argo white,long hair black,None,None,None,None,None,41.439907088723174,121
122,knit buffalo,cig white,green headphones,flat,regular eyes,plain mfer,green,None,sub red,long hair black,None,None,None,None,None,47.23616184153151,122
123,knit cleveland,None,white headphones,smile,nerd glasses,charcoal mfer,blue,collared shirt white,sub black,None,None,None,None,None,None,51.21562046482014,123
124,None,None,blue headphones,smile,regular eyes,charcoal mfer,red,None,sub black,None,None,None,None,None,None,16.957841672942926,124
125,None,cig white,black headphones,smile,nerd glasses,plain mfer,yellow,hoodie down gray,None,None,None,mohawk black,None,None,None,41.11381369719508,125
126,None,cig white,red headphones,smile,vr,charcoal mfer,orange,collared shirt blue,sub red,None,None,None,None,None,None,37.98531158399891,126
127,None,pipe,black headphones,smile,regular eyes,plain mfer,red,None,sub black,None,full beard,None,None,None,None,24.38613790176813,127
128,None,cig white,black headphones,smile,regular eyes,charcoal mfer,red,None,sub lantern (green),None,None,mohawk green,None,None,None,25.21523517829886,128
129,knit cleveland,cig white,black headphones,smile,regular eyes,charcoal mfer,orange,collared shirt pink,None,None,None,None,None,None,None,29.823628335686003,129
130,None,cig black,black headphones,smile,regular eyes,charcoal mfer,yellow,hoodie down pink,sub blue,None,None,None,None,None,None,19.046724604715532,130
131,None,cig white,red headphones,flat,regular eyes,charcoal mfer,green,hoodie down white,sub red,long hair black,None,None,None,None,None,47.622664501604476,131
132,None,pipe,black headphones,smile,purple shades,charcoal mfer,green,None,sub red,None,None,mohawk yellow,None,None,None,43.20483601863764,132
133,None,cig white,pink headphones,smile,purple shades,plain mfer,blue,None,sub lantern (green),None,None,None,None,silver chain,None,43.15498538081226,133
134,None,cig black,pink headphones,flat,3D glasses,charcoal mfer,green,collared shirt green,sub red,None,None,mohawk yellow,None,None,None,66.63794348947462,134
135,bandana blue,None,green headphones,flat,regular eyes,plain mfer,blue,collared shirt pink,oyster silver,long hair black,None,None,None,None,None,63.076866977203785,135
136,None,cig white,green headphones,smile,regular eyes,charcoal mfer,blue,None,argo black,None,None,messy black,None,None,None,31.950303232037463,136
137,None,None,blue headphones,smile,regular eyes,charcoal mfer,yellow,None,sub red,long hair black,None,None,None,None,None,29.441454867824685,137
138,knit dallas,cig black,black headphones,flat,nerd glasses,plain mfer,green,None,oyster silver,None,None,None,None,None,None,43.78980688512153,138
139,cap monochrome,pipe,black headphones,smile,regular eyes,charcoal mfer,red,None,None,None,None,None,None,None,None,25.330343759770656,139
140,None,None,None,None,None,None,None,None,None,None,None,None,None,None,pop mfer,81.56284059010763,140
141,None,cig white,black headphones,flat,vr,charcoal mfer,orange,collared shirt blue,sub black,None,None,None,None,None,None,42.49684524758496,141
142,None,None,black headphones,flat,regular eyes,plain mfer,yellow,hoodie down gray,None,None,None,mohawk green,None,None,None,43.96290406423955,142
143,knit atlanta,cig white,white headphones,smile,regular eyes,plain mfer,orange,None,sub black,None,None,None,None,None,None,18.94225454325189,143
144,None,None,white headphones,smile,3D glasses,charcoal mfer,yellow,None,None,None,None,None,None,None,None,26.349940004922317,144
145,None,cig black,gold headphones,smile,regular eyes,plain mfer,red,collared shirt yellow,None,None,None,None,cowboy hat,None,None,39.32205102967294,145
146,knit las vegas,None,black headphones,flat,regular eyes,plain mfer,green,None,sub red,None,None,None,None,silver chain,None,52.428671744414544,146
147,None,None,white headphones,smile,regular eyes,charcoal mfer,orange,collared shirt green,sub black,None,None,mohawk purple,None,None,None,40.64001190262177,147
148,None,cig white,red headphones,smile,nerd glasses,plain mfer,green,None,sub bat (blue/black),None,None,mohawk black,None,None,None,42.13568089416845,148
149,None,None,black headphones,flat,regular eyes,plain mfer,blue,None,None,None,None,messy yellow,None,None,None,33.38083707180681,149
150,None,cig black,pink headphones,flat,regular eyes,plain mfer,red,None,sub rose,long hair black,full beard,None,None,None,None,51.421952649852265,150
151,knit las vegas,pipe,white headphones,smile,regular eyes,charcoal mfer,blue,collared shirt green,oyster silver,None,full beard,None,None,None,None,58.78288447700443,151
152,knit buffalo,cig black,black headphones,flat,regular eyes,plain mfer,blue,collared shirt green,sub turquoise,long hair yellow,None,None,None,None,None,55.81884882618964,152
153,None,cig white,black headphones,smile,regular eyes,charcoal mfer,orange,None,sub cola (blue/red),None,None,None,None,None,None,9.167380446408892,153
154,headband green/white,cig black,gold headphones,smile,regular eyes,plain mfer,red,collared shirt white,sub black,None,None,None,None,None,None,33.70303771888802,154
155,None,cig black,black headphones,smile,vr,plain mfer,green,collared shirt pink,sub red,None,None,mohawk pink,None,None,None,44.51670051168538,155
156,None,cig white,black headphones,flat,regular eyes,plain mfer,green,None,sub turquoise,None,None,None,None,None,None,16.63375539930948,156
157,None,cig black,white headphones,flat,regular eyes,charcoal mfer,green,None,sub black,None,None,None,None,None,None,20.663611261423377,157
158,None,cig white,red headphones,flat,regular eyes,plain mfer,orange,None,None,None,None,mohawk yellow,None,None,None,35.810378067204674,158
159,None,cig black,green headphones,smile,nerd glasses,plain mfer,blue,None,None,None,full beard,None,None,None,None,36.89264849017217,159
160,None,cig black,blue headphones,smile,regular eyes,plain mfer,blue,hoodie down blue,sub turquoise,None,full beard,None,None,None,None,38.56807594414331,160
161,None,cig white,black headphones,smile,nerd glasses,plain mfer,yellow,None,None,None,None,mohawk black,None,None,None,30.677776145715146,161
162,None,None,white headphones,smile,3D glasses,plain mfer,red,collared shirt turquoise,None,None,None,mohawk yellow,None,None,None,50.30900636796424,162
163,knit chicago,None,white headphones,smile,shades,plain mfer,orange,None,oyster silver,None,None,None,None,None,None,39.08611471783762,163
164,None,None,black headphones,smile,regular eyes,charcoal mfer,orange,hoodie down white,oyster gold,None,None,None,None,None,None,23.011745197977213,164
165,None,cig black,blue headphones,flat,regular eyes,plain mfer,red,None,sub turquoise,None,full beard,None,None,None,None,40.48754490492235,165
166,None,cig white,white headphones,flat,regular eyes,plain mfer,yellow,None,sub black,None,full beard,None,None,None,None,33.37270139010657,166
167,knit cleveland,cig white,blue headphones,flat,shades,charcoal mfer,blue,None,None,long hair black,None,None,None,None,None,63.891332679418596,167
168,None,cig black,white headphones,flat,regular eyes,charcoal mfer,orange,hoodie down pink,sub black,None,None,None,None,None,None,31.873055389991343,168
169,None,cig black,black headphones,smile,shades,plain mfer,orange,None,None,None,None,None,None,None,None,14.164534354787467,169
170,None,cig black,gold headphones,smile,3D glasses,plain mfer,yellow,collared shirt white,sub black,None,None,None,None,None,None,33.602876448935874,170
171,knit dallas,cig black,black headphones,flat,regular eyes,plain mfer,orange,collared shirt green,sub black,None,None,None,None,None,None,38.86641555985063,171
172,None,None,blue headphones,smile,regular eyes,plain mfer,red,None,None,None,None,messy black,None,None,None,28.948507729855876,172
173,None,cig white,black headphones,smile,regular eyes,charcoal mfer,orange,collared shirt blue,sub blue,None,None,messy yellow,None,None,None,35.04992625387525,173
174,None,pipe,pink headphones,smile,purple shades,plain mfer,yellow,collared shirt turquoise,oyster silver,None,None,None,cowboy hat,None,None,60.53538081138527,174
175,None,cig black,black headphones,smile,regular eyes,plain mfer,blue,None,sub black,None,full beard,None,None,silver chain,None,36.593535237577875,175
176,None,cig black,pink headphones,smile,regular eyes,plain mfer,green,hoodie down white,sub black,None,None,None,None,None,None,17.753766939079057,176
177,bandana blue,pipe,black headphones,smile,regular eyes,plain mfer,red,None,argo black,None,None,None,None,None,None,25.714900181442484,177
178,None,cig white,white headphones,smile,purple shades,charcoal mfer,blue,None,None,None,None,mohawk black,None,None,None,37.84913991606306,178
179,None,cig black,white headphones,smile,shades,plain mfer,red,None,sub black,None,full beard,None,None,None,None,35.23405479521727,179
180,None,cig black,pink headphones,smile,shades,plain mfer,red,hoodie down green,sub red,long hair black,None,None,None,None,None,45.30848982060199,180
181,knit miami,None,black headphones,flat,regular eyes,charcoal mfer,green,hoodie down gray,sub black,long hair yellow,full beard,None,None,None,None,77.37901391235397,181
182,None,cig white,red headphones,smile,regular eyes,plain mfer,blue,None,None,None,None,None,None,None,None,6.877807948749854,182
183,None,cig black,gold headphones,smile,regular eyes,charcoal mfer,yellow,None,sub red,None,None,mohawk green,None,None,None,30.617526000527896,183
184,None,cig white,white headphones,smile,regular eyes,charcoal mfer,blue,None,sub black,None,None,mohawk pink,None,silver chain,None,44.397440379239626,184
185,None,cig white,black headphones,smile,regular eyes,plain mfer,red,collared shirt green,sub black,long hair yellow,None,None,None,None,None,26.52115490725759,185
186,None,cig white,black headphones,smile,regular eyes,plain mfer,yellow,collared shirt pink,sub red,None,None,None,None,None,None,13.301742037645587,186
187,knit baltimore,cig white,white headphones,smile,regular eyes,plain mfer,blue,hoodie down green,sub cola (blue/red),None,None,None,None,None,None,33.77623386951167,187
188,bandana red,cig black,black headphones,smile,regular eyes,charcoal mfer,orange,None,None,None,None,None,None,None,None,18.524259176843792,188
189,None,cig white,black headphones,smile,regular eyes,plain mfer,red,None,sub lantern (green),long hair yellow,None,None,None,None,None,18.411632832304477,189
190,knit new york,cig black,black headphones,flat,regular eyes,plain mfer,green,hoodie down pink,None,None,None,None,None,None,None,38.32334250354014,190
191,headband blue/white,cig white,black headphones,flat,regular eyes,plain mfer,red,collared shirt blue,sub black,None,None,None,None,None,None,38.66167517439955,191
192,None,cig black,black headphones,flat,regular eyes,plain mfer,red,hoodie down blue,sub red,long hair yellow,None,None,None,None,None,39.45764880281496,192
193,None,None,white headphones,smile,regular eyes,plain mfer,yellow,hoodie down blue,sub black,long hair black,None,None,None,None,None,31.196080173281725,193
194,None,cig black,white headphones,smile,regular eyes,plain mfer,green,None,None,long hair yellow,None,None,None,None,None,17.3545182272282,194
195,None,cig black,pink headphones,smile,eye mask,plain mfer,blue,None,None,None,None,None,None,None,None,20.619936301046966,195
196,knit kc,cig white,black headphones,flat,shades,charcoal mfer,green,None,None,None,None,None,None,None,None,45.35839967946435,196
197,knit las vegas,None,red headphones,smile,regular eyes,plain mfer,green,hoodie down blue,sub lantern (green),long hair black,None,None,None,None,None,52.190977641956934,197
198,None,cig white,black headphones,smile,regular eyes,plain mfer,blue,hoodie down pink,sub cola (blue/red),None,None,None,None,None,None,16.28090899920844,198
199,None,cig black,blue headphones,smile,eye mask,plain mfer,yellow,None,None,None,None,messy black,None,None,None,38.912556512094625,199
200,knit san fran,cig white,white headphones,smile,regular eyes,plain mfer,orange,collared shirt white,sub black,long hair black,None,None,None,None,None,40.884096811417905,200
201,None,pipe,white headphones,smile,regular eyes,plain mfer,red,None,None,long hair black,None,None,None,None,None,21.749747757314047,201
202,None,None,red headphones,smile,regular eyes,charcoal mfer,orange,hoodie down pink,oyster gold,None,None,None,None,None,None,30.48212987259002,202
203,None,cig black,white headphones,smile,regular eyes,charcoal mfer,blue,hoodie down white,sub lantern (green),long hair black,None,None,None,None,None,33.349718087688494,203
204,None,cig black,black headphones,smile,regular eyes,plain mfer,blue,None,sub turquoise,None,None,None,None,None,None,3.9988387423918774,204
205,None,cig black,black headphones,flat,eye mask,plain mfer,green,None,oyster silver,None,None,None,None,None,None,29.903118128577226,205
206,None,cig white,black headphones,smile,regular eyes,plain mfer,yellow,hoodie down green,sub red,None,None,None,None,None,None,13.42500505474247,206
207,knit cleveland,cig white,red headphones,smile,regular eyes,charcoal mfer,blue,None,sub black,long hair black,None,None,None,None,None,38.057971388260256,207
208,None,cig black,red headphones,flat,regular eyes,charcoal mfer,orange,hoodie down gray,oyster silver,None,None,mohawk purple,None,None,None,53.47120246696975,208
209,None,None,black headphones,smile,regular eyes,plain mfer,green,None,sub blue,None,None,None,None,None,None,7.95366774273706,209
